%310
@RELATION PLATMSA00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1136.16,48389.84,2835.52,2933210.50,7510.50,302.92,?,10.50
3,10554.18,48222.72,1132.73,48505.50,2832.46,9450610.54,5410.54,995.02,10.50,10.54
4,10519.33,47888.16,1123.30,48143.94,2814.73,2958510.30,3410.30,304.79,10.54,10.30
5,?,?,?,?,?,?,?,?,10.30,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1117.54,47820.24,2793.31,5826910.42,5110.42,612.20,?,10.42
8,10500.71,47379.63,1107.35,47624.67,2790.64,1777110.50,2110.50,185.75,10.42,10.50
9,10503.06,47407.28,1113.00,47668.58,2784.62,1215910.40,2010.40,125.33,10.50,10.40
10,10496.80,47546.91,1127.31,47798.66,2800.96,43510.40,410.40,4.52,10.40,10.40
11,10595.04,47440.80,1133.34,47690.97,2815.88,761910.40,1910.40,78.73,10.40,10.40
12,?,?,?,?,?,?,?,?,10.40,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1138.05,47724.95,2820.74,3351710.55,4210.55,351.39,?,10.55
15,10638.06,47086.54,1131.14,47346.41,2817.16,5415610.55,3110.55,570.55,10.55,10.55
16,10673.05,47521.39,1130.24,47794.60,2825.40,7608810.45,5210.45,795.53,10.55,10.45
17,10767.29,47661.37,1132.34,47936.81,2848.09,2809510.45,2110.45,293.79,10.45,10.45
18,10903.93,47813.69,1144.65,48104.67,2864.72,9705210.40,5110.40,1012.08,10.45,10.40
19,?,?,?,?,?,?,?,?,10.40,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1151.79,48184.37,2890.14,4454410.44,3510.44,458.31,?,10.44
22,11073.63,47872.80,1152.16,48127.89,2892.80,4092010.78,3910.78,434.02,10.44,10.78
23,11071.80,47733.24,1153.46,47999.21,2890.57,13997211.10,8911.10,1541.18,10.78,11.10
24,11108.21,47942.04,1150.21,48203.43,2898.85,3270511.39,3411.39,365.37,11.10,11.39
25,11174.05,47613.95,1156.62,47851.99,2897.93,1785511.50,2911.50,204.02,11.39,11.50
26,?,?,?,?,?,?,?,?,11.50,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1160.03,47553.14,2886.17,999011.31,1611.31,112.04,?,11.31
29,11165.66,47328.40,1163.93,47565.10,2878.58,874711.45,2011.45,97.97,11.31,11.45
30,11183.61,46917.19,1153.92,47113.08,2876.68,14411.46,311.46,1.63,11.45,11.46
31,11245.80,46840.15,1159.78,47011.43,2880.57,1375811.60,2211.60,158.18,11.46,11.60
32,11241.00,46945.58,1158.21,47121.08,2883.81,174011.50,511.50,20.04,11.60,11.50
33,?,?,?,?,?,?,?,?,11.50,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1147.63,46735.25,2856.17,335111.60,1011.60,38.78,?,11.60
36,11060.84,46674.78,1152.32,46862.43,2843.49,267611.16,1711.16,30.42,11.60,11.16
37,10953.57,46149.14,1128.47,46341.54,2811.05,236311.23,911.23,26.42,11.16,11.23
38,10950.03,46329.66,1129.48,46512.72,2815.91,211.40,111.40,0.02,11.23,11.40
39,10986.53,46741.54,1129.43,46931.40,2825.70,72911.25,511.25,8.11,11.40,11.25
40,?,?,?,?,?,?,?,?,11.25,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,1129.99,46988.04,2826.84,303910.89,1410.89,33.55,?,10.89
43,10981.98,46399.26,1137.86,46564.61,2821.25,283410.80,1510.80,30.19,10.89,10.80
44,11022.58,46406.74,1140.25,46569.81,2825.02,48410.75,410.75,5.20,10.80,10.75
45,11017.48,46211.54,1127.06,46360.51,2825.15,5578110.69,910.69,599.10,10.75,10.69
46,11071.18,46370.13,1136.50,46523.63,2838.22,50210.60,510.60,5.32,10.69,10.60
47,?,?,?,?,?,?,?,?,10.60,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,1139.96,46665.39,2848.48,193210.65,1010.65,20.26,?,10.65
50,11119.72,46490.89,1135.32,46652.19,2843.90,150910.32,610.32,15.57,10.65,10.32
51,11014.53,46051.76,1126.36,46198.42,2831.71,922510.31,3310.31,94.36,10.32,10.31
52,10948.88,45879.90,1119.98,46050.52,2801.83,10703310.30,3610.30,1101.74,10.31,10.30
53,10985.79,45948.12,1131.52,46124.82,2817.57,4354410.25,1910.25,445.09,10.30,10.25
54,?,?,?,?,?,?,?,?,10.25,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,1137.44,46487.05,2840.57,1351310.40,3010.40,137.93,?,10.40
57,10972.28,45868.35,1126.88,46065.85,2831.16,1403510.42,2010.42,144.20,10.40,10.42
58,11039.20,46241.92,1126.96,46459.99,2855.69,11777710.65,4010.65,1223.51,10.42,10.65
59,11052.03,46280.36,1140.99,46510.83,2865.27,1200710.72,3310.72,128.21,10.65,10.72
60,11010.83,46341.14,1150.40,46622.90,2859.05,3667911.40,2911.40,408.20,10.72,11.40
61,?,?,?,?,?,?,?,?,11.40,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,1147.38,46454.13,2860.68,2035711.16,1711.16,227.14,?,11.16
64,10997.33,46676.09,1156.77,47001.38,2868.06,1337911.25,1611.25,147.74,11.16,11.25
65,11042.47,46762.65,1150.07,47090.49,2872.90,17372811.30,3311.30,1962.93,11.25,11.30
66,11042.08,46745.26,1155.43,47060.66,2873.49,18701011.42,2111.42,2107.63,11.30,11.42
67,11119.06,47074.39,1164.85,47436.21,2906.74,6604811.99,6911.99,774.65,11.42,11.99
68,?,?,?,?,?,?,?,?,11.99,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,1184.08,47269.75,2914.24,14612912.14,4012.14,1763.37,?,12.14
71,11150.86,47010.40,1185.21,47340.43,2911.38,8768512.13,6112.13,1058.83,12.14,12.13
72,11194.08,46888.37,1178.50,47235.72,2901.67,1285612.05,1412.05,154.69,12.13,12.05
73,11231.22,47223.68,1177.46,47606.16,2912.13,492311.97,611.97,59.05,12.05,11.97
74,11228.39,47125.93,1176.61,47522.10,2909.77,1203512.00,2112.00,144.93,11.97,12.00
75,?,?,?,?,?,?,?,?,12.00,?
76,?,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,1163.52,47094.18,2900.59,520911.95,2211.95,61.56,?,11.95
78,11135.62,46029.35,1143.53,46473.62,2868.24,139911.99,711.99,16.70,11.95,11.99
79,11168.63,46068.24,1121.08,46511.62,2874.75,781411.68,2911.68,90.70,11.99,11.68
80,11069.03,45580.47,1110.00,46017.88,2833.61,1241811.39,2711.39,143.12,11.68,11.39
81,10908.77,45066.18,1091.98,45473.08,2800.67,282111.66,2311.66,31.61,11.39,11.66
82,?,?,?,?,?,?,?,?,11.66,?
83,?,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,1091.47,44946.32,2780.21,3656611.75,3511.75,430.50,?,11.75
85,10815.43,44724.88,1081.75,45119.16,2774.13,4945711.80,3511.80,581.04,11.75,11.80
86,10867.86,45247.90,1090.32,45644.09,2785.46,7852912.00,8812.00,942.98,11.80,12.00
87,10938.55,45147.57,1091.06,45528.85,2797.31,4501611.97,16611.97,527.73,12.00,11.97
88,?,?,?,?,?,?,?,?,11.97,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,1102.99,45679.51,2814.33,487911.95,1311.95,58.08,?,11.95
93,10809.87,44604.61,1070.68,44940.36,2769.02,830811.50,1911.50,97.04,11.95,11.50
94,10817.23,44623.89,1070.17,44980.62,2766.19,2693011.90,4711.90,317.13,11.50,11.90
95,10803.99,44597.66,1086.26,44960.02,2760.91,1666811.90,1811.90,196.29,11.90,11.90
96,?,?,?,?,?,?,?,?,11.90,?
97,?,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,1086.13,44963.96,2764.28,1041811.65,3311.65,121.83,?,11.65
99,10820.89,44725.03,1084.77,45096.35,2767.26,214011.89,1211.89,25.26,11.65,11.89
100,10845.27,45091.63,1089.08,45495.34,2780.21,2833711.93,4211.93,334.49,11.89,11.93
101,10908.65,45688.48,1095.29,46131.66,2794.43,1140111.98,1711.98,136.44,11.93,11.98
102,10807.45,45525.92,1102.49,45960.10,2783.53,1916811.95,3011.95,230.05,11.98,11.95
103,?,?,?,?,?,?,?,?,11.95,?
104,?,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,1097.10,45167.65,2754.91,649811.74,1211.74,76.32,?,11.74
106,?,?,?,?,?,?,?,?,11.74,?
107,10431.02,43916.24,1090.97,44404.81,2705.88,3060311.00,21311.00,337.54,?,11.00
108,10415.53,43364.70,1089.24,43850.06,2695.55,283911.20,2011.20,31.52,11.00,11.20
109,10373.60,43447.75,1086.50,43993.98,2685.57,2313111.25,2911.25,257.17,11.20,11.25
110,?,?,?,?,?,?,?,?,11.25,?
111,?,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,1090.01,43892.82,2660.28,508411.35,1911.35,59.01,?,11.35
113,10282.22,43159.57,1070.14,43707.88,2624.40,4712411.80,1911.80,542.27,11.35,11.80
114,10264.95,43356.73,1084.85,43908.95,2636.70,1722511.70,3611.70,199.52,11.80,11.70
115,10327.20,43482.18,1076.35,44027.03,2658.57,976711.58,1511.58,114.27,11.70,11.58
116,10407.26,43665.21,1081.14,44226.06,2669.93,1226012.00,1812.00,144.65,11.58,12.00
117,?,?,?,?,?,?,?,?,12.00,?
118,?,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,1086.18,44420.22,2685.14,425611.84,1011.84,50.44,?,11.84
120,10511.46,44162.18,1096.22,44653.34,2704.84,1620011.79,32611.79,191.04,11.84,11.79
121,?,?,?,?,?,?,?,?,11.79,?
122,10554.34,43991.51,1077.28,44466.89,2695.22,615611.77,3211.77,72.32,?,11.77
123,?,?,?,?,?,?,?,?,11.77,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,10605.72,44541.73,1104.54,45060.80,2714.72,158711.88,1311.88,18.85,?,11.88
127,10618.63,44742.22,1111.64,45244.29,2733.96,2700511.80,1711.80,318.66,11.88,11.80
128,10692.81,45117.94,1106.26,45647.76,2752.14,1014011.90,1311.90,120.65,11.80,11.90
129,10714.80,44943.16,1111.55,45475.08,2760.20,1720411.80,3011.80,202.20,11.90,11.80
130,10758.03,44895.35,1118.53,45408.06,2769.85,1009211.98,811.98,119.96,11.80,11.98
131,?,?,?,?,?,?,?,?,11.98,?
132,?,?,?,?,?,?,?,?,?,?
133,10762.74,45207.84,1126.14,45746.01,2790.62,3504711.80,2411.80,412.19,?,11.80
134,10819.27,45771.11,1157.28,46336.62,2822.41,1338911.74,2511.74,156.88,11.80,11.74
135,10913.18,46102.42,1180.62,46676.61,2848.38,1025611.75,1611.75,120.73,11.74,11.75
136,10976.80,45992.03,1159.61,46581.16,2871.70,965311.70,1811.70,112.43,11.75,11.70
137,10991.63,46078.68,1125.40,46646.58,2885.19,394711.76,1711.76,45.78,11.70,11.76
138,?,?,?,?,?,?,?,?,11.76,?
139,?,?,?,?,?,?,?,?,?,?
140,11070.23,46041.35,1137.52,46615.31,2921.95,808111.80,1811.80,94.65,?,11.80
141,11089.17,45851.80,1125.99,46439.10,2893.12,1103911.60,1911.60,128.00,11.80,11.60
142,11082.19,45933.66,1125.44,46529.96,2912.70,280211.50,1711.50,32.03,11.60,11.50
143,11050.12,45687.76,1120.21,46311.26,2894.53,1057811.89,1711.89,121.74,11.50,11.89
144,11130.47,46145.44,1124.91,46783.61,2929.62,1563911.60,2311.60,181.80,11.89,11.60
145,?,?,?,?,?,?,?,?,11.60,?
146,?,?,?,?,?,?,?,?,?,?
147,11329.88,47277.10,1142.01,47957.54,2976.83,18969911.99,6011.99,2248.23,?,11.99
148,11439.53,47579.87,1154.78,48258.02,2997.81,7933211.90,1611.90,944.72,11.99,11.90
149,11434.08,47476.64,1171.08,48138.07,3000.58,8777912.40,4312.40,1056.02,11.90,12.40
150,?,?,?,?,?,?,?,?,12.40,?
151,11518.87,47806.34,1165.26,48503.87,2994.25,4449012.40,5212.40,546.04,?,12.40
152,?,?,?,?,?,?,?,?,12.40,?
153,?,?,?,?,?,?,?,?,?,?
154,11428.58,47175.79,1165.63,47868.36,2970.24,81929512.29,3512.29,9996.54,?,12.29
155,11527.78,47620.68,1159.94,48323.88,2998.79,2174712.35,1712.35,267.15,12.29,12.35
156,11566.33,47805.94,1151.72,48513.29,3026.87,82034412.45,5512.45,10011.99,12.35,12.45
157,11598.90,47573.66,1162.00,48259.19,3020.15,1269812.21,2312.21,156.47,12.45,12.21
158,11721.20,48209.65,1181.72,48918.37,3044.38,80511.96,911.96,9.81,12.21,11.96
159,?,?,?,?,?,?,?,?,11.96,?
160,?,?,?,?,?,?,?,?,?,?
161,11855.82,48495.01,1181.70,49207.65,3065.91,2729012.20,2212.20,332.98,?,12.20
162,11906.69,48324.52,1178.63,49050.96,3074.89,148312.10,1312.10,17.72,12.20,12.10
163,12044.12,48383.93,1192.84,49098.70,3098.83,127212.23,712.23,15.51,12.10,12.23
164,11997.09,48152.82,1194.64,48890.47,3089.32,1375812.20,1412.20,167.51,12.23,12.20
165,11980.74,48273.42,1193.40,49057.66,3092.65,1696912.20,2412.20,206.88,12.20,12.20
166,?,?,?,?,?,?,?,?,12.20,?
167,?,?,?,?,?,?,?,?,?,?
168,11950.70,48131.61,1195.82,48917.56,3100.24,10415412.20,4612.20,1275.91,?,12.20
169,12001.25,48119.72,1195.92,48891.04,3120.39,6228511.92,2211.92,761.46,12.20,11.92
170,11995.61,47743.10,1196.01,48509.84,3122.21,447812.00,1212.00,53.66,11.92,12.00
171,11755.38,45870.00,1146.73,46587.68,3038.18,3337212.14,2012.14,401.97,12.00,12.14
172,11698.05,44732.92,1176.34,45456.77,3001.68,47612.08,312.08,5.71,12.14,12.08
173,?,?,?,?,?,?,?,?,12.08,?
174,?,?,?,?,?,?,?,?,?,?
175,11694.70,44824.62,1173.52,45531.46,2990.89,389112.00,812.00,46.60,?,12.00
176,11846.22,44966.09,1180.90,45672.10,2999.31,240312.00,1612.00,28.78,12.00,12.00
177,11772.39,44893.99,1166.57,45601.51,2972.55,1762811.80,1911.80,208.07,12.00,11.80
178,11665.86,43667.37,1139.46,44326.49,2915.58,534811.70,811.70,62.56,11.80,11.70
179,11716.43,44747.79,1160.39,45442.51,2948.80,2811011.79,5111.79,330.29,11.70,11.79
180,?,?,?,?,?,?,?,?,11.79,?
181,?,?,?,?,?,?,?,?,?,?
182,11756.83,44769.00,1150.94,45461.06,2963.91,1744211.29,4311.29,198.95,?,11.29
183,11805.57,45533.94,1175.36,46254.71,2981.48,11511.45,511.45,1.30,11.29,11.45
184,11736.24,45184.98,1196.30,45899.36,2971.57,1575111.67,3311.67,180.10,11.45,11.67
185,11820.50,45613.75,1189.64,46344.42,2988.19,401511.77,911.77,47.19,11.67,11.77
186,11822.63,45110.89,1161.10,45805.34,2977.06,111.49,111.49,0.01,11.77,11.49
187,?,?,?,?,?,?,?,?,11.49,?
188,?,?,?,?,?,?,?,?,?,?
189,11711.98,44534.34,1167.58,45172.40,2948.16,177811.45,711.45,20.19,?,11.45
190,11610.73,44342.23,1165.35,44969.23,2924.69,225511.54,1111.54,25.54,11.45,11.54
191,11643.94,45068.55,1180.80,45727.71,2962.09,200811.47,611.47,22.91,11.54,11.47
192,11739.32,45712.72,1192.09,46390.36,2992.86,38911.56,1011.56,4.48,11.47,11.56
