%310
@RELATION PLTRNSP00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,13255.69,25.69,7.54,?,5.69
3,783.15,48222.72,48505.50,15.70,15.70,0.01,5.69,5.70
4,781.69,47888.16,48143.94,8025.42,45.42,4.44,5.70,5.42
5,?,?,?,?,?,?,5.42,?
6,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,1605.23,15.23,0.84,?,5.23
8,780.70,47379.63,47624.67,05.23,05.23,0.00,5.23,5.23
9,784.82,47407.28,47668.58,05.23,05.23,0.00,5.23,5.23
10,788.85,47546.91,47798.66,05.23,05.23,0.00,5.23,5.23
11,795.36,47440.80,47690.97,15.40,15.40,0.01,5.23,5.40
12,?,?,?,?,?,?,5.40,?
13,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,05.40,05.40,0.00,?,5.40
15,794.59,47086.54,47346.41,8025.51,35.51,4.33,5.40,5.51
16,796.34,47521.39,47794.60,105.51,15.51,0.06,5.51,5.51
17,803.56,47661.37,47936.81,05.51,05.51,0.00,5.51,5.51
18,807.72,47813.69,48104.67,05.51,05.51,0.00,5.51,5.51
19,?,?,?,?,?,?,5.51,?
20,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,05.51,05.51,0.00,?,5.51
22,808.23,47872.80,48127.89,05.51,05.51,0.00,5.51,5.51
23,808.40,47733.24,47999.21,05.51,05.51,0.00,5.51,5.51
24,811.80,47942.04,48203.43,05.51,05.51,0.00,5.51,5.51
25,812.99,47613.95,47851.99,4505.51,25.51,2.48,5.51,5.51
26,?,?,?,?,?,?,5.51,?
27,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,8875.51,15.51,4.89,?,5.51
29,815.93,47328.40,47565.10,05.51,05.51,0.00,5.51,5.51
30,815.59,46917.19,47113.08,2815.51,45.51,1.50,5.51,5.51
31,817.14,46840.15,47011.43,5855.45,45.45,3.10,5.51,5.45
32,818.68,46945.58,47121.08,45505.36,25.36,24.39,5.45,5.36
33,?,?,?,?,?,?,5.36,?
34,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,9205.36,15.36,4.93,?,5.36
36,816.68,46674.78,46862.43,05.36,05.36,0.00,5.36,5.36
37,813.75,46149.14,46341.54,2005.45,25.45,1.07,5.36,5.45
38,811.13,46329.66,46512.72,05.45,05.45,0.00,5.45,5.45
39,813.77,46741.54,46931.40,05.45,05.45,0.00,5.45,5.45
40,?,?,?,?,?,?,5.45,?
41,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,05.45,05.45,0.00,?,5.45
43,817.32,46399.26,46564.61,05.45,05.45,0.00,5.45,5.45
44,817.35,46406.74,46569.81,05.45,05.45,0.00,5.45,5.45
45,818.81,46211.54,46360.51,05.45,05.45,0.00,5.45,5.45
46,826.73,46370.13,46523.63,15.45,15.45,0.01,5.45,5.45
47,?,?,?,?,?,?,5.45,?
48,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,14505.30,15.30,7.69,?,5.30
50,832.30,46490.89,46652.19,31315.25,85.25,16.53,5.30,5.25
51,830.62,46051.76,46198.42,20865.15,45.15,10.75,5.25,5.15
52,823.32,45879.90,46050.52,05.15,05.15,0.00,5.15,5.15
53,826.66,45948.12,46124.82,05.15,05.15,0.00,5.15,5.15
54,?,?,?,?,?,?,5.15,?
55,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,05.15,05.15,0.00,?,5.15
57,828.81,45868.35,46065.85,05.15,05.15,0.00,5.15,5.15
58,836.69,46241.92,46459.99,05.15,05.15,0.00,5.15,5.15
59,844.08,46280.36,46510.83,05.15,05.15,0.00,5.15,5.15
60,842.02,46341.14,46622.90,05.15,05.15,0.00,5.15,5.15
61,?,?,?,?,?,?,5.15,?
62,?,?,?,?,?,?,?,?
63,838.26,46137.70,46454.13,17005.00,25.00,8.65,?,5.00
64,845.88,46676.09,47001.38,1565.15,35.15,0.78,5.00,5.15
65,849.88,46762.65,47090.49,05.15,05.15,0.00,5.15,5.15
66,855.99,46745.26,47060.66,05.15,05.15,0.00,5.15,5.15
67,861.67,47074.39,47436.21,9105.15,15.15,4.69,5.15,5.15
68,?,?,?,?,?,?,5.15,?
69,?,?,?,?,?,?,?,?
70,863.89,46933.03,47269.75,9375.15,35.15,4.69,?,5.15
71,866.79,47010.40,47340.43,6005.15,15.15,3.09,5.15,5.15
72,872.90,46888.37,47235.72,1005.16,15.16,0.52,5.15,5.16
73,871.52,47223.68,47606.16,05.16,05.16,0.00,5.16,5.16
74,873.21,47125.93,47522.10,16655.50,35.50,8.64,5.16,5.50
75,?,?,?,?,?,?,5.50,?
76,?,?,?,?,?,?,?,?
77,868.37,46668.41,47094.18,1005.60,15.60,0.56,?,5.60
78,864.73,46029.35,46473.62,505.42,15.42,0.27,5.60,5.42
79,862.97,46068.24,46511.62,20765.29,35.29,10.68,5.42,5.29
80,850.86,45580.47,46017.88,05.29,05.29,0.00,5.29,5.29
81,845.32,45066.18,45473.08,9744.97,54.97,4.78,5.29,4.97
82,?,?,?,?,?,?,4.97,?
83,?,?,?,?,?,?,?,?
84,839.36,44585.10,44946.32,3704.98,24.98,1.84,?,4.98
85,830.80,44724.88,45119.16,04.98,04.98,0.00,4.98,4.98
86,835.51,45247.90,45644.09,04.98,04.98,0.00,4.98,4.98
87,839.42,45147.57,45528.85,1004.98,14.98,0.50,4.98,4.98
88,?,?,?,?,?,?,4.98,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,840.31,45304.74,45679.51,2784.90,34.90,1.32,?,4.90
93,828.79,44604.61,44940.36,04.90,04.90,0.00,4.90,4.90
94,824.35,44623.89,44980.62,16254.66,14.66,7.57,4.90,4.66
95,819.73,44597.66,44960.02,04.66,04.66,0.00,4.66,4.66
96,?,?,?,?,?,?,4.66,?
97,?,?,?,?,?,?,?,?
98,818.75,44590.97,44963.96,04.66,04.66,0.00,?,4.66
99,815.74,44725.03,45096.35,16254.67,14.67,7.59,4.66,4.67
100,820.16,45091.63,45495.34,04.67,04.67,0.00,4.67,4.67
101,824.04,45688.48,46131.66,1004.80,14.80,0.48,4.67,4.80
102,819.29,45525.92,45960.10,04.80,04.80,0.00,4.80,4.80
103,?,?,?,?,?,?,4.80,?
104,?,?,?,?,?,?,?,?
105,814.07,44724.14,45167.65,14.80,14.80,0.00,?,4.80
106,?,?,?,?,?,?,4.80,?
107,796.68,43916.24,44404.81,284.80,24.80,0.13,?,4.80
108,787.39,43364.70,43850.06,04.80,04.80,0.00,4.80,4.80
109,783.37,43447.75,43993.98,04.80,04.80,0.00,4.80,4.80
110,?,?,?,?,?,?,4.80,?
111,?,?,?,?,?,?,?,?
112,776.37,43360.30,43892.82,04.80,04.80,0.00,?,4.80
113,769.16,43159.57,43707.88,104.80,14.80,0.05,4.80,4.80
114,769.82,43356.73,43908.95,04.80,04.80,0.00,4.80,4.80
115,774.88,43482.18,44027.03,04.80,04.80,0.00,4.80,4.80
116,777.86,43665.21,44226.06,04.80,04.80,0.00,4.80,4.80
117,?,?,?,?,?,?,4.80,?
118,?,?,?,?,?,?,?,?
119,779.98,43882.16,44420.22,04.80,04.80,0.00,?,4.80
120,784.81,44162.18,44653.34,04.80,04.80,0.00,4.80,4.80
121,?,?,?,?,?,?,4.80,?
122,787.45,43991.51,44466.89,04.80,04.80,0.00,?,4.80
123,?,?,?,?,?,?,4.80,?
124,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?
126,786.57,44541.73,45060.80,04.80,04.80,0.00,?,4.80
127,793.09,44742.22,45244.29,04.80,04.80,0.00,4.80,4.80
128,798.10,45117.94,45647.76,04.80,04.80,0.00,4.80,4.80
