%310
@RELATION BG1100114062
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,48107.89,832.17,02.30,02.30,0.00,?,2.30
3,48222.72,839.05,02.30,02.30,0.00,2.30,2.30
4,47888.16,845.71,02.30,02.30,0.00,2.30,2.30
5,?,?,?,?,?,2.30,?
6,?,?,?,?,?,?,?
7,47589.33,849.25,02.30,02.30,0.00,?,2.30
8,47379.63,854.96,02.30,02.30,0.00,2.30,2.30
9,47407.28,851.76,02.30,02.30,0.00,2.30,2.30
10,47546.91,851.10,02.30,02.30,0.00,2.30,2.30
11,47440.80,850.72,02.30,02.30,0.00,2.30,2.30
12,?,?,?,?,?,2.30,?
13,?,?,?,?,?,?,?
14,47470.12,856.11,02.30,02.30,0.00,?,2.30
15,47086.54,855.54,02.30,02.30,0.00,2.30,2.30
16,47521.39,849.49,02.30,02.30,0.00,2.30,2.30
17,47661.37,854.27,02.30,02.30,0.00,2.30,2.30
18,47813.69,845.61,02.30,02.30,0.00,2.30,2.30
19,?,?,?,?,?,2.30,?
20,?,?,?,?,?,?,?
21,47936.61,857.64,02.30,02.30,0.00,?,2.30
22,47872.80,858.70,02.30,02.30,0.00,2.30,2.30
23,47733.24,853.17,02.30,02.30,0.00,2.30,2.30
24,47942.04,865.46,02.30,02.30,0.00,2.30,2.30
25,47613.95,867.33,2552.31,12.31,0.59,2.30,2.31
26,?,?,?,?,?,2.31,?
27,?,?,?,?,?,?,?
28,47324.06,862.14,02.31,02.31,0.00,?,2.31
29,47328.40,861.04,02.31,02.31,0.00,2.31,2.31
30,46917.19,868.36,02.31,02.31,0.00,2.31,2.31
31,46840.15,873.28,02.31,02.31,0.00,2.31,2.31
32,46945.58,873.87,02.31,02.31,0.00,2.31,2.31
33,?,?,?,?,?,2.31,?
34,?,?,?,?,?,?,?
35,46556.55,865.72,02.31,02.31,0.00,?,2.31
36,46674.78,868.83,02.31,02.31,0.00,2.31,2.31
37,46149.14,868.89,02.31,02.31,0.00,2.31,2.31
38,46329.66,869.69,02.31,02.31,0.00,2.31,2.31
39,46741.54,870.75,02.31,02.31,0.00,2.31,2.31
40,?,?,?,?,?,2.31,?
41,?,?,?,?,?,?,?
42,46786.74,870.67,02.31,02.31,0.00,?,2.31
43,46399.26,874.02,02.31,02.31,0.00,2.31,2.31
44,46406.74,874.66,9002.15,12.15,1.94,2.31,2.15
45,46211.54,870.38,02.15,02.15,0.00,2.15,2.15
46,46370.13,873.83,02.15,02.15,0.00,2.15,2.15
47,?,?,?,?,?,2.15,?
48,?,?,?,?,?,?,?
49,46508.27,869.62,02.15,02.15,0.00,?,2.15
50,46490.89,861.33,02.15,02.15,0.00,2.15,2.15
51,46051.76,862.42,11002.15,12.15,2.37,2.15,2.15
52,45879.90,859.18,02.15,02.15,0.00,2.15,2.15
53,45948.12,860.24,02.15,02.15,0.00,2.15,2.15
54,?,?,?,?,?,2.15,?
55,?,?,?,?,?,?,?
56,46286.28,865.38,02.15,02.15,0.00,?,2.15
57,45868.35,859.83,02.15,02.15,0.00,2.15,2.15
58,46241.92,854.80,02.15,02.15,0.00,2.15,2.15
59,46280.36,848.17,02.15,02.15,0.00,2.15,2.15
60,46341.14,845.37,02.15,02.15,0.00,2.15,2.15
61,?,?,?,?,?,2.15,?
62,?,?,?,?,?,?,?
63,46137.70,840.47,02.15,02.15,0.00,?,2.15
64,46676.09,839.67,1502.15,12.15,0.32,2.15,2.15
65,46762.65,844.03,02.15,02.15,0.00,2.15,2.15
66,46745.26,848.35,02.15,02.15,0.00,2.15,2.15
