%310
@RELATION PLQRCUS00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,706532.71,402.71,187.03,?,2.71
3,48222.72,48505.50,2832.46,239862.80,312.80,67.07,2.71,2.80
4,47888.16,48143.94,2814.73,167592.80,242.80,46.20,2.80,2.80
5,?,?,?,?,?,?,2.80,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,51452.80,112.80,14.20,?,2.80
8,47379.63,47624.67,2790.64,48302.77,82.77,13.48,2.80,2.77
9,47407.28,47668.58,2784.62,49222.77,72.77,13.66,2.77,2.77
10,47546.91,47798.66,2800.96,75912.77,42.77,21.03,2.77,2.77
11,47440.80,47690.97,2815.88,173152.69,222.69,46.92,2.77,2.69
12,?,?,?,?,?,?,2.69,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,230222.77,82.77,62.30,?,2.77
15,47086.54,47346.41,2817.16,18102.77,32.77,4.91,2.77,2.77
16,47521.39,47794.60,2825.40,1102.77,22.77,0.30,2.77,2.77
17,47661.37,47936.81,2848.09,314682.87,202.87,88.15,2.77,2.87
18,47813.69,48104.67,2864.72,135302.80,182.80,38.52,2.87,2.80
19,?,?,?,?,?,?,2.80,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,75172.97,82.97,22.16,?,2.97
22,47872.80,48127.89,2892.80,168242.95,182.95,49.30,2.97,2.95
23,47733.24,47999.21,2890.57,295612.97,392.97,88.52,2.95,2.97
24,47942.04,48203.43,2898.85,182072.95,202.95,53.18,2.97,2.95
25,47613.95,47851.99,2897.93,409312.90,352.90,120.17,2.95,2.90
26,?,?,?,?,?,?,2.90,?
27,?,?,?,?,?,?,?,?
