%310
@RELATION PLARIEL00046
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,2710.26,48389.84,2835.52,1862680.20,310.20,36.10,?,0.20
3,783.15,48222.72,2698.71,48505.50,2832.46,8686680.19,1290.19,164.42,0.20,0.19
4,781.69,47888.16,2695.86,48143.94,2814.73,8670500.19,1100.19,156.37,0.19,0.19
5,?,?,?,?,?,?,?,?,0.19,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,2663.04,47820.24,2793.31,4777830.18,630.18,85.81,?,0.18
8,780.70,47379.63,2620.57,47624.67,2790.64,4114560.18,470.18,74.93,0.18,0.18
9,784.82,47407.28,2619.40,47668.58,2784.62,1202340.19,530.19,22.34,0.18,0.19
10,788.85,47546.91,2677.70,47798.66,2800.96,23452040.20,2210.20,473.16,0.19,0.20
11,795.36,47440.80,2696.86,47690.97,2815.88,7781210.19,900.19,148.17,0.20,0.19
12,?,?,?,?,?,?,?,?,0.19,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,2672.08,47724.95,2820.74,22339110.19,1970.19,388.89,?,0.19
15,794.59,47086.54,2690.48,47346.41,2817.16,3345520.18,650.18,60.39,0.19,0.18
16,796.34,47521.39,2744.45,47794.60,2825.40,887270.18,290.18,15.83,0.18,0.18
17,803.56,47661.37,2771.35,47936.81,2848.09,10174240.18,1020.18,192.59,0.18,0.18
18,807.72,47813.69,2772.18,48104.67,2864.72,1370670.19,150.19,24.87,0.18,0.19
19,?,?,?,?,?,?,?,?,0.19,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,2757.38,48184.37,2890.14,5628680.18,590.18,101.73,?,0.18
22,808.23,47872.80,2736.45,48127.89,2892.80,2405990.18,290.18,41.67,0.18,0.18
23,808.40,47733.24,2683.43,47999.21,2890.57,2589960.18,320.18,44.86,0.18,0.18
24,811.80,47942.04,2707.85,48203.43,2898.85,3273030.18,440.18,58.92,0.18,0.18
25,812.99,47613.95,2697.00,47851.99,2897.93,26128410.19,2720.19,512.42,0.18,0.19
