%310
@RELATION PLPEKAO00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?,?,?,?
2,2624.35,2626.21,1117.48,48107.89,3789.17,3791.86,6723.16,48389.84,217786169.50,1271169.50,37086.33,?,169.50
3,2629.86,2628.36,1118.84,48222.72,3797.12,3794.96,6702.54,48505.50,240112168.80,1804168.80,40584.89,169.50,168.80
4,2611.26,2601.73,1111.36,47888.16,3770.27,3756.50,6640.07,48143.94,653270167.90,2441167.90,110090.65,168.80,167.90
5,?,?,?,?,?,?,?,?,?,?,?,167.90,?
6,?,?,?,?,?,?,?,?,?,?,?,?,?
7,2594.16,2578.48,1109.28,47589.33,3745.58,3722.95,6569.07,47820.24,304722166.50,1592166.50,50609.08,?,166.50
8,2579.49,2562.63,1101.95,47379.63,3724.40,3700.06,6496.43,47624.67,359463164.10,1595164.10,59545.50,166.50,164.10
9,2582.76,2567.59,1105.51,47407.28,3729.12,3707.22,6538.98,47668.58,441562165.30,1246165.30,72302.99,164.10,165.30
10,2592.92,2573.62,1109.02,47546.91,3743.79,3715.93,6551.72,47798.66,1561951166.60,1623166.60,259629.81,165.30,166.60
11,2581.72,2557.93,1106.07,47440.80,3727.62,3693.27,6533.47,47690.97,493950165.50,649165.50,82051.76,166.60,165.50
12,?,?,?,?,?,?,?,?,?,?,?,165.50,?
13,?,?,?,?,?,?,?,?,?,?,?,?,?
14,2585.89,2560.14,1108.76,47470.12,3733.64,3696.46,6626.08,47724.95,1121150170.50,1849170.50,189319.75,?,170.50
15,2563.15,2532.42,1098.41,47086.54,3700.81,3656.43,6601.96,47346.41,1266178170.10,1672170.10,215190.36,170.50,170.10
16,2590.04,2565.15,1100.21,47521.39,3739.63,3703.70,6601.18,47794.60,989584168.10,1632168.10,166636.93,170.10,168.10
17,2595.18,2567.16,1100.21,47661.37,3747.05,3706.60,6661.60,47936.81,436245169.10,1252169.10,73731.03,168.10,169.10
18,2603.26,2572.14,1104.63,47813.69,3758.73,3713.78,6679.16,48104.67,333936170.00,982170.00,56646.56,169.10,170.00
19,?,?,?,?,?,?,?,?,?,?,?,170.00,?
20,?,?,?,?,?,?,?,?,?,?,?,?,?
21,2604.76,2573.67,1103.07,47936.61,3760.89,3716.00,6648.10,48184.37,373866168.50,542168.50,63120.61,?,168.50
22,2598.05,2566.60,1099.21,47872.80,3751.19,3705.79,6618.49,48127.89,795465168.00,769168.00,133679.04,168.50,168.00
23,2589.88,2558.39,1091.82,47733.24,3739.40,3693.93,6574.77,47999.21,1218259166.30,2398166.30,202252.23,168.00,166.30
24,2601.37,2568.63,1093.21,47942.04,3756.00,3708.72,6607.93,48203.43,696046167.50,1628167.50,116546.73,166.30,167.50
25,2578.18,2542.32,1084.16,47613.95,3722.51,3670.73,6602.68,47851.99,269579168.70,910168.70,45390.31,167.50,168.70
26,?,?,?,?,?,?,?,?,?,?,?,168.70,?
27,?,?,?,?,?,?,?,?,?,?,?,?,?
28,2558.56,2521.50,1079.13,47324.06,3694.19,3640.67,6592.42,47553.14,306671167.70,1220167.70,51438.69,?,167.70
29,2560.73,2524.36,1078.99,47328.40,3697.32,3644.80,6585.65,47565.10,399131166.50,1787166.50,66207.09,167.70,166.50
30,2532.09,2496.15,1071.11,46917.19,3655.96,3604.07,6398.24,47113.08,4388387155.80,7972155.80,690934.79,166.50,155.80
31,2522.74,2492.76,1070.81,46840.15,3642.47,3599.17,6346.89,47011.43,4791921152.20,7759152.20,738330.32,155.80,152.20
32,2529.59,2499.19,1073.47,46945.58,3652.36,3608.45,6358.58,47121.08,871922154.50,3223154.50,134694.53,152.20,154.50
33,?,?,?,?,?,?,?,?,?,?,?,154.50,?
34,?,?,?,?,?,?,?,?,?,?,?,?,?
35,2502.46,2469.73,1061.01,46556.55,3613.18,3565.92,6358.77,46735.25,1760815156.00,2683156.00,274830.56,?,156.00
36,2517.38,2485.25,1066.05,46674.78,3634.73,3588.33,6410.02,46862.43,732560159.00,2168159.00,115499.35,156.00,159.00
37,2486.34,2455.47,1054.01,46149.14,3589.91,3545.34,6389.46,46341.54,1364290159.50,1903159.50,216919.90,159.00,159.50
38,2495.53,2467.45,1057.65,46329.66,3603.17,3562.63,6445.36,46512.72,1516419159.50,1577159.50,241505.33,159.50,159.50
39,2520.06,2495.42,1068.97,46741.54,3638.59,3603.02,6483.61,46931.40,683499159.20,1592159.20,108854.87,159.50,159.20
40,?,?,?,?,?,?,?,?,?,?,?,159.20,?
41,?,?,?,?,?,?,?,?,?,?,?,?,?
42,2524.86,2497.88,1067.80,46786.74,3645.53,3606.56,6472.05,46988.04,588581159.00,1458159.00,93611.05,?,159.00
43,2492.15,2470.48,1038.81,46399.26,3598.29,3567.01,6478.54,46564.61,1076166159.10,1450159.10,171215.00,159.00,159.10
44,2492.46,2471.21,1034.74,46406.74,3598.75,3568.06,6475.92,46569.81,425106159.00,807159.00,67597.90,159.10,159.00
45,2475.92,2456.36,1024.61,46211.54,3574.86,3546.62,6469.15,46360.51,755941158.70,1238158.70,119973.89,159.00,158.70
46,2488.01,2467.63,1029.14,46370.13,3592.31,3562.89,6474.72,46523.63,490942159.90,809159.90,78119.58,158.70,159.90
47,?,?,?,?,?,?,?,?,?,?,?,159.90,?
48,?,?,?,?,?,?,?,?,?,?,?,?,?
49,2496.81,2476.01,1033.03,46508.27,3605.03,3574.99,6457.41,46665.39,207326159.10,821159.10,33190.24,?,159.10
50,2498.71,2477.19,1028.99,46490.89,3607.77,3576.69,6405.28,46652.19,266177158.80,995158.80,42355.56,159.10,158.80
51,2469.66,2443.16,1013.84,46051.76,3565.83,3527.55,6384.21,46198.42,235781158.60,785158.60,37464.33,158.80,158.60
52,2465.43,2436.47,1009.79,45879.90,3559.72,3517.90,6382.67,46050.52,965814159.80,1429159.80,153554.81,158.60,159.80
53,2468.34,2437.24,1008.41,45948.12,3563.91,3519.01,6396.09,46124.82,330961159.50,583159.50,52765.44,159.80,159.50
54,?,?,?,?,?,?,?,?,?,?,?,159.50,?
55,?,?,?,?,?,?,?,?,?,?,?,?,?
56,2485.01,2454.92,1013.72,46286.28,3587.99,3544.53,6493.12,46487.05,514149163.00,1583163.00,83048.51,?,163.00
57,2458.58,2428.57,1007.53,45868.35,3549.82,3506.49,6434.68,46065.85,454747161.00,1183161.00,73061.55,163.00,161.00
58,2481.27,2450.36,1014.91,46241.92,3582.59,3537.96,6459.16,46459.99,418707161.00,1284161.00,67236.39,161.00,161.00
59,2483.07,2452.01,1015.09,46280.36,3585.19,3540.33,6505.71,46510.83,1206623160.40,2630160.40,193586.61,161.00,160.40
60,2494.13,2452.86,1019.44,46341.14,3601.15,3541.56,6476.44,46622.90,541717159.00,1309159.00,86202.84,160.40,159.00
61,?,?,?,?,?,?,?,?,?,?,?,159.00,?
62,?,?,?,?,?,?,?,?,?,?,?,?,?
