%310
@RELATION PLPEKAO00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
63,2483.53,2438.97,1017.25,46137.70,3585.84,3521.50,6420.90,46454.13,177526159.70,717159.70,28271.05,?,159.70
64,2515.78,2477.68,1023.77,46676.09,3632.41,3577.40,6499.44,47001.38,350128162.60,976162.60,56513.85,159.70,162.60
65,2519.46,2481.36,1022.74,46762.65,3637.73,3582.71,6455.48,47090.49,526044160.00,1506160.00,84355.97,162.60,160.00
66,2516.92,2474.70,1022.01,46745.26,3634.06,3573.10,6440.05,47060.66,314413159.10,564159.10,50032.47,160.00,159.10
67,2538.66,2490.70,1029.77,47074.39,3665.45,3596.20,6473.22,47436.21,576199160.70,1700160.70,92948.40,159.10,160.70
68,?,?,?,?,?,?,?,?,?,?,?,160.70,?
69,?,?,?,?,?,?,?,?,?,?,?,?,?
70,2525.69,2479.20,1029.96,46933.03,3646.72,3579.59,6512.77,47269.75,315294160.10,937160.10,50360.77,?,160.10
71,2532.30,2482.39,1027.64,47010.40,3656.26,3584.20,6475.83,47340.43,215163159.00,950159.00,34352.03,160.10,159.00
72,2525.33,2473.95,1026.57,46888.37,3646.20,3572.01,6499.45,47235.72,414084159.30,976159.30,65962.99,159.00,159.30
73,2548.95,2498.84,1033.40,47223.68,3680.31,3607.96,6548.90,47606.16,744533161.00,1654161.00,119370.35,159.30,161.00
74,2543.87,2486.30,1030.99,47125.93,3672.97,3589.85,6556.17,47522.10,1660521164.20,3755164.20,271894.35,161.00,164.20
75,?,?,?,?,?,?,?,?,?,?,?,164.20,?
76,?,?,?,?,?,?,?,?,?,?,?,?,?
77,2516.69,2453.90,1019.65,46668.41,3633.72,3543.06,6482.67,47094.18,499533160.10,1409160.10,80193.61,?,160.10
78,2480.67,2421.94,1004.18,46029.35,3581.72,3496.92,6391.14,46473.62,296551158.00,1073158.00,47255.98,160.10,158.00
79,2479.47,2422.61,1001.19,46068.24,3579.99,3497.89,6385.97,46511.62,1258366156.20,2194156.20,198409.05,158.00,156.20
80,2453.97,2395.82,992.85,45580.47,3543.16,3459.21,6357.84,46017.88,666826157.00,1296157.00,104353.85,156.20,157.00
81,2426.14,2370.02,982.63,45066.18,3502.98,3421.95,6265.59,45473.08,917081154.00,2095154.00,141273.47,157.00,154.00
82,?,?,?,?,?,?,?,?,?,?,?,154.00,?
83,?,?,?,?,?,?,?,?,?,?,?,?,?
84,2395.40,2339.48,971.44,44585.10,3458.60,3377.86,6278.67,44946.32,380260155.50,1284155.50,58979.91,?,155.50
85,2406.05,2353.41,974.15,44724.88,3473.97,3397.98,6332.39,45119.16,546099157.50,1429157.50,85149.95,155.50,157.50
86,2440.82,2385.27,981.90,45247.90,3524.18,3443.98,6374.95,45644.09,247622157.10,952157.10,38979.49,157.50,157.10
87,2430.73,2370.07,986.42,45147.57,3509.61,3422.02,6369.16,45528.85,283942157.00,824157.00,44583.49,157.10,157.00
88,?,?,?,?,?,?,?,?,?,?,?,157.00,?
89,?,?,?,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?,?,?,?
92,2440.15,2375.67,988.58,45304.74,3523.22,3430.12,6413.91,45679.51,409432158.20,1163158.20,64994.12,?,158.20
93,2398.83,2336.45,974.84,44604.61,3463.55,3373.48,6325.20,44940.36,423290155.00,1533155.00,66413.55,158.20,155.00
94,2402.20,2342.64,976.20,44623.89,3468.42,3382.42,6306.27,44980.62,562878154.50,1926154.50,87496.41,155.00,154.50
95,2400.73,2346.37,975.85,44597.66,3466.30,3387.81,6304.00,44960.02,346949152.00,1771152.00,53186.07,154.50,152.00
96,?,?,?,?,?,?,?,?,?,?,?,152.00,?
97,?,?,?,?,?,?,?,?,?,?,?,?,?
98,2401.04,2344.72,975.73,44590.97,3466.74,3385.42,6316.72,44963.96,388626154.40,1072154.40,59911.73,?,154.40
99,2403.05,2347.10,975.68,44725.03,3477.52,3396.49,6358.08,45096.35,298359157.10,804157.10,46432.36,154.40,157.10
100,2423.82,2370.51,979.74,45091.63,3507.58,3430.37,6391.36,45495.34,395575160.10,1634160.10,63195.49,157.10,160.10
101,2462.75,2409.02,994.45,45688.48,3563.91,3486.10,6458.09,46131.66,184739161.50,728161.50,29709.11,160.10,161.50
102,2456.16,2397.08,991.42,45525.92,3554.37,3468.81,6390.03,45960.10,282219158.70,981158.70,44714.97,161.50,158.70
103,?,?,?,?,?,?,?,?,?,?,?,158.70,?
104,?,?,?,?,?,?,?,?,?,?,?,?,?
105,2411.63,2350.08,976.98,44724.14,3489.94,3400.81,6299.92,45167.65,166452155.90,1019155.90,26138.70,?,155.90
106,?,?,?,?,?,?,?,?,?,?,?,155.90,?
107,2372.48,2304.59,961.16,43916.24,3433.28,3334.98,6240.52,44404.81,385338153.00,2082153.00,59607.64,?,153.00
108,2338.69,2269.22,947.88,43364.70,3387.52,3283.79,6160.57,43850.06,480712153.00,1520153.00,73977.93,153.00,153.00
109,2342.83,2277.71,953.25,43447.75,3393.51,3296.08,6239.69,43993.98,459725154.90,2148154.90,70910.35,153.00,154.90
110,?,?,?,?,?,?,?,?,?,?,?,154.90,?
111,?,?,?,?,?,?,?,?,?,?,?,?,?
112,2337.88,2278.07,957.00,43360.30,3386.35,3296.60,6186.32,43892.82,387141153.40,1276153.40,59611.71,?,153.40
113,2331.94,2273.47,956.98,43159.57,3377.74,3289.95,6215.82,43707.88,591796155.80,1822155.80,91446.73,153.40,155.80
114,2345.85,2286.71,956.07,43356.73,3397.89,3309.10,6191.81,43908.95,807864155.00,1619155.00,124946.79,155.80,155.00
115,2349.59,2288.09,957.91,43482.18,3403.31,3311.10,6127.49,44027.03,395990151.20,1744151.20,60721.71,155.00,151.20
116,2359.18,2294.06,957.94,43665.21,3417.20,3319.74,6160.04,44226.06,304142153.00,1221153.00,46473.69,151.20,153.00
117,?,?,?,?,?,?,?,?,?,?,?,153.00,?
118,?,?,?,?,?,?,?,?,?,?,?,?,?
119,2372.13,2303.18,960.13,43882.16,3435.94,3332.94,6178.53,44420.22,141867152.00,817152.00,21577.95,?,152.00
120,2388.07,2319.15,967.66,44162.18,3459.03,3356.04,6169.02,44653.34,802595151.50,1490151.50,121384.23,152.00,151.50
121,?,?,?,?,?,?,?,?,?,?,?,151.50,?
122,2374.97,2305.90,969.80,43991.51,3440.07,3336.87,6108.94,44466.89,530515148.30,1655148.30,79449.48,?,148.30
123,?,?,?,?,?,?,?,?,?,?,?,148.30,?
124,?,?,?,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?,?,?,?
126,2407.08,2339.22,985.04,44541.73,3486.58,3385.09,6204.24,45060.80,348152149.90,688149.90,52195.46,?,149.90
127,2417.54,2347.82,983.62,44742.22,3501.73,3397.54,6255.13,45244.29,1447176150.55,2288150.55,218282.29,149.90,150.55
128,2439.21,2367.91,989.70,45117.94,3533.12,3426.60,6326.01,45647.76,463280154.90,1902154.90,71011.52,150.55,154.90
129,2431.22,2348.95,982.95,44943.16,3521.54,3399.18,6241.19,45475.08,549750150.65,2058150.65,84020.14,154.90,150.65
130,2426.35,2338.16,983.43,44895.35,3514.48,3383.56,6253.13,45408.06,324679150.70,1293150.70,49033.06,150.65,150.70
131,?,?,?,?,?,?,?,?,?,?,?,150.70,?
132,?,?,?,?,?,?,?,?,?,?,?,?,?
133,2443.14,2354.34,990.06,45207.84,3541.49,3409.58,6334.47,45746.01,903169154.00,1370154.00,138186.78,?,154.00
134,2479.96,2386.81,1004.51,45771.11,3594.88,3456.59,6477.31,46336.62,499905157.90,1962157.90,78208.10,154.00,157.90
135,2500.68,2408.86,1009.60,46102.42,3624.90,3488.53,6560.58,46676.61,782973160.00,3283160.00,125239.40,157.90,160.00
136,2488.92,2390.32,1005.91,45992.03,3611.62,3465.30,6559.17,46581.16,337475161.15,1036161.15,54276.92,160.00,161.15
137,2493.28,2391.07,1003.88,46078.68,3617.94,3466.38,6534.07,46646.58,335570160.55,2137160.55,54106.26,161.15,160.55
138,?,?,?,?,?,?,?,?,?,?,?,160.55,?
139,?,?,?,?,?,?,?,?,?,?,?,?,?
140,2488.97,2376.78,999.39,46041.35,3611.69,3445.67,6512.75,46615.31,273476160.25,1900160.25,44261.58,?,160.25
141,2472.29,2370.32,996.01,45851.80,3587.49,3436.30,6473.23,46439.10,549949159.00,1498159.00,87986.75,160.25,159.00
142,2474.43,2371.95,995.72,45933.66,3590.59,3438.66,6468.52,46529.96,206412158.65,1171158.65,32691.95,159.00,158.65
143,2459.61,2359.42,990.26,45687.76,3569.08,3420.51,6494.42,46311.26,290225160.60,1332160.60,46213.85,158.65,160.60
144,2486.10,2384.58,999.44,46145.44,3607.51,3456.98,6521.57,46783.61,300932162.00,1367162.00,48555.71,160.60,162.00
145,?,?,?,?,?,?,?,?,?,?,?,162.00,?
146,?,?,?,?,?,?,?,?,?,?,?,?,?
147,2556.62,2451.06,1021.35,47277.10,3709.85,3553.36,6663.79,47957.54,296876165.40,1429165.40,48558.10,?,165.40
148,2573.63,2469.37,1028.33,47579.87,3734.53,3579.90,6709.39,48258.02,686162166.50,1514166.50,114340.63,165.40,166.50
149,2563.21,2463.37,1032.73,47476.64,3723.76,3575.43,6671.76,48138.07,354136165.50,1241165.50,58430.18,166.50,165.50
150,?,?,?,?,?,?,?,?,?,?,?,165.50,?
151,2583.50,2485.50,1043.83,47806.34,3753.24,3607.54,6724.27,48503.87,594373166.25,1415166.25,98309.05,?,166.25
152,?,?,?,?,?,?,?,?,?,?,?,166.25,?
153,?,?,?,?,?,?,?,?,?,?,?,?,?
154,2546.43,2443.65,1025.46,47175.79,3699.39,3546.80,6621.92,47868.36,319104164.00,1687164.00,52361.11,?,164.00
155,2569.08,2462.92,1028.91,47620.68,3732.30,3574.77,6737.34,48323.88,313784167.00,1090167.00,51999.87,164.00,167.00
156,2578.21,2461.51,1031.84,47805.94,3745.56,3572.72,6699.74,48513.29,470927165.10,1626165.10,78638.43,167.00,165.10
157,2559.39,2446.29,1025.43,47573.66,3718.21,3550.63,6716.85,48259.19,363438165.70,1656165.70,60244.83,165.10,165.70
158,2595.30,2488.84,1036.26,48209.65,3771.86,3613.82,6847.02,48918.37,585148167.50,1814167.50,98580.41,165.70,167.50
159,?,?,?,?,?,?,?,?,?,?,?,167.50,?
160,?,?,?,?,?,?,?,?,?,?,?,?,?
161,2608.91,2503.41,1043.13,48495.01,3791.64,3634.98,6987.45,49207.65,526327171.50,1519171.50,90013.94,?,171.50
162,2595.04,2484.11,1038.53,48324.52,3771.49,3606.96,6939.96,49050.96,448898169.00,1367169.00,76220.22,171.50,169.00
163,2591.90,2481.60,1039.02,48383.93,3766.92,3603.31,6925.73,49098.70,414773169.00,1776169.00,70351.87,169.00,169.00
164,2573.85,2472.75,1039.63,48152.82,3740.69,3590.46,6920.17,48890.47,640228166.20,2246166.20,106901.97,169.00,166.20
165,2583.39,2478.43,1041.54,48273.42,3754.56,3598.71,6940.89,49057.66,408024168.80,1229168.80,68937.25,166.20,168.80
166,?,?,?,?,?,?,?,?,?,?,?,168.80,?
167,?,?,?,?,?,?,?,?,?,?,?,?,?
168,2575.47,2463.37,1038.28,48131.61,3743.05,3576.84,6872.58,48917.56,743112167.20,2610167.20,124668.28,?,167.20
169,2571.29,2455.15,1038.59,48119.72,3736.96,3564.90,6892.10,48891.04,894848167.85,1717167.85,150211.25,167.20,167.85
170,2537.36,2413.40,1034.52,47743.10,3707.74,3526.33,6858.80,48509.84,413812155.95,2068155.95,65183.03,167.85,155.95
171,2429.92,2297.91,998.13,45870.00,3550.74,3357.59,6611.14,46587.68,729426153.40,4535153.40,111455.14,155.95,153.40
172,2359.89,2233.64,976.71,44732.92,3448.40,3263.68,6480.92,45456.77,1503432147.80,6864147.80,223768.52,153.40,147.80
173,?,?,?,?,?,?,?,?,?,?,?,147.80,?
174,?,?,?,?,?,?,?,?,?,?,?,?,?
175,2366.01,2244.27,975.16,44824.62,3457.35,3279.21,6510.55,45531.46,356284146.50,2414146.50,52538.75,?,146.50
176,2363.41,2246.69,979.40,44966.09,3460.00,3289.02,6544.68,45672.10,665244146.60,2974146.60,98586.44,146.50,146.60
177,2357.52,2246.66,972.28,44893.99,3451.37,3288.98,6578.62,45601.51,746007148.50,3118148.50,108450.54,146.60,148.50
178,2286.99,2177.02,940.51,43667.37,3348.11,3187.03,6412.05,44326.49,558140144.00,2990144.00,80542.93,148.50,144.00
179,2357.01,2245.64,962.64,44747.79,3450.62,3287.49,6598.44,45442.51,670080150.00,2487150.00,99247.68,144.00,150.00
180,?,?,?,?,?,?,?,?,?,?,?,150.00,?
181,?,?,?,?,?,?,?,?,?,?,?,?,?
182,2357.66,2237.25,960.62,44769.00,3451.57,3275.21,6479.86,45461.06,331597146.15,1888146.15,48884.85,?,146.15
183,2407.09,2284.76,976.14,45533.94,3523.94,3344.76,6571.59,46254.71,513359150.00,1602150.00,76558.24,146.15,150.00
184,2384.58,2262.92,975.88,45184.98,3494.73,3316.41,6442.00,45899.36,449019146.00,1943146.00,65845.13,150.00,146.00
185,2405.42,2287.54,982.38,45613.75,3525.27,3352.49,6504.87,46344.42,546881145.70,2308145.70,79312.01,146.00,145.70
186,2372.96,2253.49,971.06,45110.89,3477.69,3302.60,6438.37,45805.34,488166143.30,1781143.30,70577.86,145.70,143.30
187,?,?,?,?,?,?,?,?,?,?,?,143.30,?
188,?,?,?,?,?,?,?,?,?,?,?,?,?
189,2336.57,2223.28,960.34,44534.34,3424.36,3258.31,6390.13,45172.40,443922142.00,2102142.00,63260.39,?,142.00
190,2330.27,2218.77,955.08,44342.23,3415.12,3251.71,6385.54,44969.23,499265141.85,2315141.85,70165.04,142.00,141.85
191,2360.11,2244.63,971.81,45068.55,3482.45,3316.05,6527.93,45727.71,563914144.25,1753144.25,81119.80,141.85,144.25
192,2394.81,2279.09,986.53,45712.72,3533.66,3366.95,6602.82,46390.36,659372148.95,1366148.95,97215.09,144.25,148.95
193,2418.20,2302.81,996.18,46150.78,3568.17,3402.00,6709.26,46839.89,672814152.00,2265152.00,101001.88,148.95,152.00
194,?,?,?,?,?,?,?,?,?,?,?,152.00,?
195,?,?,?,?,?,?,?,?,?,?,?,?,?
196,2421.43,2305.78,997.90,46218.05,3572.94,3406.39,6759.32,46922.43,411030154.40,2055154.40,63019.47,?,154.40
197,2418.21,2303.05,997.68,46155.10,3568.19,3402.35,6792.22,46860.35,596828155.60,1989155.60,92530.50,154.40,155.60
198,2424.23,2309.79,1002.01,46287.08,3581.34,3416.47,6850.07,47003.76,601390156.00,2653156.00,94281.15,155.60,156.00
199,2418.23,2300.33,999.65,46221.23,3572.47,3402.47,6842.98,46919.83,359198155.00,950155.00,55727.82,156.00,155.00
200,2427.55,2313.31,1004.40,46399.74,3587.20,3421.67,6906.83,47120.88,201835159.00,959159.00,31768.51,155.00,159.00
201,?,?,?,?,?,?,?,?,?,?,?,159.00,?
202,?,?,?,?,?,?,?,?,?,?,?,?,?
203,2420.11,2311.49,1008.29,46361.70,3576.21,3418.98,6918.23,47075.43,221142159.70,994159.70,35303.59,?,159.70
204,2440.78,2327.28,1013.36,46714.43,3606.75,3442.34,6950.90,47454.90,395450161.00,1786161.00,63839.18,159.70,161.00
205,2441.59,2324.17,1013.85,46835.98,3617.32,3446.85,6919.33,47575.74,834036162.20,1929162.20,135589.71,161.00,162.20
206,2430.68,2317.80,1009.47,46713.02,3601.16,3437.40,6951.65,47446.69,218629160.10,820160.10,34940.02,162.20,160.10
207,2400.81,2291.10,999.82,46258.91,3556.91,3397.80,6928.85,46981.22,408359161.00,1084161.00,65759.71,160.10,161.00
208,?,?,?,?,?,?,?,?,?,?,?,161.00,?
209,?,?,?,?,?,?,?,?,?,?,?,?,?
210,2411.93,2299.26,1005.01,46480.62,3575.31,3411.77,6931.34,47214.30,302093160.50,1054160.50,48466.55,?,160.50
211,2421.34,2307.79,1006.09,46663.41,3589.26,3424.43,7018.79,47398.08,374444163.00,1528163.00,60642.84,160.50,163.00
212,2434.27,2326.59,1008.66,46925.65,3608.43,3452.34,7133.06,47676.43,1140601164.00,3488164.00,189024.16,163.00,164.00
213,2458.52,2351.14,1020.15,47370.81,3644.36,3488.76,7252.17,48147.76,1078085165.10,1776165.10,178803.89,164.00,165.10
214,2514.09,2401.85,1042.34,48325.33,3726.75,3564.00,7371.22,49133.14,1249120164.90,2299164.90,207451.12,165.10,164.90
215,?,?,?,?,?,?,?,?,?,?,?,164.90,?
216,?,?,?,?,?,?,?,?,?,?,?,?,?
217,2522.03,2405.73,1046.18,48458.44,3738.51,3569.77,7400.00,49272.86,440631167.50,1571167.50,73379.45,?,167.50
218,2491.58,2366.74,1029.49,47942.81,3693.37,3511.91,7220.25,48742.34,2088633163.00,4129163.00,340966.29,167.50,163.00
219,2511.06,2380.01,1032.76,48306.55,3722.25,3531.59,7328.58,49124.78,907344166.25,2681166.25,150048.31,163.00,166.25
220,2541.46,2406.40,1043.81,48862.88,3767.32,3570.76,7439.07,49700.18,660191168.75,1987168.75,111517.80,166.25,168.75
221,2549.05,2414.28,1049.50,49125.36,3778.56,3582.45,7504.16,49994.77,918185172.00,3576172.00,156538.62,168.75,172.00
222,?,?,?,?,?,?,?,?,?,?,?,172.00,?
223,?,?,?,?,?,?,?,?,?,?,?,?,?
224,2574.11,2440.05,1065.87,49580.16,3815.71,3620.69,7582.28,50476.37,786817177.00,3127177.00,137725.98,?,177.00
225,2582.83,2442.30,1067.80,49747.66,3828.64,3624.03,7619.99,50646.05,688808177.00,2684177.00,121688.07,177.00,177.00
226,2609.42,2461.22,1077.48,50223.95,3868.05,3652.11,7754.29,51152.95,617569180.40,3474180.40,111021.41,177.00,180.40
227,?,?,?,?,?,?,?,?,?,?,?,180.40,?
228,2594.32,2445.60,1070.04,49976.48,3845.67,3628.93,7689.61,50906.11,477131177.90,1057177.90,85338.93,?,177.90
229,?,?,?,?,?,?,?,?,?,?,?,177.90,?
230,?,?,?,?,?,?,?,?,?,?,?,?,?
231,2583.71,2438.83,1068.34,49772.46,3829.94,3618.88,7653.77,50713.14,585785175.40,2805175.40,103000.64,?,175.40
232,2548.00,2405.32,1058.51,49162.16,3777.01,3569.15,7537.72,50077.30,739065172.35,3857172.35,127885.75,175.40,172.35
233,2526.73,2383.15,1059.12,49128.05,3769.54,3568.90,7482.74,50032.45,448540170.90,3046170.90,77220.28,172.35,170.90
234,2566.11,2420.68,1076.61,49846.48,3828.29,3625.10,7584.87,50780.47,471989172.70,2238172.70,81494.73,170.90,172.70
235,2565.81,2417.23,1075.72,49895.10,3827.84,3619.92,7636.58,50836.47,611058173.90,2784173.90,105624.54,172.70,173.90
236,?,?,?,?,?,?,?,?,?,?,?,173.90,?
237,?,?,?,?,?,?,?,?,?,?,?,?,?
238,2561.87,2417.91,1073.76,49818.48,3821.96,3620.95,7601.34,50756.86,191550175.75,1002175.75,33549.43,?,175.75
239,2506.92,2367.63,1056.82,48833.58,3739.99,3545.65,7451.60,49731.02,699825172.50,2117172.50,121839.41,175.75,172.50
240,2491.80,2361.85,1057.65,48537.65,3717.43,3537.00,7397.78,49421.50,509165172.50,2681172.50,87867.84,172.50,172.50
241,2496.28,2367.84,1059.09,48676.45,3724.11,3545.97,7348.60,49569.11,514582171.40,2257171.40,88474.33,172.50,171.40
242,2515.12,2384.22,1066.99,48871.98,3752.23,3570.50,7394.25,49771.98,637010174.00,2138174.00,109802.37,171.40,174.00
243,?,?,?,?,?,?,?,?,?,?,?,174.00,?
244,?,?,?,?,?,?,?,?,?,?,?,?,?
245,2529.85,2394.90,1072.50,49187.22,3774.19,3586.48,7424.64,50099.55,291514173.20,2136173.20,50885.35,?,173.20
