%310
@RELATION PLGANT000014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1438.45,48389.84,2835.52,2011173.88,2133.88,776.44,?,3.88
3,10554.18,48222.72,1422.15,48505.50,2832.46,2680693.75,2783.75,1023.56,3.88,3.75
4,10519.33,47888.16,1424.57,48143.94,2814.73,753743.90,1733.90,290.46,3.75,3.90
5,?,?,?,?,?,?,?,?,3.90,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1408.87,47820.24,2793.31,902453.74,1833.74,341.33,?,3.74
8,10500.71,47379.63,1416.22,47624.67,2790.64,1169183.76,1223.76,444.64,3.74,3.76
9,10503.06,47407.28,1418.24,47668.58,2784.62,208813.76,563.76,78.68,3.76,3.76
10,10496.80,47546.91,1427.00,47798.66,2800.96,753833.82,1433.82,289.76,3.76,3.82
11,10595.04,47440.80,1431.50,47690.97,2815.88,6188104.08,6894.08,2504.24,3.82,4.08
12,?,?,?,?,?,?,?,?,4.08,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1429.59,47724.95,2820.74,3611924.17,4444.17,1501.99,?,4.17
15,10638.06,47086.54,1424.03,47346.41,2817.16,2524134.08,1854.08,1037.57,4.17,4.08
16,10673.05,47521.39,1459.06,47794.60,2825.40,3216034.34,4184.34,1347.70,4.08,4.34
17,10767.29,47661.37,1480.62,47936.81,2848.09,4043884.36,5654.36,1795.19,4.34,4.36
18,10903.93,47813.69,1463.04,48104.67,2864.72,3028864.15,4204.15,1284.38,4.36,4.15
19,?,?,?,?,?,?,?,?,4.15,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1473.28,48184.37,2890.14,1875904.08,2484.08,770.05,?,4.08
22,11073.63,47872.80,1474.10,48127.89,2892.80,3588343.86,4613.86,1418.34,4.08,3.86
23,11071.80,47733.24,1466.26,47999.21,2890.57,1628513.90,2763.90,629.48,3.86,3.90
24,11108.21,47942.04,1462.14,48203.43,2898.85,1310213.86,1883.86,503.90,3.90,3.86
25,11174.05,47613.95,1453.75,47851.99,2897.93,2471963.92,3623.92,982.13,3.86,3.92
26,?,?,?,?,?,?,?,?,3.92,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1428.40,47553.14,2886.17,1307604.01,2004.01,523.02,?,4.01
29,11165.66,47328.40,1414.71,47565.10,2878.58,836843.94,1443.94,334.97,4.01,3.94
30,11183.61,46917.19,1409.63,47113.08,2876.68,692303.94,1373.94,273.66,3.94,3.94
31,11245.80,46840.15,1412.77,47011.43,2880.57,509423.92,923.92,198.65,3.94,3.92
32,11241.00,46945.58,1424.75,47121.08,2883.81,235703.90,693.90,91.94,3.92,3.90
33,?,?,?,?,?,?,?,?,3.90,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1376.74,46735.25,2856.17,1133183.86,1853.86,441.68,?,3.86
36,11060.84,46674.78,1376.05,46862.43,2843.49,1268663.73,2063.73,480.85,3.86,3.73
37,10953.57,46149.14,1368.56,46341.54,2811.05,3672873.56,5673.56,1311.82,3.73,3.56
38,10950.03,46329.66,1379.50,46512.72,2815.91,1258393.45,2063.45,441.98,3.56,3.45
39,10986.53,46741.54,1389.85,46931.40,2825.70,1654693.50,2613.50,583.13,3.45,3.50
40,?,?,?,?,?,?,?,?,3.50,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,1393.28,46988.04,2826.84,1548493.58,1963.58,557.31,?,3.58
43,10981.98,46399.26,1383.89,46564.61,2821.25,2166623.53,1763.53,766.60,3.58,3.53
44,11022.58,46406.74,1354.82,46569.81,2825.02,1575823.26,3073.26,532.96,3.53,3.26
45,11017.48,46211.54,1313.43,46360.51,2825.15,1286383.19,2503.19,410.76,3.26,3.19
46,11071.18,46370.13,1349.87,46523.63,2838.22,674253.23,1283.23,214.46,3.19,3.23
47,?,?,?,?,?,?,?,?,3.23,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,1365.73,46665.39,2848.48,1472993.54,2003.54,500.49,?,3.54
50,11119.72,46490.89,1352.40,46652.19,2843.90,1944613.54,2663.54,701.02,3.54,3.54
51,11014.53,46051.76,1342.16,46198.42,2831.71,1845303.57,2313.57,669.12,3.54,3.57
52,10948.88,45879.90,1322.82,46050.52,2801.83,1605483.43,2463.43,546.13,3.57,3.43
53,10985.79,45948.12,1345.82,46124.82,2817.57,2038763.37,2713.37,706.18,3.43,3.37
54,?,?,?,?,?,?,?,?,3.37,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,1357.55,46487.05,2840.57,2508223.19,4173.19,809.67,?,3.19
57,10972.28,45868.35,1359.10,46065.85,2831.16,3145243.05,4483.05,964.18,3.19,3.05
58,11039.20,46241.92,1359.06,46459.99,2855.69,2940542.99,4022.99,873.64,3.05,2.99
59,11052.03,46280.36,1354.30,46510.83,2865.27,11793362.60,12842.60,3254.85,2.99,2.60
60,11010.83,46341.14,1347.19,46622.90,2859.05,7000772.80,8042.80,1908.38,2.60,2.80
61,?,?,?,?,?,?,?,?,2.80,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,1363.77,46454.13,2860.68,23855192.18,18432.18,5689.12,?,2.18
64,10997.33,46676.09,1397.73,47001.38,2868.06,11934822.28,10942.28,2721.95,2.18,2.28
65,11042.47,46762.65,1387.52,47090.49,2872.90,5362682.22,5652.22,1208.99,2.28,2.22
66,11042.08,46745.26,1372.44,47060.66,2873.49,3814672.31,4522.31,865.67,2.22,2.31
67,11119.06,47074.39,1370.33,47436.21,2906.74,4316562.30,4212.30,1010.65,2.31,2.30
68,?,?,?,?,?,?,?,?,2.30,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,1396.97,47269.75,2914.24,2496172.30,2772.30,578.11,?,2.30
71,11150.86,47010.40,1423.31,47340.43,2911.38,8263982.11,7622.11,1804.19,2.30,2.11
72,11194.08,46888.37,1423.72,47235.72,2901.67,11887311.99,9611.99,2376.61,2.11,1.99
73,11231.22,47223.68,1436.51,47606.16,2912.13,21589561.77,15881.77,3904.92,1.99,1.77
74,11228.39,47125.93,1431.31,47522.10,2909.77,37474491.96,29321.96,6637.71,1.77,1.96
75,?,?,?,?,?,?,?,?,1.96,?
76,?,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,1419.01,47094.18,2900.59,17154941.96,13061.96,3364.54,?,1.96
78,11135.62,46029.35,1400.23,46473.62,2868.24,6602301.87,5291.87,1267.44,1.96,1.87
79,11168.63,46068.24,1396.66,46511.62,2874.75,9939571.78,7011.78,1810.69,1.87,1.78
80,11069.03,45580.47,1372.60,46017.88,2833.61,4276621.68,4361.68,725.77,1.78,1.68
81,10908.77,45066.18,1354.95,45473.08,2800.67,45382061.34,23521.34,5488.77,1.68,1.34
82,?,?,?,?,?,?,?,?,1.34,?
83,?,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,1336.25,44946.32,2780.21,13470001.30,7591.30,1779.67,?,1.30
85,10815.43,44724.88,1334.81,45119.16,2774.13,11375411.23,5411.23,1377.93,1.30,1.23
86,10867.86,45247.90,1332.17,45644.09,2785.46,15622121.55,9481.55,2218.97,1.23,1.55
87,10938.55,45147.57,1335.61,45528.85,2797.31,20130221.64,14471.64,3266.91,1.55,1.64
88,?,?,?,?,?,?,?,?,1.64,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,1342.68,45679.51,2814.33,11759841.82,9111.82,2220.54,?,1.82
93,10809.87,44604.61,1315.67,44940.36,2769.02,4986631.70,4851.70,872.78,1.82,1.70
94,10817.23,44623.89,1312.91,44980.62,2766.19,3745391.56,3491.56,603.78,1.70,1.56
95,10803.99,44597.66,1319.91,44960.02,2760.91,1768861.52,1871.52,271.09,1.56,1.52
96,?,?,?,?,?,?,?,?,1.52,?
97,?,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,1329.86,44963.96,2764.28,3471301.53,3211.53,548.55,?,1.53
99,10820.89,44725.03,1322.63,45096.35,2767.26,1677621.45,1461.45,247.07,1.53,1.45
100,10845.27,45091.63,1341.74,45495.34,2780.21,2754911.44,2691.44,406.67,1.45,1.44
101,10908.65,45688.48,1350.66,46131.66,2794.43,2659991.30,2301.30,360.91,1.44,1.30
102,10807.45,45525.92,1356.50,45960.10,2783.53,2487511.32,1831.32,327.18,1.30,1.32
103,?,?,?,?,?,?,?,?,1.32,?
104,?,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,1314.18,45167.65,2754.91,2015341.24,1861.24,249.50,?,1.24
106,?,?,?,?,?,?,?,?,1.24,?
107,10431.02,43916.24,1291.19,44404.81,2705.88,1310581.25,1321.25,165.95,?,1.25
108,10415.53,43364.70,1280.02,43850.06,2695.55,1073961.22,1051.22,132.16,1.25,1.22
109,10373.60,43447.75,1280.06,43993.98,2685.57,2089161.35,2181.35,270.90,1.22,1.35
110,?,?,?,?,?,?,?,?,1.35,?
111,?,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,1292.08,43892.82,2660.28,3170841.44,2611.44,459.22,?,1.44
113,10282.22,43159.57,1277.53,43707.88,2624.40,1152371.40,1261.40,163.65,1.44,1.40
114,10264.95,43356.73,1283.16,43908.95,2636.70,690131.41,831.41,97.82,1.40,1.41
115,10327.20,43482.18,1295.48,44027.03,2658.57,872631.46,981.46,126.01,1.41,1.46
116,10407.26,43665.21,1299.40,44226.06,2669.93,1454001.40,1201.40,207.43,1.46,1.40
117,?,?,?,?,?,?,?,?,1.40,?
118,?,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,1311.59,44420.22,2685.14,537281.38,711.38,73.60,?,1.38
120,10511.46,44162.18,1303.66,44653.34,2704.84,1218991.33,1031.33,160.88,1.38,1.33
121,?,?,?,?,?,?,?,?,1.33,?
122,10554.34,43991.51,1274.69,44466.89,2695.22,633381.37,721.37,87.11,?,1.37
123,?,?,?,?,?,?,?,?,1.37,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,10605.72,44541.73,1283.84,45060.80,2714.72,4395071.35,2461.35,601.06,?,1.35
127,10618.63,44742.22,1301.78,45244.29,2733.96,877631.32,551.32,116.86,1.35,1.32
128,10692.81,45117.94,1318.36,45647.76,2752.14,682301.32,631.32,90.75,1.32,1.32
129,10714.80,44943.16,1323.45,45475.08,2760.20,250641.34,341.34,33.01,1.32,1.34
130,10758.03,44895.35,1326.21,45408.06,2769.85,1590531.31,1421.31,215.55,1.34,1.31
131,?,?,?,?,?,?,?,?,1.31,?
132,?,?,?,?,?,?,?,?,?,?
133,10762.74,45207.84,1330.79,45746.01,2790.62,531301.32,601.32,70.47,?,1.32
134,10819.27,45771.11,1313.36,46336.62,2822.41,3218111.37,1961.37,449.04,1.32,1.37
135,10913.18,46102.42,1324.54,46676.61,2848.38,2951521.44,2921.44,430.58,1.37,1.44
136,10976.80,45992.03,1332.96,46581.16,2871.70,1840591.34,1931.34,250.18,1.44,1.34
137,10991.63,46078.68,1345.72,46646.58,2885.19,1211321.39,1511.39,169.65,1.34,1.39
138,?,?,?,?,?,?,?,?,1.39,?
139,?,?,?,?,?,?,?,?,?,?
140,11070.23,46041.35,1341.55,46615.31,2921.95,8107081.79,6391.79,1325.87,?,1.79
141,11089.17,45851.80,1351.99,46439.10,2893.12,10473121.60,7431.60,1754.24,1.79,1.60
