%310
@RELATION PLTRKPL00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1718.26,48389.84,2835.52,9975330.66,3000.66,629.86,?,0.66
3,10554.18,48222.72,1714.83,48505.50,2832.46,21534040.68,4790.68,1489.86,0.66,0.68
4,10519.33,47888.16,1719.23,48143.94,2814.73,10201790.65,2630.65,667.85,0.68,0.65
5,?,?,?,?,?,?,?,?,0.65,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1719.82,47820.24,2793.31,3604590.64,940.64,230.70,?,0.64
8,10500.71,47379.63,1714.18,47624.67,2790.64,3415490.63,960.63,217.58,0.64,0.63
9,10503.06,47407.28,1722.98,47668.58,2784.62,805130.64,470.64,51.01,0.63,0.64
10,10496.80,47546.91,1717.51,47798.66,2800.96,3801690.64,1140.64,240.04,0.64,0.64
11,10595.04,47440.80,1761.65,47690.97,2815.88,14997390.63,2580.63,966.82,0.64,0.63
12,?,?,?,?,?,?,?,?,0.63,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1787.10,47724.95,2820.74,4558790.63,1430.63,282.71,?,0.63
15,10638.06,47086.54,1789.24,47346.41,2817.16,1695280.63,590.63,106.40,0.63,0.63
16,10673.05,47521.39,1813.57,47794.60,2825.40,3096720.64,880.64,196.21,0.63,0.64
17,10767.29,47661.37,1796.76,47936.81,2848.09,16801470.64,2870.64,1079.24,0.64,0.64
18,10903.93,47813.69,1830.45,48104.67,2864.72,5284720.63,1280.63,333.31,0.64,0.63
19,?,?,?,?,?,?,?,?,0.63,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1829.00,48184.37,2890.14,1482550.62,540.62,92.30,?,0.62
22,11073.63,47872.80,1822.02,48127.89,2892.80,5978480.61,1590.61,361.80,0.62,0.61
23,11071.80,47733.24,1819.73,47999.21,2890.57,23649660.64,4360.64,1463.74,0.61,0.64
24,11108.21,47942.04,1794.79,48203.43,2898.85,11011450.62,2070.62,687.73,0.64,0.62
25,11174.05,47613.95,1818.33,47851.99,2897.93,4152260.61,860.61,257.21,0.62,0.61
26,?,?,?,?,?,?,?,?,0.61,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1811.61,47553.14,2886.17,2222620.62,790.62,136.16,?,0.62
29,11165.66,47328.40,1804.79,47565.10,2878.58,2234120.63,570.63,138.01,0.62,0.63
30,11183.61,46917.19,1825.50,47113.08,2876.68,22797090.64,3980.64,1499.69,0.63,0.64
31,11245.80,46840.15,1817.11,47011.43,2880.57,8398250.67,2090.67,556.00,0.64,0.67
32,11241.00,46945.58,1834.26,47121.08,2883.81,14376790.67,3250.67,980.05,0.67,0.67
33,?,?,?,?,?,?,?,?,0.67,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1819.69,46735.25,2856.17,4664820.65,1250.65,306.07,?,0.65
36,11060.84,46674.78,1784.50,46862.43,2843.49,6362820.64,1240.64,416.32,0.65,0.64
37,10953.57,46149.14,1779.66,46341.54,2811.05,3729430.64,900.64,239.89,0.64,0.64
38,10950.03,46329.66,1758.77,46512.72,2815.91,7904770.65,1450.65,521.29,0.64,0.65
39,10986.53,46741.54,1769.71,46931.40,2825.70,4467380.65,1180.65,290.74,0.65,0.65
40,?,?,?,?,?,?,?,?,0.65,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,1762.40,46988.04,2826.84,3371050.65,940.65,218.87,?,0.65
43,10981.98,46399.26,1785.06,46564.61,2821.25,14752680.62,2480.62,923.31,0.65,0.62
44,11022.58,46406.74,1780.69,46569.81,2825.02,3050520.63,970.63,192.26,0.62,0.63
45,11017.48,46211.54,1783.79,46360.51,2825.15,2327400.62,680.62,145.91,0.63,0.62
46,11071.18,46370.13,1804.96,46523.63,2838.22,4147350.63,960.63,256.46,0.62,0.63
47,?,?,?,?,?,?,?,?,0.63,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,1814.39,46665.39,2848.48,2997060.62,670.62,184.90,?,0.62
50,11119.72,46490.89,1821.72,46652.19,2843.90,2437900.62,700.62,151.15,0.62,0.62
51,11014.53,46051.76,1809.28,46198.42,2831.71,440140.62,160.62,27.01,0.62,0.62
52,10948.88,45879.90,1812.57,46050.52,2801.83,4564800.60,1100.60,275.22,0.62,0.60
53,10985.79,45948.12,1826.84,46124.82,2817.57,3660970.60,950.60,218.07,0.60,0.60
