%310
@RELATION PLELZAB00010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?
2,2835.52,01.49,01.49,0.00,?,1.49
3,2832.46,01.49,01.49,0.00,1.49,1.49
4,2814.73,12001.45,11.45,1.74,1.49,1.45
5,?,?,?,?,1.45,?
6,?,?,?,?,?,?
7,2793.31,6461.57,31.57,1.01,?,1.57
8,2790.64,01.57,01.57,0.00,1.57,1.57
9,2784.62,245001.43,71.43,35.04,1.57,1.43
10,2800.96,01.43,01.43,0.00,1.43,1.43
11,2815.88,01.43,01.43,0.00,1.43,1.43
12,?,?,?,?,1.43,?
13,?,?,?,?,?,?
14,2820.74,01.43,01.43,0.00,?,1.43
15,2817.16,01.43,01.43,0.00,1.43,1.43
16,2825.40,32901.53,21.53,5.03,1.43,1.53
17,2848.09,01.53,01.53,0.00,1.53,1.53
18,2864.72,01.53,01.53,0.00,1.53,1.53
19,?,?,?,?,1.53,?
20,?,?,?,?,?,?
21,2890.14,01.53,01.53,0.00,?,1.53
22,2892.80,64401.43,31.43,9.21,1.53,1.43
23,2890.57,3001.42,31.42,0.43,1.43,1.42
24,2898.85,2071.43,11.43,0.30,1.42,1.43
25,2897.93,01.43,01.43,0.00,1.43,1.43
26,?,?,?,?,1.43,?
27,?,?,?,?,?,?
28,2886.17,01.43,01.43,0.00,?,1.43
29,2878.58,01.43,01.43,0.00,1.43,1.43
30,2876.68,01.43,01.43,0.00,1.43,1.43
31,2880.57,4501.50,21.50,0.68,1.43,1.50
32,2883.81,01.50,01.50,0.00,1.50,1.50
33,?,?,?,?,1.50,?
34,?,?,?,?,?,?
35,2856.17,01.50,01.50,0.00,?,1.50
36,2843.49,01.50,01.50,0.00,1.50,1.50
37,2811.05,01.50,01.50,0.00,1.50,1.50
38,2815.91,01.50,01.50,0.00,1.50,1.50
39,2825.70,01.50,01.50,0.00,1.50,1.50
40,?,?,?,?,1.50,?
41,?,?,?,?,?,?
42,2826.84,01.50,01.50,0.00,?,1.50
43,2821.25,01.50,01.50,0.00,1.50,1.50
44,2825.02,45001.48,61.48,6.66,1.50,1.48
45,2825.15,35891.50,61.50,5.38,1.48,1.50
46,2838.22,28931.56,71.56,4.45,1.50,1.56
47,?,?,?,?,1.56,?
48,?,?,?,?,?,?
49,2848.48,113621.58,111.58,17.85,?,1.58
50,2843.90,13851.58,21.58,2.19,1.58,1.58
51,2831.71,100771.68,121.68,16.32,1.58,1.68
52,2801.83,49181.77,121.77,8.54,1.68,1.77
53,2817.57,483552.06,262.06,99.25,1.77,2.06
54,?,?,?,?,2.06,?
55,?,?,?,?,?,?
56,2840.57,28412.09,82.09,5.91,?,2.09
57,2831.16,229332.07,132.07,47.47,2.09,2.07
58,2855.69,168482.07,152.07,34.98,2.07,2.07
59,2865.27,156332.15,162.15,33.12,2.07,2.15
60,2859.05,120002.20,102.20,26.40,2.15,2.20
61,?,?,?,?,2.20,?
62,?,?,?,?,?,?
63,2860.68,88992.24,82.24,19.45,?,2.24
64,2868.06,117172.30,202.30,26.57,2.24,2.30
65,2872.90,34682.30,52.30,7.98,2.30,2.30
66,2873.49,56342.20,52.20,12.69,2.30,2.20
67,2906.74,16802.20,22.20,3.70,2.20,2.20
68,?,?,?,?,2.20,?
69,?,?,?,?,?,?
70,2914.24,20882.30,52.30,4.77,?,2.30
71,2911.38,21432.31,32.31,4.95,2.30,2.31
72,2901.67,7122.30,12.30,1.64,2.31,2.30
73,2912.13,02.30,02.30,0.00,2.30,2.30
74,2909.77,24602.30,42.30,5.66,2.30,2.30
75,?,?,?,?,2.30,?
76,?,?,?,?,?,?
77,2900.59,20002.35,52.35,4.70,?,2.35
78,2868.24,28762.39,62.39,6.90,2.35,2.39
79,2874.75,28762.35,32.35,6.76,2.39,2.35
80,2833.61,142.36,22.36,0.03,2.35,2.36
81,2800.67,02.36,02.36,0.00,2.36,2.36
82,?,?,?,?,2.36,?
83,?,?,?,?,?,?
84,2780.21,16822.35,62.35,3.95,?,2.35
85,2774.13,75732.40,102.40,18.09,2.35,2.40
86,2785.46,7912.40,22.40,1.90,2.40,2.40
87,2797.31,17002.44,42.44,4.15,2.40,2.44
88,?,?,?,?,2.44,?
89,?,?,?,?,?,?
90,?,?,?,?,?,?
91,?,?,?,?,?,?
92,2814.33,02.44,02.44,0.00,?,2.44
93,2769.02,14032.48,32.48,3.48,2.44,2.48
94,2766.19,152.50,22.50,0.04,2.48,2.50
95,2760.91,426882.45,82.45,104.59,2.50,2.45
