%310
@RELATION PLQMKSK00017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1136.16,48389.84,2835.52,3169.44,49.44,3.01,?,9.44
3,10554.18,48222.72,1132.73,48505.50,2832.46,27389.77,89.77,26.30,9.44,9.77
4,10519.33,47888.16,1123.30,48143.94,2814.73,20979.83,129.83,20.85,9.77,9.83
5,?,?,?,?,?,?,?,?,9.83,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1117.54,47820.24,2793.31,1007509.97,69.97,997.42,?,9.97
8,10500.71,47379.63,1107.35,47624.67,2790.64,276199.90,139.90,273.63,9.97,9.90
9,10503.06,47407.28,1113.00,47668.58,2784.62,556410.25,1810.25,56.79,9.90,10.25
10,10496.80,47546.91,1127.31,47798.66,2800.96,538410.49,1510.49,56.22,10.25,10.49
11,10595.04,47440.80,1133.34,47690.97,2815.88,1307611.00,4811.00,142.30,10.49,11.00
12,?,?,?,?,?,?,?,?,11.00,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1138.05,47724.95,2820.74,897711.16,3511.16,103.28,?,11.16
15,10638.06,47086.54,1131.14,47346.41,2817.16,349111.00,3711.00,39.09,11.16,11.00
16,10673.05,47521.39,1130.24,47794.60,2825.40,7060711.12,611.12,785.16,11.00,11.12
17,10767.29,47661.37,1132.34,47936.81,2848.09,596811.55,2011.55,66.62,11.12,11.55
18,10903.93,47813.69,1144.65,48104.67,2864.72,35964911.46,6211.46,4088.34,11.55,11.46
19,?,?,?,?,?,?,?,?,11.46,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1151.79,48184.37,2890.14,237111.67,3011.67,26.62,?,11.67
22,11073.63,47872.80,1152.16,48127.89,2892.80,164111.30,1411.30,18.51,11.67,11.30
23,11071.80,47733.24,1153.46,47999.21,2890.57,1627310.85,4010.85,176.05,11.30,10.85
24,11108.21,47942.04,1150.21,48203.43,2898.85,421711.30,2511.30,47.16,10.85,11.30
25,11174.05,47613.95,1156.62,47851.99,2897.93,1034411.67,4811.67,119.10,11.30,11.67
26,?,?,?,?,?,?,?,?,11.67,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1160.03,47553.14,2886.17,346911.70,1711.70,40.88,?,11.70
29,11165.66,47328.40,1163.93,47565.10,2878.58,213111.90,1711.90,25.22,11.70,11.90
30,11183.61,46917.19,1153.92,47113.08,2876.68,1468412.00,4612.00,175.98,11.90,12.00
31,11245.80,46840.15,1159.78,47011.43,2880.57,1524111.90,2911.90,182.03,12.00,11.90
32,11241.00,46945.58,1158.21,47121.08,2883.81,464511.65,3011.65,53.64,11.90,11.65
33,?,?,?,?,?,?,?,?,11.65,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1147.63,46735.25,2856.17,91211.65,811.65,10.66,?,11.65
36,11060.84,46674.78,1152.32,46862.43,2843.49,177311.72,1511.72,20.64,11.65,11.72
