%310
@RELATION PLMCSFT00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1136.16,48389.84,2835.52,87832.00,632.00,28.35,?,32.00
3,783.15,48222.72,1132.73,48505.50,2832.46,13933.00,333.00,4.49,32.00,33.00
4,781.69,47888.16,1123.30,48143.94,2814.73,13733.00,433.00,4.54,33.00,33.00
5,?,?,?,?,?,?,?,?,33.00,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1117.54,47820.24,2793.31,033.00,033.00,0.00,?,33.00
8,780.70,47379.63,1107.35,47624.67,2790.64,033.00,033.00,0.00,33.00,33.00
9,784.82,47407.28,1113.00,47668.58,2784.62,033.00,033.00,0.00,33.00,33.00
10,788.85,47546.91,1127.31,47798.66,2800.96,033.00,033.00,0.00,33.00,33.00
11,795.36,47440.80,1133.34,47690.97,2815.88,033.00,033.00,0.00,33.00,33.00
12,?,?,?,?,?,?,?,?,33.00,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1138.05,47724.95,2820.74,033.00,033.00,0.00,?,33.00
15,794.59,47086.54,1131.14,47346.41,2817.16,102632.00,632.00,32.63,33.00,32.00
16,796.34,47521.39,1130.24,47794.60,2825.40,032.00,032.00,0.00,32.00,32.00
17,803.56,47661.37,1132.34,47936.81,2848.09,3831.50,131.50,1.20,32.00,31.50
18,807.72,47813.69,1144.65,48104.67,2864.72,2031.50,131.50,0.63,31.50,31.50
19,?,?,?,?,?,?,?,?,31.50,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1151.79,48184.37,2890.14,54931.00,931.00,16.98,?,31.00
22,808.23,47872.80,1152.16,48127.89,2892.80,1031.70,131.70,0.32,31.00,31.70
23,808.40,47733.24,1153.46,47999.21,2890.57,102832.18,632.18,32.50,31.70,32.18
24,811.80,47942.04,1150.21,48203.43,2898.85,032.18,032.18,0.00,32.18,32.18
25,812.99,47613.95,1156.62,47851.99,2897.93,032.18,032.18,0.00,32.18,32.18
26,?,?,?,?,?,?,?,?,32.18,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1160.03,47553.14,2886.17,032.18,032.18,0.00,?,32.18
29,815.93,47328.40,1163.93,47565.10,2878.58,2832.24,132.24,0.90,32.18,32.24
30,815.59,46917.19,1153.92,47113.08,2876.68,032.24,032.24,0.00,32.24,32.24
31,817.14,46840.15,1159.78,47011.43,2880.57,45031.00,231.00,13.95,32.24,31.00
32,818.68,46945.58,1158.21,47121.08,2883.81,031.00,031.00,0.00,31.00,31.00
33,?,?,?,?,?,?,?,?,31.00,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1147.63,46735.25,2856.17,031.00,031.00,0.00,?,31.00
36,816.68,46674.78,1152.32,46862.43,2843.49,031.00,031.00,0.00,31.00,31.00
37,813.75,46149.14,1128.47,46341.54,2811.05,031.00,031.00,0.00,31.00,31.00
38,811.13,46329.66,1129.48,46512.72,2815.91,031.00,031.00,0.00,31.00,31.00
39,813.77,46741.54,1129.43,46931.40,2825.70,031.00,031.00,0.00,31.00,31.00
40,?,?,?,?,?,?,?,?,31.00,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1129.99,46988.04,2826.84,031.00,031.00,0.00,?,31.00
43,817.32,46399.26,1137.86,46564.61,2821.25,031.00,031.00,0.00,31.00,31.00
44,817.35,46406.74,1140.25,46569.81,2825.02,4130.30,230.30,1.24,31.00,30.30
45,818.81,46211.54,1127.06,46360.51,2825.15,030.30,030.30,0.00,30.30,30.30
46,826.73,46370.13,1136.50,46523.63,2838.22,030.30,030.30,0.00,30.30,30.30
47,?,?,?,?,?,?,?,?,30.30,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1139.96,46665.39,2848.48,3531.00,131.00,1.09,?,31.00
50,832.30,46490.89,1135.32,46652.19,2843.90,031.00,031.00,0.00,31.00,31.00
51,830.62,46051.76,1126.36,46198.42,2831.71,2031.00,131.00,0.62,31.00,31.00
52,823.32,45879.90,1119.98,46050.52,2801.83,031.00,031.00,0.00,31.00,31.00
53,826.66,45948.12,1131.52,46124.82,2817.57,031.00,031.00,0.00,31.00,31.00
54,?,?,?,?,?,?,?,?,31.00,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1137.44,46487.05,2840.57,2931.47,131.47,0.91,?,31.47
57,828.81,45868.35,1126.88,46065.85,2831.16,031.47,031.47,0.00,31.47,31.47
58,836.69,46241.92,1126.96,46459.99,2855.69,20031.50,231.50,6.30,31.47,31.50
