%310
@RELATION PLUNBEP00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,48107.89,1718.26,48389.84,2835.52,227905.05,185.05,115.35,?,5.05
3,48222.72,1714.83,48505.50,2832.46,3505.04,65.04,1.76,5.05,5.04
4,47888.16,1719.23,48143.94,2814.73,29444.95,154.95,14.58,5.04,4.95
5,?,?,?,?,?,?,?,4.95,?
6,?,?,?,?,?,?,?,?,?
7,47589.33,1719.82,47820.24,2793.31,3334.95,74.95,1.65,?,4.95
8,47379.63,1714.18,47624.67,2790.64,16734.92,134.92,8.23,4.95,4.92
9,47407.28,1722.98,47668.58,2784.62,6854.98,134.98,3.37,4.92,4.98
10,47546.91,1717.51,47798.66,2800.96,36015.00,165.00,18.00,4.98,5.00
11,47440.80,1761.65,47690.97,2815.88,25905.00,145.00,12.78,5.00,5.00
12,?,?,?,?,?,?,?,5.00,?
13,?,?,?,?,?,?,?,?,?
14,47470.12,1787.10,47724.95,2820.74,22245.05,95.05,11.23,?,5.05
15,47086.54,1789.24,47346.41,2817.16,79855.22,365.22,40.63,5.05,5.22
16,47521.39,1813.57,47794.60,2825.40,182005.44,555.44,97.29,5.22,5.44
17,47661.37,1796.76,47936.81,2848.09,164425.46,305.46,89.64,5.44,5.46
18,47813.69,1830.45,48104.67,2864.72,24125.48,215.48,13.15,5.46,5.48
19,?,?,?,?,?,?,?,5.48,?
20,?,?,?,?,?,?,?,?,?
21,47936.61,1829.00,48184.37,2890.14,755.48,65.48,0.41,?,5.48
22,47872.80,1822.02,48127.89,2892.80,156715.35,225.35,84.57,5.48,5.35
23,47733.24,1819.73,47999.21,2890.57,380095.49,775.49,207.99,5.35,5.49
24,47942.04,1794.79,48203.43,2898.85,366345.59,495.59,204.22,5.49,5.59
25,47613.95,1818.33,47851.99,2897.93,386925.70,665.70,223.22,5.59,5.70
26,?,?,?,?,?,?,?,5.70,?
27,?,?,?,?,?,?,?,?,?
28,47324.06,1811.61,47553.14,2886.17,373566.05,1066.05,224.56,?,6.05
29,47328.40,1804.79,47565.10,2878.58,332936.04,976.04,201.67,6.05,6.04
30,46917.19,1825.50,47113.08,2876.68,1122176.00,526.00,676.25,6.04,6.00
31,46840.15,1817.11,47011.43,2880.57,648556.04,256.04,390.85,6.00,6.04
32,46945.58,1834.26,47121.08,2883.81,1026276.00,146.00,618.78,6.04,6.00
33,?,?,?,?,?,?,?,6.00,?
34,?,?,?,?,?,?,?,?,?
35,46556.55,1819.69,46735.25,2856.17,32816.00,156.00,19.71,?,6.00
36,46674.78,1784.50,46862.43,2843.49,152646.01,136.01,91.62,6.00,6.01
37,46149.14,1779.66,46341.54,2811.05,197686.01,286.01,118.31,6.01,6.01
38,46329.66,1758.77,46512.72,2815.91,277606.07,376.07,168.28,6.01,6.07
39,46741.54,1769.71,46931.40,2825.70,1129946.18,816.18,688.96,6.07,6.18
40,?,?,?,?,?,?,?,6.18,?
41,?,?,?,?,?,?,?,?,?
42,46786.74,1762.40,46988.04,2826.84,218446.24,466.24,135.90,?,6.24
43,46399.26,1785.06,46564.61,2821.25,67506.40,246.40,42.50,6.24,6.40
44,46406.74,1780.69,46569.81,2825.02,348146.58,586.58,224.24,6.40,6.58
45,46211.54,1783.79,46360.51,2825.15,147566.56,356.56,96.61,6.58,6.56
46,46370.13,1804.96,46523.63,2838.22,100386.98,446.98,67.95,6.56,6.98
47,?,?,?,?,?,?,?,6.98,?
48,?,?,?,?,?,?,?,?,?
49,46508.27,1814.39,46665.39,2848.48,209187.15,677.15,146.17,?,7.15
50,46490.89,1821.72,46652.19,2843.90,660607.00,697.00,462.67,7.15,7.00
51,46051.76,1809.28,46198.42,2831.71,191466.65,376.65,132.13,7.00,6.65
52,45879.90,1812.57,46050.52,2801.83,298706.38,726.38,185.81,6.65,6.38
