%310
@RELATION PLMSTPL00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
84,839.36,44585.10,1660.44,44946.32,142619.60,1119.60,28.57,?,19.60
85,830.80,44724.88,1648.36,45119.16,135318.30,1618.30,25.01,19.60,18.30
86,835.51,45247.90,1653.10,45644.09,255018.74,1718.74,45.66,18.30,18.74
87,839.42,45147.57,1677.23,45528.85,91919.63,919.63,18.06,18.74,19.63
88,?,?,?,?,?,?,?,19.63,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1656.40,45679.51,3919.65,219.65,0.77,?,19.65
93,828.79,44604.61,1620.82,44940.36,120.79,120.79,0.02,19.65,20.79
94,824.35,44623.89,1588.07,44980.62,14020.80,1520.80,2.89,20.79,20.80
95,819.73,44597.66,1585.00,44960.02,1120.80,220.80,0.23,20.80,20.80
96,?,?,?,?,?,?,?,20.80,?
97,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1584.03,44963.96,14420.70,420.70,2.98,?,20.70
99,815.74,44725.03,1600.11,45096.35,5620.50,520.50,1.15,20.70,20.50
100,820.16,45091.63,1609.16,45495.34,11320.50,120.50,2.32,20.50,20.50
101,824.04,45688.48,1647.89,46131.66,29220.18,320.18,5.89,20.50,20.18
102,819.29,45525.92,1602.65,45960.10,16019.59,319.59,3.14,20.18,19.59
103,?,?,?,?,?,?,?,19.59,?
104,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1590.14,45167.65,120.00,120.00,0.02,?,20.00
106,?,?,?,?,?,?,?,20.00,?
107,796.68,43916.24,1578.30,44404.81,53219.50,419.50,10.35,?,19.50
108,787.39,43364.70,1582.90,43850.06,119.64,119.64,0.02,19.50,19.64
109,783.37,43447.75,1551.70,43993.98,13519.52,219.52,2.63,19.64,19.52
110,?,?,?,?,?,?,?,19.52,?
111,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1572.53,43892.82,2219.91,419.91,0.42,?,19.91
113,769.16,43159.57,1577.62,43707.88,13619.00,319.00,2.68,19.91,19.00
114,769.82,43356.73,1568.91,43908.95,11719.00,519.00,2.22,19.00,19.00
115,774.88,43482.18,1578.90,44027.03,37119.06,519.06,7.07,19.00,19.06
116,777.86,43665.21,1567.21,44226.06,019.06,019.06,0.00,19.06,19.06
117,?,?,?,?,?,?,?,19.06,?
118,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1568.27,44420.22,119.20,119.20,0.02,?,19.20
120,784.81,44162.18,1577.58,44653.34,208219.20,519.20,41.37,19.20,19.20
121,?,?,?,?,?,?,?,19.20,?
122,787.45,43991.51,1593.50,44466.89,124819.40,1919.40,24.83,?,19.40
123,?,?,?,?,?,?,?,19.40,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1610.11,45060.80,19119.30,719.30,3.66,?,19.30
127,793.09,44742.22,1618.85,45244.29,14219.00,519.00,2.76,19.30,19.00
128,798.10,45117.94,1640.06,45647.76,6519.50,419.50,1.27,19.00,19.50
129,800.71,44943.16,1640.84,45475.08,14119.07,619.07,2.71,19.50,19.07
130,800.42,44895.35,1627.28,45408.06,62918.26,818.26,11.88,19.07,18.26
131,?,?,?,?,?,?,?,18.26,?
132,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1680.51,45746.01,36218.30,918.30,6.61,?,18.30
134,804.49,45771.11,1669.79,46336.62,20718.50,618.50,3.78,18.30,18.50
