%310
@RELATION PLCOMAR00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1136.16,48389.84,2835.52,73573.90,1573.90,54.13,?,73.90
3,10554.18,48222.72,1132.73,48505.50,2832.46,28773.00,573.00,20.98,73.90,73.00
4,10519.33,47888.16,1123.30,48143.94,2814.73,253373.10,2573.10,185.87,73.00,73.10
5,?,?,?,?,?,?,?,?,73.10,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1117.54,47820.24,2793.31,25572.40,1272.40,18.60,?,72.40
8,10500.71,47379.63,1107.35,47624.67,2790.64,15473.00,673.00,11.26,72.40,73.00
9,10503.06,47407.28,1113.00,47668.58,2784.62,99272.45,1572.45,72.07,73.00,72.45
10,10496.80,47546.91,1127.31,47798.66,2800.96,266473.50,4473.50,197.53,72.45,73.50
11,10595.04,47440.80,1133.34,47690.97,2815.88,12674.30,1074.30,9.27,73.50,74.30
12,?,?,?,?,?,?,?,?,74.30,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1138.05,47724.95,2820.74,474176.15,5776.15,357.76,?,76.15
15,10638.06,47086.54,1131.14,47346.41,2817.16,2073576.30,4976.30,1586.23,76.15,76.30
16,10673.05,47521.39,1130.24,47794.60,2825.40,1271776.00,1676.00,972.73,76.30,76.00
17,10767.29,47661.37,1132.34,47936.81,2848.09,5060476.00,1676.00,3870.96,76.00,76.00
18,10903.93,47813.69,1144.65,48104.67,2864.72,2609976.70,2876.70,1999.62,76.00,76.70
19,?,?,?,?,?,?,?,?,76.70,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1151.79,48184.37,2890.14,3831484.00,17684.00,3088.22,?,84.00
22,11073.63,47872.80,1152.16,48127.89,2892.80,1469985.80,21985.80,1267.76,84.00,85.80
23,11071.80,47733.24,1153.46,47999.21,2890.57,1096988.20,12088.20,966.45,85.80,88.20
24,11108.21,47942.04,1150.21,48203.43,2898.85,490888.55,9588.55,439.16,88.20,88.55
25,11174.05,47613.95,1156.62,47851.99,2897.93,567388.30,7088.30,500.72,88.55,88.30
26,?,?,?,?,?,?,?,?,88.30,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1160.03,47553.14,2886.17,301388.00,5588.00,267.20,?,88.00
29,11165.66,47328.40,1163.93,47565.10,2878.58,176585.65,6085.65,153.05,88.00,85.65
30,11183.61,46917.19,1153.92,47113.08,2876.68,358884.95,6384.95,304.07,85.65,84.95
31,11245.80,46840.15,1159.78,47011.43,2880.57,38186.15,1686.15,32.74,84.95,86.15
32,11241.00,46945.58,1158.21,47121.08,2883.81,58686.45,1886.45,50.47,86.15,86.45
33,?,?,?,?,?,?,?,?,86.45,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1147.63,46735.25,2856.17,3046989.95,13389.95,2687.67,?,89.95
36,11060.84,46674.78,1152.32,46862.43,2843.49,1673390.45,6090.45,1506.33,89.95,90.45
37,10953.57,46149.14,1128.47,46341.54,2811.05,208989.95,3189.95,183.30,90.45,89.95
38,10950.03,46329.66,1129.48,46512.72,2815.91,77687.95,2987.95,67.69,89.95,87.95
39,10986.53,46741.54,1129.43,46931.40,2825.70,10087.50,687.50,8.74,87.95,87.50
40,?,?,?,?,?,?,?,?,87.50,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,1129.99,46988.04,2826.84,82787.00,2187.00,71.54,?,87.00
43,10981.98,46399.26,1137.86,46564.61,2821.25,69087.45,1487.45,60.00,87.00,87.45
44,11022.58,46406.74,1140.25,46569.81,2825.02,27487.25,787.25,23.50,87.45,87.25
45,11017.48,46211.54,1127.06,46360.51,2825.15,279488.10,2188.10,243.06,87.25,88.10
46,11071.18,46370.13,1136.50,46523.63,2838.22,105489.00,2589.00,93.38,88.10,89.00
47,?,?,?,?,?,?,?,?,89.00,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,1139.96,46665.39,2848.48,346090.80,4890.80,311.07,?,90.80
50,11119.72,46490.89,1135.32,46652.19,2843.90,4069590.00,4690.00,3662.80,90.80,90.00
51,11014.53,46051.76,1126.36,46198.42,2831.71,198990.00,5190.00,180.21,90.00,90.00
52,10948.88,45879.90,1119.98,46050.52,2801.83,639488.20,5088.20,566.91,90.00,88.20
53,10985.79,45948.12,1131.52,46124.82,2817.57,1020987.10,887.10,893.32,88.20,87.10
54,?,?,?,?,?,?,?,?,87.10,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,1137.44,46487.05,2840.57,312187.95,2487.95,274.66,?,87.95
57,10972.28,45868.35,1126.88,46065.85,2831.16,503188.50,1988.50,440.71,87.95,88.50
58,11039.20,46241.92,1126.96,46459.99,2855.69,397788.40,2688.40,349.97,88.50,88.40
59,11052.03,46280.36,1140.99,46510.83,2865.27,132288.45,1788.45,116.59,88.40,88.45
