%310
@RELATION WIG-INFO
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,13412.55,3112.26,3112.26,?,?,10640.66,1136.16
3,13391.36,3100.57,3100.57,3.1005,3.1005,13266.17,1132.73
4,13435.21,3101.66,3101.66,3.1700,3.1700,9763.49,1123.30
5,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?
7,13384.29,3098.81,3098.81,3.1618,3.1618,18768.83,1117.54
8,13328.85,3091.81,3091.81,3.1457,3.1457,15481.20,1107.35
9,13390.51,3105.81,3105.81,3.1516,3.1516,6115.65,1113.00
10,13471.22,3121.76,3121.76,3.1121,3.1121,28102.00,1127.31
11,13488.43,3125.64,3125.64,3.0890,3.0890,9985.95,1133.34
12,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?
14,13507.32,3117.50,3117.50,3.0828,3.0828,21144.93,1138.05
15,13534.89,3110.78,3110.78,3.0750,3.0750,9729.99,1131.14
16,13511.23,3117.54,3117.54,3.1097,3.1097,11533.20,1130.24
17,13596.02,3136.00,3136.00,3.0853,3.0853,15094.93,1132.34
18,13649.70,3134.71,3134.71,3.0925,3.0925,25741.68,1144.65
19,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?
21,?,?,?,3.1351,3.1351,8915.92,1151.79
22,13712.21,3143.18,3143.18,3.1341,3.1341,11459.41,1152.16
23,13779.33,3153.67,3153.67,3.1195,3.1195,17162.71,1153.46
24,13825.33,3130.38,3130.38,3.1503,3.1503,7971.03,1150.21
25,13895.98,3149.71,3149.71,3.1186,3.1186,7915.32,1156.62
26,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?
28,13881.93,3154.30,3154.30,3.1074,3.1074,11671.57,1160.03
29,13954.42,3153.66,3153.66,3.1229,3.1229,10519.39,1163.93
30,13910.42,3142.31,3142.31,3.0938,3.0938,12721.23,1153.92
31,13860.58,3142.13,3142.13,3.0874,3.0874,15469.18,1159.78
32,14009.79,3179.10,3179.10,3.0744,3.0744,5390.98,1158.21
33,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?
35,13880.08,3131.17,3131.17,3.0563,3.0563,15552.52,1147.63
36,13979.30,3171.58,3171.58,3.0831,3.0831,13689.30,1152.32
37,13986.52,3168.48,3168.48,3.0868,3.0868,14879.22,1128.47
38,13944.05,3165.13,3165.13,3.0886,3.0886,9269.66,1129.48
39,13992.97,3193.87,3193.87,3.1056,3.1056,8712.61,1129.43
40,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?
42,13971.24,3192.00,3192.00,3.0991,3.0991,9107.87,1129.99
43,14018.70,3186.49,3186.49,3.1159,3.1159,11951.79,1137.86
44,13982.91,3196.88,3196.88,3.1012,3.1012,7265.00,1140.25
45,13973.39,3198.66,3198.66,3.1209,3.1209,8049.29,1127.06
46,13981.76,3192.03,3192.03,3.1398,3.1398,7082.83,1136.50
47,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?
49,?,?,?,3.1410,3.1410,6200.49,1139.96
50,14035.67,3213.59,3213.59,3.1360,3.1360,13436.50,1135.32
51,13927.54,3164.41,3164.41,3.1002,3.1002,10177.19,1126.36
52,13880.62,3131.49,3131.49,3.1633,3.1633,10164.41,1119.98
53,14000.57,3161.82,3161.82,3.1443,3.1443,6804.79,1131.52
54,?,?,?,?,?,?,?
55,?,?,?,?,?,?,?
56,13784.17,3116.25,3116.25,3.1412,3.1412,9934.24,1137.44
57,13900.13,3129.65,3129.65,3.1733,3.1733,6509.27,1126.88
58,14075.37,3162.26,3162.26,3.1841,3.1841,11087.23,1126.96
59,14054.49,3160.19,3160.19,3.1679,3.1679,11167.40,1140.99
60,14089.66,3169.74,3169.74,3.1769,3.1769,9563.68,1150.40
61,?,?,?,?,?,?,?
62,?,?,?,?,?,?,?
63,14127.82,3182.03,3182.03,3.1837,3.1837,10339.42,1147.38
64,14253.77,3224.13,3224.13,3.1665,3.1665,14215.06,1156.77
65,14296.24,3222.36,3222.36,3.1660,3.1660,8847.04,1150.07
66,14329.49,3232.09,3232.09,3.1808,3.1808,8350.66,1155.43
67,14397.07,3244.37,3244.37,3.1690,3.1690,10703.20,1164.85
68,?,?,?,?,?,?,?
69,?,?,?,?,?,?,?
70,14447.29,3252.87,3252.87,3.1828,3.1828,16567.17,1184.08
71,14450.06,3242.32,3242.32,3.1887,3.1887,7508.33,1185.21
72,14455.28,3245.12,3245.12,3.1863,3.1863,12720.64,1178.50
73,14539.14,3258.93,3258.93,3.2000,3.2000,12362.06,1177.46
74,14514.11,3249.07,3249.07,3.1868,3.1868,21908.77,1176.61
75,?,?,?,?,?,?,?
76,?,?,?,?,?,?,?
77,14452.06,3237.59,3237.59,3.2015,3.2015,9234.73,1163.52
78,14455.82,3229.10,3229.10,3.2055,3.2055,13694.74,1143.53
79,14511.73,3254.19,3254.19,3.2169,3.2169,13124.30,1121.08
80,14421.49,3222.60,3222.60,3.2387,3.2387,14940.55,1110.00
81,14512.03,3245.00,3245.00,3.2361,3.2361,10829.75,1091.98
82,?,?,?,?,?,?,?
83,?,?,?,?,?,?,?
84,14447.75,3235.30,3235.30,3.1950,3.1950,12850.94,1091.47
85,14559.65,3252.48,3252.48,3.2427,3.2427,14854.13,1081.75
86,14526.16,3256.52,3256.52,3.2635,3.2635,14313.16,1090.32
87,14578.54,3267.52,3267.52,3.2773,3.2773,18785.67,1091.06
88,?,?,?,3.2590,3.2590,?,?
89,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?
91,14572.85,3239.17,3239.17,?,?,?,?
92,14662.01,3254.86,3254.86,3.2552,3.2552,14151.33,1102.99
93,14550.35,3218.60,3218.60,3.2693,3.2693,15618.03,1070.68
94,14606.11,3224.98,3224.98,3.2750,3.2750,12968.30,1070.17
95,14565.25,3203.86,3203.86,3.2358,3.2358,10713.24,1086.26
96,?,?,?,?,?,?,?
97,?,?,?,?,?,?,?
98,14613.48,3222.25,3222.25,3.1893,3.1893,19871.24,1086.13
99,14673.46,3237.86,3237.86,3.1696,3.1696,12732.42,1084.77
100,14802.24,3297.25,3297.25,3.1405,3.1405,14304.02,1089.08
101,14865.14,3300.16,3300.16,3.1382,3.1382,9101.15,1095.29
102,14865.06,3294.95,3294.95,3.1537,3.1537,3989.08,1102.49
103,?,?,?,?,?,?,?
104,?,?,?,?,?,?,?
105,14599.20,3216.49,3216.49,3.1502,3.1502,8810.99,1097.10
106,14756.78,3264.63,3264.63,3.1559,3.1559,?,?
107,14618.59,3204.67,3204.67,3.1159,3.1159,12363.39,1090.97
108,14537.14,3166.36,3166.36,3.1529,3.1529,7865.79,1089.24
109,14547.51,3206.06,3206.06,3.1409,3.1409,15374.70,1086.50
110,?,?,?,?,?,?,?
111,?,?,?,?,?,?,?
112,14567.17,3233.55,3233.55,3.1448,3.1448,10377.02,1090.01
113,14719.46,3269.33,3269.33,3.1811,3.1811,7951.96,1070.14
114,14676.30,3269.65,3269.65,3.1823,3.1823,8767.44,1084.85
115,14700.80,3289.99,3289.99,3.1792,3.1792,6761.60,1076.35
116,14712.55,3279.26,3279.26,3.1943,3.1943,5552.12,1081.14
117,?,?,?,?,?,?,?
118,?,?,?,?,?,?,?
119,14818.75,3307.02,3307.02,3.1712,3.1712,5141.90,1086.18
120,14839.80,3328.79,3328.79,3.1721,3.1721,10406.63,1096.22
121,14700.95,3299.13,3299.13,?,?,?,?
122,14831.58,3340.62,3340.62,3.1492,3.1492,9572.16,1077.28
123,14973.96,3378.63,3378.63,?,?,?,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,14968.89,3392.97,3392.97,3.1646,3.1646,6930.61,1104.54
127,15056.20,3396.63,3396.63,3.1767,3.1767,14882.37,1111.64
128,15105.12,3413.27,3413.27,3.1609,3.1609,11876.24,1106.26
129,15082.62,3409.17,3409.17,3.1392,3.1392,12882.60,1111.55
130,15118.49,3436.58,3436.58,3.1861,3.1861,31681.96,1118.53
131,?,?,?,?,?,?,?
132,?,?,?,?,?,?,?
133,15091.68,3438.79,3438.79,3.2051,3.2051,11628.20,1126.14
134,15215.25,3462.61,3462.61,3.1998,3.1998,11413.81,1157.28
135,15275.69,3471.62,3471.62,3.2340,3.2340,22683.12,1180.62
136,15233.22,3465.24,3465.24,3.2521,3.2521,38044.13,1159.61
137,15354.40,3498.97,3498.97,3.2520,3.2520,34708.97,1125.40
138,?,?,?,?,?,?,?
139,?,?,?,?,?,?,?
140,15335.28,3496.43,3496.43,3.2380,3.2380,21950.14,1137.52
141,15387.58,3502.12,3502.12,3.2490,3.2490,18203.66,1125.99
142,15307.17,3463.30,3463.30,3.2322,3.2322,17327.94,1125.44
143,15294.50,3459.42,3459.42,3.2587,3.2587,29331.70,1120.21
144,15303.10,3459.14,3459.14,3.2400,3.2400,16359.88,1124.91
145,?,?,?,?,?,?,?
146,?,?,?,?,?,?,?
