%310
@RELATION PLGSPR000014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,6723.16,48389.84,2835.52,4248212.80,2322.80,1192.06,?,2.80
3,2588.67,48222.72,6702.54,48505.50,2832.46,2965842.76,2572.76,819.38,2.80,2.76
4,2588.47,47888.16,6640.07,48143.94,2814.73,1994872.72,1862.72,544.43,2.76,2.72
5,?,?,?,?,?,?,?,?,2.72,?
6,?,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,6569.07,47820.24,2793.31,7214882.60,5062.60,1872.62,?,2.60
8,2587.38,47379.63,6496.43,47624.67,2790.64,7556742.51,4542.51,1920.98,2.60,2.51
9,2573.27,47407.28,6538.98,47668.58,2784.62,5013162.54,2422.54,1272.06,2.51,2.54
10,2592.53,47546.91,6551.72,47798.66,2800.96,3519842.57,1162.57,902.40,2.54,2.57
11,2611.26,47440.80,6533.47,47690.97,2815.88,669192.57,722.57,171.29,2.57,2.57
12,?,?,?,?,?,?,?,?,2.57,?
13,?,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,6626.08,47724.95,2820.74,2517182.60,2242.60,655.26,?,2.60
15,2598.51,47086.54,6601.96,47346.41,2817.16,1047432.56,942.56,268.56,2.60,2.56
16,2598.53,47521.39,6601.18,47794.60,2825.40,4251952.66,3162.66,1114.89,2.56,2.66
17,2618.14,47661.37,6661.60,47936.81,2848.09,5937022.79,3822.79,1622.82,2.66,2.79
18,2626.72,47813.69,6679.16,48104.67,2864.72,9926462.85,4532.85,2811.43,2.79,2.85
19,?,?,?,?,?,?,?,?,2.85,?
20,?,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,6648.10,48184.37,2890.14,2663312.87,1612.87,761.78,?,2.87
22,2636.01,47872.80,6618.49,48127.89,2892.80,13032822.84,1732.84,3687.00,2.87,2.84
23,2626.76,47733.24,6574.77,47999.21,2890.57,1343502.83,1322.83,378.93,2.84,2.83
24,2646.20,47942.04,6607.93,48203.43,2898.85,873442.78,872.78,243.66,2.83,2.78
25,2642.64,47613.95,6602.68,47851.99,2897.93,1908432.75,1572.75,521.85,2.78,2.75
26,?,?,?,?,?,?,?,?,2.75,?
27,?,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,6592.42,47553.14,2886.17,2062542.70,1512.70,556.42,?,2.70
29,2623.78,47328.40,6585.65,47565.10,2878.58,1209112.69,1402.69,322.28,2.70,2.69
30,2612.20,46917.19,6398.24,47113.08,2876.68,1661112.70,1492.70,450.74,2.69,2.70
31,2597.73,46840.15,6346.89,47011.43,2880.57,4790642.72,1812.72,1287.01,2.70,2.72
32,2603.21,46945.58,6358.58,47121.08,2883.81,1510972.77,1402.77,415.58,2.72,2.77
33,?,?,?,?,?,?,?,?,2.77,?
34,?,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,6358.77,46735.25,2856.17,4578592.68,2672.68,1254.86,?,2.68
36,2595.69,46674.78,6410.02,46862.43,2843.49,4569062.60,2532.60,1195.61,2.68,2.60
37,2567.59,46149.14,6389.46,46341.54,2811.05,2891862.62,1612.62,764.65,2.60,2.62
38,2577.94,46329.66,6445.36,46512.72,2815.91,2513872.61,1742.61,658.35,2.62,2.61
39,2587.53,46741.54,6483.61,46931.40,2825.70,3706982.70,1762.70,983.31,2.61,2.70
40,?,?,?,?,?,?,?,?,2.70,?
41,?,?,?,?,?,?,?,?,?,?
42,2593.63,46786.74,6472.05,46988.04,2826.84,2034892.73,942.73,550.58,?,2.73
43,2581.18,46399.26,6478.54,46564.61,2821.25,1036032.70,902.70,279.41,2.73,2.70
44,2576.84,46406.74,6475.92,46569.81,2825.02,408982.70,372.70,110.13,2.70,2.70
45,2578.13,46211.54,6469.15,46360.51,2825.15,1195282.69,892.69,318.47,2.70,2.69
46,2570.25,46370.13,6474.72,46523.63,2838.22,597512.70,632.70,160.78,2.69,2.70
47,?,?,?,?,?,?,?,?,2.70,?
48,?,?,?,?,?,?,?,?,?,?
49,2580.46,46508.27,6457.41,46665.39,2848.48,1501002.74,932.74,407.81,?,2.74
