%310
@RELATION PLMKRNP00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,3718.83,48389.84,124562.06,242.06,25.82,?,2.06
3,783.15,48222.72,3696.13,48505.50,105252.10,92.10,21.63,2.06,2.10
4,781.69,47888.16,3651.18,48143.94,130692.16,142.16,27.93,2.10,2.16
5,?,?,?,?,?,?,?,2.16,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,3642.19,47820.24,536922.50,742.50,125.74,?,2.50
8,780.70,47379.63,3576.33,47624.67,257752.52,432.52,63.82,2.50,2.52
9,784.82,47407.28,3508.84,47668.58,88932.59,222.59,22.89,2.52,2.59
10,788.85,47546.91,3558.48,47798.66,167092.70,462.70,44.29,2.59,2.70
11,795.36,47440.80,3558.82,47690.97,135782.65,212.65,35.63,2.70,2.65
12,?,?,?,?,?,?,?,2.65,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,3578.44,47724.95,140242.52,242.52,35.56,?,2.52
15,794.59,47086.54,3558.20,47346.41,158992.49,222.49,39.40,2.52,2.49
16,796.34,47521.39,3558.19,47794.60,116792.38,192.38,27.75,2.49,2.38
17,803.56,47661.37,3543.16,47936.81,111062.37,172.37,26.51,2.38,2.37
18,807.72,47813.69,3562.92,48104.67,59612.49,82.49,14.59,2.37,2.49
19,?,?,?,?,?,?,?,2.49,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,3699.59,48184.37,58752.40,132.40,14.17,?,2.40
22,808.23,47872.80,3655.10,48127.89,111582.40,212.40,26.40,2.40,2.40
23,808.40,47733.24,3659.94,47999.21,45052.40,22.40,10.81,2.40,2.40
24,811.80,47942.04,3700.17,48203.43,35262.41,72.41,8.45,2.40,2.41
25,812.99,47613.95,3718.94,47851.99,82702.36,152.36,19.79,2.41,2.36
26,?,?,?,?,?,?,?,2.36,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,3735.07,47553.14,33802.30,112.30,7.92,?,2.30
29,815.93,47328.40,3714.68,47565.10,10162.30,32.30,2.34,2.30,2.30
30,815.59,46917.19,3756.63,47113.08,10052.29,32.29,2.30,2.30,2.29
31,817.14,46840.15,3809.65,47011.43,15452.28,82.28,3.55,2.29,2.28
32,818.68,46945.58,3793.66,47121.08,4142.35,42.35,0.95,2.28,2.35
33,?,?,?,?,?,?,?,2.35,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,3715.56,46735.25,306912.58,482.58,76.60,?,2.58
36,816.68,46674.78,3715.75,46862.43,497972.72,552.72,132.69,2.58,2.72
37,813.75,46149.14,3658.81,46341.54,111342.63,242.63,29.11,2.72,2.63
38,811.13,46329.66,3691.32,46512.72,60352.60,112.60,15.33,2.63,2.60
