%310
@RELATION EE3100084021
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,48107.89,832.17,06.55,06.55,0.00,?,6.55
3,48222.72,839.05,12027.00,57.00,8.41,6.55,7.00
4,47888.16,845.71,5187.30,27.30,3.78,7.00,7.30
5,?,?,?,?,?,7.30,?
6,?,?,?,?,?,?,?
7,47589.33,849.25,07.30,07.30,0.00,?,7.30
8,47379.63,854.96,5908.50,38.50,4.82,7.30,8.50
9,47407.28,851.76,5758.60,78.60,5.03,8.50,8.60
10,47546.91,851.10,08.60,08.60,0.00,8.60,8.60
11,47440.80,850.72,08.60,08.60,0.00,8.60,8.60
12,?,?,?,?,?,8.60,?
13,?,?,?,?,?,?,?
14,47470.12,856.11,08.60,08.60,0.00,?,8.60
15,47086.54,855.54,08.60,08.60,0.00,8.60,8.60
16,47521.39,849.49,08.60,08.60,0.00,8.60,8.60
17,47661.37,854.27,08.60,08.60,0.00,8.60,8.60
18,47813.69,845.61,12346.90,66.90,8.51,8.60,6.90
19,?,?,?,?,?,6.90,?
20,?,?,?,?,?,?,?
21,47936.61,857.64,754446.98,316.98,526.40,?,6.98
22,47872.80,858.70,662277.30,117.30,487.22,6.98,7.30
23,47733.24,853.17,162047.70,47.70,116.88,7.30,7.70
24,47942.04,865.46,6488.20,48.20,5.12,7.70,8.20
25,47613.95,867.33,08.20,08.20,0.00,8.20,8.20
26,?,?,?,?,?,8.20,?
27,?,?,?,?,?,?,?
28,47324.06,862.14,107.99,17.99,0.08,?,7.99
29,47328.40,861.04,1257.99,27.99,0.99,7.99,7.99
30,46917.19,868.36,07.99,07.99,0.00,7.99,7.99
31,46840.15,873.28,07.99,07.99,0.00,7.99,7.99
32,46945.58,873.87,2007.35,37.35,1.47,7.99,7.35
33,?,?,?,?,?,7.35,?
34,?,?,?,?,?,?,?
35,46556.55,865.72,07.35,07.35,0.00,?,7.35
36,46674.78,868.83,107.79,17.79,0.08,7.35,7.79
37,46149.14,868.89,10008.00,68.00,7.83,7.79,8.00
38,46329.66,869.69,08.00,08.00,0.00,8.00,8.00
39,46741.54,870.75,08.00,08.00,0.00,8.00,8.00
40,?,?,?,?,?,8.00,?
41,?,?,?,?,?,?,?
42,46786.74,870.67,08.00,08.00,0.00,?,8.00
43,46399.26,874.02,08.00,08.00,0.00,8.00,8.00
44,46406.74,874.66,5008.00,18.00,4.00,8.00,8.00
45,46211.54,870.38,08.00,08.00,0.00,8.00,8.00
46,46370.13,873.83,08.00,08.00,0.00,8.00,8.00
47,?,?,?,?,?,8.00,?
48,?,?,?,?,?,?,?
49,46508.27,869.62,08.00,08.00,0.00,?,8.00
50,46490.89,861.33,387747.25,57.25,284.94,8.00,7.25
51,46051.76,862.42,2257.30,27.30,1.64,7.25,7.30
52,45879.90,859.18,07.30,07.30,0.00,7.30,7.30
53,45948.12,860.24,207.99,17.99,0.16,7.30,7.99
54,?,?,?,?,?,7.99,?
55,?,?,?,?,?,?,?
56,46286.28,865.38,41128.35,138.35,30.12,?,8.35
57,45868.35,859.83,15608.00,38.00,12.49,8.35,8.00
58,46241.92,854.80,350387.02,47.02,263.83,8.00,7.02
59,46280.36,848.17,2067.07,37.07,1.45,7.02,7.07
60,46341.14,845.37,10007.52,17.52,7.52,7.07,7.52
61,?,?,?,?,?,7.52,?
62,?,?,?,?,?,?,?
63,46137.70,840.47,07.52,07.52,0.00,?,7.52
64,46676.09,839.67,07.52,07.52,0.00,7.52,7.52
65,46762.65,844.03,300007.88,27.88,236.40,7.52,7.88
66,46745.26,848.35,25067.85,17.85,19.67,7.88,7.85
67,47074.39,849.80,07.85,07.85,0.00,7.85,7.85
68,?,?,?,?,?,7.85,?
69,?,?,?,?,?,?,?
70,46933.03,846.53,07.85,07.85,0.00,?,7.85
71,47010.40,846.39,1717.65,57.65,1.26,7.85,7.65
72,46888.37,837.78,2607.60,47.60,1.96,7.65,7.60
73,47223.68,837.83,2897.55,27.55,2.18,7.60,7.55
74,47125.93,836.66,1397.54,27.54,1.05,7.55,7.54
75,?,?,?,?,?,7.54,?
76,?,?,?,?,?,?,?
77,46668.41,820.24,07.54,07.54,0.00,?,7.54
78,46029.35,809.89,07.54,07.54,0.00,7.54,7.54
79,46068.24,807.16,07.54,07.54,0.00,7.54,7.54
80,45580.47,804.44,07.54,07.54,0.00,7.54,7.54
81,45066.18,810.77,07.54,07.54,0.00,7.54,7.54
82,?,?,?,?,?,7.54,?
83,?,?,?,?,?,?,?
84,44585.10,812.79,9657.56,17.56,7.30,?,7.56
85,44724.88,803.27,07.56,07.56,0.00,7.56,7.56
86,45247.90,809.03,07.56,07.56,0.00,7.56,7.56
87,45147.57,810.52,17.70,17.70,0.01,7.56,7.70
88,?,?,?,?,?,7.70,?
89,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?
92,45304.74,817.94,19738.30,68.30,16.36,?,8.30
93,44604.61,814.18,08.30,08.30,0.00,8.30,8.30
94,44623.89,813.71,628.59,18.59,0.53,8.30,8.59
95,44597.66,814.30,08.59,08.59,0.00,8.59,8.59
96,?,?,?,?,?,8.59,?
97,?,?,?,?,?,?,?
98,44590.97,804.33,3027.90,47.90,2.40,?,7.90
99,44725.03,809.49,38.25,18.25,0.02,7.90,8.25
100,45091.63,809.43,628.25,18.25,0.51,8.25,8.25
101,45688.48,808.43,08.25,08.25,0.00,8.25,8.25
102,45525.92,806.22,08.25,08.25,0.00,8.25,8.25
103,?,?,?,?,?,8.25,?
104,?,?,?,?,?,?,?
105,44724.14,795.39,1158.15,18.15,0.94,?,8.15
106,?,?,?,?,?,8.15,?
107,43916.24,774.83,207.40,17.40,0.15,?,7.40
108,43364.70,764.32,07.40,07.40,0.00,7.40,7.40
109,43447.75,748.80,07.40,07.40,0.00,7.40,7.40
110,?,?,?,?,?,7.40,?
111,?,?,?,?,?,?,?
112,43360.30,754.56,2777.41,17.41,2.05,?,7.41
113,43159.57,750.26,3747.42,27.42,2.80,7.41,7.42
114,43356.73,753.01,6417.50,37.50,4.81,7.42,7.50
115,43482.18,753.51,07.50,07.50,0.00,7.50,7.50
116,43665.21,754.90,157.80,17.80,0.12,7.50,7.80
117,?,?,?,?,?,7.80,?
118,?,?,?,?,?,?,?
119,43882.16,766.31,13607.80,27.80,10.61,?,7.80
120,44162.18,776.50,07.80,07.80,0.00,7.80,7.80
121,?,?,?,?,?,7.80,?
122,43991.51,778.92,3527.79,27.79,2.74,?,7.79
123,?,?,?,?,?,7.79,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,44541.73,778.13,07.79,07.79,0.00,?,7.79
127,44742.22,781.86,173237.33,77.33,126.66,7.79,7.33
128,45117.94,782.65,07.33,07.33,0.00,7.33,7.33
129,44943.16,781.58,07.33,07.33,0.00,7.33,7.33
130,44895.35,783.10,07.33,07.33,0.00,7.33,7.33
131,?,?,?,?,?,7.33,?
132,?,?,?,?,?,?,?
133,45207.84,785.63,07.33,07.33,0.00,?,7.33
134,45771.11,787.41,14397.30,27.30,10.50,7.33,7.30
135,46102.42,791.27,07.30,07.30,0.00,7.30,7.30
136,45992.03,797.55,07.30,07.30,0.00,7.30,7.30
137,46078.68,807.85,07.30,07.30,0.00,7.30,7.30
138,?,?,?,?,?,7.30,?
139,?,?,?,?,?,?,?
140,46041.35,805.46,07.30,07.30,0.00,?,7.30
141,45851.80,802.36,7357.29,57.29,5.21,7.30,7.29
142,45933.66,802.44,1652627.35,67.35,1214.68,7.29,7.35
143,45687.76,799.56,07.35,07.35,0.00,7.35,7.35
144,46145.44,799.95,07.35,07.35,0.00,7.35,7.35
145,?,?,?,?,?,7.35,?
146,?,?,?,?,?,?,?
147,47277.10,803.87,07.35,07.35,0.00,?,7.35
148,47579.87,817.59,07.35,07.35,0.00,7.35,7.35
149,47476.64,818.62,07.35,07.35,0.00,7.35,7.35
150,?,?,?,?,?,7.35,?
151,47806.34,812.55,766.80,16.80,0.52,?,6.80
152,?,?,?,?,?,6.80,?
153,?,?,?,?,?,?,?
154,47175.79,811.28,06.80,06.80,0.00,?,6.80
155,47620.68,827.29,06.80,06.80,0.00,6.80,6.80
156,47805.94,822.00,66727.20,17.20,48.04,6.80,7.20
157,47573.66,825.44,299237.20,27.20,215.44,7.20,7.20
158,48209.65,833.27,07.20,07.20,0.00,7.20,7.20
159,?,?,?,?,?,7.20,?
160,?,?,?,?,?,?,?
161,48495.01,832.21,07.20,07.20,0.00,?,7.20
162,48324.52,830.21,07.20,07.20,0.00,7.20,7.20
163,48383.93,834.07,07.20,07.20,0.00,7.20,7.20
164,48152.82,823.27,07.20,07.20,0.00,7.20,7.20
165,48273.42,812.33,5386.50,66.50,3.61,7.20,6.50
166,?,?,?,?,?,6.50,?
167,?,?,?,?,?,?,?
168,48131.61,818.14,277.15,27.15,0.18,?,7.15
169,48119.72,819.04,1007.15,17.15,0.72,7.15,7.15
170,47743.10,821.56,07.15,07.15,0.00,7.15,7.15
171,45870.00,807.19,5826.76,16.76,3.93,7.15,6.76
172,44732.92,784.14,1636.16,26.16,1.03,6.76,6.16
173,?,?,?,?,?,6.16,?
174,?,?,?,?,?,?,?
175,44824.62,817.50,06.16,06.16,0.00,?,6.16
176,44966.09,815.69,06.16,06.16,0.00,6.16,6.16
177,44893.99,812.28,06.16,06.16,0.00,6.16,6.16
178,43667.37,810.66,06.16,06.16,0.00,6.16,6.16
179,44747.79,828.31,1626.16,16.16,1.00,6.16,6.16
180,?,?,?,?,?,6.16,?
181,?,?,?,?,?,?,?
182,44769.00,828.89,06.16,06.16,0.00,?,6.16
183,45533.94,834.81,06.16,06.16,0.00,6.16,6.16
184,45184.98,831.67,06.16,06.16,0.00,6.16,6.16
185,45613.75,833.56,06.16,06.16,0.00,6.16,6.16
186,45110.89,829.03,06.16,06.16,0.00,6.16,6.16
187,?,?,?,?,?,6.16,?
188,?,?,?,?,?,?,?
189,44534.34,829.35,06.16,06.16,0.00,?,6.16
190,44342.23,835.95,06.16,06.16,0.00,6.16,6.16
191,45068.55,834.08,06.16,06.16,0.00,6.16,6.16
192,45712.72,846.83,06.16,06.16,0.00,6.16,6.16
193,46150.78,851.12,14717.50,67.50,11.03,6.16,7.50
194,?,?,?,?,?,7.50,?
195,?,?,?,?,?,?,?
196,46218.05,841.34,1007.65,17.65,0.77,?,7.65
197,46155.10,847.20,2007.65,27.65,1.53,7.65,7.65
198,46287.08,841.92,8808.00,18.00,7.04,7.65,8.00
199,46221.23,835.62,17718.00,68.00,14.17,8.00,8.00
200,46399.74,827.03,08.00,08.00,0.00,8.00,8.00
201,?,?,?,?,?,8.00,?
202,?,?,?,?,?,?,?
203,46361.70,836.07,08.00,08.00,0.00,?,8.00
204,46714.43,826.21,08.00,08.00,0.00,8.00,8.00
205,46835.98,829.10,08.00,08.00,0.00,8.00,8.00
206,46713.02,833.47,50008.40,48.40,42.00,8.00,8.40
207,46258.91,828.78,8008.50,18.50,6.80,8.40,8.50
208,?,?,?,?,?,8.50,?
209,?,?,?,?,?,?,?
210,46480.62,828.93,08.50,08.50,0.00,?,8.50
211,46663.41,830.71,5008.00,18.00,4.00,8.50,8.00
212,46925.65,834.03,17028.35,38.35,14.18,8.00,8.35
213,47370.81,828.08,5268.50,18.50,4.47,8.35,8.50
214,48325.33,832.32,08.50,08.50,0.00,8.50,8.50
215,?,?,?,?,?,8.50,?
216,?,?,?,?,?,?,?
217,48458.44,832.30,08.50,08.50,0.00,?,8.50
218,47942.81,828.82,18.00,18.00,0.01,8.50,8.00
219,48306.55,825.54,08.00,08.00,0.00,8.00,8.00
220,48862.88,817.92,2508.00,28.00,2.00,8.00,8.00
221,49125.36,808.11,287.88,27.88,0.22,8.00,7.88
222,?,?,?,?,?,7.88,?
223,?,?,?,?,?,?,?
224,49580.16,810.35,07.88,07.88,0.00,?,7.88
225,49747.66,809.96,507.88,17.88,0.39,7.88,7.88
226,50223.95,810.20,07.88,07.88,0.00,7.88,7.88
227,?,?,?,?,?,7.88,?
228,49976.48,807.81,7217.80,17.80,5.62,?,7.80
229,?,?,?,?,?,7.80,?
230,?,?,?,?,?,?,?
231,49772.46,806.40,07.80,07.80,0.00,?,7.80
232,49162.16,797.53,07.80,07.80,0.00,7.80,7.80
233,49128.05,799.53,877.65,17.65,0.67,7.80,7.65
234,49846.48,808.23,07.65,07.65,0.00,7.65,7.65
235,49895.10,807.44,1157.75,17.75,0.89,7.65,7.75
236,?,?,?,?,?,7.75,?
237,?,?,?,?,?,?,?
238,49818.48,802.90,07.75,07.75,0.00,?,7.75
239,48833.58,801.21,07.75,07.75,0.00,7.75,7.75
240,48537.65,809.89,07.75,07.75,0.00,7.75,7.75
241,48676.45,810.38,12388.00,38.00,9.90,7.75,8.00
242,48871.98,814.59,1318.40,28.40,1.10,8.00,8.40
243,?,?,?,?,?,8.40,?
244,?,?,?,?,?,?,?
245,49187.22,810.85,08.40,08.40,0.00,?,8.40
246,48968.87,813.16,08.40,08.40,0.00,8.40,8.40
247,47919.09,809.19,08.40,08.40,0.00,8.40,8.40
248,45830.66,802.87,08.40,08.40,0.00,8.40,8.40
249,46717.04,812.70,08.40,08.40,0.00,8.40,8.40
250,?,?,?,?,?,8.40,?
251,?,?,?,?,?,?,?
252,47808.90,814.52,08.40,08.40,0.00,?,8.40
253,48961.51,825.20,08.40,08.40,0.00,8.40,8.40
254,49437.02,845.31,08.40,08.40,0.00,8.40,8.40
255,49771.55,847.48,08.40,08.40,0.00,8.40,8.40
256,49348.61,847.60,08.40,08.40,0.00,8.40,8.40
257,?,?,?,?,?,8.40,?
258,?,?,?,?,?,?,?
259,48917.85,844.92,08.40,08.40,0.00,?,8.40
260,49434.46,849.85,157758.00,18.00,126.20,8.40,8.00
261,49413.33,847.56,08.00,08.00,0.00,8.00,8.00
262,50300.53,842.09,877.90,17.90,0.69,8.00,7.90
263,50308.19,841.39,07.90,07.90,0.00,7.90,7.90
264,?,?,?,?,?,7.90,?
265,?,?,?,?,?,?,?
266,49955.87,831.22,07.90,07.90,0.00,?,7.90
267,49979.47,833.19,07.90,07.90,0.00,7.90,7.90
268,50301.69,833.30,07.90,07.90,0.00,7.90,7.90
269,50936.34,846.31,07.90,07.90,0.00,7.90,7.90
270,50819.81,846.91,07.90,07.90,0.00,7.90,7.90
271,?,?,?,?,?,7.90,?
272,?,?,?,?,?,?,?
273,50301.85,849.49,07.90,07.90,0.00,?,7.90
274,50782.48,855.03,07.90,07.90,0.00,7.90,7.90
275,50803.40,852.55,07.90,07.90,0.00,7.90,7.90
276,50982.03,848.01,07.90,07.90,0.00,7.90,7.90
277,50601.24,847.22,07.90,07.90,0.00,7.90,7.90
278,?,?,?,?,?,7.90,?
279,?,?,?,?,?,?,?
280,50338.71,848.45,57928.10,38.10,46.89,?,8.10
281,50137.88,853.05,08.10,08.10,0.00,8.10,8.10
282,50335.02,858.02,08.10,08.10,0.00,8.10,8.10
