%310
@RELATION PLPMPOL00031
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,3718.83,48389.84,2835.52,02.74,02.74,0.00,?,2.74
3,783.15,48222.72,3696.13,48505.50,2832.46,7982.74,12.74,2.19,2.74,2.74
4,781.69,47888.16,3651.18,48143.94,2814.73,3552.80,12.80,0.99,2.74,2.80
5,?,?,?,?,?,?,?,?,2.80,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,3642.19,47820.24,2793.31,32.92,12.92,0.01,?,2.92
8,780.70,47379.63,3576.33,47624.67,2790.64,70702.92,62.92,20.64,2.92,2.92
9,784.82,47407.28,3508.84,47668.58,2784.62,1732.91,32.91,0.49,2.92,2.91
10,788.85,47546.91,3558.48,47798.66,2800.96,02.91,02.91,0.00,2.91,2.91
11,795.36,47440.80,3558.82,47690.97,2815.88,10452.91,52.91,3.00,2.91,2.91
12,?,?,?,?,?,?,?,?,2.91,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,3578.44,47724.95,2820.74,02.91,02.91,0.00,?,2.91
15,794.59,47086.54,3558.20,47346.41,2817.16,11132.76,42.76,3.06,2.91,2.76
16,796.34,47521.39,3558.19,47794.60,2825.40,18892.88,62.88,5.17,2.76,2.88
17,803.56,47661.37,3543.16,47936.81,2848.09,21172.84,42.84,5.90,2.88,2.84
18,807.72,47813.69,3562.92,48104.67,2864.72,35362.62,82.62,9.56,2.84,2.62
19,?,?,?,?,?,?,?,?,2.62,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,3699.59,48184.37,2890.14,1212.62,22.62,0.32,?,2.62
22,808.23,47872.80,3655.10,48127.89,2892.80,12722.62,12.62,3.33,2.62,2.62
23,808.40,47733.24,3659.94,47999.21,2890.57,126762.80,82.80,33.92,2.62,2.80
24,811.80,47942.04,3700.17,48203.43,2898.85,12292.75,32.75,3.47,2.80,2.75
25,812.99,47613.95,3718.94,47851.99,2897.93,02.75,02.75,0.00,2.75,2.75
26,?,?,?,?,?,?,?,?,2.75,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,3735.07,47553.14,2886.17,6792.62,32.62,1.78,?,2.62
29,815.93,47328.40,3714.68,47565.10,2878.58,21502.55,62.55,5.51,2.62,2.55
30,815.59,46917.19,3756.63,47113.08,2876.68,15702.75,42.75,4.31,2.55,2.75
31,817.14,46840.15,3809.65,47011.43,2880.57,75442.90,102.90,21.47,2.75,2.90
32,818.68,46945.58,3793.66,47121.08,2883.81,02.90,02.90,0.00,2.90,2.90
33,?,?,?,?,?,?,?,?,2.90,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,3715.56,46735.25,2856.17,167162.88,92.88,48.12,?,2.88
36,816.68,46674.78,3715.75,46862.43,2843.49,10002.72,12.72,2.72,2.88,2.72
37,813.75,46149.14,3658.81,46341.54,2811.05,34002.67,42.67,9.13,2.72,2.67
38,811.13,46329.66,3691.32,46512.72,2815.91,02.67,02.67,0.00,2.67,2.67
39,813.77,46741.54,3696.69,46931.40,2825.70,343752.74,102.74,92.53,2.67,2.74
40,?,?,?,?,?,?,?,?,2.74,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,3695.92,46988.04,2826.84,56322.74,22.74,15.41,?,2.74
43,817.32,46399.26,3702.31,46564.61,2821.25,02.74,02.74,0.00,2.74,2.74
44,817.35,46406.74,3714.64,46569.81,2825.02,02.74,02.74,0.00,2.74,2.74
45,818.81,46211.54,3733.52,46360.51,2825.15,02.74,02.74,0.00,2.74,2.74
46,826.73,46370.13,3763.34,46523.63,2838.22,02.74,02.74,0.00,2.74,2.74
47,?,?,?,?,?,?,?,?,2.74,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,3757.44,46665.39,2848.48,25752.73,52.73,6.96,?,2.73
50,832.30,46490.89,3763.52,46652.19,2843.90,02.73,02.73,0.00,2.73,2.73
51,830.62,46051.76,3745.72,46198.42,2831.71,02.73,02.73,0.00,2.73,2.73
52,823.32,45879.90,3760.90,46050.52,2801.83,3452.72,52.72,0.90,2.73,2.72
53,826.66,45948.12,3733.92,46124.82,2817.57,02.72,02.72,0.00,2.72,2.72
54,?,?,?,?,?,?,?,?,2.72,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,3698.83,46487.05,2840.57,02.72,02.72,0.00,?,2.72
57,828.81,45868.35,3687.46,46065.85,2831.16,02.72,02.72,0.00,2.72,2.72
58,836.69,46241.92,3723.24,46459.99,2855.69,4102.67,42.67,1.05,2.72,2.67
59,844.08,46280.36,3694.46,46510.83,2865.27,10202.60,42.60,2.53,2.67,2.60
60,842.02,46341.14,3596.60,46622.90,2859.05,10102.59,22.59,2.61,2.60,2.59
61,?,?,?,?,?,?,?,?,2.59,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,3528.81,46454.13,2860.68,02.59,02.59,0.00,?,2.59
64,845.88,46676.09,3522.56,47001.38,2868.06,02.59,02.59,0.00,2.59,2.59
65,849.88,46762.65,3541.17,47090.49,2872.90,43902.59,32.59,11.10,2.59,2.59
66,855.99,46745.26,3558.65,47060.66,2873.49,101302.52,82.52,25.37,2.59,2.52
67,861.67,47074.39,3529.57,47436.21,2906.74,72962.53,72.53,18.40,2.52,2.53
68,?,?,?,?,?,?,?,?,2.53,?
69,?,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,3595.74,47269.75,2914.24,25502.56,12.56,6.53,?,2.56
71,866.79,47010.40,3613.57,47340.43,2911.38,69942.51,112.51,17.39,2.56,2.51
72,872.90,46888.37,3595.65,47235.72,2901.67,02.51,02.51,0.00,2.51,2.51
73,871.52,47223.68,3593.14,47606.16,2912.13,4002.50,12.50,1.00,2.51,2.50
74,873.21,47125.93,3575.34,47522.10,2909.77,59802.51,52.51,14.99,2.50,2.51
75,?,?,?,?,?,?,?,?,2.51,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,3531.93,47094.18,2900.59,4002.50,12.50,1.00,?,2.50
78,864.73,46029.35,3446.97,46473.62,2868.24,11862.45,32.45,2.91,2.50,2.45
79,862.97,46068.24,3416.12,46511.62,2874.75,02.45,02.45,0.00,2.45,2.45
80,850.86,45580.47,3320.24,46017.88,2833.61,32202.42,52.42,7.55,2.45,2.42
81,845.32,45066.18,3327.55,45473.08,2800.67,02.42,02.42,0.00,2.42,2.42
82,?,?,?,?,?,?,?,?,2.42,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,3387.98,44946.32,2780.21,25222.35,52.35,5.94,?,2.35
85,830.80,44724.88,3369.87,45119.16,2774.13,17002.03,42.03,3.54,2.35,2.03
86,835.51,45247.90,3430.06,45644.09,2785.46,105261.95,121.95,20.94,2.03,1.95
87,839.42,45147.57,3478.60,45528.85,2797.31,5001.92,11.92,0.96,1.95,1.92
88,?,?,?,?,?,?,?,?,1.92,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,3523.68,45679.51,2814.33,4001.97,11.97,0.79,?,1.97
93,828.79,44604.61,3482.18,44940.36,2769.02,01.97,01.97,0.00,1.97,1.97
94,824.35,44623.89,3486.55,44980.62,2766.19,31012.30,32.30,6.83,1.97,2.30
95,819.73,44597.66,3479.32,44960.02,2760.91,11712.59,82.59,2.75,2.30,2.59
96,?,?,?,?,?,?,?,?,2.59,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,3450.97,44963.96,2764.28,02.59,02.59,0.00,?,2.59
99,815.74,44725.03,3474.49,45096.35,2767.26,92.53,12.53,0.02,2.59,2.53
100,820.16,45091.63,3463.81,45495.34,2780.21,02.53,02.53,0.00,2.53,2.53
101,824.04,45688.48,3504.28,46131.66,2794.43,02.53,02.53,0.00,2.53,2.53
102,819.29,45525.92,3481.04,45960.10,2783.53,1742.53,22.53,0.41,2.53,2.53
103,?,?,?,?,?,?,?,?,2.53,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,3368.83,45167.65,2754.91,02.53,02.53,0.00,?,2.53
106,?,?,?,?,?,?,?,?,2.53,?
107,796.68,43916.24,3195.69,44404.81,2705.88,3002.28,12.28,0.68,?,2.28
108,787.39,43364.70,3142.65,43850.06,2695.55,02.28,02.28,0.00,2.28,2.28
109,783.37,43447.75,2992.95,43993.98,2685.57,52.45,12.45,0.01,2.28,2.45
110,?,?,?,?,?,?,?,?,2.45,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,3007.40,43892.82,2660.28,1602.45,12.45,0.39,?,2.45
113,769.16,43159.57,3011.64,43707.88,2624.40,02.45,02.45,0.00,2.45,2.45
