%310
@RELATION PLATLPL00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,16013.24,83.24,5.17,?,3.24
3,783.15,48222.72,48505.50,62663.24,103.24,20.09,3.24,3.24
4,781.69,47888.16,48143.94,31933.24,123.24,10.34,3.24,3.24
5,?,?,?,?,?,?,3.24,?
6,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,68303.55,243.55,22.69,?,3.55
8,780.70,47379.63,47624.67,96483.77,253.77,35.77,3.55,3.77
9,784.82,47407.28,47668.58,60694.15,264.15,24.71,3.77,4.15
10,788.85,47546.91,47798.66,11844.10,84.10,4.86,4.15,4.10
11,795.36,47440.80,47690.97,47744.00,114.00,18.72,4.10,4.00
12,?,?,?,?,?,?,4.00,?
13,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,10734.40,104.40,4.38,?,4.40
15,794.59,47086.54,47346.41,72054.80,324.80,34.63,4.40,4.80
16,796.34,47521.39,47794.60,126395.60,535.60,69.42,4.80,5.60
17,803.56,47661.37,47936.81,84295.40,405.40,45.68,5.60,5.40
18,807.72,47813.69,48104.67,33615.31,195.31,17.90,5.40,5.31
19,?,?,?,?,?,?,5.31,?
20,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,25025.06,165.06,13.00,?,5.06
22,808.23,47872.80,48127.89,14044.86,134.86,6.78,5.06,4.86
23,808.40,47733.24,47999.21,19304.80,64.80,8.95,4.86,4.80
24,811.80,47942.04,48203.43,7095.19,65.19,3.60,4.80,5.19
25,812.99,47613.95,47851.99,34865.50,145.50,18.75,5.19,5.50
26,?,?,?,?,?,?,5.50,?
27,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,65165.50,155.50,35.92,?,5.50
29,815.93,47328.40,47565.10,22115.69,125.69,11.86,5.50,5.69
30,815.59,46917.19,47113.08,33915.60,105.60,18.57,5.69,5.60
31,817.14,46840.15,47011.43,32995.50,65.50,18.12,5.60,5.50
32,818.68,46945.58,47121.08,39645.40,95.40,21.72,5.50,5.40
33,?,?,?,?,?,?,5.40,?
34,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,7405.30,85.30,4.01,?,5.30
36,816.68,46674.78,46862.43,55.52,55.52,0.03,5.30,5.52
37,813.75,46149.14,46341.54,55.50,55.50,0.03,5.52,5.50
38,811.13,46329.66,46512.72,955.10,15.10,0.48,5.50,5.10
39,813.77,46741.54,46931.40,05.10,05.10,0.00,5.10,5.10
40,?,?,?,?,?,?,5.10,?
41,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,565.10,25.10,0.29,?,5.10
43,817.32,46399.26,46564.61,594.90,14.90,0.29,5.10,4.90
44,817.35,46406.74,46569.81,8894.85,14.85,4.31,4.90,4.85
45,818.81,46211.54,46360.51,23675.39,105.39,12.76,4.85,5.39
46,826.73,46370.13,46523.63,05.39,05.39,0.00,5.39,5.39
47,?,?,?,?,?,?,5.39,?
48,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,21445.55,65.55,11.76,?,5.55
50,832.30,46490.89,46652.19,28885.70,105.70,15.96,5.55,5.70
51,830.62,46051.76,46198.42,3905.70,35.70,2.15,5.70,5.70
52,823.32,45879.90,46050.52,25.67,25.67,0.01,5.70,5.67
53,826.66,45948.12,46124.82,42475.50,75.50,22.90,5.67,5.50
54,?,?,?,?,?,?,5.50,?
55,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,1085.45,105.45,0.59,?,5.45
57,828.81,45868.35,46065.85,85.45,85.45,0.04,5.45,5.45
58,836.69,46241.92,46459.99,105.40,105.40,0.05,5.45,5.40
59,844.08,46280.36,46510.83,16565.45,75.45,8.91,5.40,5.45
60,842.02,46341.14,46622.90,4105.45,35.45,2.23,5.45,5.45
61,?,?,?,?,?,?,5.45,?
62,?,?,?,?,?,?,?,?
63,838.26,46137.70,46454.13,305.45,155.45,0.16,?,5.45
64,845.88,46676.09,47001.38,205.45,105.45,0.11,5.45,5.45
65,849.88,46762.65,47090.49,5305.45,135.45,2.84,5.45,5.45
66,855.99,46745.26,47060.66,29315.75,215.75,16.25,5.45,5.75
67,861.67,47074.39,47436.21,72096.01,286.01,43.19,5.75,6.01
68,?,?,?,?,?,?,6.01,?
69,?,?,?,?,?,?,?,?
70,863.89,46933.03,47269.75,1696.26,56.26,1.04,?,6.26
71,866.79,47010.40,47340.43,106.11,16.11,0.06,6.26,6.11
72,872.90,46888.37,47235.72,19205.87,75.87,11.09,6.11,5.87
73,871.52,47223.68,47606.16,4055.95,75.95,2.41,5.87,5.95
74,873.21,47125.93,47522.10,4936.00,36.00,2.96,5.95,6.00
75,?,?,?,?,?,?,6.00,?
76,?,?,?,?,?,?,?,?
77,868.37,46668.41,47094.18,3006.00,26.00,1.80,?,6.00
78,864.73,46029.35,46473.62,06.00,06.00,0.00,6.00,6.00
79,862.97,46068.24,46511.62,06.00,06.00,0.00,6.00,6.00
80,850.86,45580.47,46017.88,556.05,206.05,0.33,6.00,6.05
81,845.32,45066.18,45473.08,9635.89,165.89,5.41,6.05,5.89
82,?,?,?,?,?,?,5.89,?
83,?,?,?,?,?,?,?,?
84,839.36,44585.10,44946.32,2565.38,85.38,1.39,?,5.38
85,830.80,44724.88,45119.16,05.38,05.38,0.00,5.38,5.38
86,835.51,45247.90,45644.09,12235.40,15.40,6.60,5.38,5.40
87,839.42,45147.57,45528.85,1165.13,25.13,0.59,5.40,5.13
88,?,?,?,?,?,?,5.13,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,840.31,45304.74,45679.51,155.40,55.40,0.08,?,5.40
93,828.79,44604.61,44940.36,22005.30,25.30,11.66,5.40,5.30
94,824.35,44623.89,44980.62,2145.13,15.13,1.10,5.30,5.13
95,819.73,44597.66,44960.02,125.48,105.48,0.07,5.13,5.48
96,?,?,?,?,?,?,5.48,?
97,?,?,?,?,?,?,?,?
98,818.75,44590.97,44963.96,105.48,105.48,0.05,?,5.48
99,815.74,44725.03,45096.35,125.48,115.48,0.07,5.48,5.48
100,820.16,45091.63,45495.34,05.48,05.48,0.00,5.48,5.48
101,824.04,45688.48,46131.66,3615.29,125.29,1.82,5.48,5.29
102,819.29,45525.92,45960.10,2054.91,14.91,1.01,5.29,4.91
103,?,?,?,?,?,?,4.91,?
104,?,?,?,?,?,?,?,?
105,814.07,44724.14,45167.65,04.91,04.91,0.00,?,4.91
106,?,?,?,?,?,?,4.91,?
107,796.68,43916.24,44404.81,2004.91,14.91,0.98,?,4.91
108,787.39,43364.70,43850.06,28104.80,84.80,13.49,4.91,4.80
109,783.37,43447.75,43993.98,15994.50,134.50,7.15,4.80,4.50
110,?,?,?,?,?,?,4.50,?
111,?,?,?,?,?,?,?,?
112,776.37,43360.30,43892.82,504.95,104.95,0.25,?,4.95
113,769.16,43159.57,43707.88,15004.94,14.94,7.41,4.95,4.94
114,769.82,43356.73,43908.95,64.95,64.95,0.03,4.94,4.95
115,774.88,43482.18,44027.03,1124.95,74.95,0.54,4.95,4.95
116,777.86,43665.21,44226.06,644.80,64.80,0.29,4.95,4.80
117,?,?,?,?,?,?,4.80,?
118,?,?,?,?,?,?,?,?
119,779.98,43882.16,44420.22,604.60,84.60,0.27,?,4.60
120,784.81,44162.18,44653.34,13054.30,54.30,5.56,4.60,4.30
121,?,?,?,?,?,?,4.30,?
122,787.45,43991.51,44466.89,04.30,04.30,0.00,?,4.30
123,?,?,?,?,?,?,4.30,?
124,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?
126,786.57,44541.73,45060.80,174.21,74.21,0.07,?,4.21
127,793.09,44742.22,45244.29,134.59,104.59,0.06,4.21,4.59
128,798.10,45117.94,45647.76,2594.60,104.60,1.19,4.59,4.60
129,800.71,44943.16,45475.08,134.60,104.60,0.06,4.60,4.60
130,800.42,44895.35,45408.06,2614.70,24.70,1.20,4.60,4.70
131,?,?,?,?,?,?,4.70,?
132,?,?,?,?,?,?,?,?
133,802.74,45207.84,45746.01,5584.50,104.50,2.36,?,4.50
134,804.49,45771.11,46336.62,34.70,14.70,0.01,4.50,4.70
135,802.28,46102.42,46676.61,2304.50,114.50,1.04,4.70,4.50
136,806.45,45992.03,46581.16,133314.89,54.89,65.09,4.50,4.89
137,810.69,46078.68,46646.58,5604.71,134.71,2.67,4.89,4.71
138,?,?,?,?,?,?,4.71,?
139,?,?,?,?,?,?,?,?
140,815.60,46041.35,46615.31,6104.71,104.71,2.81,?,4.71
141,819.76,45851.80,46439.10,04.71,04.71,0.00,4.71,4.71
142,818.82,45933.66,46529.96,504.80,104.80,0.24,4.71,4.80
143,814.69,45687.76,46311.26,324.80,104.80,0.15,4.80,4.80
144,820.11,46145.44,46783.61,04.80,04.80,0.00,4.80,4.80
145,?,?,?,?,?,?,4.80,?
146,?,?,?,?,?,?,?,?
147,828.12,47277.10,47957.54,7104.70,94.70,3.30,?,4.70
148,838.40,47579.87,48258.02,214.90,94.90,0.10,4.70,4.90
149,842.72,47476.64,48138.07,4604.75,14.75,2.19,4.90,4.75
150,?,?,?,?,?,?,4.75,?
151,841.72,47806.34,48503.87,04.75,04.75,0.00,?,4.75
152,?,?,?,?,?,?,4.75,?
153,?,?,?,?,?,?,?,?
154,839.57,47175.79,47868.36,304.80,104.80,0.14,?,4.80
155,854.67,47620.68,48323.88,214.90,144.90,0.10,4.80,4.90
156,859.35,47805.94,48513.29,8604.75,24.75,4.13,4.90,4.75
157,864.95,47573.66,48259.19,15804.90,214.90,7.74,4.75,4.90
158,866.67,48209.65,48918.37,104.85,104.85,0.05,4.90,4.85
159,?,?,?,?,?,?,4.85,?
160,?,?,?,?,?,?,?,?
161,870.65,48495.01,49207.65,2634.71,124.71,1.25,?,4.71
162,870.60,48324.52,49050.96,3134.80,144.80,1.46,4.71,4.80
163,878.91,48383.93,49098.70,3224.80,124.80,1.53,4.80,4.80
164,877.48,48152.82,48890.47,16244.89,114.89,7.84,4.80,4.89
165,880.65,48273.42,49057.66,9474.95,114.95,4.52,4.89,4.95
166,?,?,?,?,?,?,4.95,?
167,?,?,?,?,?,?,?,?
168,883.59,48131.61,48917.56,765.20,615.20,0.40,?,5.20
169,886.71,48119.72,48891.04,1084.94,524.94,0.55,5.20,4.94
170,885.25,47743.10,48509.84,50574.94,534.94,25.00,4.94,4.94
171,864.38,45870.00,46587.68,565.19,505.19,0.29,4.94,5.19
172,855.18,44732.92,45456.77,495.19,435.19,0.25,5.19,5.19
173,?,?,?,?,?,?,5.19,?
174,?,?,?,?,?,?,?,?
175,857.74,44824.62,45531.46,10605.15,105.15,5.24,?,5.15
176,863.23,44966.09,45672.10,125.00,95.00,0.06,5.15,5.00
177,858.05,44893.99,45601.51,12645.15,25.15,6.51,5.00,5.15
178,847.97,43667.37,44326.49,15.00,15.00,0.01,5.15,5.00
179,848.08,44747.79,45442.51,16584.94,64.94,8.19,5.00,4.94
180,?,?,?,?,?,?,4.94,?
181,?,?,?,?,?,?,?,?
182,848.80,44769.00,45461.06,6734.94,14.94,3.32,?,4.94
183,853.37,45533.94,46254.71,124.94,114.94,0.06,4.94,4.94
184,850.45,45184.98,45899.36,114.98,114.98,0.05,4.94,4.98
185,855.94,45613.75,46344.42,36404.50,144.50,16.55,4.98,4.50
186,851.88,45110.89,45805.34,10454.50,114.50,4.70,4.50,4.50
187,?,?,?,?,?,?,4.50,?
188,?,?,?,?,?,?,?,?
189,849.30,44534.34,45172.40,9124.54,104.54,4.12,?,4.54
190,842.60,44342.23,44969.23,4884.50,114.50,2.20,4.54,4.50
191,844.03,45068.55,45727.71,84.50,84.50,0.04,4.50,4.50
192,845.84,45712.72,46390.36,31714.65,44.65,14.51,4.50,4.65
193,849.99,46150.78,46839.89,94.99,94.99,0.04,4.65,4.99
194,?,?,?,?,?,?,4.99,?
195,?,?,?,?,?,?,?,?
196,850.04,46218.05,46922.43,984.80,114.80,0.47,?,4.80
197,847.84,46155.10,46860.35,104.80,104.80,0.05,4.80,4.80
198,845.85,46287.08,47003.76,94.80,94.80,0.04,4.80,4.80
199,845.70,46221.23,46919.83,364.95,114.95,0.17,4.80,4.95
200,848.06,46399.74,47120.88,134.95,94.95,0.06,4.95,4.95
201,?,?,?,?,?,?,4.95,?
202,?,?,?,?,?,?,?,?
203,849.27,46361.70,47075.43,104.90,104.90,0.05,?,4.90
204,852.44,46714.43,47454.90,124.90,124.90,0.06,4.90,4.90
205,858.02,46835.98,47575.74,124.90,124.90,0.06,4.90,4.90
206,858.31,46713.02,47446.69,04.90,04.90,0.00,4.90,4.90
207,858.83,46258.91,46981.22,04.90,04.90,0.00,4.90,4.90
208,?,?,?,?,?,?,4.90,?
209,?,?,?,?,?,?,?,?
210,862.18,46480.62,47214.30,35684.90,214.90,16.52,?,4.90
211,870.15,46663.41,47398.08,104.90,104.90,0.05,4.90,4.90
212,878.25,46925.65,47676.43,134.90,134.90,0.06,4.90,4.90
213,881.30,47370.81,48147.76,21624.81,174.81,10.37,4.90,4.81
214,884.10,48325.33,49133.14,14184.85,214.85,6.63,4.81,4.85
215,?,?,?,?,?,?,4.85,?
216,?,?,?,?,?,?,?,?
217,891.59,48458.44,49272.86,04.85,04.85,0.00,?,4.85
218,891.86,47942.81,48742.34,11104.60,34.60,5.11,4.85,4.60
219,898.91,48306.55,49124.78,10704.58,54.58,4.91,4.60,4.58
220,903.85,48862.88,49700.18,4044.56,34.56,1.92,4.58,4.56
221,909.96,49125.36,49994.77,3964.56,24.56,1.81,4.56,4.56
222,?,?,?,?,?,?,4.56,?
223,?,?,?,?,?,?,?,?
224,918.93,49580.16,50476.37,8394.45,54.45,3.79,?,4.45
225,922.16,49747.66,50646.05,04.45,04.45,0.00,4.45,4.45
226,928.58,50223.95,51152.95,274.44,14.44,0.12,4.45,4.44
227,?,?,?,?,?,?,4.44,?
228,928.83,49976.48,50906.11,28654.63,44.63,13.18,?,4.63
229,?,?,?,?,?,?,4.63,?
230,?,?,?,?,?,?,?,?
231,919.57,49772.46,50713.14,1948014.66,134.66,901.97,?,4.66
232,914.58,49162.16,50077.30,40554.66,144.66,18.92,4.66,4.66
233,920.30,49128.05,50032.45,2119374.62,54.62,979.15,4.66,4.62
234,931.73,49846.48,50780.47,94.62,94.62,0.04,4.62,4.62
235,930.27,49895.10,50836.47,48454.63,124.63,22.43,4.62,4.63
236,?,?,?,?,?,?,4.63,?
237,?,?,?,?,?,?,?,?
238,927.73,49818.48,50756.86,55204.78,154.78,25.61,?,4.78
239,921.40,48833.58,49731.02,15704.60,44.60,7.23,4.78,4.60
240,919.00,48537.65,49421.50,84.87,84.87,0.04,4.60,4.87
241,924.88,48676.45,49569.11,15654.87,174.87,7.59,4.87,4.87
242,925.91,48871.98,49771.98,204.87,204.87,0.10,4.87,4.87
243,?,?,?,?,?,?,4.87,?
244,?,?,?,?,?,?,?,?
245,929.89,49187.22,50099.55,32085.00,115.00,15.56,?,5.00
246,926.93,48968.87,49861.54,125.00,125.00,0.06,5.00,5.00
247,918.91,47919.09,48781.63,15305.00,115.00,7.57,5.00,5.00
248,890.19,45830.66,46598.42,3735.00,105.00,1.76,5.00,5.00
