%310
@RELATION PLMSTZB00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1718.26,48389.84,2835.52,1097361.18,601.18,129.95,?,1.18
3,10554.18,48222.72,1714.83,48505.50,2832.46,2192121.22,691.22,264.75,1.18,1.22
4,10519.33,47888.16,1719.23,48143.94,2814.73,2484911.25,891.25,307.37,1.22,1.25
5,?,?,?,?,?,?,?,?,1.25,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1719.82,47820.24,2793.31,1618591.27,931.27,203.43,?,1.27
8,10500.71,47379.63,1714.18,47624.67,2790.64,1346281.23,631.23,166.28,1.27,1.23
9,10503.06,47407.28,1722.98,47668.58,2784.62,696601.24,321.24,86.22,1.23,1.24
10,10496.80,47546.91,1717.51,47798.66,2800.96,1081261.22,381.22,132.19,1.24,1.22
11,10595.04,47440.80,1761.65,47690.97,2815.88,971181.24,341.24,120.11,1.22,1.24
12,?,?,?,?,?,?,?,?,1.24,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1787.10,47724.95,2820.74,1921111.27,431.27,243.15,?,1.27
15,10638.06,47086.54,1789.24,47346.41,2817.16,5887361.34,2251.34,776.01,1.27,1.34
16,10673.05,47521.39,1813.57,47794.60,2825.40,2303801.35,861.35,310.64,1.34,1.35
17,10767.29,47661.37,1796.76,47936.81,2848.09,2534531.37,1011.37,346.21,1.35,1.37
18,10903.93,47813.69,1830.45,48104.67,2864.72,2933141.37,961.37,405.64,1.37,1.37
19,?,?,?,?,?,?,?,?,1.37,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1829.00,48184.37,2890.14,2174581.35,811.35,296.94,?,1.35
22,11073.63,47872.80,1822.02,48127.89,2892.80,2190481.31,811.31,288.19,1.35,1.31
23,11071.80,47733.24,1819.73,47999.21,2890.57,736391.32,561.32,95.90,1.31,1.32
24,11108.21,47942.04,1794.79,48203.43,2898.85,339241.32,251.32,44.59,1.32,1.32
25,11174.05,47613.95,1818.33,47851.99,2897.93,8552661.27,741.27,1115.22,1.32,1.27
26,?,?,?,?,?,?,?,?,1.27,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1811.61,47553.14,2886.17,1190601.27,561.27,150.26,?,1.27
29,11165.66,47328.40,1804.79,47565.10,2878.58,865031.28,361.28,110.49,1.27,1.28
30,11183.61,46917.19,1825.50,47113.08,2876.68,678111.27,301.27,86.17,1.28,1.27
31,11245.80,46840.15,1817.11,47011.43,2880.57,493781.27,241.27,62.83,1.27,1.27
32,11241.00,46945.58,1834.26,47121.08,2883.81,368471.29,221.29,47.34,1.27,1.29
33,?,?,?,?,?,?,?,?,1.29,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1819.69,46735.25,2856.17,358011.29,311.29,46.52,?,1.29
36,11060.84,46674.78,1784.50,46862.43,2843.49,2890501.26,701.26,361.03,1.29,1.26
37,10953.57,46149.14,1779.66,46341.54,2811.05,25659991.27,351.27,3207.90,1.26,1.27
38,10950.03,46329.66,1758.77,46512.72,2815.91,2587411.28,991.28,333.93,1.27,1.28
39,10986.53,46741.54,1769.71,46931.40,2825.70,2496031.31,701.31,322.89,1.28,1.31
40,?,?,?,?,?,?,?,?,1.31,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,1762.40,46988.04,2826.84,4928391.36,2171.36,663.07,?,1.36
43,10981.98,46399.26,1785.06,46564.61,2821.25,3543971.31,1271.31,473.57,1.36,1.31
44,11022.58,46406.74,1780.69,46569.81,2825.02,1264051.29,871.29,163.22,1.31,1.29
45,11017.48,46211.54,1783.79,46360.51,2825.15,943171.30,501.30,123.00,1.29,1.30
46,11071.18,46370.13,1804.96,46523.63,2838.22,255761.32,241.32,33.61,1.30,1.32
47,?,?,?,?,?,?,?,?,1.32,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,1814.39,46665.39,2848.48,493701.31,231.31,64.94,?,1.31
50,11119.72,46490.89,1821.72,46652.19,2843.90,6463991.40,3181.40,887.82,1.31,1.40
51,11014.53,46051.76,1809.28,46198.42,2831.71,6713051.38,2481.38,950.67,1.40,1.38
52,10948.88,45879.90,1812.57,46050.52,2801.83,4757301.43,2061.43,667.56,1.38,1.43
53,10985.79,45948.12,1826.84,46124.82,2817.57,6860251.46,2031.46,999.09,1.43,1.46
54,?,?,?,?,?,?,?,?,1.46,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,1850.28,46487.05,2840.57,2092021.43,1021.43,299.91,?,1.43
57,10972.28,45868.35,1831.29,46065.85,2831.16,1449421.43,601.43,204.68,1.43,1.43
58,11039.20,46241.92,1848.22,46459.99,2855.69,1274621.41,651.41,180.43,1.43,1.41
59,11052.03,46280.36,1866.67,46510.83,2865.27,587041.43,481.43,83.26,1.41,1.43
60,11010.83,46341.14,1880.05,46622.90,2859.05,3235271.40,721.40,453.54,1.43,1.40
