%310
@RELATION PLPKO0000016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?,?,?
2,2624.35,2626.21,48107.89,3789.17,3791.86,6723.16,48389.84,154748237.35,258037.35,57755.07,?,37.35
3,2629.86,2628.36,48222.72,3797.12,3794.96,6702.54,48505.50,196873937.35,353937.35,73456.20,37.35,37.35
4,2611.26,2601.73,47888.16,3770.27,3756.50,6640.07,48143.94,213565736.70,295636.70,78814.50,37.35,36.70
5,?,?,?,?,?,?,?,?,?,?,36.70,?
6,?,?,?,?,?,?,?,?,?,?,?,?
7,2594.16,2578.48,47589.33,3745.58,3722.95,6569.07,47820.24,177646636.13,233836.13,64482.95,?,36.13
8,2579.49,2562.63,47379.63,3724.40,3700.06,6496.43,47624.67,248496835.60,240535.60,89209.87,36.13,35.60
9,2582.76,2567.59,47407.28,3729.12,3707.22,6538.98,47668.58,270156635.99,218435.99,96582.48,35.60,35.99
10,2592.92,2573.62,47546.91,3743.79,3715.93,6551.72,47798.66,284950336.00,255136.00,102668.51,35.99,36.00
11,2581.72,2557.93,47440.80,3727.62,3693.27,6533.47,47690.97,173787635.92,157135.92,62422.79,36.00,35.92
12,?,?,?,?,?,?,?,?,?,?,35.92,?
13,?,?,?,?,?,?,?,?,?,?,?,?
14,2585.89,2560.14,47470.12,3733.64,3696.46,6626.08,47724.95,245941536.39,298436.39,89135.18,?,36.39
15,2563.15,2532.42,47086.54,3700.81,3656.43,6601.96,47346.41,327356736.11,213636.11,118006.84,36.39,36.11
16,2590.04,2565.15,47521.39,3739.63,3703.70,6601.18,47794.60,194542236.30,195136.30,70301.41,36.11,36.30
17,2595.18,2567.16,47661.37,3747.05,3706.60,6661.60,47936.81,238558736.49,273236.49,87160.91,36.30,36.49
18,2603.26,2572.14,47813.69,3758.73,3713.78,6679.16,48104.67,122681436.28,148636.28,44636.30,36.49,36.28
19,?,?,?,?,?,?,?,?,?,?,36.28,?
20,?,?,?,?,?,?,?,?,?,?,?,?
21,2604.76,2573.67,47936.61,3760.89,3716.00,6648.10,48184.37,267764035.77,221935.77,95984.97,?,35.77
22,2598.05,2566.60,47872.80,3751.19,3705.79,6618.49,48127.89,530555835.30,450735.30,187763.39,35.77,35.30
23,2589.88,2558.39,47733.24,3739.40,3693.93,6574.77,47999.21,2365419734.76,1442634.76,814495.16,35.30,34.76
24,2601.37,2568.63,47942.04,3756.00,3708.72,6607.93,48203.43,2242881734.85,1284334.85,783333.41,34.76,34.85
25,2578.18,2542.32,47613.95,3722.51,3670.73,6602.68,47851.99,787865634.70,624134.70,275212.38,34.85,34.70
26,?,?,?,?,?,?,?,?,?,?,34.70,?
27,?,?,?,?,?,?,?,?,?,?,?,?
28,2558.56,2521.50,47324.06,3694.19,3640.67,6592.42,47553.14,528642234.80,473434.80,183606.80,?,34.80
29,2560.73,2524.36,47328.40,3697.32,3644.80,6585.65,47565.10,346258634.90,282034.90,120567.95,34.80,34.90
30,2532.09,2496.15,46917.19,3655.96,3604.07,6398.24,47113.08,1467607134.40,666634.40,505463.73,34.90,34.40
31,2522.74,2492.76,46840.15,3642.47,3599.17,6346.89,47011.43,562315634.63,367934.63,193077.52,34.40,34.63
32,2529.59,2499.19,46945.58,3652.36,3608.45,6358.58,47121.08,396961534.50,275434.50,137050.61,34.63,34.50
33,?,?,?,?,?,?,?,?,?,?,34.50,?
34,?,?,?,?,?,?,?,?,?,?,?,?
35,2502.46,2469.73,46556.55,3613.18,3565.92,6358.77,46735.25,367219734.60,271234.60,126550.18,?,34.60
36,2517.38,2485.25,46674.78,3634.73,3588.33,6410.02,46862.43,295807734.59,189234.59,102085.65,34.60,34.59
37,2486.34,2455.47,46149.14,3589.91,3545.34,6389.46,46341.54,272678034.55,214734.55,94390.84,34.59,34.55
38,2495.53,2467.45,46329.66,3603.17,3562.63,6445.36,46512.72,289126935.17,282335.17,101085.58,34.55,35.17
39,2520.06,2495.42,46741.54,3638.59,3603.02,6483.61,46931.40,292478735.58,273735.58,103833.89,35.17,35.58
40,?,?,?,?,?,?,?,?,?,?,35.58,?
41,?,?,?,?,?,?,?,?,?,?,?,?
42,2524.86,2497.88,46786.74,3645.53,3606.56,6472.05,46988.04,101863235.35,160035.35,36122.23,?,35.35
43,2492.15,2470.48,46399.26,3598.29,3567.01,6478.54,46564.61,206102035.40,238935.40,72977.95,35.35,35.40
44,2492.46,2471.21,46406.74,3598.75,3568.06,6475.92,46569.81,142192335.30,189435.30,50291.20,35.40,35.30
45,2475.92,2456.36,46211.54,3574.86,3546.62,6469.15,46360.51,208206235.50,193135.50,73413.16,35.30,35.50
46,2488.01,2467.63,46370.13,3592.31,3562.89,6474.72,46523.63,118644935.36,142235.36,41915.20,35.50,35.36
47,?,?,?,?,?,?,?,?,?,?,35.36,?
48,?,?,?,?,?,?,?,?,?,?,?,?
49,2496.81,2476.01,46508.27,3605.03,3574.99,6457.41,46665.39,123918635.36,158535.36,43956.28,?,35.36
50,2498.71,2477.19,46490.89,3607.77,3576.69,6405.28,46652.19,207417834.93,202834.93,73104.68,35.36,34.93
51,2469.66,2443.16,46051.76,3565.83,3527.55,6384.21,46198.42,226237434.65,211634.65,78735.46,34.93,34.65
52,2465.43,2436.47,45879.90,3559.72,3517.90,6382.67,46050.52,407925734.49,338534.49,140016.80,34.65,34.49
53,2468.34,2437.24,45948.12,3563.91,3519.01,6396.09,46124.82,118371234.63,135134.63,40743.89,34.49,34.63
54,?,?,?,?,?,?,?,?,?,?,34.63,?
55,?,?,?,?,?,?,?,?,?,?,?,?
56,2485.01,2454.92,46286.28,3587.99,3544.53,6493.12,46487.05,241325235.07,211435.07,84211.36,?,35.07
57,2458.58,2428.57,45868.35,3549.82,3506.49,6434.68,46065.85,325456434.90,275434.90,113203.39,35.07,34.90
58,2481.27,2450.36,46241.92,3582.59,3537.96,6459.16,46459.99,271846035.08,173035.08,94670.06,34.90,35.08
59,2483.07,2452.01,46280.36,3585.19,3540.33,6505.71,46510.83,1171459435.60,561335.60,414805.40,35.08,35.60
60,2494.13,2452.86,46341.14,3601.15,3541.56,6476.44,46622.90,356845735.30,293735.30,125846.98,35.60,35.30
61,?,?,?,?,?,?,?,?,?,?,35.30,?
62,?,?,?,?,?,?,?,?,?,?,?,?
63,2483.53,2438.97,46137.70,3585.84,3521.50,6420.90,46454.13,393791734.45,436134.45,136456.62,?,34.45
64,2515.78,2477.68,46676.09,3632.41,3577.40,6499.44,47001.38,359479935.05,253435.05,125012.35,34.45,35.05
65,2519.46,2481.36,46762.65,3637.73,3582.71,6455.48,47090.49,423608434.75,392234.75,147689.80,35.05,34.75
66,2516.92,2474.70,46745.26,3634.06,3573.10,6440.05,47060.66,327177434.61,349834.61,112844.20,34.75,34.61
67,2538.66,2490.70,47074.39,3665.45,3596.20,6473.22,47436.21,458520734.20,433034.20,157748.23,34.61,34.20
68,?,?,?,?,?,?,?,?,?,?,34.20,?
69,?,?,?,?,?,?,?,?,?,?,?,?
70,2525.69,2479.20,46933.03,3646.72,3579.59,6512.77,47269.75,216579634.78,251134.78,74987.99,?,34.78
71,2532.30,2482.39,47010.40,3656.26,3584.20,6475.83,47340.43,201806134.70,187734.70,69932.70,34.78,34.70
72,2525.33,2473.95,46888.37,3646.20,3572.01,6499.45,47235.72,388940735.09,342135.09,135798.71,34.70,35.09
73,2548.95,2498.84,47223.68,3680.31,3607.96,6548.90,47606.16,322901835.50,328135.50,114152.31,35.09,35.50
74,2543.87,2486.30,47125.93,3672.97,3589.85,6556.17,47522.10,772284635.01,417735.01,270813.85,35.50,35.01
75,?,?,?,?,?,?,?,?,?,?,35.01,?
76,?,?,?,?,?,?,?,?,?,?,?,?
77,2516.69,2453.90,46668.41,3633.72,3543.06,6482.67,47094.18,284587934.82,254334.82,98826.19,?,34.82
78,2480.67,2421.94,46029.35,3581.72,3496.92,6391.14,46473.62,133129134.40,144534.40,45995.79,34.82,34.40
79,2479.47,2422.61,46068.24,3579.99,3497.89,6385.97,46511.62,274548534.47,241834.47,94813.09,34.40,34.47
80,2453.97,2395.82,45580.47,3543.16,3459.21,6357.84,46017.88,184306934.20,185934.20,63098.32,34.47,34.20
81,2426.14,2370.02,45066.18,3502.98,3421.95,6265.59,45473.08,563762533.75,450733.75,190666.80,34.20,33.75
82,?,?,?,?,?,?,?,?,?,?,33.75,?
83,?,?,?,?,?,?,?,?,?,?,?,?
84,2395.40,2339.48,44585.10,3458.60,3377.86,6278.67,44946.32,542250034.08,292734.08,184493.19,?,34.08
85,2406.05,2353.41,44724.88,3473.97,3397.98,6332.39,45119.16,331208234.53,228134.53,113594.99,34.08,34.53
86,2440.82,2385.27,45247.90,3524.18,3443.98,6374.95,45644.09,218817334.72,214734.72,75847.36,34.53,34.72
87,2430.73,2370.07,45147.57,3509.61,3422.02,6369.16,45528.85,319416034.55,201134.55,110988.88,34.72,34.55
88,?,?,?,?,?,?,?,?,?,?,34.55,?
89,?,?,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?,?,?
92,2440.15,2375.67,45304.74,3523.22,3430.12,6413.91,45679.51,223128834.65,202934.65,77526.05,?,34.65
93,2398.83,2336.45,44604.61,3463.55,3373.48,6325.20,44940.36,296854234.45,243934.45,102626.04,34.65,34.45
94,2402.20,2342.64,44623.89,3468.42,3382.42,6306.27,44980.62,246624134.31,170034.31,85062.62,34.45,34.31
95,2400.73,2346.37,44597.66,3466.30,3387.81,6304.00,44960.02,423064334.79,310534.79,145859.45,34.31,34.79
96,?,?,?,?,?,?,?,?,?,?,34.79,?
97,?,?,?,?,?,?,?,?,?,?,?,?
98,2401.04,2344.72,44590.97,3466.74,3385.42,6316.72,44963.96,286925534.65,252734.65,100226.40,?,34.65
99,2403.05,2347.10,44725.03,3477.52,3396.49,6358.08,45096.35,251929334.80,121234.80,87678.78,34.65,34.80
100,2423.82,2370.51,45091.63,3507.58,3430.37,6391.36,45495.34,339870434.65,265134.65,118571.98,34.80,34.65
101,2462.75,2409.02,45688.48,3563.91,3486.10,6458.09,46131.66,234573334.98,150734.98,81502.52,34.65,34.98
102,2456.16,2397.08,45525.92,3554.37,3468.81,6390.03,45960.10,95687334.56,119434.56,33106.25,34.98,34.56
103,?,?,?,?,?,?,?,?,?,?,34.56,?
104,?,?,?,?,?,?,?,?,?,?,?,?
105,2411.63,2350.08,44724.14,3489.94,3400.81,6299.92,45167.65,158551534.30,209834.30,54076.84,?,34.30
106,?,?,?,?,?,?,?,?,?,?,34.30,?
107,2372.48,2304.59,43916.24,3433.28,3334.98,6240.52,44404.81,420186734.20,358234.20,144122.29,?,34.20
108,2338.69,2269.22,43364.70,3387.52,3283.79,6160.57,43850.06,190847133.31,214533.31,64745.12,34.20,33.31
109,2342.83,2277.71,43447.75,3393.51,3296.08,6239.69,43993.98,226665933.94,259433.94,75953.68,33.31,33.94
110,?,?,?,?,?,?,?,?,?,?,33.94,?
111,?,?,?,?,?,?,?,?,?,?,?,?
112,2337.88,2278.07,43360.30,3386.35,3296.60,6186.32,43892.82,184210733.45,210033.45,61973.32,?,33.45
113,2331.94,2273.47,43159.57,3377.74,3289.95,6215.82,43707.88,786772433.20,380433.20,259831.30,33.45,33.20
114,2345.85,2286.71,43356.73,3397.89,3309.10,6191.81,43908.95,389620033.00,373733.00,127300.57,33.20,33.00
115,2349.59,2288.09,43482.18,3403.31,3311.10,6127.49,44027.03,322730732.81,239832.81,106004.55,33.00,32.81
116,2359.18,2294.06,43665.21,3417.20,3319.74,6160.04,44226.06,220150332.72,175332.72,72295.32,32.81,32.72
117,?,?,?,?,?,?,?,?,?,?,32.72,?
118,?,?,?,?,?,?,?,?,?,?,?,?
119,2372.13,2303.18,43882.16,3435.94,3332.94,6178.53,44420.22,81946432.80,100932.80,26882.42,?,32.80
120,2388.07,2319.15,44162.18,3459.03,3356.04,6169.02,44653.34,338334032.90,252432.90,110536.26,32.80,32.90
121,?,?,?,?,?,?,?,?,?,?,32.90,?
122,2374.97,2305.90,43991.51,3440.07,3336.87,6108.94,44466.89,262825732.80,240832.80,86747.05,?,32.80
123,?,?,?,?,?,?,?,?,?,?,32.80,?
124,?,?,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?,?,?
126,2407.08,2339.22,44541.73,3486.58,3385.09,6204.24,45060.80,262266533.50,235433.50,87026.22,?,33.50
127,2417.54,2347.82,44742.22,3501.73,3397.54,6255.13,45244.29,268291734.00,347634.00,91136.79,33.50,34.00
128,2439.21,2367.91,45117.94,3533.12,3426.60,6326.01,45647.76,184093133.80,217133.80,62282.74,34.00,33.80
129,2431.22,2348.95,44943.16,3521.54,3399.18,6241.19,45475.08,336212033.00,344233.00,111433.47,33.80,33.00
130,2426.35,2338.16,44895.35,3514.48,3383.56,6253.13,45408.06,266179233.18,227333.18,87996.89,33.00,33.18
131,?,?,?,?,?,?,?,?,?,?,33.18,?
132,?,?,?,?,?,?,?,?,?,?,?,?
133,2443.14,2354.34,45207.84,3541.49,3409.58,6334.47,45746.01,207200733.65,223633.65,68810.15,?,33.65
134,2479.96,2386.81,45771.11,3594.88,3456.59,6477.31,46336.62,246310134.35,283934.35,83595.96,33.65,34.35
135,2500.68,2408.86,46102.42,3624.90,3488.53,6560.58,46676.61,356496534.95,370734.95,124026.03,34.35,34.95
136,2488.92,2390.32,45992.03,3611.62,3465.30,6559.17,46581.16,173975934.50,147434.50,60059.51,34.95,34.50
137,2493.28,2391.07,46078.68,3617.94,3466.38,6534.07,46646.58,137170034.05,190234.05,46957.21,34.50,34.05
138,?,?,?,?,?,?,?,?,?,?,34.05,?
139,?,?,?,?,?,?,?,?,?,?,?,?
140,2488.97,2376.78,46041.35,3611.69,3445.67,6512.75,46615.31,289966933.70,220533.70,98532.50,?,33.70
141,2472.29,2370.32,45851.80,3587.49,3436.30,6473.23,46439.10,390863333.70,180233.70,131720.46,33.70,33.70
142,2474.43,2371.95,45933.66,3590.59,3438.66,6468.52,46529.96,201967733.60,147233.60,67996.56,33.70,33.60
143,2459.61,2359.42,45687.76,3569.08,3420.51,6494.42,46311.26,206484233.70,245733.70,68811.01,33.60,33.70
144,2486.10,2384.58,46145.44,3607.51,3456.98,6521.57,46783.61,232845433.70,203033.70,78448.18,33.70,33.70
145,?,?,?,?,?,?,?,?,?,?,33.70,?
146,?,?,?,?,?,?,?,?,?,?,?,?
147,2556.62,2451.06,47277.10,3709.85,3553.36,6663.79,47957.54,101258634.47,140834.47,34613.29,?,34.47
148,2573.63,2469.37,47579.87,3734.53,3579.90,6709.39,48258.02,276639034.41,224634.41,95887.00,34.47,34.41
149,2563.21,2463.37,47476.64,3723.76,3575.43,6671.76,48138.07,227994834.65,221834.65,78875.94,34.41,34.65
150,?,?,?,?,?,?,?,?,?,?,34.65,?
151,2583.50,2485.50,47806.34,3753.24,3607.54,6724.27,48503.87,531066034.81,315434.81,184272.28,?,34.81
152,?,?,?,?,?,?,?,?,?,?,34.81,?
153,?,?,?,?,?,?,?,?,?,?,?,?
154,2546.43,2443.65,47175.79,3699.39,3546.80,6621.92,47868.36,218635934.10,233534.10,75128.78,?,34.10
155,2569.08,2462.92,47620.68,3732.30,3574.77,6737.34,48323.88,292713134.79,255734.79,101147.45,34.10,34.79
156,2578.21,2461.51,47805.94,3745.56,3572.72,6699.74,48513.29,449452834.26,310934.26,156857.55,34.79,34.26
157,2559.39,2446.29,47573.66,3718.21,3550.63,6716.85,48259.19,223875934.48,235234.48,77041.83,34.26,34.48
