%310
@RELATION PLADVPL00029
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,2710.26,48389.84,2835.52,225513.59,2113.59,28.95,?,13.59
3,783.15,48222.72,2698.71,48505.50,2832.46,2782213.40,1813.40,378.67,13.59,13.40
4,781.69,47888.16,2695.86,48143.94,2814.73,714513.36,1413.36,95.64,13.40,13.36
5,?,?,?,?,?,?,?,?,13.36,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,2663.04,47820.24,2793.31,102213.45,1713.45,13.60,?,13.45
8,780.70,47379.63,2620.57,47624.67,2790.64,106213.10,1413.10,13.92,13.45,13.10
9,784.82,47407.28,2619.40,47668.58,2784.62,199313.00,2113.00,25.50,13.10,13.00
10,788.85,47546.91,2677.70,47798.66,2800.96,12412.99,1512.99,1.62,13.00,12.99
11,795.36,47440.80,2696.86,47690.97,2815.88,1680813.00,6013.00,215.48,12.99,13.00
12,?,?,?,?,?,?,?,?,13.00,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,2672.08,47724.95,2820.74,598412.75,2112.75,77.97,?,12.75
15,794.59,47086.54,2690.48,47346.41,2817.16,20212.84,1112.84,2.60,12.75,12.84
16,796.34,47521.39,2744.45,47794.60,2825.40,1635713.30,2313.30,215.60,12.84,13.30
17,803.56,47661.37,2771.35,47936.81,2848.09,10423812.98,3612.98,1384.72,13.30,12.98
18,807.72,47813.69,2772.18,48104.67,2864.72,151912.99,1812.99,19.58,12.98,12.99
19,?,?,?,?,?,?,?,?,12.99,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,2757.38,48184.37,2890.14,283212.60,2512.60,35.75,?,12.60
22,808.23,47872.80,2736.45,48127.89,2892.80,50512.40,1012.40,6.26,12.60,12.40
23,808.40,47733.24,2683.43,47999.21,2890.57,2209412.55,712.55,273.99,12.40,12.55
24,811.80,47942.04,2707.85,48203.43,2898.85,211412.50,1912.50,26.93,12.55,12.50
25,812.99,47613.95,2697.00,47851.99,2897.93,1612.93,312.93,0.20,12.50,12.93
26,?,?,?,?,?,?,?,?,12.93,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,2704.07,47553.14,2886.17,24712.85,1512.85,3.12,?,12.85
29,815.93,47328.40,2673.73,47565.10,2878.58,75012.60,912.60,9.45,12.85,12.60
30,815.59,46917.19,2682.83,47113.08,2876.68,396212.40,2312.40,49.75,12.60,12.40
31,817.14,46840.15,2642.41,47011.43,2880.57,67612.60,2712.60,8.46,12.40,12.60
32,818.68,46945.58,2651.70,47121.08,2883.81,1562012.79,1112.79,196.16,12.60,12.79
33,?,?,?,?,?,?,?,?,12.79,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,2642.00,46735.25,2856.17,2012.80,512.80,0.26,?,12.80
36,816.68,46674.78,2621.95,46862.43,2843.49,5688212.90,1712.90,734.72,12.80,12.90
37,813.75,46149.14,2583.33,46341.54,2811.05,501412.80,412.80,64.18,12.90,12.80
38,811.13,46329.66,2569.88,46512.72,2815.91,1612.80,212.80,0.20,12.80,12.80
39,813.77,46741.54,2575.59,46931.40,2825.70,1012.60,112.60,0.13,12.80,12.60
40,?,?,?,?,?,?,?,?,12.60,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,2617.30,46988.04,2826.84,292213.30,2013.30,38.05,?,13.30
43,817.32,46399.26,2620.19,46564.61,2821.25,4313.50,713.50,0.58,13.30,13.50
44,817.35,46406.74,2595.28,46569.81,2825.02,5413.50,913.50,0.73,13.50,13.50
45,818.81,46211.54,2556.98,46360.51,2825.15,211413.80,2013.80,28.60,13.50,13.80
46,826.73,46370.13,2566.54,46523.63,2838.22,256214.47,1314.47,36.51,13.80,14.47
47,?,?,?,?,?,?,?,?,14.47,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,2593.85,46665.39,2848.48,3046214.45,1014.45,428.12,?,14.45
50,832.30,46490.89,2591.45,46652.19,2843.90,361614.20,2414.20,51.36,14.45,14.20
51,830.62,46051.76,2578.63,46198.42,2831.71,74514.00,1214.00,10.28,14.20,14.00
