%310
@RELATION PLK2ITR00010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,2710.26,48389.84,55616.79,1416.79,9.26,?,16.79
3,783.15,48222.72,2698.71,48505.50,2883516.60,3616.60,471.75,16.79,16.60
4,781.69,47888.16,2695.86,48143.94,124416.48,1916.48,20.11,16.60,16.48
5,?,?,?,?,?,?,?,16.48,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,2663.04,47820.24,3015.85,215.85,0.48,?,15.85
8,780.70,47379.63,2620.57,47624.67,37116.30,616.30,5.99,15.85,16.30
9,784.82,47407.28,2619.40,47668.58,718616.20,2716.20,115.17,16.30,16.20
10,788.85,47546.91,2677.70,47798.66,31916.10,716.10,5.13,16.20,16.10
11,795.36,47440.80,2696.86,47690.97,167816.75,1816.75,27.64,16.10,16.75
12,?,?,?,?,?,?,?,16.75,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,2672.08,47724.95,412816.74,2216.74,69.30,?,16.74
15,794.59,47086.54,2690.48,47346.41,237916.95,1416.95,40.31,16.74,16.95
16,796.34,47521.39,2744.45,47794.60,22116.50,316.50,3.69,16.95,16.50
17,803.56,47661.37,2771.35,47936.81,105016.04,716.04,16.98,16.50,16.04
18,807.72,47813.69,2772.18,48104.67,281015.99,1715.99,45.14,16.04,15.99
19,?,?,?,?,?,?,?,15.99,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,2757.38,48184.37,465516.00,2516.00,75.05,?,16.00
22,808.23,47872.80,2736.45,48127.89,2930217.79,5717.79,498.66,16.00,17.79
23,808.40,47733.24,2683.43,47999.21,538218.99,5718.99,100.95,17.79,18.99
24,811.80,47942.04,2707.85,48203.43,199619.10,2919.10,37.86,18.99,19.10
25,812.99,47613.95,2697.00,47851.99,50118.87,1218.87,9.32,19.10,18.87
26,?,?,?,?,?,?,?,18.87,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,2704.07,47553.14,508520.41,7320.41,98.86,?,20.41
29,815.93,47328.40,2673.73,47565.10,595019.99,8219.99,118.25,20.41,19.99
30,815.59,46917.19,2682.83,47113.08,125419.89,2119.89,24.95,19.99,19.89
31,817.14,46840.15,2642.41,47011.43,2416920.40,3920.40,492.07,19.89,20.40
32,818.68,46945.58,2651.70,47121.08,131619.99,1819.99,26.34,20.40,19.99
33,?,?,?,?,?,?,?,19.99,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,2642.00,46735.25,453919.70,4119.70,92.56,?,19.70
36,816.68,46674.78,2621.95,46862.43,508019.10,2419.10,99.09,19.70,19.10
37,813.75,46149.14,2583.33,46341.54,118719.00,1419.00,22.53,19.10,19.00
38,811.13,46329.66,2569.88,46512.72,32518.95,518.95,6.16,19.00,18.95
39,813.77,46741.54,2575.59,46931.40,191018.36,1818.36,34.90,18.95,18.36
40,?,?,?,?,?,?,?,18.36,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,2617.30,46988.04,360917.67,5017.67,64.55,?,17.67
43,817.32,46399.26,2620.19,46564.61,851719.41,5819.41,155.29,17.67,19.41
44,817.35,46406.74,2595.28,46569.81,127819.00,1419.00,24.17,19.41,19.00
45,818.81,46211.54,2556.98,46360.51,94619.10,2019.10,17.66,19.00,19.10
46,826.73,46370.13,2566.54,46523.63,3018.93,218.93,0.57,19.10,18.93
47,?,?,?,?,?,?,?,18.93,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,2593.85,46665.39,38018.52,918.52,7.10,?,18.52
50,832.30,46490.89,2591.45,46652.19,245318.49,1118.49,44.33,18.52,18.49
51,830.62,46051.76,2578.63,46198.42,35218.39,918.39,6.40,18.49,18.39
52,823.32,45879.90,2578.03,46050.52,394818.39,2018.39,70.36,18.39,18.39
53,826.66,45948.12,2604.97,46124.82,93518.39,918.39,17.31,18.39,18.39
54,?,?,?,?,?,?,?,18.39,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,2625.95,46487.05,30718.75,618.75,5.53,?,18.75
57,828.81,45868.35,2621.52,46065.85,149518.00,2218.00,26.75,18.75,18.00
58,836.69,46241.92,2638.60,46459.99,87418.00,918.00,15.58,18.00,18.00
59,844.08,46280.36,2641.23,46510.83,370819.50,3619.50,68.67,18.00,19.50
60,842.02,46341.14,2657.32,46622.90,347919.50,1819.50,67.35,19.50,19.50
61,?,?,?,?,?,?,?,19.50,?
62,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,2647.93,46454.13,163019.05,1419.05,31.42,?,19.05
64,845.88,46676.09,2665.87,47001.38,154818.62,2318.62,29.51,19.05,18.62
65,849.88,46762.65,2658.78,47090.49,27418.60,418.60,5.10,18.62,18.60
66,855.99,46745.26,2661.06,47060.66,59018.41,818.41,10.91,18.60,18.41
67,861.67,47074.39,2653.14,47436.21,249718.99,1818.99,47.05,18.41,18.99
68,?,?,?,?,?,?,?,18.99,?
69,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,2643.18,47269.75,355618.60,3018.60,66.73,?,18.60
71,866.79,47010.40,2716.00,47340.43,637818.30,6518.30,114.87,18.60,18.30
72,872.90,46888.37,2729.57,47235.72,194517.61,2817.61,34.33,18.30,17.61
73,871.52,47223.68,2715.79,47606.16,114817.65,1917.65,20.26,17.61,17.65
74,873.21,47125.93,2759.52,47522.10,163617.99,1617.99,29.37,17.65,17.99
75,?,?,?,?,?,?,?,17.99,?
76,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,2727.89,47094.18,202817.15,2717.15,35.03,?,17.15
78,864.73,46029.35,2690.24,46473.62,265017.48,1517.48,45.59,17.15,17.48
79,862.97,46068.24,2690.29,46511.62,1617816.50,6416.50,269.72,17.48,16.50
80,850.86,45580.47,2658.58,46017.88,174816.29,2916.29,28.20,16.50,16.29
81,845.32,45066.18,2579.62,45473.08,293215.99,2015.99,46.97,16.29,15.99
82,?,?,?,?,?,?,?,15.99,?
83,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,2568.62,44946.32,244215.11,2915.11,37.52,?,15.11
85,830.80,44724.88,2566.53,45119.16,978113.50,7713.50,137.31,15.11,13.50
86,835.51,45247.90,2581.44,45644.09,2541514.31,12214.31,341.22,13.50,14.31
87,839.42,45147.57,2642.66,45528.85,6582816.06,6616.06,997.77,14.31,16.06
88,?,?,?,?,?,?,?,16.06,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,2638.99,45679.51,584514.97,4514.97,88.82,?,14.97
93,828.79,44604.61,2614.45,44940.36,31414.50,514.50,4.60,14.97,14.50
94,824.35,44623.89,2599.89,44980.62,36914.50,714.50,5.43,14.50,14.50
95,819.73,44597.66,2491.48,44960.02,406213.80,2813.80,58.23,14.50,13.80
96,?,?,?,?,?,?,?,13.80,?
97,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,2549.75,44963.96,949913.80,1913.80,131.93,?,13.80
99,815.74,44725.03,2593.51,45096.35,335913.74,2013.74,45.70,13.80,13.74
100,820.16,45091.63,2591.74,45495.34,104013.45,1413.45,13.66,13.74,13.45
101,824.04,45688.48,2643.04,46131.66,265913.30,1913.30,35.08,13.45,13.30
102,819.29,45525.92,2653.03,45960.10,37013.26,913.26,4.88,13.30,13.26
103,?,?,?,?,?,?,?,13.26,?
104,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,2627.86,45167.65,23213.26,713.26,3.04,?,13.26
106,?,?,?,?,?,?,?,13.26,?
107,796.68,43916.24,2551.04,44404.81,3413.25,113.25,0.45,?,13.25
108,787.39,43364.70,2592.30,43850.06,2979213.00,1313.00,389.88,13.25,13.00
109,783.37,43447.75,2558.31,43993.98,493313.08,313.08,64.54,13.00,13.08
110,?,?,?,?,?,?,?,13.08,?
111,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,2502.77,43892.82,56812.97,912.97,7.14,?,12.97
113,769.16,43159.57,2517.56,43707.88,552513.20,2313.20,69.53,12.97,13.20
114,769.82,43356.73,2527.25,43908.95,590012.98,5012.98,75.91,13.20,12.98
115,774.88,43482.18,2511.90,44027.03,1370112.77,6012.77,171.94,12.98,12.77
116,777.86,43665.21,2510.55,44226.06,934812.78,3912.78,116.96,12.77,12.78
117,?,?,?,?,?,?,?,12.78,?
118,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,2521.79,44420.22,483913.00,3013.00,62.62,?,13.00
120,784.81,44162.18,2543.13,44653.34,202513.40,813.40,26.99,13.00,13.40
121,?,?,?,?,?,?,?,13.40,?
122,787.45,43991.51,2514.92,44466.89,5113.60,213.60,0.69,?,13.60
123,?,?,?,?,?,?,?,13.60,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,2539.44,45060.80,5513.40,213.40,0.74,?,13.40
127,793.09,44742.22,2559.42,45244.29,505512.91,3112.91,65.87,13.40,12.91
128,798.10,45117.94,2580.91,45647.76,193112.98,1512.98,25.05,12.91,12.98
129,800.71,44943.16,2616.95,45475.08,1013.35,113.35,0.13,12.98,13.35
130,800.42,44895.35,2665.44,45408.06,534813.40,1813.40,71.05,13.35,13.40
131,?,?,?,?,?,?,?,13.40,?
132,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,2691.81,45746.01,530812.90,3412.90,66.81,?,12.90
134,804.49,45771.11,2747.23,46336.62,139412.85,1412.85,17.50,12.90,12.85
135,802.28,46102.42,2811.51,46676.61,594712.78,2712.78,77.39,12.85,12.78
136,806.45,45992.03,2769.11,46581.16,535612.25,3712.25,64.53,12.78,12.25
137,810.69,46078.68,2843.46,46646.58,218811.81,2011.81,25.87,12.25,11.81
138,?,?,?,?,?,?,?,11.81,?
139,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,2833.96,46615.31,64111.94,811.94,7.65,?,11.94
141,819.76,45851.80,2766.56,46439.10,49111.93,911.93,5.86,11.94,11.93
142,818.82,45933.66,2768.44,46529.96,85411.92,1211.92,10.08,11.93,11.92
143,814.69,45687.76,2716.44,46311.26,159611.20,1311.20,18.38,11.92,11.20
144,820.11,46145.44,2766.31,46783.61,399911.45,3911.45,44.07,11.20,11.45
145,?,?,?,?,?,?,?,11.45,?
146,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,2877.90,47957.54,408411.40,1811.40,45.04,?,11.40
148,838.40,47579.87,2837.61,48258.02,220611.50,1811.50,25.34,11.40,11.50
149,842.72,47476.64,2831.95,48138.07,115311.40,611.40,13.44,11.50,11.40
150,?,?,?,?,?,?,?,11.40,?
151,841.72,47806.34,2842.44,48503.87,647612.49,2612.49,77.73,?,12.49
152,?,?,?,?,?,?,?,12.49,?
153,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,2851.48,47868.36,88712.46,1112.46,11.06,?,12.46
155,854.67,47620.68,2879.25,48323.88,192512.35,1412.35,23.17,12.46,12.35
156,859.35,47805.94,2930.23,48513.29,725911.90,3511.90,84.01,12.35,11.90
157,864.95,47573.66,2927.35,48259.19,255311.70,1511.70,30.28,11.90,11.70
158,866.67,48209.65,2972.76,48918.37,188012.00,2112.00,22.84,11.70,12.00
159,?,?,?,?,?,?,?,12.00,?
160,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,2961.52,49207.65,115811.99,1411.99,14.07,?,11.99
162,870.60,48324.52,3012.39,49050.96,57511.90,611.90,6.82,11.99,11.90
163,878.91,48383.93,3044.90,49098.70,354812.00,1112.00,42.83,11.90,12.00
164,877.48,48152.82,3007.22,48890.47,312711.44,2211.44,36.56,12.00,11.44
165,880.65,48273.42,3038.69,49057.66,834710.79,5710.79,92.05,11.44,10.79
166,?,?,?,?,?,?,?,10.79,?
167,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,3096.81,48917.56,335210.41,3410.41,35.06,?,10.41
169,886.71,48119.72,3174.21,48891.04,177399.90,1019.90,178.89,10.41,9.90
170,885.25,47743.10,3163.21,48509.84,33729.60,269.60,33.02,9.90,9.60
171,864.38,45870.00,3135.33,46587.68,26079.35,179.35,24.43,9.60,9.35
172,855.18,44732.92,2970.69,45456.77,112069.00,449.00,100.98,9.35,9.00
173,?,?,?,?,?,?,?,9.00,?
174,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,2962.57,45531.46,18588.85,108.85,16.24,?,8.85
176,863.23,44966.09,2951.60,45672.10,41428.95,268.95,36.61,8.85,8.95
177,858.05,44893.99,2891.59,45601.51,127988.70,398.70,113.34,8.95,8.70
178,847.97,43667.37,2856.87,44326.49,320448.51,658.51,275.36,8.70,8.51
179,848.08,44747.79,2875.12,45442.51,171218.30,658.30,146.44,8.51,8.30
180,?,?,?,?,?,?,?,8.30,?
181,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,2975.68,45461.06,39679.28,289.28,35.13,?,9.28
183,853.37,45533.94,3034.96,46254.71,30739.30,229.30,28.33,9.28,9.30
184,850.45,45184.98,3008.56,45899.36,63979.10,279.10,57.94,9.30,9.10
