%310
@RELATION PLGRBRN00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,48389.84,2835.52,4090785.04,1025.04,2075.63,?,5.04
3,2588.67,48222.72,48505.50,2832.46,1419954.99,994.99,704.50,5.04,4.99
4,2588.47,47888.16,48143.94,2814.73,1281335.04,305.04,641.82,4.99,5.04
5,?,?,?,?,?,?,?,5.04,?
6,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,47820.24,2793.31,93554.99,254.99,46.50,?,4.99
8,2587.38,47379.63,47624.67,2790.64,160735.02,345.02,79.79,4.99,5.02
9,2573.27,47407.28,47668.58,2784.62,99514.99,354.99,49.46,5.02,4.99
10,2592.53,47546.91,47798.66,2800.96,1813744.98,334.98,903.02,4.99,4.98
11,2611.26,47440.80,47690.97,2815.88,141724.98,514.98,70.50,4.98,4.98
12,?,?,?,?,?,?,?,4.98,?
13,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,47724.95,2820.74,81475.00,235.00,40.53,?,5.00
15,2598.51,47086.54,47346.41,2817.16,85294.99,294.99,42.38,5.00,4.99
16,2598.53,47521.39,47794.60,2825.40,14354.96,154.96,7.14,4.99,4.96
17,2618.14,47661.37,47936.81,2848.09,1311465.00,595.00,649.71,4.96,5.00
18,2626.72,47813.69,48104.67,2864.72,1622195.00,755.00,807.53,5.00,5.00
19,?,?,?,?,?,?,?,5.00,?
20,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,48184.37,2890.14,675105.00,1375.00,336.60,?,5.00
22,2636.01,47872.80,48127.89,2892.80,198645.02,685.02,99.14,5.00,5.02
23,2626.76,47733.24,47999.21,2890.57,274335.03,765.03,137.06,5.02,5.03
24,2646.20,47942.04,48203.43,2898.85,2567095.00,915.00,1283.89,5.03,5.00
25,2642.64,47613.95,47851.99,2897.93,1198015.00,355.00,599.01,5.00,5.00
26,?,?,?,?,?,?,?,5.00,?
27,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,47553.14,2886.17,109975.00,305.00,54.96,?,5.00
29,2623.78,47328.40,47565.10,2878.58,54235.00,315.00,27.02,5.00,5.00
30,2612.20,46917.19,47113.08,2876.68,108925.03,275.03,54.52,5.00,5.03
31,2597.73,46840.15,47011.43,2880.57,3690334.95,1124.95,1845.05,5.03,4.95
32,2603.21,46945.58,47121.08,2883.81,78314.98,194.98,39.04,4.95,4.98
33,?,?,?,?,?,?,?,4.98,?
34,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,46735.25,2856.17,404364.95,1284.95,200.23,?,4.95
36,2595.69,46674.78,46862.43,2843.49,340924.93,854.93,166.69,4.95,4.93
37,2567.59,46149.14,46341.54,2811.05,330204.90,824.90,159.74,4.93,4.90
38,2577.94,46329.66,46512.72,2815.91,138504.80,594.80,66.85,4.90,4.80
39,2587.53,46741.54,46931.40,2825.70,326214.94,704.94,159.52,4.80,4.94
40,?,?,?,?,?,?,?,4.94,?
41,?,?,?,?,?,?,?,?,?
42,2593.63,46786.74,46988.04,2826.84,67704.95,244.95,33.48,?,4.95
43,2581.18,46399.26,46564.61,2821.25,57234.89,184.89,27.87,4.95,4.89
44,2576.84,46406.74,46569.81,2825.02,43204.85,84.85,20.77,4.89,4.85
45,2578.13,46211.54,46360.51,2825.15,46374.72,184.72,22.04,4.85,4.72
46,2570.25,46370.13,46523.63,2838.22,63664.88,174.88,30.78,4.72,4.88
47,?,?,?,?,?,?,?,4.88,?
48,?,?,?,?,?,?,?,?,?
49,2580.46,46508.27,46665.39,2848.48,1157644.86,324.86,563.41,?,4.86
50,2566.72,46490.89,46652.19,2843.90,60404.85,334.85,29.25,4.86,4.85
51,2577.60,46051.76,46198.42,2831.71,23244.85,104.85,11.24,4.85,4.85
52,2566.08,45879.90,46050.52,2801.83,131784.84,114.84,63.28,4.85,4.84
53,2577.64,45948.12,46124.82,2817.57,91004.84,254.84,43.78,4.84,4.84
54,?,?,?,?,?,?,?,4.84,?
55,?,?,?,?,?,?,?,?,?
56,2602.92,46286.28,46487.05,2840.57,42454.81,154.81,20.47,?,4.81
57,2589.15,45868.35,46065.85,2831.16,386924.78,514.78,185.57,4.81,4.78
58,2608.94,46241.92,46459.99,2855.69,92124.74,634.74,43.92,4.78,4.74
59,2608.20,46280.36,46510.83,2865.27,177964.57,714.57,81.48,4.74,4.57
60,2626.22,46341.14,46622.90,2859.05,140694.57,424.57,64.28,4.57,4.57
61,?,?,?,?,?,?,?,4.57,?
62,?,?,?,?,?,?,?,?,?
63,2623.37,46137.70,46454.13,2860.68,390914.59,924.59,182.00,?,4.59
64,2628.44,46676.09,47001.38,2868.06,696754.69,554.69,324.14,4.59,4.69
65,2632.38,46762.65,47090.49,2872.90,1441374.69,754.69,675.01,4.69,4.69
66,2653.74,46745.26,47060.66,2873.49,233404.69,144.69,109.47,4.69,4.69
67,2675.88,47074.39,47436.21,2906.74,3382434.63,154.63,1569.17,4.69,4.63
68,?,?,?,?,?,?,?,4.63,?
69,?,?,?,?,?,?,?,?,?
70,2678.09,46933.03,47269.75,2914.24,204134.57,414.57,92.51,?,4.57
71,2689.51,47010.40,47340.43,2911.38,359184.51,204.51,164.11,4.57,4.51
72,2687.66,46888.37,47235.72,2901.67,5079914.44,344.44,2265.75,4.51,4.44
73,2687.81,47223.68,47606.16,2912.13,56204.50,214.50,25.00,4.44,4.50
74,2708.28,47125.93,47522.10,2909.77,751374.46,1154.46,333.73,4.50,4.46
75,?,?,?,?,?,?,?,4.46,?
76,?,?,?,?,?,?,?,?,?
77,2718.31,46668.41,47094.18,2900.59,5112764.54,334.54,2305.75,?,4.54
78,2658.94,46029.35,46473.62,2868.24,68004.50,214.50,30.39,4.54,4.50
79,2663.64,46068.24,46511.62,2874.75,80624.48,274.48,35.89,4.50,4.48
80,2635.54,45580.47,46017.88,2833.61,4523184.40,414.40,2008.17,4.48,4.40
81,2596.69,45066.18,45473.08,2800.67,892924.10,724.10,383.15,4.40,4.10
82,?,?,?,?,?,?,?,4.10,?
83,?,?,?,?,?,?,?,?,?
84,2576.73,44585.10,44946.32,2780.21,3319674.01,304.01,1354.27,?,4.01
85,2578.94,44724.88,45119.16,2774.13,5957763.99,1093.99,2376.75,4.01,3.99
86,2601.44,45247.90,45644.09,2785.46,547513.95,223.95,215.76,3.99,3.95
87,2624.74,45147.57,45528.85,2797.31,3960724.00,734.00,1560.87,3.95,4.00
88,?,?,?,?,?,?,?,4.00,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,2643.63,45304.74,45679.51,2814.33,5579904.00,214.00,2281.34,?,4.00
93,2608.26,44604.61,44940.36,2769.02,780573.90,533.90,304.71,4.00,3.90
94,2594.74,44623.89,44980.62,2766.19,4016893.80,643.80,1553.66,3.90,3.80
95,2572.61,44597.66,44960.02,2760.91,6088003.84,443.84,2349.04,3.80,3.84
96,?,?,?,?,?,?,?,3.84,?
97,?,?,?,?,?,?,?,?,?
98,2582.59,44590.97,44963.96,2764.28,976213.90,633.90,385.62,?,3.90
99,2592.09,44725.03,45096.35,2767.26,4305383.90,663.90,1685.96,3.90,3.90
100,2601.25,45091.63,45495.34,2780.21,6576263.88,683.88,2511.37,3.90,3.88
101,2623.22,45688.48,46131.66,2794.43,709123.88,253.88,277.83,3.88,3.88
102,2630.40,45525.92,45960.10,2783.53,15241003.80,273.80,5928.44,3.88,3.80
103,?,?,?,?,?,?,?,3.80,?
104,?,?,?,?,?,?,?,?,?
105,2587.31,44724.14,45167.65,2754.91,190303.81,263.81,72.53,?,3.81
106,?,?,?,?,?,?,?,3.81,?
107,2555.73,43916.24,44404.81,2705.88,15675293.74,313.74,5924.29,?,3.74
108,2520.54,43364.70,43850.06,2695.55,317993.79,413.79,119.33,3.74,3.79
109,2522.32,43447.75,43993.98,2685.57,212913.70,343.70,78.97,3.79,3.70
110,?,?,?,?,?,?,?,3.70,?
111,?,?,?,?,?,?,?,?,?
112,2499.84,43360.30,43892.82,2660.28,12425293.80,253.80,4696.39,?,3.80
113,2471.39,43159.57,43707.88,2624.40,484803.84,543.84,182.50,3.80,3.84
114,2472.28,43356.73,43908.95,2636.70,8225793.78,323.78,3076.57,3.84,3.78
115,2492.91,43482.18,44027.03,2658.57,12235293.86,453.86,4770.90,3.78,3.86
116,2520.03,43665.21,44226.06,2669.93,96163.86,433.86,37.34,3.86,3.86
117,?,?,?,?,?,?,?,3.86,?
118,?,?,?,?,?,?,?,?,?
119,2537.81,43882.16,44420.22,2685.14,347643.93,333.93,134.45,?,3.93
120,2550.91,44162.18,44653.34,2704.84,12254763.90,203.90,4767.16,3.93,3.90
121,?,?,?,?,?,?,?,3.90,?
122,2543.60,43991.51,44466.89,2695.22,146643.89,563.89,57.69,?,3.89
123,?,?,?,?,?,?,?,3.89,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,2568.68,44541.73,45060.80,2714.72,1462713.86,393.86,574.22,?,3.86
127,2587.84,44742.22,45244.29,2733.96,62639463.93,633.93,24942.40,3.86,3.93
128,2610.73,45117.94,45647.76,2752.14,2960154.06,864.06,1213.60,3.93,4.06
129,2630.10,44943.16,45475.08,2760.20,1592714.00,534.00,655.29,4.06,4.00
130,2654.43,44895.35,45408.06,2769.85,13097714.00,374.00,5290.79,4.00,4.00
131,?,?,?,?,?,?,?,4.00,?
132,?,?,?,?,?,?,?,?,?
133,2678.95,45207.84,45746.01,2790.62,437333.99,483.99,174.72,?,3.99
134,2713.50,45771.11,46336.62,2822.41,1317914.00,594.00,526.96,3.99,4.00
135,2720.73,46102.42,46676.61,2848.38,69674.06,214.06,28.14,4.00,4.06
136,2740.12,45992.03,46581.16,2871.70,13658574.01,264.01,5490.56,4.06,4.01
137,2751.78,46078.68,46646.58,2885.19,150914.03,144.03,60.70,4.01,4.03
138,?,?,?,?,?,?,?,4.03,?
139,?,?,?,?,?,?,?,?,?
140,2788.61,46041.35,46615.31,2921.95,19693.98,113.98,7.86,?,3.98
141,2759.55,45851.80,46439.10,2893.12,13643304.01,94.01,5484.56,3.98,4.01
142,2771.55,45933.66,46529.96,2912.70,1640873.99,1343.99,657.37,4.01,3.99
143,2756.32,45687.76,46311.26,2894.53,197324.00,344.00,78.58,3.99,4.00
