%310
@RELATION LU0627170920
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
98,818.75,44590.97,804.33,76030.64,120.64,4.89,?,0.64
99,815.74,44725.03,809.49,144880.63,90.63,9.09,0.64,0.63
100,820.16,45091.63,809.43,397130.66,310.66,25.87,0.63,0.66
101,824.04,45688.48,808.43,367770.67,270.67,24.40,0.66,0.67
102,819.29,45525.92,806.22,907410.66,450.66,58.90,0.67,0.66
103,?,?,?,?,?,?,0.66,?
104,?,?,?,?,?,?,?,?
105,814.07,44724.14,795.39,704240.64,360.64,44.45,?,0.64
106,?,?,?,?,?,?,0.64,?
107,796.68,43916.24,774.83,743930.61,460.61,44.77,?,0.61
108,787.39,43364.70,764.32,5979570.71,2280.71,416.88,0.61,0.71
109,783.37,43447.75,748.80,2173580.74,1180.74,160.37,0.71,0.74
110,?,?,?,?,?,?,0.74,?
111,?,?,?,?,?,?,?,?
112,776.37,43360.30,754.56,679920.74,450.74,50.09,?,0.74
113,769.16,43159.57,750.26,1796410.69,940.69,124.92,0.74,0.69
114,769.82,43356.73,753.01,86230.71,130.71,5.92,0.69,0.71
115,774.88,43482.18,753.51,323360.69,160.69,22.32,0.71,0.69
116,777.86,43665.21,754.90,455970.71,280.71,31.68,0.69,0.71
117,?,?,?,?,?,?,0.71,?
118,?,?,?,?,?,?,?,?
119,779.98,43882.16,766.31,912420.76,690.76,67.67,?,0.76
120,784.81,44162.18,776.50,5156500.61,2680.61,308.75,0.76,0.61
121,?,?,?,?,?,?,0.61,?
122,787.45,43991.51,778.92,1402880.61,650.61,83.60,?,0.61
123,?,?,?,?,?,?,0.61,?
124,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?
126,786.57,44541.73,778.13,1653990.58,860.58,94.46,?,0.58
127,793.09,44742.22,781.86,2305460.55,850.55,126.96,0.58,0.55
128,798.10,45117.94,782.65,418700.56,260.56,22.86,0.55,0.56
