%310
@RELATION PLORBIS00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,48389.84,2835.52,1728536.90,4436.90,647.14,?,36.90
3,2588.67,48222.72,48505.50,2832.46,69437.00,1037.00,25.36,36.90,37.00
4,2588.47,47888.16,48143.94,2814.73,270936.83,1436.83,99.76,37.00,36.83
5,?,?,?,?,?,?,?,36.83,?
6,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,47820.24,2793.31,5071336.82,836.82,1866.24,?,36.82
8,2587.38,47379.63,47624.67,2790.64,141937.09,1137.09,52.21,36.82,37.09
9,2573.27,47407.28,47668.58,2784.62,346437.20,737.20,129.30,37.09,37.20
10,2592.53,47546.91,47798.66,2800.96,5267637.38,4037.38,1981.21,37.20,37.38
11,2611.26,47440.80,47690.97,2815.88,146338.00,1138.00,54.99,37.38,38.00
12,?,?,?,?,?,?,?,38.00,?
13,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,47724.95,2820.74,327237.56,6437.56,124.10,?,37.56
15,2598.51,47086.54,47346.41,2817.16,3213938.30,5838.30,1208.86,37.56,38.30
16,2598.53,47521.39,47794.60,2825.40,7305738.00,4238.00,2790.55,38.30,38.00
17,2618.14,47661.37,47936.81,2848.09,1090138.50,2838.50,417.05,38.00,38.50
18,2626.72,47813.69,48104.67,2864.72,1564939.00,4339.00,602.95,38.50,39.00
19,?,?,?,?,?,?,?,39.00,?
20,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,48184.37,2890.14,3963539.59,4639.59,1580.75,?,39.59
22,2636.01,47872.80,48127.89,2892.80,1010039.00,4539.00,393.63,39.59,39.00
23,2626.76,47733.24,47999.21,2890.57,29838.65,838.65,11.53,39.00,38.65
24,2646.20,47942.04,48203.43,2898.85,135737.80,2337.80,51.51,38.65,37.80
25,2642.64,47613.95,47851.99,2897.93,39038.43,1138.43,14.92,37.80,38.43
26,?,?,?,?,?,?,?,38.43,?
27,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,47553.14,2886.17,558238.49,1538.49,214.63,?,38.49
29,2623.78,47328.40,47565.10,2878.58,22038.00,238.00,8.36,38.49,38.00
30,2612.20,46917.19,47113.08,2876.68,79237.48,1037.48,29.74,38.00,37.48
31,2597.73,46840.15,47011.43,2880.57,9235238.25,1038.25,3462.51,37.48,38.25
32,2603.21,46945.58,47121.08,2883.81,294738.25,838.25,112.73,38.25,38.25
33,?,?,?,?,?,?,?,38.25,?
34,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,46735.25,2856.17,556438.40,7038.40,213.88,?,38.40
36,2595.69,46674.78,46862.43,2843.49,903637.26,1637.26,341.77,38.40,37.26
37,2567.59,46149.14,46341.54,2811.05,338937.00,1737.00,125.19,37.26,37.00
38,2577.94,46329.66,46512.72,2815.91,87837.50,1337.50,32.89,37.00,37.50
39,2587.53,46741.54,46931.40,2825.70,131937.30,1137.30,49.24,37.50,37.30
40,?,?,?,?,?,?,?,37.30,?
41,?,?,?,?,?,?,?,?,?
42,2593.63,46786.74,46988.04,2826.84,115937.73,2037.73,43.52,?,37.73
43,2581.18,46399.26,46564.61,2821.25,849537.50,2537.50,318.56,37.73,37.50
44,2576.84,46406.74,46569.81,2825.02,344537.50,1237.50,129.03,37.50,37.50
45,2578.13,46211.54,46360.51,2825.15,570937.49,1737.49,214.08,37.50,37.49
46,2570.25,46370.13,46523.63,2838.22,175037.49,1337.49,65.48,37.49,37.49
47,?,?,?,?,?,?,?,37.49,?
48,?,?,?,?,?,?,?,?,?
49,2580.46,46508.27,46665.39,2848.48,123537.49,2937.49,46.01,?,37.49
50,2566.72,46490.89,46652.19,2843.90,396137.01,1737.01,146.51,37.49,37.01
51,2577.60,46051.76,46198.42,2831.71,923437.00,2637.00,342.81,37.01,37.00
52,2566.08,45879.90,46050.52,2801.83,57336.50,936.50,20.97,37.00,36.50
53,2577.64,45948.12,46124.82,2817.57,6590536.50,2836.50,2405.52,36.50,36.50
54,?,?,?,?,?,?,?,36.50,?
55,?,?,?,?,?,?,?,?,?
56,2602.92,46286.28,46487.05,2840.57,2105936.80,2536.80,771.98,?,36.80
57,2589.15,45868.35,46065.85,2831.16,401137.20,3437.20,148.53,36.80,37.20
58,2608.94,46241.92,46459.99,2855.69,50036.91,536.91,18.46,37.20,36.91
59,2608.20,46280.36,46510.83,2865.27,1108236.30,2236.30,409.44,36.91,36.30
60,2626.22,46341.14,46622.90,2859.05,91936.60,2136.60,33.36,36.30,36.60
61,?,?,?,?,?,?,?,36.60,?
62,?,?,?,?,?,?,?,?,?
63,2623.37,46137.70,46454.13,2860.68,65737.14,737.14,24.34,?,37.14
64,2628.44,46676.09,47001.38,2868.06,3205336.55,3436.55,1170.27,37.14,36.55
65,2632.38,46762.65,47090.49,2872.90,31583536.25,2736.25,11464.74,36.55,36.25
66,2653.74,46745.26,47060.66,2873.49,28036.00,736.00,10.10,36.25,36.00
67,2675.88,47074.39,47436.21,2906.74,72236.00,1036.00,26.01,36.00,36.00
68,?,?,?,?,?,?,?,36.00,?
69,?,?,?,?,?,?,?,?,?
70,2678.09,46933.03,47269.75,2914.24,294136.00,1736.00,105.86,?,36.00
71,2689.51,47010.40,47340.43,2911.38,2805835.18,3735.18,993.35,36.00,35.18
72,2687.66,46888.37,47235.72,2901.67,1029035.85,1635.85,370.22,35.18,35.85
73,2687.81,47223.68,47606.16,2912.13,383937.00,3437.00,140.78,35.85,37.00
74,2708.28,47125.93,47522.10,2909.77,1029935.99,4235.99,371.87,37.00,35.99
75,?,?,?,?,?,?,?,35.99,?
76,?,?,?,?,?,?,?,?,?
77,2718.31,46668.41,47094.18,2900.59,209736.52,1936.52,76.34,?,36.52
78,2658.94,46029.35,46473.62,2868.24,932636.59,2036.59,336.06,36.52,36.59
79,2663.64,46068.24,46511.62,2874.75,1834936.68,1136.68,668.78,36.59,36.68
80,2635.54,45580.47,46017.88,2833.61,17836.68,336.68,6.48,36.68,36.68
81,2596.69,45066.18,45473.08,2800.67,114436.00,436.00,41.18,36.68,36.00
82,?,?,?,?,?,?,?,36.00,?
83,?,?,?,?,?,?,?,?,?
84,2576.73,44585.10,44946.32,2780.21,170136.00,1236.00,61.23,?,36.00
85,2578.94,44724.88,45119.16,2774.13,934836.00,1136.00,338.23,36.00,36.00
86,2601.44,45247.90,45644.09,2785.46,1422935.50,2635.50,506.38,36.00,35.50
87,2624.74,45147.57,45528.85,2797.31,38435.99,835.99,13.78,35.50,35.99
88,?,?,?,?,?,?,?,35.99,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,2643.63,45304.74,45679.51,2814.33,1219736.74,3036.74,448.36,?,36.74
93,2608.26,44604.61,44940.36,2769.02,723736.05,936.05,264.47,36.74,36.05
94,2594.74,44623.89,44980.62,2766.19,72935.31,1335.31,25.76,36.05,35.31
95,2572.61,44597.66,44960.02,2760.91,559935.00,2935.00,196.15,35.31,35.00
96,?,?,?,?,?,?,?,35.00,?
97,?,?,?,?,?,?,?,?,?
98,2582.59,44590.97,44963.96,2764.28,1524334.30,1034.30,523.20,?,34.30
99,2592.09,44725.03,45096.35,2767.26,10727034.31,1234.31,3706.15,34.30,34.31
100,2601.25,45091.63,45495.34,2780.21,1593034.90,2634.90,552.66,34.31,34.90
101,2623.22,45688.48,46131.66,2794.43,5999334.90,1334.90,2066.53,34.90,34.90
102,2630.40,45525.92,45960.10,2783.53,2599535.41,3035.41,897.66,34.90,35.41
103,?,?,?,?,?,?,?,35.41,?
104,?,?,?,?,?,?,?,?,?
105,2587.31,44724.14,45167.65,2754.91,286634.92,3334.92,100.68,?,34.92
106,?,?,?,?,?,?,?,34.92,?
107,2555.73,43916.24,44404.81,2705.88,6718835.00,1835.00,2352.25,?,35.00
108,2520.54,43364.70,43850.06,2695.55,1845034.06,1534.06,649.47,35.00,34.06
109,2522.32,43447.75,43993.98,2685.57,3207534.79,1734.79,1091.38,34.06,34.79
110,?,?,?,?,?,?,?,34.79,?
111,?,?,?,?,?,?,?,?,?
112,2499.84,43360.30,43892.82,2660.28,281135.41,2935.41,97.88,?,35.41
113,2471.39,43159.57,43707.88,2624.40,129034.99,2234.99,44.94,35.41,34.99
114,2472.28,43356.73,43908.95,2636.70,10034.45,134.45,3.45,34.99,34.45
115,2492.91,43482.18,44027.03,2658.57,4153334.99,834.99,1430.82,34.45,34.99
116,2520.03,43665.21,44226.06,2669.93,3290735.15,1235.15,1134.59,34.99,35.15
117,?,?,?,?,?,?,?,35.15,?
118,?,?,?,?,?,?,?,?,?
119,2537.81,43882.16,44420.22,2685.14,102535.15,635.15,35.89,?,35.15
