%310
@RELATION PLBIOTN00029
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?
2,2835.52,119266650.09,1210.09,1173.85,?,0.09
3,2832.46,629430570.09,3600.09,5675.05,0.09,0.09
4,2814.73,205780490.09,1590.09,1837.54,0.09,0.09
5,?,?,?,?,0.09,?
6,?,?,?,?,?,?
7,2793.31,72242340.09,830.09,650.66,?,0.09
8,2790.64,14773330.10,480.10,134.01,0.09,0.10
9,2784.62,80955080.10,900.10,743.05,0.10,0.10
10,2800.96,5886380.10,450.10,57.08,0.10,0.10
11,2815.88,586302500.10,1970.10,5281.08,0.10,0.10
12,?,?,?,?,0.10,?
13,?,?,?,?,?,?
14,2820.74,205900310.10,1570.10,1862.41,?,0.10
15,2817.16,2128690920.09,13020.09,17550.55,0.10,0.09
16,2825.40,816590410.08,7370.08,6452.95,0.09,0.08
17,2848.09,135205410.08,2460.08,1079.45,0.08,0.08
18,2864.72,285749970.07,2370.07,2283.27,0.08,0.07
19,?,?,?,?,0.07,?
20,?,?,?,?,?,?
21,2890.14,67816630.08,1050.08,534.57,?,0.08
22,2892.80,59877800.08,840.08,459.76,0.08,0.08
23,2890.57,502420210.08,1040.08,4018.05,0.08,0.08
24,2898.85,23176340.08,570.08,181.83,0.08,0.08
25,2897.93,2137427910.06,20650.06,13943.65,0.08,0.06
26,?,?,?,?,0.06,?
27,?,?,?,?,?,?
28,2886.17,2323242270.07,18260.07,13984.95,?,0.07
29,2878.58,284683890.06,1610.06,1972.66,0.07,0.06
30,2876.68,97200910.06,1520.06,630.27,0.06,0.06
31,2880.57,1186121630.07,12120.07,7239.05,0.06,0.07
32,2883.81,612254580.06,5750.06,3686.24,0.07,0.06
33,?,?,?,?,0.06,?
34,?,?,?,?,?,?
35,2856.17,67728850.06,1570.06,412.25,?,0.06
36,2843.49,85731150.06,1140.06,519.67,0.06,0.06
37,2811.05,319943400.06,1430.06,2046.56,0.06,0.06
38,2815.91,43264970.07,1540.07,272.04,0.06,0.07
39,2825.70,66096830.06,1670.06,439.78,0.07,0.06
40,?,?,?,?,0.06,?
41,?,?,?,?,?,?
42,2826.84,35348390.06,910.06,230.41,?,0.06
43,2821.25,724812140.06,9820.06,4348.43,0.06,0.06
44,2825.02,33513270.06,1100.06,202.75,0.06,0.06
45,2825.15,33685300.07,970.07,222.36,0.06,0.07
46,2838.22,31158230.06,900.06,190.53,0.07,0.06
47,?,?,?,?,0.06,?
48,?,?,?,?,?,?
49,2848.48,145990000.06,1080.06,997.33,?,0.06
50,2843.90,28931070.07,950.07,182.24,0.06,0.07
51,2831.71,53925710.07,1230.07,336.36,0.07,0.07
52,2801.83,384412110.06,2900.06,2517.05,0.07,0.06
53,2817.57,120725270.06,1170.06,813.57,0.06,0.06
54,?,?,?,?,0.06,?
55,?,?,?,?,?,?
56,2840.57,48835410.06,1360.06,310.49,?,0.06
57,2831.16,92712300.06,1750.06,563.75,0.06,0.06
58,2855.69,227592400.07,2760.07,1467.43,0.06,0.07
59,2865.27,116901250.06,1250.06,793.75,0.07,0.06
60,2859.05,30065710.06,1000.06,187.26,0.06,0.06
61,?,?,?,?,0.06,?
62,?,?,?,?,?,?
63,2860.68,99710370.07,1090.07,687.39,?,0.07
64,2868.06,221707650.07,1880.07,1432.67,0.07,0.07
65,2872.90,47832770.07,1250.07,318.20,0.07,0.07
66,2873.49,64951690.07,950.07,444.12,0.07,0.07
67,2906.74,54669170.06,1400.06,359.65,0.07,0.06
68,?,?,?,?,0.06,?
69,?,?,?,?,?,?
70,2914.24,698168690.06,7600.06,4191.93,?,0.06
71,2911.38,76838990.06,1720.06,449.84,0.06,0.06
72,2901.67,31339880.05,800.05,175.33,0.06,0.05
73,2912.13,78387060.05,1320.05,453.87,0.05,0.05
74,2909.77,232001180.05,1470.05,1295.39,0.05,0.05
75,?,?,?,?,0.05,?
76,?,?,?,?,?,?
77,2900.59,53779980.06,960.06,319.13,?,0.06
78,2868.24,31035200.06,800.06,185.34,0.06,0.06
79,2874.75,26235660.06,880.06,152.44,0.06,0.06
80,2833.61,111925160.05,900.05,651.06,0.06,0.05
81,2800.67,32483140.05,1150.05,168.01,0.05,0.05
82,?,?,?,?,0.05,?
83,?,?,?,?,?,?
84,2780.21,35098130.05,1160.05,184.06,?,0.05
85,2774.13,121854920.06,2530.06,622.38,0.05,0.06
86,2785.46,110641770.05,1200.05,643.10,0.06,0.05
87,2797.31,70185850.05,1590.05,376.25,0.05,0.05
88,?,?,?,?,0.05,?
89,?,?,?,?,?,?
90,?,?,?,?,?,?
91,?,?,?,?,?,?
92,2814.33,60043690.06,1430.06,316.52,?,0.06
93,2769.02,437248340.05,4770.05,2200.32,0.06,0.05
94,2766.19,146218270.05,2710.05,760.38,0.05,0.05
95,2760.91,30193150.05,1300.05,151.50,0.05,0.05
96,?,?,?,?,0.05,?
97,?,?,?,?,?,?
98,2764.28,545408370.05,7530.05,2708.78,?,0.05
99,2767.26,80368570.04,1880.04,383.40,0.05,0.04
100,2780.21,66193330.05,1170.05,293.70,0.04,0.05
101,2794.43,55457370.04,990.04,252.56,0.05,0.04
102,2783.53,292926100.04,2570.04,1218.27,0.04,0.04
103,?,?,?,?,0.04,?
104,?,?,?,?,?,?
105,2754.91,29262930.04,980.04,125.72,?,0.04
106,?,?,?,?,0.04,?
107,2705.88,50935070.04,1160.04,216.47,?,0.04
108,2695.55,25755360.04,570.04,106.46,0.04,0.04
109,2685.57,72885150.05,730.05,333.19,0.04,0.05
110,?,?,?,?,0.05,?
111,?,?,?,?,?,?
112,2660.28,659013060.04,9820.04,2638.01,?,0.04
113,2624.40,149589240.04,2180.04,596.17,0.04,0.04
114,2636.70,71198700.04,1400.04,283.83,0.04,0.04
115,2658.57,319745230.04,2830.04,1310.71,0.04,0.04
116,2669.93,13711630.04,530.04,55.86,0.04,0.04
117,?,?,?,?,0.04,?
118,?,?,?,?,?,?
119,2685.14,24378190.04,750.04,98.57,?,0.04
120,2704.84,176663660.04,1910.04,740.16,0.04,0.04
121,?,?,?,?,0.04,?
122,2695.22,12710610.05,430.05,54.00,?,0.05
123,?,?,?,?,0.05,?
124,?,?,?,?,?,?
125,?,?,?,?,?,?
126,2714.72,15542390.05,750.05,65.33,?,0.05
127,2733.96,45803360.04,900.04,216.70,0.05,0.04
128,2752.14,9059810.04,440.04,37.84,0.04,0.04
129,2760.20,54860380.04,1010.04,253.41,0.04,0.04
130,2769.85,17924930.04,960.04,73.30,0.04,0.04
131,?,?,?,?,0.04,?
132,?,?,?,?,?,?
133,2790.62,55926810.04,1760.04,264.71,?,0.04
134,2822.41,182137650.04,1570.04,739.55,0.04,0.04
135,2848.38,9810370.04,510.04,42.51,0.04,0.04
136,2871.70,24663420.05,930.05,118.72,0.04,0.05
137,2885.19,23719810.04,860.04,95.94,0.05,0.04
138,?,?,?,?,0.04,?
139,?,?,?,?,?,?
140,2921.95,323684250.04,4110.04,1297.70,?,0.04
141,2893.12,151919920.04,2620.04,603.06,0.04,0.04
142,2912.70,170533240.04,2110.04,681.56,0.04,0.04
143,2894.53,131117430.04,1330.04,514.01,0.04,0.04
144,2929.62,10429960.04,570.04,43.52,0.04,0.04
145,?,?,?,?,0.04,?
146,?,?,?,?,?,?
147,2976.83,16807390.04,420.04,69.33,?,0.04
148,2997.81,5821620.04,560.04,25.62,0.04,0.04
149,3000.58,13451450.04,560.04,55.47,0.04,0.04
150,?,?,?,?,0.04,?
151,2994.25,500923700.04,2550.04,2005.86,?,0.04
152,?,?,?,?,0.04,?
153,?,?,?,?,?,?
154,2970.24,285987850.04,2930.04,1150.18,?,0.04
155,2998.79,13092510.04,640.04,60.38,0.04,0.04
156,3026.87,9748210.04,600.04,42.11,0.04,0.04
157,3020.15,11081300.04,550.04,49.26,0.04,0.04
158,3044.38,21864360.04,790.04,89.00,0.04,0.04
159,?,?,?,?,0.04,?
160,?,?,?,?,?,?
161,3065.91,47065630.04,1210.04,204.71,?,0.04
162,3074.89,54661900.04,960.04,219.91,0.04,0.04
163,3098.83,52320080.04,1150.04,216.39,0.04,0.04
164,3089.32,40738330.05,630.05,168.75,0.04,0.05
165,3092.65,10854890.05,600.05,51.54,0.05,0.05
166,?,?,?,?,0.05,?
167,?,?,?,?,?,?
168,3100.24,16688940.05,430.05,70.48,?,0.05
169,3120.39,18509610.05,600.05,80.29,0.05,0.05
170,3122.21,27353900.05,960.05,112.39,0.05,0.05
171,3038.18,283088750.04,5940.04,1137.24,0.05,0.04
172,3001.68,144545070.04,2690.04,577.18,0.04,0.04
173,?,?,?,?,0.04,?
174,?,?,?,?,?,?
175,2990.89,114065230.04,1820.04,447.95,?,0.04
176,2999.31,78649780.04,1900.04,297.44,0.04,0.04
177,2972.55,50199380.04,1460.04,199.66,0.04,0.04
178,2915.58,79092980.03,1540.03,249.90,0.04,0.03
179,2948.80,136389510.03,1730.03,491.73,0.03,0.03
180,?,?,?,?,0.03,?
181,?,?,?,?,?,?
182,2963.91,47018950.04,790.04,188.08,?,0.04
183,2981.48,34277070.04,560.04,137.11,0.04,0.04
184,2971.57,10340650.03,420.03,36.96,0.04,0.03
185,2988.19,47203120.03,660.03,141.61,0.03,0.03
186,2977.06,34491780.04,560.04,117.20,0.03,0.04
187,?,?,?,?,0.04,?
188,?,?,?,?,?,?
189,2948.16,12194320.04,530.04,45.02,?,0.04
190,2924.69,19306840.03,580.03,57.92,0.04,0.03
191,2962.09,36719690.03,560.03,124.01,0.03,0.03
192,2992.86,15087910.04,490.04,50.20,0.03,0.04
193,3017.66,34259870.03,790.03,130.61,0.04,0.03
194,?,?,?,?,0.03,?
195,?,?,?,?,?,?
196,3022.70,15745890.03,510.03,47.24,?,0.03
197,3017.11,14163550.04,470.04,56.65,0.03,0.04
198,3021.27,11451780.04,380.04,45.81,0.04,0.04
199,3023.16,54819290.03,380.03,176.88,0.04,0.03
200,3019.85,11703170.03,280.03,41.56,0.03,0.03
201,?,?,?,?,0.03,?
202,?,?,?,?,?,?
203,3021.70,28534780.04,470.04,114.14,?,0.04
204,3029.97,53419400.03,470.03,160.26,0.04,0.03
205,3050.63,56399220.04,690.04,213.71,0.03,0.04
206,3036.16,20764980.03,700.03,74.61,0.04,0.03
207,3015.00,14232040.03,490.03,42.70,0.03,0.03
208,?,?,?,?,0.03,?
209,?,?,?,?,?,?
210,3032.94,35544170.04,590.04,110.56,?,0.04
211,3038.42,7576260.04,440.04,30.31,0.04,0.04
212,3046.08,20382500.04,540.04,72.14,0.04,0.04
213,3060.17,10833770.04,390.04,39.33,0.04,0.04
214,3110.79,7810090.04,410.04,31.24,0.04,0.04
215,?,?,?,?,0.04,?
216,?,?,?,?,?,?
217,3127.41,7864280.03,360.03,23.59,?,0.03
218,3127.38,13306260.03,480.03,39.92,0.03,0.03
219,3168.23,16743280.04,570.04,66.97,0.03,0.04
220,3190.86,48312750.04,580.04,189.91,0.04,0.04
221,3206.86,18459660.04,420.04,73.84,0.04,0.04
222,?,?,?,?,0.04,?
223,?,?,?,?,?,?
224,3225.79,1058217610.03,7090.03,3176.04,?,0.03
225,3233.22,222372250.03,2520.03,667.12,0.03,0.03
226,3271.49,73996680.03,1540.03,221.99,0.03,0.03
227,?,?,?,?,0.03,?
228,3253.28,57464920.03,1030.03,172.39,?,0.03
229,?,?,?,?,0.03,?
230,?,?,?,?,?,?
231,3237.31,25381820.03,600.03,76.15,?,0.03
232,3210.57,669404700.02,1840.02,1356.63,0.03,0.02
233,3221.87,1676857580.02,7760.02,3353.72,0.02,0.02
