%310
@RELATION PLPGNIG00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?,?,?,?
2,2624.35,2626.21,48107.89,2644.06,3789.17,3791.86,3693.16,48389.84,46245705.26,14805.26,24207.00,?,5.26
3,2629.86,2628.36,48222.72,2649.70,3797.12,3794.96,3710.02,48505.50,29475375.25,18545.25,15401.82,5.26,5.25
4,2611.26,2601.73,47888.16,2625.17,3770.27,3756.50,3657.91,48143.94,29945025.28,11785.28,15687.86,5.25,5.28
5,?,?,?,?,?,?,?,?,?,?,?,5.28,?
6,?,?,?,?,?,?,?,?,?,?,?,?,?
7,2594.16,2578.48,47589.33,2607.87,3745.58,3722.95,3577.63,47820.24,29493135.27,10295.27,15480.50,?,5.27
8,2579.49,2562.63,47379.63,2600.99,3724.40,3700.06,3549.00,47624.67,36579705.27,7645.27,19212.78,5.27,5.27
9,2582.76,2567.59,47407.28,2600.72,3729.12,3707.22,3553.37,47668.58,12970295.25,5065.25,6793.40,5.27,5.25
10,2592.92,2573.62,47546.91,2611.00,3743.79,3715.93,3577.53,47798.66,50427265.43,16785.43,26981.36,5.25,5.43
11,2581.72,2557.93,47440.80,2601.78,3727.62,3693.27,3544.79,47690.97,30167085.33,12075.33,16411.21,5.43,5.33
12,?,?,?,?,?,?,?,?,?,?,?,5.33,?
13,?,?,?,?,?,?,?,?,?,?,?,?,?
14,2585.89,2560.14,47470.12,2601.51,3733.64,3696.46,3566.85,47724.95,33302785.36,7445.36,17953.43,?,5.36
15,2563.15,2532.42,47086.54,2582.97,3700.81,3656.43,3547.24,47346.41,20962125.40,5415.40,11302.36,5.36,5.40
16,2590.04,2565.15,47521.39,2609.80,3739.63,3703.70,3670.64,47794.60,57140575.56,11515.56,31518.12,5.40,5.56
17,2595.18,2567.16,47661.37,2612.25,3747.05,3706.60,3644.48,47936.81,38998475.51,13175.51,21770.58,5.56,5.51
18,2603.26,2572.14,47813.69,2633.44,3758.73,3713.78,3698.62,48104.67,25549925.66,12215.66,14272.03,5.51,5.66
19,?,?,?,?,?,?,?,?,?,?,?,5.66,?
20,?,?,?,?,?,?,?,?,?,?,?,?,?
21,2604.76,2573.67,47936.61,2642.75,3760.89,3716.00,3721.02,48184.37,36764555.75,11565.75,21154.02,?,5.75
22,2598.05,2566.60,47872.80,2636.08,3751.19,3705.79,3722.27,48127.89,23224345.67,9615.67,13237.37,5.75,5.67
23,2589.88,2558.39,47733.24,2636.70,3739.40,3693.93,3760.57,47999.21,32172585.74,9795.74,18416.69,5.67,5.74
24,2601.37,2568.63,47942.04,2650.72,3756.00,3708.72,3778.89,48203.43,30687885.71,11855.71,17491.87,5.74,5.71
25,2578.18,2542.32,47613.95,2622.74,3722.51,3670.73,3769.37,47851.99,23016865.75,6885.75,13271.80,5.71,5.75
26,?,?,?,?,?,?,?,?,?,?,?,5.75,?
27,?,?,?,?,?,?,?,?,?,?,?,?,?
28,2558.56,2521.50,47324.06,2591.34,3694.19,3640.67,3682.15,47553.14,40774245.63,14435.63,22944.51,?,5.63
29,2560.73,2524.36,47328.40,2586.29,3697.32,3644.80,3685.98,47565.10,37937635.54,12695.54,21091.39,5.63,5.54
30,2532.09,2496.15,46917.19,2576.43,3655.96,3604.07,3645.60,47113.08,31782225.50,11015.50,17546.08,5.54,5.50
31,2522.74,2492.76,46840.15,2575.55,3642.47,3599.17,3607.52,47011.43,48775655.50,13105.50,27081.21,5.50,5.50
32,2529.59,2499.19,46945.58,2583.37,3652.36,3608.45,3644.46,47121.08,25761955.59,9395.59,14370.77,5.50,5.59
33,?,?,?,?,?,?,?,?,?,?,?,5.59,?
34,?,?,?,?,?,?,?,?,?,?,?,?,?
35,2502.46,2469.73,46556.55,2547.25,3613.18,3565.92,3612.41,46735.25,40568795.60,8605.60,22801.25,?,5.60
36,2517.38,2485.25,46674.78,2560.42,3634.73,3588.33,3630.18,46862.43,27103925.70,8185.70,15288.45,5.60,5.70
37,2486.34,2455.47,46149.14,2519.42,3589.91,3545.34,3536.94,46341.54,32904075.50,11405.50,18270.44,5.70,5.50
38,2495.53,2467.45,46329.66,2528.23,3603.17,3562.63,3535.96,46512.72,30034745.51,9475.51,16569.58,5.50,5.51
39,2520.06,2495.42,46741.54,2552.12,3638.59,3603.02,3562.82,46931.40,22710175.46,11325.46,12493.36,5.51,5.46
40,?,?,?,?,?,?,?,?,?,?,?,5.46,?
41,?,?,?,?,?,?,?,?,?,?,?,?,?
42,2524.86,2497.88,46786.74,2558.20,3645.53,3606.56,3594.60,46988.04,13484305.51,5125.51,7401.50,?,5.51
43,2492.15,2470.48,46399.26,2481.31,3598.29,3567.01,3633.37,46564.61,22544595.57,7345.57,12515.58,5.51,5.57
44,2492.46,2471.21,46406.74,2484.02,3598.75,3568.06,3701.80,46569.81,17150105.65,7105.65,9663.70,5.57,5.65
45,2475.92,2456.36,46211.54,2456.32,3574.86,3546.62,3689.43,46360.51,15262625.67,6365.67,8583.65,5.65,5.67
46,2488.01,2467.63,46370.13,2472.53,3592.31,3562.89,3737.74,46523.63,29296235.77,12465.77,16787.57,5.67,5.77
47,?,?,?,?,?,?,?,?,?,?,?,5.77,?
48,?,?,?,?,?,?,?,?,?,?,?,?,?
49,2496.81,2476.01,46508.27,2481.71,3605.03,3574.99,3727.26,46665.39,18983625.73,7295.73,10903.46,?,5.73
50,2498.71,2477.19,46490.89,2480.51,3607.77,3576.69,3822.74,46652.19,24965025.70,9565.70,14247.92,5.73,5.70
51,2469.66,2443.16,46051.76,2452.52,3565.83,3527.55,3822.87,46198.42,30628405.75,10815.75,17624.87,5.70,5.75
52,2465.43,2436.47,45879.90,2449.91,3559.72,3517.90,3827.84,46050.52,29170865.78,12255.78,16617.71,5.75,5.78
53,2468.34,2437.24,45948.12,2447.21,3563.91,3519.01,3855.76,46124.82,15986775.78,6375.78,9188.17,5.78,5.78
54,?,?,?,?,?,?,?,?,?,?,?,5.78,?
55,?,?,?,?,?,?,?,?,?,?,?,?,?
56,2485.01,2454.92,46286.28,2457.59,3587.99,3544.53,3909.51,46487.05,26253935.75,11255.75,15070.78,?,5.75
57,2458.58,2428.57,45868.35,2428.46,3549.82,3506.49,3782.19,46065.85,27269375.55,11995.55,15230.73,5.75,5.55
58,2481.27,2450.36,46241.92,2456.88,3582.59,3537.96,3822.08,46459.99,50839765.60,15005.60,27950.72,5.55,5.60
59,2483.07,2452.01,46280.36,2464.60,3585.19,3540.33,3849.49,46510.83,47706905.72,12425.72,27104.56,5.60,5.72
60,2494.13,2452.86,46341.14,2483.58,3601.15,3541.56,3897.45,46622.90,41525895.73,9865.73,23640.27,5.72,5.73
61,?,?,?,?,?,?,?,?,?,?,?,5.73,?
62,?,?,?,?,?,?,?,?,?,?,?,?,?
63,2483.53,2438.97,46137.70,2477.48,3585.84,3521.50,3862.04,46454.13,38212065.69,9285.69,21692.17,?,5.69
64,2515.78,2477.68,46676.09,2495.06,3632.41,3577.40,3949.24,47001.38,30672795.73,9375.73,17497.30,5.69,5.73
