%310
@RELATION PLEDINV00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1438.45,48389.84,2835.52,04.00,04.00,0.00,?,4.00
3,783.15,48222.72,1422.15,48505.50,2832.46,04.00,04.00,0.00,4.00,4.00
4,781.69,47888.16,1424.57,48143.94,2814.73,6403.80,13.80,2.43,4.00,3.80
5,?,?,?,?,?,?,?,?,3.80,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1408.87,47820.24,2793.31,7523.76,43.76,2.83,?,3.76
8,780.70,47379.63,1416.22,47624.67,2790.64,10533.85,43.85,3.97,3.76,3.85
9,784.82,47407.28,1418.24,47668.58,2784.62,2043.80,33.80,0.78,3.85,3.80
10,788.85,47546.91,1427.00,47798.66,2800.96,11113.80,13.80,4.22,3.80,3.80
11,795.36,47440.80,1431.50,47690.97,2815.88,2383.80,23.80,0.90,3.80,3.80
12,?,?,?,?,?,?,?,?,3.80,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1429.59,47724.95,2820.74,853.80,13.80,0.32,?,3.80
15,794.59,47086.54,1424.03,47346.41,2817.16,4923.80,13.80,1.87,3.80,3.80
16,796.34,47521.39,1459.06,47794.60,2825.40,03.80,03.80,0.00,3.80,3.80
17,803.56,47661.37,1480.62,47936.81,2848.09,5403.88,23.88,2.08,3.80,3.88
18,807.72,47813.69,1463.04,48104.67,2864.72,03.88,03.88,0.00,3.88,3.88
19,?,?,?,?,?,?,?,?,3.88,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1473.28,48184.37,2890.14,03.88,03.88,0.00,?,3.88
22,808.23,47872.80,1474.10,48127.89,2892.80,2983.75,13.75,1.12,3.88,3.75
23,808.40,47733.24,1466.26,47999.21,2890.57,553.74,13.74,0.21,3.75,3.74
24,811.80,47942.04,1462.14,48203.43,2898.85,1763.74,23.74,0.66,3.74,3.74
25,812.99,47613.95,1453.75,47851.99,2897.93,983.75,23.75,0.37,3.74,3.75
26,?,?,?,?,?,?,?,?,3.75,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1428.40,47553.14,2886.17,3983.80,33.80,1.51,?,3.80
29,815.93,47328.40,1414.71,47565.10,2878.58,9973.84,33.84,3.81,3.80,3.84
30,815.59,46917.19,1409.63,47113.08,2876.68,03.84,03.84,0.00,3.84,3.84
31,817.14,46840.15,1412.77,47011.43,2880.57,03.84,03.84,0.00,3.84,3.84
32,818.68,46945.58,1424.75,47121.08,2883.81,22493.70,33.70,8.33,3.84,3.70
33,?,?,?,?,?,?,?,?,3.70,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1376.74,46735.25,2856.17,20373.53,33.53,7.20,?,3.53
36,816.68,46674.78,1376.05,46862.43,2843.49,2573.54,43.54,0.91,3.53,3.54
37,813.75,46149.14,1368.56,46341.54,2811.05,03.54,03.54,0.00,3.54,3.54
38,811.13,46329.66,1379.50,46512.72,2815.91,9573.54,63.54,3.38,3.54,3.54
39,813.77,46741.54,1389.85,46931.40,2825.70,03.54,03.54,0.00,3.54,3.54
40,?,?,?,?,?,?,?,?,3.54,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1393.28,46988.04,2826.84,383.50,13.50,0.13,?,3.50
43,817.32,46399.26,1383.89,46564.61,2821.25,663.37,23.37,0.23,3.50,3.37
44,817.35,46406.74,1354.82,46569.81,2825.02,43963.27,43.27,14.66,3.37,3.27
45,818.81,46211.54,1313.43,46360.51,2825.15,1893.23,33.23,0.61,3.27,3.23
46,826.73,46370.13,1349.87,46523.63,2838.22,22933.23,53.23,7.07,3.23,3.23
47,?,?,?,?,?,?,?,?,3.23,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1365.73,46665.39,2848.48,1443.23,23.23,0.47,?,3.23
50,832.30,46490.89,1352.40,46652.19,2843.90,15003.07,13.07,4.61,3.23,3.07
51,830.62,46051.76,1342.16,46198.42,2831.71,03.07,03.07,0.00,3.07,3.07
52,823.32,45879.90,1322.82,46050.52,2801.83,03.07,03.07,0.00,3.07,3.07
53,826.66,45948.12,1345.82,46124.82,2817.57,03.07,03.07,0.00,3.07,3.07
54,?,?,?,?,?,?,?,?,3.07,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1357.55,46487.05,2840.57,03.07,03.07,0.00,?,3.07
57,828.81,45868.35,1359.10,46065.85,2831.16,1543.00,23.00,0.48,3.07,3.00
58,836.69,46241.92,1359.06,46459.99,2855.69,03.00,03.00,0.00,3.00,3.00
59,844.08,46280.36,1354.30,46510.83,2865.27,3173.00,23.00,0.95,3.00,3.00
60,842.02,46341.14,1347.19,46622.90,2859.05,3102.97,32.97,0.93,3.00,2.97
61,?,?,?,?,?,?,?,?,2.97,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,1363.77,46454.13,2860.68,4042.97,42.97,1.21,?,2.97
64,845.88,46676.09,1397.73,47001.38,2868.06,103.00,13.00,0.03,2.97,3.00
65,849.88,46762.65,1387.52,47090.49,2872.90,103.06,13.06,0.03,3.00,3.06
66,855.99,46745.26,1372.44,47060.66,2873.49,2833.12,23.12,0.88,3.06,3.12
67,861.67,47074.39,1370.33,47436.21,2906.74,2173.12,23.12,0.68,3.12,3.12
68,?,?,?,?,?,?,?,?,3.12,?
69,?,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,1396.97,47269.75,2914.24,13.15,13.15,0.00,?,3.15
71,866.79,47010.40,1423.31,47340.43,2911.38,24403.15,33.15,7.68,3.15,3.15
72,872.90,46888.37,1423.72,47235.72,2901.67,49993.25,53.25,16.21,3.15,3.25
73,871.52,47223.68,1436.51,47606.16,2912.13,48573.20,23.20,15.57,3.25,3.20
74,873.21,47125.93,1431.31,47522.10,2909.77,50963.23,53.23,16.45,3.20,3.23
75,?,?,?,?,?,?,?,?,3.23,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1419.01,47094.18,2900.59,933.20,13.20,0.30,?,3.20
78,864.73,46029.35,1400.23,46473.62,2868.24,40543.46,33.46,13.31,3.20,3.46
79,862.97,46068.24,1396.66,46511.62,2874.75,28193.54,43.54,9.93,3.46,3.54
80,850.86,45580.47,1372.60,46017.88,2833.61,5333.63,23.63,1.93,3.54,3.63
81,845.32,45066.18,1354.95,45473.08,2800.67,28163.76,83.76,10.62,3.63,3.76
82,?,?,?,?,?,?,?,?,3.76,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1336.25,44946.32,2780.21,12493.75,73.75,4.85,?,3.75
85,830.80,44724.88,1334.81,45119.16,2774.13,69883.92,103.92,27.37,3.75,3.92
