%310
@RELATION PLBRLNG00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?
2,2835.52,14276.50,46.50,9.34,?,6.50
3,2832.46,3916.22,46.22,2.43,6.50,6.22
4,2814.73,43026.60,106.60,27.74,6.22,6.60
5,?,?,?,?,6.60,?
6,?,?,?,?,?,?
7,2793.31,9066.60,76.60,5.99,?,6.60
8,2790.64,12816.59,86.59,8.38,6.60,6.59
9,2784.62,1206.57,16.57,0.79,6.59,6.57
10,2800.96,9746.47,46.47,6.33,6.57,6.47
11,2815.88,2078006.66,286.66,1371.50,6.47,6.66
12,?,?,?,?,6.66,?
13,?,?,?,?,?,?
14,2820.74,1836206.60,166.60,1212.10,?,6.60
15,2817.16,210526.60,76.60,138.84,6.60,6.60
16,2825.40,1025006.50,36.50,668.25,6.60,6.50
17,2848.09,2015956.63,76.63,1328.56,6.50,6.63
18,2864.72,3456.65,16.65,2.29,6.63,6.65
19,?,?,?,?,6.65,?
20,?,?,?,?,?,?
21,2890.14,643706.76,566.76,436.79,?,6.76
22,2892.80,217666.96,136.96,150.23,6.76,6.96
23,2890.57,33806.99,116.99,23.68,6.96,6.99
24,2898.85,238267.05,257.05,167.17,6.99,7.05
25,2897.93,6807.04,47.04,4.78,7.05,7.04
26,?,?,?,?,7.04,?
27,?,?,?,?,?,?
28,2886.17,5507.04,37.04,3.85,?,7.04
29,2878.58,1257.00,27.00,0.86,7.04,7.00
30,2876.68,9447.00,37.00,6.48,7.00,7.00
31,2880.57,07.00,07.00,0.00,7.00,7.00
32,2883.81,12056.99,56.99,8.17,7.00,6.99
33,?,?,?,?,6.99,?
34,?,?,?,?,?,?
35,2856.17,2326.99,46.99,1.62,?,6.99
36,2843.49,108636.95,146.95,74.57,6.99,6.95
