%310
@RELATION PLNTMDA00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,2710.26,48389.84,13164.24,94.24,5.51,?,4.24
3,783.15,48222.72,2698.71,48505.50,48424.22,104.22,19.79,4.24,4.22
4,781.69,47888.16,2695.86,48143.94,33004.02,44.02,13.28,4.22,4.02
5,?,?,?,?,?,?,?,4.02,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,2663.04,47820.24,6004.02,54.02,2.41,?,4.02
8,780.70,47379.63,2620.57,47624.67,2954.02,24.02,1.19,4.02,4.02
9,784.82,47407.28,2619.40,47668.58,4633.97,23.97,1.84,4.02,3.97
10,788.85,47546.91,2677.70,47798.66,34.00,14.00,0.01,3.97,4.00
11,795.36,47440.80,2696.86,47690.97,3433.99,33.99,1.34,4.00,3.99
12,?,?,?,?,?,?,?,3.99,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,2672.08,47724.95,33.99,13.99,0.01,?,3.99
15,794.59,47086.54,2690.48,47346.41,13.99,13.99,0.00,3.99,3.99
16,796.34,47521.39,2744.45,47794.60,33.99,13.99,0.01,3.99,3.99
17,803.56,47661.37,2771.35,47936.81,19533.90,33.90,7.62,3.99,3.90
18,807.72,47813.69,2772.18,48104.67,6393.95,73.95,2.43,3.90,3.95
19,?,?,?,?,?,?,?,3.95,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,2757.38,48184.37,33.95,13.95,0.01,?,3.95
22,808.23,47872.80,2736.45,48127.89,807963.90,93.90,311.97,3.95,3.90
23,808.40,47733.24,2683.43,47999.21,6003.90,43.90,2.34,3.90,3.90
24,811.80,47942.04,2707.85,48203.43,17053.90,33.90,6.65,3.90,3.90
25,812.99,47613.95,2697.00,47851.99,142944.02,244.02,56.76,3.90,4.02
26,?,?,?,?,?,?,?,4.02,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,2704.07,47553.14,54.00,14.00,0.02,?,4.00
29,815.93,47328.40,2673.73,47565.10,106224.02,144.02,42.67,4.00,4.02
30,815.59,46917.19,2682.83,47113.08,378264.17,114.17,152.43,4.02,4.17
31,817.14,46840.15,2642.41,47011.43,34.16,14.16,0.01,4.17,4.16
32,818.68,46945.58,2651.70,47121.08,5054.04,24.04,2.04,4.16,4.04
33,?,?,?,?,?,?,?,4.04,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,2642.00,46735.25,31973.98,73.98,12.75,?,3.98
36,816.68,46674.78,2621.95,46862.43,40003.98,13.98,15.92,3.98,3.98
37,813.75,46149.14,2583.33,46341.54,53.94,13.94,0.02,3.98,3.94
38,811.13,46329.66,2569.88,46512.72,1783.94,33.94,0.70,3.94,3.94
39,813.77,46741.54,2575.59,46931.40,1053.89,23.89,0.41,3.94,3.89
40,?,?,?,?,?,?,?,3.89,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,2617.30,46988.04,2513.81,33.81,0.96,?,3.81
43,817.32,46399.26,2620.19,46564.61,17503.81,13.81,6.67,3.81,3.81
44,817.35,46406.74,2595.28,46569.81,7473.75,43.75,2.79,3.81,3.75
45,818.81,46211.54,2556.98,46360.51,3743.75,43.75,1.40,3.75,3.75
46,826.73,46370.13,2566.54,46523.63,5713.70,33.70,2.11,3.75,3.70
47,?,?,?,?,?,?,?,3.70,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,2593.85,46665.39,51473.78,83.78,19.46,?,3.78
50,832.30,46490.89,2591.45,46652.19,8423.72,43.72,3.13,3.78,3.72
51,830.62,46051.76,2578.63,46198.42,56343.64,73.64,20.56,3.72,3.64
52,823.32,45879.90,2578.03,46050.52,11233.53,63.53,3.98,3.64,3.53
53,826.66,45948.12,2604.97,46124.82,1023.65,33.65,0.37,3.53,3.65
54,?,?,?,?,?,?,?,3.65,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,2625.95,46487.05,03.65,03.65,0.00,?,3.65
