%310
@RELATION PLINDKP00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,3718.83,48389.84,2835.52,136.94,136.94,0.04,?,36.94
3,783.15,48222.72,3696.13,48505.50,2832.46,136.94,136.94,0.04,36.94,36.94
4,781.69,47888.16,3651.18,48143.94,2814.73,1036.95,136.95,0.37,36.94,36.95
5,?,?,?,?,?,?,?,?,36.95,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,3642.19,47820.24,2793.31,14736.95,436.95,5.43,?,36.95
8,780.70,47379.63,3576.33,47624.67,2790.64,136.95,136.95,0.04,36.95,36.95
9,784.82,47407.28,3508.84,47668.58,2784.62,5036.95,136.95,1.85,36.95,36.95
10,788.85,47546.91,3558.48,47798.66,2800.96,136.95,136.95,0.04,36.95,36.95
11,795.36,47440.80,3558.82,47690.97,2815.88,136.95,136.95,0.04,36.95,36.95
12,?,?,?,?,?,?,?,?,36.95,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,3578.44,47724.95,2820.74,2036.00,336.00,0.73,?,36.00
15,794.59,47086.54,3558.20,47346.41,2817.16,2636.50,236.50,0.95,36.00,36.50
16,796.34,47521.39,3558.19,47794.60,2825.40,3036.50,236.50,1.10,36.50,36.50
17,803.56,47661.37,3543.16,47936.81,2848.09,136.95,136.95,0.04,36.50,36.95
18,807.72,47813.69,3562.92,48104.67,2864.72,136.95,136.95,0.04,36.95,36.95
19,?,?,?,?,?,?,?,?,36.95,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,3699.59,48184.37,2890.14,5937.69,437.69,2.18,?,37.69
22,808.23,47872.80,3655.10,48127.89,2892.80,037.69,037.69,0.00,37.69,37.69
23,808.40,47733.24,3659.94,47999.21,2890.57,037.69,037.69,0.00,37.69,37.69
24,811.80,47942.04,3700.17,48203.43,2898.85,037.69,037.69,0.00,37.69,37.69
25,812.99,47613.95,3718.94,47851.99,2897.93,136.00,136.00,0.04,37.69,36.00
