%310
@RELATION PLSTLPF00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,33017.00,617.00,5.63,?,17.00
3,48222.72,48505.50,2832.46,55417.00,617.00,9.43,17.00,17.00
4,47888.16,48143.94,2814.73,30716.76,216.76,5.15,17.00,16.76
5,?,?,?,?,?,?,16.76,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,86516.70,716.70,14.45,?,16.70
8,47379.63,47624.67,2790.64,94516.54,816.54,15.70,16.70,16.54
9,47407.28,47668.58,2784.62,39416.25,516.25,6.42,16.54,16.25
10,47546.91,47798.66,2800.96,4216.30,216.30,0.68,16.25,16.30
11,47440.80,47690.97,2815.88,49216.35,616.35,8.09,16.30,16.35
12,?,?,?,?,?,?,16.35,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,31815.88,415.88,5.15,?,15.88
15,47086.54,47346.41,2817.16,101515.32,1315.32,16.03,15.88,15.32
16,47521.39,47794.60,2825.40,200015.35,315.35,30.70,15.32,15.35
17,47661.37,47936.81,2848.09,386015.35,1415.35,59.21,15.35,15.35
18,47813.69,48104.67,2864.72,1754316.19,1616.19,272.61,15.35,16.19
19,?,?,?,?,?,?,16.19,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,118216.24,916.24,19.19,?,16.24
22,47872.80,48127.89,2892.80,016.24,016.24,0.00,16.24,16.24
23,47733.24,47999.21,2890.57,29216.09,416.09,4.66,16.24,16.09
24,47942.04,48203.43,2898.85,10115.99,215.99,1.61,16.09,15.99
25,47613.95,47851.99,2897.93,115215.54,615.54,17.91,15.99,15.54
26,?,?,?,?,?,?,15.54,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,77915.30,815.30,11.88,?,15.30
29,47328.40,47565.10,2878.58,28115.17,215.17,4.26,15.30,15.17
30,46917.19,47113.08,2876.68,577815.00,1115.00,86.54,15.17,15.00
31,46840.15,47011.43,2880.57,670415.29,915.29,101.93,15.00,15.29
32,46945.58,47121.08,2883.81,288415.31,715.31,44.09,15.29,15.31
33,?,?,?,?,?,?,15.31,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,590714.72,2214.72,87.79,?,14.72
36,46674.78,46862.43,2843.49,4575014.45,1214.45,660.67,14.72,14.45
37,46149.14,46341.54,2811.05,63114.40,714.40,9.10,14.45,14.40
38,46329.66,46512.72,2815.91,35414.40,614.40,5.11,14.40,14.40
39,46741.54,46931.40,2825.70,185114.30,714.30,26.18,14.40,14.30
40,?,?,?,?,?,?,14.30,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,72114.30,514.30,10.27,?,14.30
43,46399.26,46564.61,2821.25,85414.59,714.59,12.28,14.30,14.59
44,46406.74,46569.81,2825.02,133214.61,914.61,19.40,14.59,14.61
45,46211.54,46360.51,2825.15,15014.65,214.65,2.20,14.61,14.65
46,46370.13,46523.63,2838.22,3155514.65,614.65,462.07,14.65,14.65
47,?,?,?,?,?,?,14.65,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,1266814.77,2814.77,185.55,?,14.77
50,46490.89,46652.19,2843.90,1566815.00,4215.00,234.88,14.77,15.00
51,46051.76,46198.42,2831.71,46415.04,1015.04,7.01,15.00,15.04
52,45879.90,46050.52,2801.83,1070815.00,2715.00,160.63,15.04,15.00
53,45948.12,46124.82,2817.57,391115.00,715.00,58.68,15.00,15.00
54,?,?,?,?,?,?,15.00,?
55,?,?,?,?,?,?,?,?
56,46286.28,46487.05,2840.57,15615.00,215.00,2.34,?,15.00
57,45868.35,46065.85,2831.16,351715.25,1615.25,53.34,15.00,15.25
58,46241.92,46459.99,2855.69,65415.02,615.02,9.87,15.25,15.02
59,46280.36,46510.83,2865.27,164514.95,1314.95,25.05,15.02,14.95
60,46341.14,46622.90,2859.05,430615.45,1915.45,64.64,14.95,15.45
61,?,?,?,?,?,?,15.45,?
62,?,?,?,?,?,?,?,?
63,46137.70,46454.13,2860.68,274015.17,1715.17,41.51,?,15.17
64,46676.09,47001.38,2868.06,22015.10,415.10,3.36,15.17,15.10
65,46762.65,47090.49,2872.90,2601015.30,815.30,392.45,15.10,15.30
66,46745.26,47060.66,2873.49,211315.50,1615.50,32.49,15.30,15.50
67,47074.39,47436.21,2906.74,307015.90,1415.90,49.03,15.50,15.90
68,?,?,?,?,?,?,15.90,?
69,?,?,?,?,?,?,?,?
70,46933.03,47269.75,2914.24,579615.95,2115.95,91.12,?,15.95
71,47010.40,47340.43,2911.38,607716.00,2316.00,97.53,15.95,16.00
72,46888.37,47235.72,2901.67,117116.00,916.00,18.76,16.00,16.00
73,47223.68,47606.16,2912.13,89215.90,915.90,14.11,16.00,15.90
74,47125.93,47522.10,2909.77,543716.37,2316.37,88.03,15.90,16.37
75,?,?,?,?,?,?,16.37,?
76,?,?,?,?,?,?,?,?
77,46668.41,47094.18,2900.59,690416.30,1016.30,111.20,?,16.30
78,46029.35,46473.62,2868.24,150516.25,816.25,24.25,16.30,16.25
79,46068.24,46511.62,2874.75,253016.45,1516.45,41.36,16.25,16.45
80,45580.47,46017.88,2833.61,117016.45,1016.45,19.05,16.45,16.45
81,45066.18,45473.08,2800.67,358616.45,2016.45,58.65,16.45,16.45
82,?,?,?,?,?,?,16.45,?
83,?,?,?,?,?,?,?,?
84,44585.10,44946.32,2780.21,3654216.03,3216.03,588.83,?,16.03
85,44724.88,45119.16,2774.13,3559015.90,1215.90,569.12,16.03,15.90
86,45247.90,45644.09,2785.46,622116.37,4816.37,100.59,15.90,16.37
87,45147.57,45528.85,2797.31,1514716.10,416.10,239.93,16.37,16.10
88,?,?,?,?,?,?,16.10,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,45304.74,45679.51,2814.33,327916.23,1716.23,52.53,?,16.23
93,44604.61,44940.36,2769.02,63715.51,715.51,9.95,16.23,15.51
94,44623.89,44980.62,2766.19,155715.55,715.55,24.15,15.51,15.55
95,44597.66,44960.02,2760.91,1580315.00,3215.00,235.15,15.55,15.00
96,?,?,?,?,?,?,15.00,?
97,?,?,?,?,?,?,?,?
98,44590.97,44963.96,2764.28,51615.33,1115.33,7.59,?,15.33
99,44725.03,45096.35,2767.26,015.33,015.33,0.00,15.33,15.33
100,45091.63,45495.34,2780.21,417915.98,1215.98,65.56,15.33,15.98
101,45688.48,46131.66,2794.43,76015.36,1215.36,11.70,15.98,15.36
102,45525.92,45960.10,2783.53,015.36,015.36,0.00,15.36,15.36
103,?,?,?,?,?,?,15.36,?
104,?,?,?,?,?,?,?,?
105,44724.14,45167.65,2754.91,181314.31,914.31,27.39,?,14.31
106,?,?,?,?,?,?,14.31,?
107,43916.24,44404.81,2705.88,57414.50,714.50,8.20,?,14.50
108,43364.70,43850.06,2695.55,52014.60,214.60,7.59,14.50,14.60
109,43447.75,43993.98,2685.57,91614.50,814.50,13.21,14.60,14.50
110,?,?,?,?,?,?,14.50,?
111,?,?,?,?,?,?,?,?
112,43360.30,43892.82,2660.28,014.50,014.50,0.00,?,14.50
113,43159.57,43707.88,2624.40,1375213.26,1513.26,191.71,14.50,13.26
114,43356.73,43908.95,2636.70,78514.01,314.01,11.02,13.26,14.01
115,43482.18,44027.03,2658.57,213114.30,1214.30,30.10,14.01,14.30
116,43665.21,44226.06,2669.93,247714.30,914.30,34.51,14.30,14.30
117,?,?,?,?,?,?,14.30,?
118,?,?,?,?,?,?,?,?
119,43882.16,44420.22,2685.14,113614.19,814.19,16.08,?,14.19
120,44162.18,44653.34,2704.84,155414.30,914.30,21.93,14.19,14.30
121,?,?,?,?,?,?,14.30,?
122,43991.51,44466.89,2695.22,39514.44,714.44,5.66,?,14.44
123,?,?,?,?,?,?,14.44,?
124,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?
126,44541.73,45060.80,2714.72,226214.50,914.50,32.45,?,14.50
127,44742.22,45244.29,2733.96,59314.50,314.50,8.49,14.50,14.50
128,45117.94,45647.76,2752.14,877615.00,1715.00,128.80,14.50,15.00
129,44943.16,45475.08,2760.20,517315.22,1515.22,78.29,15.00,15.22
130,44895.35,45408.06,2769.85,341615.43,1915.43,52.46,15.22,15.43
131,?,?,?,?,?,?,15.43,?
132,?,?,?,?,?,?,?,?
133,45207.84,45746.01,2790.62,52815.49,415.49,8.08,?,15.49
134,45771.11,46336.62,2822.41,015.49,015.49,0.00,15.49,15.49
135,46102.42,46676.61,2848.38,404615.05,2115.05,60.87,15.49,15.05
136,45992.03,46581.16,2871.70,184915.05,715.05,27.80,15.05,15.05
137,46078.68,46646.58,2885.19,49115.13,815.13,7.41,15.05,15.13
138,?,?,?,?,?,?,15.13,?
139,?,?,?,?,?,?,?,?
140,46041.35,46615.31,2921.95,617514.88,1314.88,91.99,?,14.88
141,45851.80,46439.10,2893.12,1235414.90,1314.90,183.81,14.88,14.90
142,45933.66,46529.96,2912.70,445714.60,1514.60,63.90,14.90,14.60
143,45687.76,46311.26,2894.53,699414.47,7414.47,100.88,14.60,14.47
144,46145.44,46783.61,2929.62,2384514.40,3314.40,341.53,14.47,14.40
145,?,?,?,?,?,?,14.40,?
146,?,?,?,?,?,?,?,?
