%310
@RELATION PLATMSI00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1136.16,48389.84,2835.52,260451.25,81.25,31.26,?,1.25
3,783.15,48222.72,1132.73,48505.50,2832.46,86001.27,81.27,10.75,1.25,1.27
4,781.69,47888.16,1123.30,48143.94,2814.73,325971.25,151.25,39.23,1.27,1.25
5,?,?,?,?,?,?,?,?,1.25,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1117.54,47820.24,2793.31,404211.34,161.34,52.04,?,1.34
8,780.70,47379.63,1107.35,47624.67,2790.64,358601.35,181.35,47.12,1.34,1.35
9,784.82,47407.28,1113.00,47668.58,2784.62,150471.39,111.39,20.68,1.35,1.39
10,788.85,47546.91,1127.31,47798.66,2800.96,192271.44,101.44,27.22,1.39,1.44
11,795.36,47440.80,1133.34,47690.97,2815.88,434101.49,241.49,63.35,1.44,1.49
12,?,?,?,?,?,?,?,?,1.49,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1138.05,47724.95,2820.74,458671.63,321.63,72.65,?,1.63
15,794.59,47086.54,1131.14,47346.41,2817.16,103851.62,111.62,16.52,1.63,1.62
16,796.34,47521.39,1130.24,47794.60,2825.40,78851.61,91.61,12.21,1.62,1.61
17,803.56,47661.37,1132.34,47936.81,2848.09,188131.60,181.60,28.85,1.61,1.60
18,807.72,47813.69,1144.65,48104.67,2864.72,22991.60,51.60,3.57,1.60,1.60
19,?,?,?,?,?,?,?,?,1.60,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1151.79,48184.37,2890.14,126001.60,71.60,19.64,?,1.60
22,808.23,47872.80,1152.16,48127.89,2892.80,73701.58,61.58,11.24,1.60,1.58
23,808.40,47733.24,1153.46,47999.21,2890.57,134001.55,81.55,20.15,1.58,1.55
24,811.80,47942.04,1150.21,48203.43,2898.85,371001.53,131.53,59.05,1.55,1.53
25,812.99,47613.95,1156.62,47851.99,2897.93,151161.59,111.59,23.83,1.53,1.59
26,?,?,?,?,?,?,?,?,1.59,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1160.03,47553.14,2886.17,50501.60,91.60,8.02,?,1.60
29,815.93,47328.40,1163.93,47565.10,2878.58,344501.60,181.60,55.14,1.60,1.60
30,815.59,46917.19,1153.92,47113.08,2876.68,119401.60,91.60,19.09,1.60,1.60
31,817.14,46840.15,1159.78,47011.43,2880.57,60591.60,81.60,9.41,1.60,1.60
32,818.68,46945.58,1158.21,47121.08,2883.81,587231.59,181.59,91.91,1.60,1.59
33,?,?,?,?,?,?,?,?,1.59,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1147.63,46735.25,2856.17,7001.59,21.59,1.11,?,1.59
36,816.68,46674.78,1152.32,46862.43,2843.49,242071.68,271.68,39.40,1.59,1.68
37,813.75,46149.14,1128.47,46341.54,2811.05,148631.57,41.57,23.68,1.68,1.57
38,811.13,46329.66,1129.48,46512.72,2815.91,42991.64,81.64,6.72,1.57,1.64
39,813.77,46741.54,1129.43,46931.40,2825.70,3801.64,21.64,0.61,1.64,1.64
40,?,?,?,?,?,?,?,?,1.64,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1129.99,46988.04,2826.84,18501.60,31.60,2.94,?,1.60
43,817.32,46399.26,1137.86,46564.61,2821.25,509561.56,91.56,79.49,1.60,1.56
44,817.35,46406.74,1140.25,46569.81,2825.02,319691.52,101.52,49.58,1.56,1.52
45,818.81,46211.54,1127.06,46360.51,2825.15,79151.55,61.55,12.11,1.52,1.55
46,826.73,46370.13,1136.50,46523.63,2838.22,675531.56,111.56,105.38,1.55,1.56
47,?,?,?,?,?,?,?,?,1.56,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1139.96,46665.39,2848.48,01.56,01.56,0.00,?,1.56
50,832.30,46490.89,1135.32,46652.19,2843.90,2001.46,11.46,0.29,1.56,1.46
51,830.62,46051.76,1126.36,46198.42,2831.71,121101.51,101.51,17.70,1.46,1.51
52,823.32,45879.90,1119.98,46050.52,2801.83,64001.46,81.46,9.30,1.51,1.46
53,826.66,45948.12,1131.52,46124.82,2817.57,8281.51,31.51,1.21,1.46,1.51
54,?,?,?,?,?,?,?,?,1.51,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1137.44,46487.05,2840.57,1001.51,21.51,0.15,?,1.51
57,828.81,45868.35,1126.88,46065.85,2831.16,30301.49,21.49,4.30,1.51,1.49
