%310
@RELATION PLMNNCP00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,1117.48,48107.89,48389.84,2835.52,974322.60,5822.60,220.88,?,22.60
3,10554.18,1118.84,48222.72,48505.50,2832.46,1295422.00,11922.00,287.59,22.60,22.00
4,10519.33,1111.36,47888.16,48143.94,2814.73,2057721.45,16221.45,441.81,22.00,21.45
5,?,?,?,?,?,?,?,?,21.45,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,1109.28,47589.33,47820.24,2793.31,719220.95,9920.95,150.21,?,20.95
8,10500.71,1101.95,47379.63,47624.67,2790.64,1606220.95,13620.95,333.05,20.95,20.95
9,10503.06,1105.51,47407.28,47668.58,2784.62,520620.95,4320.95,108.87,20.95,20.95
10,10496.80,1109.02,47546.91,47798.66,2800.96,1125320.87,7620.87,236.00,20.95,20.87
11,10595.04,1106.07,47440.80,47690.97,2815.88,1680920.80,8920.80,350.26,20.87,20.80
12,?,?,?,?,?,?,?,?,20.80,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,1108.76,47470.12,47724.95,2820.74,676920.67,5320.67,140.45,?,20.67
15,10638.06,1098.41,47086.54,47346.41,2817.16,833420.99,6020.99,174.31,20.67,20.99
16,10673.05,1100.21,47521.39,47794.60,2825.40,5513222.00,36822.00,1202.34,20.99,22.00
17,10767.29,1100.21,47661.37,47936.81,2848.09,4437822.32,26022.32,987.79,22.00,22.32
18,10903.93,1104.63,47813.69,48104.67,2864.72,6432122.20,12222.20,1432.41,22.32,22.20
19,?,?,?,?,?,?,?,?,22.20,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,1103.07,47936.61,48184.37,2890.14,451922.40,5722.40,101.83,?,22.40
