%310
@RELATION PLOPNFN00010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,48389.84,2835.52,23214.49,514.49,3.28,?,14.49
3,10554.18,48222.72,48505.50,2832.46,41614.49,314.49,5.99,14.49,14.49
4,10519.33,47888.16,48143.94,2814.73,43913.99,613.99,6.14,14.49,13.99
5,?,?,?,?,?,?,?,13.99,?
6,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,47820.24,2793.31,134613.55,1013.55,18.54,?,13.55
8,10500.71,47379.63,47624.67,2790.64,3811713.60,813.60,522.28,13.55,13.60
9,10503.06,47407.28,47668.58,2784.62,1009013.20,3913.20,131.24,13.60,13.20
10,10496.80,47546.91,47798.66,2800.96,43513.35,713.35,5.80,13.20,13.35
11,10595.04,47440.80,47690.97,2815.88,2199713.90,1313.90,297.01,13.35,13.90
12,?,?,?,?,?,?,?,13.90,?
13,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,47724.95,2820.74,13502714.40,2114.40,1883.62,?,14.40
15,10638.06,47086.54,47346.41,2817.16,825415.00,2615.00,119.81,14.40,15.00
16,10673.05,47521.39,47794.60,2825.40,13141314.30,2814.30,1879.49,15.00,14.30
17,10767.29,47661.37,47936.81,2848.09,36614.49,514.49,5.29,14.30,14.49
18,10903.93,47813.69,48104.67,2864.72,2514.49,114.49,0.36,14.49,14.49
19,?,?,?,?,?,?,?,14.49,?
20,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,48184.37,2890.14,3096914.52,714.52,449.05,?,14.52
22,11073.63,47872.80,48127.89,2892.80,74614.20,614.20,10.59,14.52,14.20
23,11071.80,47733.24,47999.21,2890.57,54314.49,514.49,7.79,14.20,14.49
24,11108.21,47942.04,48203.43,2898.85,167214.27,714.27,23.88,14.49,14.27
25,11174.05,47613.95,47851.99,2897.93,122514.47,1114.47,17.50,14.27,14.47
26,?,?,?,?,?,?,?,14.47,?
27,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,47553.14,2886.17,191914.50,914.50,27.84,?,14.50
29,11165.66,47328.40,47565.10,2878.58,276214.79,2214.79,40.35,14.50,14.79
30,11183.61,46917.19,47113.08,2876.68,6013714.95,4014.95,900.88,14.79,14.95
31,11245.80,46840.15,47011.43,2880.57,521215.00,415.00,78.13,14.95,15.00
32,11241.00,46945.58,47121.08,2883.81,146014.97,1114.97,21.56,15.00,14.97
33,?,?,?,?,?,?,?,14.97,?
34,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,46735.25,2856.17,515414.50,1314.50,75.75,?,14.50
36,11060.84,46674.78,46862.43,2843.49,13401414.30,1214.30,1916.47,14.50,14.30
37,10953.57,46149.14,46341.54,2811.05,5076114.40,1014.40,730.95,14.30,14.40
38,10950.03,46329.66,46512.72,2815.91,174314.32,714.32,24.93,14.40,14.32
39,10986.53,46741.54,46931.40,2825.70,6781714.33,314.33,969.77,14.32,14.33
40,?,?,?,?,?,?,?,14.33,?
41,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,46988.04,2826.84,3115414.16,1814.16,445.34,?,14.16
43,10981.98,46399.26,46564.61,2821.25,10204514.21,714.21,1459.09,14.16,14.21
44,11022.58,46406.74,46569.81,2825.02,4014.16,214.16,0.57,14.21,14.16
45,11017.48,46211.54,46360.51,2825.15,18538014.22,514.22,2636.10,14.16,14.22
46,11071.18,46370.13,46523.63,2838.22,65614.00,814.00,9.24,14.22,14.00
47,?,?,?,?,?,?,?,14.00,?
48,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,46665.39,2848.48,341813.80,1613.80,46.95,?,13.80
50,11119.72,46490.89,46652.19,2843.90,4010013.80,213.80,559.38,13.80,13.80
51,11014.53,46051.76,46198.42,2831.71,10013.80,113.80,1.38,13.80,13.80
52,10948.88,45879.90,46050.52,2801.83,613.80,113.80,0.08,13.80,13.80
53,10985.79,45948.12,46124.82,2817.57,9413.98,213.98,1.31,13.80,13.98
54,?,?,?,?,?,?,?,13.98,?
55,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,46487.05,2840.57,4519713.75,713.75,630.47,?,13.75
57,10972.28,45868.35,46065.85,2831.16,36113.99,313.99,4.93,13.75,13.99
58,11039.20,46241.92,46459.99,2855.69,52113.85,513.85,6.99,13.99,13.85
59,11052.03,46280.36,46510.83,2865.27,63624913.73,7513.73,8907.26,13.85,13.73
60,11010.83,46341.14,46622.90,2859.05,377513.70,1613.70,51.71,13.73,13.70
61,?,?,?,?,?,?,?,13.70,?
62,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,46454.13,2860.68,212413.72,813.72,29.20,?,13.72
64,10997.33,46676.09,47001.38,2868.06,30301713.02,2413.02,4060.31,13.72,13.02
65,11042.47,46762.65,47090.49,2872.90,518613.25,2313.25,66.94,13.02,13.25
66,11042.08,46745.26,47060.66,2873.49,401213.00,1413.00,52.19,13.25,13.00
67,11119.06,47074.39,47436.21,2906.74,113413.08,813.08,14.81,13.00,13.08
68,?,?,?,?,?,?,?,13.08,?
69,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,47269.75,2914.24,150713.00,1413.00,19.64,?,13.00
71,11150.86,47010.40,47340.43,2911.38,95813.07,513.07,12.51,13.00,13.07
72,11194.08,46888.37,47235.72,2901.67,110713.40,1013.40,14.81,13.07,13.40
73,11231.22,47223.68,47606.16,2912.13,220213.20,913.20,29.14,13.40,13.20
74,11228.39,47125.93,47522.10,2909.77,18732013.52,2213.52,2492.32,13.20,13.52
75,?,?,?,?,?,?,?,13.52,?
76,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,47094.18,2900.59,57913.65,613.65,7.86,?,13.65
78,11135.62,46029.35,46473.62,2868.24,113413.70,813.70,15.49,13.65,13.70
79,11168.63,46068.24,46511.62,2874.75,31113.49,513.49,4.16,13.70,13.49
80,11069.03,45580.47,46017.88,2833.61,3016613.39,213.39,404.22,13.49,13.39
