%310
@RELATION BG11SOSOBT18
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,48107.89,832.17,04.00,04.00,0.00,?,4.00
3,48222.72,839.05,04.00,04.00,0.00,4.00,4.00
4,47888.16,845.71,04.00,04.00,0.00,4.00,4.00
5,?,?,?,?,?,4.00,?
6,?,?,?,?,?,?,?
7,47589.33,849.25,04.00,04.00,0.00,?,4.00
8,47379.63,854.96,04.00,04.00,0.00,4.00,4.00
9,47407.28,851.76,04.00,04.00,0.00,4.00,4.00
10,47546.91,851.10,04.00,04.00,0.00,4.00,4.00
11,47440.80,850.72,04.00,04.00,0.00,4.00,4.00
12,?,?,?,?,?,4.00,?
13,?,?,?,?,?,?,?
14,47470.12,856.11,04.00,04.00,0.00,?,4.00
15,47086.54,855.54,04.00,04.00,0.00,4.00,4.00
16,47521.39,849.49,04.00,04.00,0.00,4.00,4.00
17,47661.37,854.27,04.00,04.00,0.00,4.00,4.00
18,47813.69,845.61,04.00,04.00,0.00,4.00,4.00
19,?,?,?,?,?,4.00,?
20,?,?,?,?,?,?,?
21,47936.61,857.64,04.00,04.00,0.00,?,4.00
22,47872.80,858.70,04.00,04.00,0.00,4.00,4.00
23,47733.24,853.17,04.00,04.00,0.00,4.00,4.00
24,47942.04,865.46,04.00,04.00,0.00,4.00,4.00
25,47613.95,867.33,04.00,04.00,0.00,4.00,4.00
26,?,?,?,?,?,4.00,?
27,?,?,?,?,?,?,?
28,47324.06,862.14,04.00,04.00,0.00,?,4.00
29,47328.40,861.04,04.00,04.00,0.00,4.00,4.00
30,46917.19,868.36,04.00,04.00,0.00,4.00,4.00
31,46840.15,873.28,04.00,04.00,0.00,4.00,4.00
32,46945.58,873.87,04.00,04.00,0.00,4.00,4.00
33,?,?,?,?,?,4.00,?
34,?,?,?,?,?,?,?
35,46556.55,865.72,04.00,04.00,0.00,?,4.00
36,46674.78,868.83,04.00,04.00,0.00,4.00,4.00
37,46149.14,868.89,04.00,04.00,0.00,4.00,4.00
38,46329.66,869.69,104.10,14.10,0.04,4.00,4.10
39,46741.54,870.75,04.10,04.10,0.00,4.10,4.10
40,?,?,?,?,?,4.10,?
41,?,?,?,?,?,?,?
42,46786.74,870.67,04.10,04.10,0.00,?,4.10
43,46399.26,874.02,04.10,04.10,0.00,4.10,4.10
44,46406.74,874.66,04.10,04.10,0.00,4.10,4.10
45,46211.54,870.38,04.10,04.10,0.00,4.10,4.10
46,46370.13,873.83,04.10,04.10,0.00,4.10,4.10
47,?,?,?,?,?,4.10,?
48,?,?,?,?,?,?,?
49,46508.27,869.62,04.10,04.10,0.00,?,4.10
50,46490.89,861.33,04.10,04.10,0.00,4.10,4.10
51,46051.76,862.42,04.10,04.10,0.00,4.10,4.10
52,45879.90,859.18,04.10,04.10,0.00,4.10,4.10
53,45948.12,860.24,04.10,04.10,0.00,4.10,4.10
54,?,?,?,?,?,4.10,?
55,?,?,?,?,?,?,?
56,46286.28,865.38,04.10,04.10,0.00,?,4.10
57,45868.35,859.83,04.10,04.10,0.00,4.10,4.10
58,46241.92,854.80,04.10,04.10,0.00,4.10,4.10
59,46280.36,848.17,04.10,04.10,0.00,4.10,4.10
60,46341.14,845.37,04.10,04.10,0.00,4.10,4.10
61,?,?,?,?,?,4.10,?
62,?,?,?,?,?,?,?
63,46137.70,840.47,04.10,04.10,0.00,?,4.10
64,46676.09,839.67,04.10,04.10,0.00,4.10,4.10
65,46762.65,844.03,04.10,04.10,0.00,4.10,4.10
66,46745.26,848.35,04.10,04.10,0.00,4.10,4.10
67,47074.39,849.80,04.10,04.10,0.00,4.10,4.10
68,?,?,?,?,?,4.10,?
69,?,?,?,?,?,?,?
70,46933.03,846.53,04.10,04.10,0.00,?,4.10
71,47010.40,846.39,04.10,04.10,0.00,4.10,4.10
72,46888.37,837.78,04.10,04.10,0.00,4.10,4.10
73,47223.68,837.83,04.10,04.10,0.00,4.10,4.10
74,47125.93,836.66,04.10,04.10,0.00,4.10,4.10
75,?,?,?,?,?,4.10,?
76,?,?,?,?,?,?,?
77,46668.41,820.24,04.10,04.10,0.00,?,4.10
78,46029.35,809.89,04.10,04.10,0.00,4.10,4.10
79,46068.24,807.16,04.10,04.10,0.00,4.10,4.10
80,45580.47,804.44,04.10,04.10,0.00,4.10,4.10
81,45066.18,810.77,04.10,04.10,0.00,4.10,4.10
82,?,?,?,?,?,4.10,?
83,?,?,?,?,?,?,?
84,44585.10,812.79,04.10,04.10,0.00,?,4.10
85,44724.88,803.27,04.10,04.10,0.00,4.10,4.10
86,45247.90,809.03,04.10,04.10,0.00,4.10,4.10
87,45147.57,810.52,04.10,04.10,0.00,4.10,4.10
88,?,?,?,?,?,4.10,?
89,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?
92,45304.74,817.94,04.10,04.10,0.00,?,4.10
93,44604.61,814.18,04.10,04.10,0.00,4.10,4.10
94,44623.89,813.71,04.10,04.10,0.00,4.10,4.10
95,44597.66,814.30,04.10,04.10,0.00,4.10,4.10
96,?,?,?,?,?,4.10,?
97,?,?,?,?,?,?,?
98,44590.97,804.33,04.10,04.10,0.00,?,4.10
99,44725.03,809.49,04.10,04.10,0.00,4.10,4.10
100,45091.63,809.43,04.10,04.10,0.00,4.10,4.10
101,45688.48,808.43,04.10,04.10,0.00,4.10,4.10
102,45525.92,806.22,04.10,04.10,0.00,4.10,4.10
103,?,?,?,?,?,4.10,?
104,?,?,?,?,?,?,?
105,44724.14,795.39,04.10,04.10,0.00,?,4.10
106,?,?,?,?,?,4.10,?
107,43916.24,774.83,04.10,04.10,0.00,?,4.10
108,43364.70,764.32,04.10,04.10,0.00,4.10,4.10
109,43447.75,748.80,04.10,04.10,0.00,4.10,4.10
110,?,?,?,?,?,4.10,?
111,?,?,?,?,?,?,?
112,43360.30,754.56,04.10,04.10,0.00,?,4.10
113,43159.57,750.26,04.10,04.10,0.00,4.10,4.10
114,43356.73,753.01,04.10,04.10,0.00,4.10,4.10
115,43482.18,753.51,04.10,04.10,0.00,4.10,4.10
116,43665.21,754.90,04.10,04.10,0.00,4.10,4.10
117,?,?,?,?,?,4.10,?
118,?,?,?,?,?,?,?
119,43882.16,766.31,04.10,04.10,0.00,?,4.10
120,44162.18,776.50,04.10,04.10,0.00,4.10,4.10
121,?,?,?,?,?,4.10,?
122,43991.51,778.92,04.10,04.10,0.00,?,4.10
123,?,?,?,?,?,4.10,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,44541.73,778.13,04.10,04.10,0.00,?,4.10
127,44742.22,781.86,04.10,04.10,0.00,4.10,4.10
128,45117.94,782.65,04.10,04.10,0.00,4.10,4.10
129,44943.16,781.58,04.10,04.10,0.00,4.10,4.10
130,44895.35,783.10,04.10,04.10,0.00,4.10,4.10
131,?,?,?,?,?,4.10,?
132,?,?,?,?,?,?,?
133,45207.84,785.63,04.10,04.10,0.00,?,4.10
134,45771.11,787.41,04.10,04.10,0.00,4.10,4.10
135,46102.42,791.27,04.10,04.10,0.00,4.10,4.10
136,45992.03,797.55,04.10,04.10,0.00,4.10,4.10
137,46078.68,807.85,04.10,04.10,0.00,4.10,4.10
138,?,?,?,?,?,4.10,?
139,?,?,?,?,?,?,?
140,46041.35,805.46,04.10,04.10,0.00,?,4.10
141,45851.80,802.36,04.10,04.10,0.00,4.10,4.10
142,45933.66,802.44,04.10,04.10,0.00,4.10,4.10
143,45687.76,799.56,04.10,04.10,0.00,4.10,4.10
144,46145.44,799.95,04.10,04.10,0.00,4.10,4.10
145,?,?,?,?,?,4.10,?
146,?,?,?,?,?,?,?
147,47277.10,803.87,04.10,04.10,0.00,?,4.10
148,47579.87,817.59,10475.50,35.50,5.76,4.10,5.50
149,47476.64,818.62,3515.50,25.50,1.93,5.50,5.50
150,?,?,?,?,?,5.50,?
151,47806.34,812.55,2465.11,45.11,1.26,?,5.11
152,?,?,?,?,?,5.11,?
153,?,?,?,?,?,?,?
154,47175.79,811.28,2335.14,25.14,1.20,?,5.14
155,47620.68,827.29,05.14,05.14,0.00,5.14,5.14
156,47805.94,822.00,05.14,05.14,0.00,5.14,5.14
157,47573.66,825.44,05.14,05.14,0.00,5.14,5.14
158,48209.65,833.27,05.14,05.14,0.00,5.14,5.14
159,?,?,?,?,?,5.14,?
160,?,?,?,?,?,?,?
161,48495.01,832.21,05.14,05.14,0.00,?,5.14
162,48324.52,830.21,1305.50,15.50,0.72,5.14,5.50
163,48383.93,834.07,05.50,05.50,0.00,5.50,5.50
164,48152.82,823.27,05.50,05.50,0.00,5.50,5.50
165,48273.42,812.33,05.50,05.50,0.00,5.50,5.50
166,?,?,?,?,?,5.50,?
167,?,?,?,?,?,?,?
168,48131.61,818.14,05.50,05.50,0.00,?,5.50
169,48119.72,819.04,05.50,05.50,0.00,5.50,5.50
170,47743.10,821.56,05.50,05.50,0.00,5.50,5.50
171,45870.00,807.19,05.50,05.50,0.00,5.50,5.50
172,44732.92,784.14,05.50,05.50,0.00,5.50,5.50
173,?,?,?,?,?,5.50,?
174,?,?,?,?,?,?,?
175,44824.62,817.50,05.50,05.50,0.00,?,5.50
176,44966.09,815.69,05.50,05.50,0.00,5.50,5.50
177,44893.99,812.28,05.50,05.50,0.00,5.50,5.50
178,43667.37,810.66,05.50,05.50,0.00,5.50,5.50
179,44747.79,828.31,05.50,05.50,0.00,5.50,5.50
180,?,?,?,?,?,5.50,?
181,?,?,?,?,?,?,?
182,44769.00,828.89,05.50,05.50,0.00,?,5.50
183,45533.94,834.81,05.50,05.50,0.00,5.50,5.50
184,45184.98,831.67,05.35,05.35,0.00,5.50,5.35
185,45613.75,833.56,05.35,05.35,0.00,5.35,5.35
186,45110.89,829.03,05.35,05.35,0.00,5.35,5.35
187,?,?,?,?,?,5.35,?
188,?,?,?,?,?,?,?
189,44534.34,829.35,05.35,05.35,0.00,?,5.35
190,44342.23,835.95,05.35,05.35,0.00,5.35,5.35
191,45068.55,834.08,05.35,05.35,0.00,5.35,5.35
192,45712.72,846.83,05.35,05.35,0.00,5.35,5.35
193,46150.78,851.12,05.35,05.35,0.00,5.35,5.35
194,?,?,?,?,?,5.35,?
195,?,?,?,?,?,?,?
196,46218.05,841.34,05.35,05.35,0.00,?,5.35
197,46155.10,847.20,05.35,05.35,0.00,5.35,5.35
198,46287.08,841.92,05.35,05.35,0.00,5.35,5.35
199,46221.23,835.62,05.35,05.35,0.00,5.35,5.35
200,46399.74,827.03,05.35,05.35,0.00,5.35,5.35
201,?,?,?,?,?,5.35,?
202,?,?,?,?,?,?,?
203,46361.70,836.07,05.35,05.35,0.00,?,5.35
204,46714.43,826.21,05.35,05.35,0.00,5.35,5.35
205,46835.98,829.10,05.35,05.35,0.00,5.35,5.35
206,46713.02,833.47,05.35,05.35,0.00,5.35,5.35
207,46258.91,828.78,05.35,05.35,0.00,5.35,5.35
208,?,?,?,?,?,5.35,?
209,?,?,?,?,?,?,?
210,46480.62,828.93,05.35,05.35,0.00,?,5.35
211,46663.41,830.71,05.35,05.35,0.00,5.35,5.35
212,46925.65,834.03,05.35,05.35,0.00,5.35,5.35
213,47370.81,828.08,05.35,05.35,0.00,5.35,5.35
214,48325.33,832.32,05.35,05.35,0.00,5.35,5.35
215,?,?,?,?,?,5.35,?
216,?,?,?,?,?,?,?
217,48458.44,832.30,05.35,05.35,0.00,?,5.35
218,47942.81,828.82,05.35,05.35,0.00,5.35,5.35
219,48306.55,825.54,05.35,05.35,0.00,5.35,5.35
220,48862.88,817.92,20715.00,65.00,10.38,5.35,5.00
221,49125.36,808.11,05.00,05.00,0.00,5.00,5.00
222,?,?,?,?,?,5.00,?
223,?,?,?,?,?,?,?
224,49580.16,810.35,05.00,05.00,0.00,?,5.00
225,49747.66,809.96,05.00,05.00,0.00,5.00,5.00
226,50223.95,810.20,05.00,05.00,0.00,5.00,5.00
227,?,?,?,?,?,5.00,?
228,49976.48,807.81,05.00,05.00,0.00,?,5.00
229,?,?,?,?,?,5.00,?
230,?,?,?,?,?,?,?
231,49772.46,806.40,05.00,05.00,0.00,?,5.00
232,49162.16,797.53,05.00,05.00,0.00,5.00,5.00
233,49128.05,799.53,05.00,05.00,0.00,5.00,5.00
234,49846.48,808.23,05.00,05.00,0.00,5.00,5.00
235,49895.10,807.44,05.00,05.00,0.00,5.00,5.00
236,?,?,?,?,?,5.00,?
237,?,?,?,?,?,?,?
238,49818.48,802.90,05.00,05.00,0.00,?,5.00
239,48833.58,801.21,05.00,05.00,0.00,5.00,5.00
240,48537.65,809.89,05.00,05.00,0.00,5.00,5.00
241,48676.45,810.38,5746.50,46.50,3.52,5.00,6.50
242,48871.98,814.59,14126.50,46.50,9.21,6.50,6.50
243,?,?,?,?,?,6.50,?
244,?,?,?,?,?,?,?
245,49187.22,810.85,06.50,06.50,0.00,?,6.50
246,48968.87,813.16,1006.50,16.50,0.65,6.50,6.50
247,47919.09,809.19,06.50,06.50,0.00,6.50,6.50
248,45830.66,802.87,06.50,06.50,0.00,6.50,6.50
249,46717.04,812.70,06.50,06.50,0.00,6.50,6.50
250,?,?,?,?,?,6.50,?
251,?,?,?,?,?,?,?
252,47808.90,814.52,4406.80,16.80,2.99,?,6.80
253,48961.51,825.20,06.80,06.80,0.00,6.80,6.80
254,49437.02,845.31,06.80,06.80,0.00,6.80,6.80
255,49771.55,847.48,16.70,16.70,0.01,6.80,6.70
256,49348.61,847.60,06.70,06.70,0.00,6.70,6.70
257,?,?,?,?,?,6.70,?
258,?,?,?,?,?,?,?
259,48917.85,844.92,06.70,06.70,0.00,?,6.70
260,49434.46,849.85,06.70,06.70,0.00,6.70,6.70
261,49413.33,847.56,06.70,06.70,0.00,6.70,6.70
262,50300.53,842.09,33126.70,26.70,22.19,6.70,6.70
263,50308.19,841.39,06.70,06.70,0.00,6.70,6.70
264,?,?,?,?,?,6.70,?
265,?,?,?,?,?,?,?
266,49955.87,831.22,06.70,06.70,0.00,?,6.70
267,49979.47,833.19,06.70,06.70,0.00,6.70,6.70
268,50301.69,833.30,06.70,06.70,0.00,6.70,6.70
269,50936.34,846.31,06.70,06.70,0.00,6.70,6.70
270,50819.81,846.91,06.70,06.70,0.00,6.70,6.70
271,?,?,?,?,?,6.70,?
272,?,?,?,?,?,?,?
273,50301.85,849.49,507.90,17.90,0.40,?,7.90
274,50782.48,855.03,07.90,07.90,0.00,7.90,7.90
275,50803.40,852.55,3707.90,27.90,2.92,7.90,7.90
276,50982.03,848.01,5007.90,17.90,3.95,7.90,7.90
277,50601.24,847.22,07.90,07.90,0.00,7.90,7.90
278,?,?,?,?,?,7.90,?
279,?,?,?,?,?,?,?
280,50338.71,848.45,07.90,07.90,0.00,?,7.90
281,50137.88,853.05,07.90,07.90,0.00,7.90,7.90
282,50335.02,858.02,07.90,07.90,0.00,7.90,7.90
283,51806.83,862.39,07.90,07.90,0.00,7.90,7.90
284,52230.47,862.70,07.90,07.90,0.00,7.90,7.90
285,?,?,?,?,?,7.90,?
286,?,?,?,?,?,?,?
287,52520.91,860.18,07.90,07.90,0.00,?,7.90
288,52590.73,855.88,07.90,07.90,0.00,7.90,7.90
289,52861.41,844.25,07.90,07.90,0.00,7.90,7.90
290,52573.59,855.32,07.90,07.90,0.00,7.90,7.90
291,52587.24,849.56,07.90,07.90,0.00,7.90,7.90
292,?,?,?,?,?,7.90,?
293,?,?,?,?,?,?,?
294,53853.55,846.22,07.90,07.90,0.00,?,7.90
295,53781.81,846.38,07.90,07.90,0.00,7.90,7.90
296,53389.74,823.65,07.90,07.90,0.00,7.90,7.90
297,53994.46,822.54,07.90,07.90,0.00,7.90,7.90
298,53887.13,808.48,07.90,07.90,0.00,7.90,7.90
299,?,?,?,?,?,7.90,?
