%310
@RELATION WIG-BANKI
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,13412.55,3112.26,3112.26,?,?,111168.49,6723.16
3,13391.36,3100.57,3100.57,3.1005,3.1005,140449.86,6702.54
4,13435.21,3101.66,3101.66,3.1700,3.1700,216114.51,6640.07
5,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?
7,13384.29,3098.81,3098.81,3.1618,3.1618,149144.20,6569.07
8,13328.85,3091.81,3091.81,3.1457,3.1457,183319.40,6496.43
9,13390.51,3105.81,3105.81,3.1516,3.1516,183775.00,6538.98
10,13471.22,3121.76,3121.76,3.1121,3.1121,411066.18,6551.72
11,13488.43,3125.64,3125.64,3.0890,3.0890,239239.36,6533.47
12,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?
14,13507.32,3117.50,3117.50,3.0828,3.0828,369256.21,6626.08
15,13534.89,3110.78,3110.78,3.0750,3.0750,374588.60,6601.96
16,13511.23,3117.54,3117.54,3.1097,3.1097,306314.84,6601.18
17,13596.02,3136.00,3136.00,3.0853,3.0853,201052.16,6661.60
18,13649.70,3134.71,3134.71,3.0925,3.0925,141008.05,6679.16
19,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?
21,?,?,?,3.1351,3.1351,185374.88,6648.10
22,13712.21,3143.18,3143.18,3.1341,3.1341,374942.61,6618.49
23,13779.33,3153.67,3153.67,3.1195,3.1195,1096179.37,6574.77
24,13825.33,3130.38,3130.38,3.1503,3.1503,931556.79,6607.93
25,13895.98,3149.71,3149.71,3.1186,3.1186,351743.15,6602.68
26,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?
28,13881.93,3154.30,3154.30,3.1074,3.1074,265922.47,6592.42
29,13954.42,3153.66,3153.66,3.1229,3.1229,209260.53,6585.65
30,13910.42,3142.31,3142.31,3.0938,3.0938,1249778.90,6398.24
31,13860.58,3142.13,3142.13,3.0874,3.0874,991287.15,6346.89
32,14009.79,3179.10,3179.10,3.0744,3.0744,310827.15,6358.58
33,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?
35,13880.08,3131.17,3131.17,3.0563,3.0563,432244.87,6358.77
36,13979.30,3171.58,3171.58,3.0831,3.0831,269640.18,6410.02
37,13986.52,3168.48,3168.48,3.0868,3.0868,350620.08,6389.46
38,13944.05,3165.13,3165.13,3.0886,3.0886,368137.94,6445.36
39,13992.97,3193.87,3193.87,3.1056,3.1056,249739.84,6483.61
40,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?
42,13971.24,3192.00,3192.00,3.0991,3.0991,145927.86,6472.05
43,14018.70,3186.49,3186.49,3.1159,3.1159,268562.30,6478.54
44,13982.91,3196.88,3196.88,3.1012,3.1012,133339.15,6475.92
45,13973.39,3198.66,3198.66,3.1209,3.1209,212478.04,6469.15
46,13981.76,3192.03,3192.03,3.1398,3.1398,144632.18,6474.72
47,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?
49,?,?,?,3.1410,3.1410,118951.73,6457.41
50,14035.67,3213.59,3213.59,3.1360,3.1360,159249.33,6405.28
51,13927.54,3164.41,3164.41,3.1002,3.1002,146221.30,6384.21
52,13880.62,3131.49,3131.49,3.1633,3.1633,349865.69,6382.67
53,14000.57,3161.82,3161.82,3.1443,3.1443,129421.85,6396.09
54,?,?,?,?,?,?,?
55,?,?,?,?,?,?,?
56,13784.17,3116.25,3116.25,3.1412,3.1412,228362.54,6493.12
57,13900.13,3129.65,3129.65,3.1733,3.1733,212905.00,6434.68
58,14075.37,3162.26,3162.26,3.1841,3.1841,197973.23,6459.16
59,14054.49,3160.19,3160.19,3.1679,3.1679,637303.63,6505.71
60,14089.66,3169.74,3169.74,3.1769,3.1769,239492.93,6476.44
61,?,?,?,?,?,?,?
62,?,?,?,?,?,?,?
63,14127.82,3182.03,3182.03,3.1837,3.1837,202789.73,6420.90
