%310
@RELATION PLPTRLI00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
304,3488.69,53607.86,3453.93,54734.18,3628.73,5228880.15,700.15,83.11,0.16,0.15
305,?,?,?,?,?,?,?,?,0.15,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,3514.71,53989.37,3508.35,55121.60,3668.56,2248950,192,359.15,?,0.16
309,3493.80,53504.47,3523.75,54600.05,3645.18,1934184,119,309.86,0.16,0.16
310,3512.17,53924.01,3526.46,55035.36,3650.27,462467,76,72.57,0.16,0.16
340,3118.097704907077,45857.110734846676,3569.941569538811,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,3156.981569607352,46189.882480874876,3547.3199424427057,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,3195.865434307627,46522.654226903076,3524.6983153466003,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,3312.517028408451,47520.969464987684,3456.833434058284,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,3545.820216610101,49517.5999411569,3321.103671481651,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
