%310
@RELATION PLPTRLI00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
70,2678.09,46933.03,3954.03,47269.75,2914.24,67140771.18,21601.18,8028.41,?,1.18
71,2689.51,47010.40,3956.89,47340.43,2911.38,22743061.13,9381.13,2642.62,1.18,1.13
72,2687.66,46888.37,3915.99,47235.72,2901.67,16621561.14,6331.14,1900.47,1.13,1.14
73,2687.81,47223.68,3983.68,47606.16,2912.13,27156331.18,6931.18,3199.38,1.14,1.18
74,2708.28,47125.93,3952.89,47522.10,2909.77,14918121.14,4561.14,1737.57,1.18,1.14
75,?,?,?,?,?,?,?,?,1.14,?
76,?,?,?,?,?,?,?,?,?,?
77,2718.31,46668.41,3925.66,47094.18,2900.59,8418121.16,3501.16,960.89,?,1.16
78,2658.94,46029.35,3918.94,46473.62,2868.24,5730901.14,2651.14,658.07,1.16,1.14
79,2663.64,46068.24,3909.56,46511.62,2874.75,6718861.16,2281.16,777.23,1.14,1.16
80,2635.54,45580.47,3847.08,46017.88,2833.61,7078691.13,3371.13,806.60,1.16,1.13
81,2596.69,45066.18,3791.82,45473.08,2800.67,16934821.11,7481.11,1853.74,1.13,1.11
82,?,?,?,?,?,?,?,?,1.11,?
83,?,?,?,?,?,?,?,?,?,?
84,2576.73,44585.10,3682.00,44946.32,2780.21,27608281.01,10031.01,2922.69,?,1.01
85,2578.94,44724.88,3685.71,45119.16,2774.13,37216321.00,13261.00,3689.22,1.01,1.00
86,2601.44,45247.90,3807.99,45644.09,2785.46,50687790.93,16860.93,4809.33,1.00,0.93
87,2624.74,45147.57,3693.72,45528.85,2797.31,20632990.94,8930.94,1903.33,0.93,0.94
88,?,?,?,?,?,?,?,?,0.94,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,2643.63,45304.74,3693.53,45679.51,2814.33,25523091.03,8671.03,2527.87,?,1.03
93,2608.26,44604.61,3570.69,44940.36,2769.02,38217040.99,11950.99,3889.48,1.03,0.99
94,2594.74,44623.89,3597.71,44980.62,2766.19,11542100.97,4080.97,1122.77,0.99,0.97
95,2572.61,44597.66,3596.75,44960.02,2760.91,18389540.93,6560.93,1727.17,0.97,0.93
96,?,?,?,?,?,?,?,?,0.93,?
97,?,?,?,?,?,?,?,?,?,?
98,2582.59,44590.97,3578.45,44963.96,2764.28,13495090.92,4740.92,1257.39,?,0.92
99,2592.09,44725.03,3612.34,45096.35,2767.26,8371110.91,2910.91,764.29,0.92,0.91
100,2601.25,45091.63,3663.20,45495.34,2780.21,5156520.92,2870.92,472.54,0.91,0.92
101,2623.22,45688.48,3703.24,46131.66,2794.43,14219570.94,4660.94,1342.83,0.92,0.94
102,2630.40,45525.92,3725.60,45960.10,2783.53,29004190.96,9180.96,2756.25,0.94,0.96
103,?,?,?,?,?,?,?,?,0.96,?
104,?,?,?,?,?,?,?,?,?,?
105,2587.31,44724.14,3650.58,45167.65,2754.91,7609580.95,3570.95,736.76,?,0.95
106,?,?,?,?,?,?,?,?,0.95,?
107,2555.73,43916.24,3655.63,44404.81,2705.88,26838400.96,9400.96,2622.54,?,0.96
108,2520.54,43364.70,3551.78,43850.06,2695.55,18707080.94,5360.94,1778.56,0.96,0.94
109,2522.32,43447.75,3490.48,43993.98,2685.57,15981390.92,4210.92,1478.06,0.94,0.92
110,?,?,?,?,?,?,?,?,0.92,?
111,?,?,?,?,?,?,?,?,?,?
112,2499.84,43360.30,3488.71,43892.82,2660.28,16460670.90,5430.90,1495.64,?,0.90
113,2471.39,43159.57,3475.81,43707.88,2624.40,30129080.79,9420.79,2504.40,0.90,0.79
114,2472.28,43356.73,3553.45,43908.95,2636.70,68706860.69,20070.69,4913.94,0.79,0.69
115,2492.91,43482.18,3573.45,44027.03,2658.57,33866250.71,9590.71,2316.94,0.69,0.71
116,2520.03,43665.21,3529.71,44226.06,2669.93,13264930.72,5040.72,956.89,0.71,0.72
117,?,?,?,?,?,?,?,?,0.72,?
118,?,?,?,?,?,?,?,?,?,?
119,2537.81,43882.16,3528.05,44420.22,2685.14,6161640.73,2220.73,449.19,?,0.73
120,2550.91,44162.18,3527.90,44653.34,2704.84,17464430.79,4950.79,1320.42,0.73,0.79
121,?,?,?,?,?,?,?,?,0.79,?
122,2543.60,43991.51,3487.44,44466.89,2695.22,12579160.80,4050.80,1012.82,?,0.80
123,?,?,?,?,?,?,?,?,0.80,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,2568.68,44541.73,3536.18,45060.80,2714.72,7270220.81,2600.81,593.42,?,0.81
127,2587.84,44742.22,3560.06,45244.29,2733.96,6439810.81,2280.81,523.76,0.81,0.81
128,2610.73,45117.94,3622.35,45647.76,2752.14,3370890.82,1660.82,275.78,0.81,0.82
129,2630.10,44943.16,3631.29,45475.08,2760.20,21433490.75,6510.75,1644.43,0.82,0.75
130,2654.43,44895.35,3585.45,45408.06,2769.85,6529340.74,2750.74,482.01,0.75,0.74
131,?,?,?,?,?,?,?,?,0.74,?
132,?,?,?,?,?,?,?,?,?,?
133,2678.95,45207.84,3617.11,45746.01,2790.62,9679790.77,3820.77,735.66,?,0.77
134,2713.50,45771.11,3684.10,46336.62,2822.41,10458480.78,3030.78,822.14,0.77,0.78
135,2720.73,46102.42,3771.80,46676.61,2848.38,5260330.77,2110.77,411.47,0.78,0.77
136,2740.12,45992.03,3771.09,46581.16,2871.70,10325450.76,3100.76,775.95,0.77,0.76
137,2751.78,46078.68,3782.90,46646.58,2885.19,7750270.75,3220.75,579.88,0.76,0.75
138,?,?,?,?,?,?,?,?,0.75,?
139,?,?,?,?,?,?,?,?,?,?
140,2788.61,46041.35,3773.81,46615.31,2921.95,16773620.76,4060.76,1294.61,?,0.76
141,2759.55,45851.80,3726.44,46439.10,2893.12,4375800.76,1730.76,332.45,0.76,0.76
142,2771.55,45933.66,3774.47,46529.96,2912.70,9002070.76,2520.76,680.89,0.76,0.76
143,2756.32,45687.76,3774.96,46311.26,2894.53,6550870.74,2740.74,476.41,0.76,0.74
144,2776.52,46145.44,3817.04,46783.61,2929.62,13298280.73,3650.73,989.55,0.74,0.73
145,?,?,?,?,?,?,?,?,0.73,?
146,?,?,?,?,?,?,?,?,?,?
147,2828.89,47277.10,3979.24,47957.54,2976.83,16814590.74,3280.74,1246.84,?,0.74
148,2829.62,47579.87,3978.79,48258.02,2997.81,22675680.74,5020.74,1691.38,0.74,0.74
149,2809.70,47476.64,3914.03,48138.07,3000.58,13190450.73,3780.73,963.62,0.74,0.73
150,?,?,?,?,?,?,?,?,0.73,?
151,2812.75,47806.34,3911.72,48503.87,2994.25,19019110.70,5540.70,1347.02,?,0.70
152,?,?,?,?,?,?,?,?,0.70,?
153,?,?,?,?,?,?,?,?,?,?
154,2796.00,47175.79,3882.96,47868.36,2970.24,12366730.70,3880.70,855.34,?,0.70
155,2837.22,47620.68,3951.95,48323.88,2998.79,11725280.70,3490.70,820.64,0.70,0.70
156,2888.79,47805.94,3978.73,48513.29,3026.87,23244670.70,5770.70,1653.89,0.70,0.70
157,2875.78,47573.66,3930.30,48259.19,3020.15,7876600.70,2690.70,553.95,0.70,0.70
158,2886.30,48209.65,4011.58,48918.37,3044.38,14259780.71,4260.71,1004.03,0.70,0.71
159,?,?,?,?,?,?,?,?,0.71,?
160,?,?,?,?,?,?,?,?,?,?
161,2904.56,48495.01,4011.02,49207.65,3065.91,72966380.75,13140.75,5405.21,?,0.75
162,2931.48,48324.52,3975.14,49050.96,3074.89,44979970.74,8710.74,3331.98,0.75,0.74
163,2943.65,48383.93,3932.32,49098.70,3098.83,28943710.72,5850.72,2110.37,0.74,0.72
164,2925.31,48152.82,3874.52,48890.47,3089.32,38593960.70,7080.70,2741.44,0.72,0.70
165,2942.25,48273.42,3892.86,49057.66,3092.65,11027990.69,2480.69,770.67,0.70,0.69
166,?,?,?,?,?,?,?,?,0.69,?
167,?,?,?,?,?,?,?,?,?,?
168,2956.40,48131.61,3874.73,48917.56,3100.24,50238010.65,12380.65,3262.08,?,0.65
169,2979.55,48119.72,3817.02,48891.04,3120.39,16345800.65,3660.65,1058.28,0.65,0.65
170,2974.95,47743.10,3792.01,48509.84,3122.21,6743950.63,2380.63,431.61,0.65,0.63
171,2905.31,45870.00,3626.85,46587.68,3038.18,46809110.54,11870.54,2651.41,0.63,0.54
172,2844.16,44732.92,3454.63,45456.77,3001.68,14829550.54,4330.54,814.20,0.54,0.54
173,?,?,?,?,?,?,?,?,0.54,?
174,?,?,?,?,?,?,?,?,?,?
175,2824.47,44824.62,3485.54,45531.46,2990.89,83436310.42,19120.42,3869.49,?,0.42
176,2821.05,44966.09,3514.51,45672.10,2999.31,98222900.43,15590.43,4027.88,0.42,0.43
177,2807.75,44893.99,3498.28,45601.51,2972.55,21629650.42,4350.42,909.90,0.43,0.42
178,2736.47,43667.37,3353.17,44326.49,2915.58,19549760.41,3170.41,804.65,0.42,0.41
179,2776.93,44747.79,3524.10,45442.51,2948.80,94721690.53,13380.53,4385.26,0.41,0.53
180,?,?,?,?,?,?,?,?,0.53,?
181,?,?,?,?,?,?,?,?,?,?
182,2809.58,44769.00,3588.05,45461.06,2963.91,117390040.63,21300.63,7252.66,?,0.63
183,2832.22,45533.94,3677.15,46254.71,2981.48,84888350.56,13270.56,4933.24,0.63,0.56
184,2815.62,45184.98,3634.28,45899.36,2971.57,87606980.63,13030.63,4994.43,0.56,0.63
185,2833.65,45613.75,3650.70,46344.42,2988.19,78666640.64,11310.64,5108.95,0.63,0.64
186,2823.50,45110.89,3592.88,45805.34,2977.06,22436430.63,4540.63,1409.62,0.64,0.63
187,?,?,?,?,?,?,?,?,0.63,?
188,?,?,?,?,?,?,?,?,?,?
189,2780.48,44534.34,3511.08,45172.40,2948.16,29764590.61,5070.61,1808.95,?,0.61
190,2753.06,44342.23,3575.89,44969.23,2924.69,30010990.61,5170.61,1796.67,0.61,0.61
191,2792.18,45068.55,3640.56,45727.71,2962.09,22170210.60,3610.60,1360.52,0.61,0.60
192,2830.11,45712.72,3695.25,46390.36,2992.86,12364390.59,2800.59,733.25,0.60,0.59
193,2859.48,46150.78,3726.32,46839.89,3017.66,23855620.56,4180.56,1353.95,0.59,0.56
194,?,?,?,?,?,?,?,?,0.56,?
195,?,?,?,?,?,?,?,?,?,?
196,2869.26,46218.05,3710.20,46922.43,3022.70,21041580.58,4470.58,1244.01,?,0.58
197,2865.65,46155.10,3696.46,46860.35,3017.11,8132900.57,2070.57,465.37,0.58,0.57
198,2869.34,46287.08,3712.65,47003.76,3021.27,8121050.56,1730.56,455.70,0.57,0.56
199,2886.09,46221.23,3742.96,46919.83,3023.16,23933830.53,3850.53,1268.12,0.56,0.53
200,2881.70,46399.74,3710.73,47120.88,3019.85,11175280.54,2290.54,589.39,0.53,0.54
201,?,?,?,?,?,?,?,?,0.54,?
202,?,?,?,?,?,?,?,?,?,?
203,2871.14,46361.70,3592.72,47075.43,3021.70,7299920.52,1970.52,384.88,?,0.52
204,2908.96,46714.43,3582.23,47454.90,3029.97,20342930.50,5020.50,1012.82,0.52,0.50
205,2923.77,46835.98,3649.31,47575.74,3050.63,15296500.49,2950.49,746.83,0.50,0.49
206,2914.72,46713.02,3619.57,47446.69,3036.16,22947030.47,3310.47,1083.72,0.49,0.47
207,2886.24,46258.91,3501.02,46981.22,3015.00,30125750.46,4320.46,1439.56,0.47,0.46
208,?,?,?,?,?,?,?,?,0.46,?
209,?,?,?,?,?,?,?,?,?,?
210,2914.05,46480.62,3544.38,47214.30,3032.94,44833120.46,5010.46,2089.84,?,0.46
211,2928.38,46663.41,3515.15,47398.08,3038.42,41642300.44,5490.44,1832.56,0.46,0.44
212,2924.02,46925.65,3535.64,47676.43,3046.08,32419850.42,4790.42,1380.14,0.44,0.42
