%310
@RELATION PLJHMDL00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1438.45,48389.84,2835.52,915610.33,280.33,28.90,?,0.33
3,783.15,48222.72,1422.15,48505.50,2832.46,706980.33,290.33,22.57,0.33,0.33
4,781.69,47888.16,1424.57,48143.94,2814.73,429880.32,180.32,13.47,0.33,0.32
5,?,?,?,?,?,?,?,?,0.32,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1408.87,47820.24,2793.31,556510.32,210.32,17.72,?,0.32
8,780.70,47379.63,1416.22,47624.67,2790.64,1169880.32,290.32,37.37,0.32,0.32
9,784.82,47407.28,1418.24,47668.58,2784.62,928250.32,340.32,28.41,0.32,0.32
10,788.85,47546.91,1427.00,47798.66,2800.96,1260880.31,290.31,39.92,0.32,0.31
11,795.36,47440.80,1431.50,47690.97,2815.88,435210.31,190.31,13.46,0.31,0.31
12,?,?,?,?,?,?,?,?,0.31,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1429.59,47724.95,2820.74,880270.31,270.31,26.64,?,0.31
15,794.59,47086.54,1424.03,47346.41,2817.16,341740.31,130.31,10.29,0.31,0.31
16,796.34,47521.39,1459.06,47794.60,2825.40,1005910.33,310.33,31.59,0.31,0.33
17,803.56,47661.37,1480.62,47936.81,2848.09,2121470.34,520.34,70.49,0.33,0.34
18,807.72,47813.69,1463.04,48104.67,2864.72,1308820.35,370.35,46.02,0.34,0.35
19,?,?,?,?,?,?,?,?,0.35,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1473.28,48184.37,2890.14,1310320.34,330.34,43.55,?,0.34
22,808.23,47872.80,1474.10,48127.89,2892.80,588250.35,250.35,19.89,0.34,0.35
23,808.40,47733.24,1466.26,47999.21,2890.57,616500.34,230.34,20.41,0.35,0.34
24,811.80,47942.04,1462.14,48203.43,2898.85,1852190.33,320.33,59.81,0.34,0.33
25,812.99,47613.95,1453.75,47851.99,2897.93,657080.32,190.32,20.85,0.33,0.32
26,?,?,?,?,?,?,?,?,0.32,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1428.40,47553.14,2886.17,501570.31,150.31,15.70,?,0.31
29,815.93,47328.40,1414.71,47565.10,2878.58,925610.32,230.32,28.74,0.31,0.32
30,815.59,46917.19,1409.63,47113.08,2876.68,581680.32,110.32,18.40,0.32,0.32
31,817.14,46840.15,1412.77,47011.43,2880.57,1545900.33,300.33,49.43,0.32,0.33
32,818.68,46945.58,1424.75,47121.08,2883.81,150650.32,100.32,4.80,0.33,0.32
33,?,?,?,?,?,?,?,?,0.32,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1376.74,46735.25,2856.17,1253710.31,240.31,38.70,?,0.31
36,816.68,46674.78,1376.05,46862.43,2843.49,1640230.32,240.32,49.74,0.31,0.32
37,813.75,46149.14,1368.56,46341.54,2811.05,569710.31,200.31,17.24,0.32,0.31
