%310
@RELATION PLHOOP000010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,3718.83,48389.84,2835.52,3928.20,328.20,1.10,?,28.20
3,10554.18,48222.72,3696.13,48505.50,2832.46,49528.20,428.20,13.62,28.20,28.20
4,10519.33,47888.16,3651.18,48143.94,2814.73,028.20,028.20,0.00,28.20,28.20
5,?,?,?,?,?,?,?,?,28.20,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,3642.19,47820.24,2793.31,4928.00,128.00,1.37,?,28.00
8,10500.71,47379.63,3576.33,47624.67,2790.64,128.20,128.20,0.03,28.00,28.20
9,10503.06,47407.28,3508.84,47668.58,2784.62,128.20,128.20,0.03,28.20,28.20
10,10496.80,47546.91,3558.48,47798.66,2800.96,128.20,128.20,0.03,28.20,28.20
11,10595.04,47440.80,3558.82,47690.97,2815.88,128.20,128.20,0.03,28.20,28.20
12,?,?,?,?,?,?,?,?,28.20,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,3578.44,47724.95,2820.74,128.20,128.20,0.03,?,28.20
15,10638.06,47086.54,3558.20,47346.41,2817.16,128.20,128.20,0.03,28.20,28.20
16,10673.05,47521.39,3558.19,47794.60,2825.40,128.15,128.15,0.03,28.20,28.15
17,10767.29,47661.37,3543.16,47936.81,2848.09,61226.00,1026.00,16.39,28.15,26.00
18,10903.93,47813.69,3562.92,48104.67,2864.72,14027.20,427.20,3.83,26.00,27.20
19,?,?,?,?,?,?,?,?,27.20,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,3699.59,48184.37,2890.14,027.20,027.20,0.00,?,27.20
22,11073.63,47872.80,3655.10,48127.89,2892.80,4327.66,227.66,1.14,27.20,27.66
23,11071.80,47733.24,3659.94,47999.21,2890.57,36226.35,226.35,9.54,27.66,26.35
24,11108.21,47942.04,3700.17,48203.43,2898.85,7526.30,226.30,1.97,26.35,26.30
25,11174.05,47613.95,3718.94,47851.99,2897.93,56326.04,526.04,14.23,26.30,26.04
26,?,?,?,?,?,?,?,?,26.04,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,3735.07,47553.14,2886.17,026.04,026.04,0.00,?,26.04
29,11165.66,47328.40,3714.68,47565.10,2878.58,026.04,026.04,0.00,26.04,26.04
30,11183.61,46917.19,3756.63,47113.08,2876.68,227.00,227.00,0.05,26.04,27.00
31,11245.80,46840.15,3809.65,47011.43,2880.57,227.00,227.00,0.05,27.00,27.00
32,11241.00,46945.58,3793.66,47121.08,2883.81,3227.00,327.00,0.83,27.00,27.00
33,?,?,?,?,?,?,?,?,27.00,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,3715.56,46735.25,2856.17,2727.00,227.00,0.73,?,27.00
36,11060.84,46674.78,3715.75,46862.43,2843.49,127.00,127.00,0.03,27.00,27.00
