%310
@RELATION PLWRWCK00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,48389.84,2835.52,20736.25,336.25,7.63,?,36.25
3,10554.18,48222.72,48505.50,2832.46,1235.34,135.34,0.42,36.25,35.34
4,10519.33,47888.16,48143.94,2814.73,3435.39,135.39,1.20,35.34,35.39
5,?,?,?,?,?,?,?,35.39,?
6,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,47820.24,2793.31,5354340.00,1240.00,1936.66,?,40.00
8,10500.71,47379.63,47624.67,2790.64,37040.44,840.44,14.83,40.00,40.44
9,10503.06,47407.28,47668.58,2784.62,100441.00,1041.00,40.40,40.44,41.00
10,10496.80,47546.91,47798.66,2800.96,16438.91,438.91,6.68,41.00,38.91
11,10595.04,47440.80,47690.97,2815.88,938.33,238.33,0.35,38.91,38.33
12,?,?,?,?,?,?,?,38.33,?
13,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,47724.95,2820.74,2538.40,238.40,0.96,?,38.40
15,10638.06,47086.54,47346.41,2817.16,1438.51,138.51,0.54,38.40,38.51
16,10673.05,47521.39,47794.60,2825.40,22239.98,739.98,8.74,38.51,39.98
17,10767.29,47661.37,47936.81,2848.09,6540.25,540.25,2.61,39.98,40.25
18,10903.93,47813.69,48104.67,2864.72,77640.00,1740.00,30.89,40.25,40.00
19,?,?,?,?,?,?,?,40.00,?
20,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,48184.37,2890.14,1558745.00,3645.00,636.00,?,45.00
22,11073.63,47872.80,48127.89,2892.80,84743.50,1743.50,36.97,45.00,43.50
23,11071.80,47733.24,47999.21,2890.57,70341.90,2141.90,29.54,43.50,41.90
24,11108.21,47942.04,48203.43,2898.85,52243.88,1543.88,22.57,41.90,43.88
25,11174.05,47613.95,47851.99,2897.93,6742.95,342.95,2.83,43.88,42.95
26,?,?,?,?,?,?,?,42.95,?
27,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,47553.14,2886.17,6942.99,542.99,2.96,?,42.99
29,11165.66,47328.40,47565.10,2878.58,6142.50,342.50,2.59,42.99,42.50
30,11183.61,46917.19,47113.08,2876.68,9742.89,342.89,4.16,42.50,42.89
