%310
@RELATION PLERGPL00014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1718.26,48389.84,2835.52,41748.56,128.56,35.31,?,8.56
3,783.15,48222.72,1714.83,48505.50,2832.46,60738.03,158.03,49.92,8.56,8.03
4,781.69,47888.16,1719.23,48143.94,2814.73,59047.87,287.87,45.50,8.03,7.87
5,?,?,?,?,?,?,?,?,7.87,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1719.82,47820.24,2793.31,51387.90,157.90,40.67,?,7.90
8,780.70,47379.63,1714.18,47624.67,2790.64,80377.72,187.72,60.35,7.90,7.72
9,784.82,47407.28,1722.98,47668.58,2784.62,54007.41,187.41,40.47,7.72,7.41
10,788.85,47546.91,1717.51,47798.66,2800.96,137147.50,447.50,102.10,7.41,7.50
11,795.36,47440.80,1761.65,47690.97,2815.88,78787.20,347.20,57.77,7.50,7.20
12,?,?,?,?,?,?,?,?,7.20,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1787.10,47724.95,2820.74,22757.45,177.45,16.32,?,7.45
15,794.59,47086.54,1789.24,47346.41,2817.16,123137.55,177.55,91.74,7.45,7.55
16,796.34,47521.39,1813.57,47794.60,2825.40,110828.04,348.04,88.52,7.55,8.04
17,803.56,47661.37,1796.76,47936.81,2848.09,248418.61,788.61,214.41,8.04,8.61
18,807.72,47813.69,1830.45,48104.67,2864.72,41648.80,368.80,36.10,8.61,8.80
19,?,?,?,?,?,?,?,?,8.80,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1829.00,48184.37,2890.14,118578.65,288.65,102.65,?,8.65
22,808.23,47872.80,1822.02,48127.89,2892.80,67998.35,138.35,56.19,8.65,8.35
23,808.40,47733.24,1819.73,47999.21,2890.57,37448.01,238.01,29.98,8.35,8.01
24,811.80,47942.04,1794.79,48203.43,2898.85,9677.92,57.92,7.86,8.01,7.92
25,812.99,47613.95,1818.33,47851.99,2897.93,42857.60,217.60,32.85,7.92,7.60
26,?,?,?,?,?,?,?,?,7.60,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1811.61,47553.14,2886.17,63277.87,227.87,48.77,?,7.87
29,815.93,47328.40,1804.79,47565.10,2878.58,107117.70,287.70,83.86,7.87,7.70
30,815.59,46917.19,1825.50,47113.08,2876.68,99207.60,307.60,77.21,7.70,7.60
31,817.14,46840.15,1817.11,47011.43,2880.57,239838.15,608.15,183.55,7.60,8.15
32,818.68,46945.58,1834.26,47121.08,2883.81,38768.04,198.04,30.70,8.15,8.04
33,?,?,?,?,?,?,?,?,8.04,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1819.69,46735.25,2856.17,12887.89,77.89,9.95,?,7.89
36,816.68,46674.78,1784.50,46862.43,2843.49,11277.75,67.75,8.68,7.89,7.75
37,813.75,46149.14,1779.66,46341.54,2811.05,07.75,07.75,0.00,7.75,7.75
38,811.13,46329.66,1758.77,46512.72,2815.91,18257.87,107.87,14.02,7.75,7.87
39,813.77,46741.54,1769.71,46931.40,2825.70,409867.70,127.70,315.44,7.87,7.70
40,?,?,?,?,?,?,?,?,7.70,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1762.40,46988.04,2826.84,87187.31,307.31,64.52,?,7.31
43,817.32,46399.26,1785.06,46564.61,2821.25,21537.45,137.45,15.80,7.31,7.45
44,817.35,46406.74,1780.69,46569.81,2825.02,41767.32,157.32,30.18,7.45,7.32
45,818.81,46211.54,1783.79,46360.51,2825.15,7307.35,77.35,5.32,7.32,7.35
46,826.73,46370.13,1804.96,46523.63,2838.22,24987.44,117.44,18.00,7.35,7.44
47,?,?,?,?,?,?,?,?,7.44,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1814.39,46665.39,2848.48,98727.22,277.22,70.54,?,7.22
50,832.30,46490.89,1821.72,46652.19,2843.90,328796.45,1256.45,219.42,7.22,6.45
51,830.62,46051.76,1809.28,46198.42,2831.71,131166.20,466.20,81.92,6.45,6.20
52,823.32,45879.90,1812.57,46050.52,2801.83,115156.19,336.19,69.58,6.20,6.19
53,826.66,45948.12,1826.84,46124.82,2817.57,160786.08,306.08,97.66,6.19,6.08
54,?,?,?,?,?,?,?,?,6.08,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1850.28,46487.05,2840.57,10326.25,86.25,6.38,?,6.25
57,828.81,45868.35,1831.29,46065.85,2831.16,12266.34,86.34,7.50,6.25,6.34
58,836.69,46241.92,1848.22,46459.99,2855.69,94456.64,266.64,61.27,6.34,6.64
59,844.08,46280.36,1866.67,46510.83,2865.27,82946.50,376.50,54.77,6.64,6.50
60,842.02,46341.14,1880.05,46622.90,2859.05,16936.39,56.39,11.09,6.50,6.39
61,?,?,?,?,?,?,?,?,6.39,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,1870.04,46454.13,2860.68,42676.63,306.63,27.57,?,6.63
64,845.88,46676.09,1867.84,47001.38,2868.06,61636.59,276.59,40.59,6.63,6.59
