%310
@RELATION PLARTPR00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,44606.05,156.05,26.77,?,6.05
3,48222.72,48505.50,2832.46,117216.05,286.05,71.47,6.05,6.05
4,47888.16,48143.94,2814.73,31556.02,96.02,19.20,6.05,6.02
5,?,?,?,?,?,?,6.02,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,44086.07,216.07,26.97,?,6.07
8,47379.63,47624.67,2790.64,100015.96,275.96,60.51,6.07,5.96
9,47407.28,47668.58,2784.62,539636.04,196.04,324.06,5.96,6.04
10,47546.91,47798.66,2800.96,26006.05,86.05,15.81,6.04,6.05
11,47440.80,47690.97,2815.88,12006.05,26.05,7.25,6.05,6.05
12,?,?,?,?,?,?,6.05,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,57836.16,86.16,35.48,?,6.16
15,47086.54,47346.41,2817.16,31296.13,96.13,19.25,6.16,6.13
16,47521.39,47794.60,2825.40,71366.16,96.16,43.89,6.13,6.16
17,47661.37,47936.81,2848.09,91166.27,136.27,56.74,6.16,6.27
18,47813.69,48104.67,2864.72,35616.27,146.27,22.30,6.27,6.27
19,?,?,?,?,?,?,6.27,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,14356.22,56.22,8.92,?,6.22
22,47872.80,48127.89,2892.80,394086.30,216.30,247.22,6.22,6.30
23,47733.24,47999.21,2890.57,46576.48,216.48,29.93,6.30,6.48
24,47942.04,48203.43,2898.85,2054696.55,276.55,1315.63,6.48,6.55
25,47613.95,47851.99,2897.93,56186.45,206.45,36.81,6.55,6.45
26,?,?,?,?,?,?,6.45,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,35006.25,76.25,22.18,?,6.25
29,47328.40,47565.10,2878.58,74646.15,206.15,46.40,6.25,6.15
30,46917.19,47113.08,2876.68,121066.44,346.44,76.48,6.15,6.44
31,46840.15,47011.43,2880.57,18526.44,166.44,11.91,6.44,6.44
32,46945.58,47121.08,2883.81,17316.51,106.51,11.13,6.44,6.51
33,?,?,?,?,?,?,6.51,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,66546.55,286.55,43.65,?,6.55
36,46674.78,46862.43,2843.49,9056.36,86.36,5.80,6.55,6.36
37,46149.14,46341.54,2811.05,32976.55,116.55,21.49,6.36,6.55
38,46329.66,46512.72,2815.91,2766.54,46.54,1.81,6.55,6.54
39,46741.54,46931.40,2825.70,12296.34,36.34,7.79,6.54,6.34
40,?,?,?,?,?,?,6.34,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,29906.45,116.45,19.01,?,6.45
43,46399.26,46564.61,2821.25,2976.45,56.45,1.89,6.45,6.45
44,46406.74,46569.81,2825.02,06.45,06.45,0.00,6.45,6.45
45,46211.54,46360.51,2825.15,19336.32,66.32,12.21,6.45,6.32
46,46370.13,46523.63,2838.22,17276.25,116.25,10.83,6.32,6.25
47,?,?,?,?,?,?,6.25,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,22906.29,106.29,14.18,?,6.29
50,46490.89,46652.19,2843.90,6276.25,56.25,3.93,6.29,6.25
51,46051.76,46198.42,2831.71,8816.14,46.14,5.41,6.25,6.14
52,45879.90,46050.52,2801.83,99046.12,236.12,58.87,6.14,6.12
53,45948.12,46124.82,2817.57,159416.24,246.24,95.83,6.12,6.24
54,?,?,?,?,?,?,6.24,?
55,?,?,?,?,?,?,?,?
56,46286.28,46487.05,2840.57,120556.20,216.20,75.29,?,6.20
