%310
@RELATION PLHOGA000041
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
81,45066.18,1091.98,45473.08,2800.67,701492.38,902.38,164.30,2.38,2.38
82,?,?,?,?,?,?,?,2.38,?
83,?,?,?,?,?,?,?,?,?
84,44585.10,1091.47,44946.32,2780.21,1313002.39,1532.39,318.67,?,2.39
85,44724.88,1081.75,45119.16,2774.13,173692.38,212.38,41.15,2.39,2.38
86,45247.90,1090.32,45644.09,2785.46,341742.42,562.42,81.63,2.38,2.42
87,45147.57,1091.06,45528.85,2797.31,547192.37,862.37,128.50,2.42,2.37
88,?,?,?,?,?,?,?,2.37,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,45304.74,1102.99,45679.51,2814.33,32642.38,92.38,7.75,?,2.38
93,44604.61,1070.68,44940.36,2769.02,547092.34,632.34,127.05,2.38,2.34
94,44623.89,1070.17,44980.62,2766.19,2090542.27,2152.27,459.06,2.34,2.27
95,44597.66,1086.26,44960.02,2760.91,246372.29,492.29,55.52,2.27,2.29
96,?,?,?,?,?,?,?,2.29,?
97,?,?,?,?,?,?,?,?,?
98,44590.97,1086.13,44963.96,2764.28,354502.25,612.25,79.81,?,2.25
99,44725.03,1084.77,45096.35,2767.26,296292.28,372.28,66.53,2.25,2.28
100,45091.63,1089.08,45495.34,2780.21,432772.25,562.25,97.30,2.28,2.25
101,45688.48,1095.29,46131.66,2794.43,468712.23,612.23,103.55,2.25,2.23
102,45525.92,1102.49,45960.10,2783.53,378422.20,492.20,83.46,2.23,2.20
103,?,?,?,?,?,?,?,2.20,?
104,?,?,?,?,?,?,?,?,?
105,44724.14,1097.10,45167.65,2754.91,175712.15,352.15,37.94,?,2.15
106,?,?,?,?,?,?,?,2.15,?
107,43916.24,1090.97,44404.81,2705.88,546752.11,682.11,117.08,?,2.11
108,43364.70,1089.24,43850.06,2695.55,145452.13,292.13,30.71,2.11,2.13
109,43447.75,1086.50,43993.98,2685.57,217152.14,442.14,45.84,2.13,2.14
110,?,?,?,?,?,?,?,2.14,?
111,?,?,?,?,?,?,?,?,?
112,43360.30,1090.01,43892.82,2660.28,393882.10,352.10,83.10,?,2.10
113,43159.57,1070.14,43707.88,2624.40,261502.10,422.10,54.92,2.10,2.10
114,43356.73,1084.85,43908.95,2636.70,267142.11,232.11,56.11,2.10,2.11
115,43482.18,1076.35,44027.03,2658.57,31592.13,92.13,6.70,2.11,2.13
116,43665.21,1081.14,44226.06,2669.93,302802.12,422.12,63.64,2.13,2.12
117,?,?,?,?,?,?,?,2.12,?
118,?,?,?,?,?,?,?,?,?
119,43882.16,1086.18,44420.22,2685.14,704972.13,622.13,148.33,?,2.13
120,44162.18,1096.22,44653.34,2704.84,1447372.16,1632.16,313.51,2.13,2.16
121,?,?,?,?,?,?,?,2.16,?
122,43991.51,1077.28,44466.89,2695.22,497822.20,622.20,109.01,?,2.20
123,?,?,?,?,?,?,?,2.20,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,44541.73,1104.54,45060.80,2714.72,918252.24,922.24,201.39,?,2.24
127,44742.22,1111.64,45244.29,2733.96,527702.30,872.30,121.01,2.24,2.30
128,45117.94,1106.26,45647.76,2752.14,591602.30,672.30,137.68,2.30,2.30
129,44943.16,1111.55,45475.08,2760.20,241582.30,332.30,55.17,2.30,2.30
130,44895.35,1118.53,45408.06,2769.85,806792.28,392.28,185.49,2.30,2.28
131,?,?,?,?,?,?,?,2.28,?
132,?,?,?,?,?,?,?,?,?
133,45207.84,1126.14,45746.01,2790.62,279172.28,332.28,63.19,?,2.28
134,45771.11,1157.28,46336.62,2822.41,222502.30,302.30,51.04,2.28,2.30
135,46102.42,1180.62,46676.61,2848.38,362952.30,442.30,84.49,2.30,2.30
136,45992.03,1159.61,46581.16,2871.70,742752.40,1102.40,176.96,2.30,2.40
137,46078.68,1125.40,46646.58,2885.19,634432.43,642.43,153.81,2.40,2.43
138,?,?,?,?,?,?,?,2.43,?
139,?,?,?,?,?,?,?,?,?
140,46041.35,1137.52,46615.31,2921.95,350752.40,562.40,84.55,?,2.40
141,45851.80,1125.99,46439.10,2893.12,224182.39,302.39,53.20,2.40,2.39
142,45933.66,1125.44,46529.96,2912.70,279662.36,422.36,65.30,2.39,2.36
143,45687.76,1120.21,46311.26,2894.53,750352.29,802.29,171.23,2.36,2.29
144,46145.44,1124.91,46783.61,2929.62,442232.36,492.36,102.98,2.29,2.36
145,?,?,?,?,?,?,?,2.36,?
146,?,?,?,?,?,?,?,?,?
147,47277.10,1142.01,47957.54,2976.83,801892.41,832.41,193.74,?,2.41
148,47579.87,1154.78,48258.02,2997.81,272092.42,462.42,65.90,2.41,2.42
149,47476.64,1171.08,48138.07,3000.58,261102.41,382.41,62.63,2.42,2.41
150,?,?,?,?,?,?,?,2.41,?
151,47806.34,1165.26,48503.87,2994.25,147302.39,432.39,35.36,?,2.39
152,?,?,?,?,?,?,?,2.39,?
153,?,?,?,?,?,?,?,?,?
154,47175.79,1165.63,47868.36,2970.24,204682.36,202.36,48.78,?,2.36
155,47620.68,1159.94,48323.88,2998.79,134622.40,262.40,32.14,2.36,2.40
156,47805.94,1151.72,48513.29,3026.87,1448792.49,1702.49,356.66,2.40,2.49
157,47573.66,1162.00,48259.19,3020.15,966812.53,1082.53,244.52,2.49,2.53
158,48209.65,1181.72,48918.37,3044.38,412622.50,492.50,102.75,2.53,2.50
159,?,?,?,?,?,?,?,2.50,?
160,?,?,?,?,?,?,?,?,?
161,48495.01,1181.70,49207.65,3065.91,494592.54,572.54,124.39,?,2.54
162,48324.52,1178.63,49050.96,3074.89,444942.47,482.47,111.12,2.54,2.47
163,48383.93,1192.84,49098.70,3098.83,267972.50,392.50,66.81,2.47,2.50
164,48152.82,1194.64,48890.47,3089.32,432702.46,582.46,106.53,2.50,2.46
165,48273.42,1193.40,49057.66,3092.65,181242.46,372.46,44.73,2.46,2.46
166,?,?,?,?,?,?,?,2.46,?
167,?,?,?,?,?,?,?,?,?
168,48131.61,1195.82,48917.56,3100.24,137582.43,322.43,34.01,?,2.43
169,48119.72,1195.92,48891.04,3120.39,373702.41,422.41,90.69,2.43,2.41
170,47743.10,1196.01,48509.84,3122.21,641232.34,742.34,152.47,2.41,2.34
171,45870.00,1146.73,46587.68,3038.18,982862.24,1402.24,222.55,2.34,2.24
172,44732.92,1176.34,45456.77,3001.68,389952.24,492.24,86.49,2.24,2.24
173,?,?,?,?,?,?,?,2.24,?
174,?,?,?,?,?,?,?,?,?
175,44824.62,1173.52,45531.46,2990.89,560432.24,462.24,125.12,?,2.24
176,44966.09,1180.90,45672.10,2999.31,87642.28,162.28,19.89,2.24,2.28
177,44893.99,1166.57,45601.51,2972.55,413072.20,582.20,90.84,2.28,2.20
178,43667.37,1139.46,44326.49,2915.58,69382.23,182.23,15.40,2.20,2.23
179,44747.79,1160.39,45442.51,2948.80,131072.27,222.27,29.41,2.23,2.27
180,?,?,?,?,?,?,?,2.27,?
181,?,?,?,?,?,?,?,?,?
182,44769.00,1150.94,45461.06,2963.91,314482.29,292.29,71.63,?,2.29
183,45533.94,1175.36,46254.71,2981.48,119422.35,262.35,27.79,2.29,2.35
184,45184.98,1196.30,45899.36,2971.57,152062.29,172.29,34.99,2.35,2.29
185,45613.75,1189.64,46344.42,2988.19,86922.34,112.34,20.23,2.29,2.34
186,45110.89,1161.10,45805.34,2977.06,137472.30,162.30,31.75,2.34,2.30
187,?,?,?,?,?,?,?,2.30,?
188,?,?,?,?,?,?,?,?,?
189,44534.34,1167.58,45172.40,2948.16,95492.28,182.28,21.64,?,2.28
190,44342.23,1165.35,44969.23,2924.69,269352.25,452.25,59.80,2.28,2.25
191,45068.55,1180.80,45727.71,2962.09,174832.29,202.29,39.59,2.25,2.29
192,45712.72,1192.09,46390.36,2992.86,24542.29,132.29,5.60,2.29,2.29
193,46150.78,1209.79,46839.89,3017.66,82912.28,192.28,18.88,2.29,2.28
194,?,?,?,?,?,?,?,2.28,?
195,?,?,?,?,?,?,?,?,?
196,46218.05,1196.78,46922.43,3022.70,76702.25,172.25,17.36,?,2.25
197,46155.10,1214.42,46860.35,3017.11,154652.26,272.26,34.66,2.25,2.26
198,46287.08,1215.81,47003.76,3021.27,150972.25,262.25,33.50,2.26,2.25
199,46221.23,1211.51,46919.83,3023.16,126912.25,232.25,28.52,2.25,2.25
200,46399.74,1210.19,47120.88,3019.85,233082.26,302.26,52.83,2.25,2.26
201,?,?,?,?,?,?,?,2.26,?
202,?,?,?,?,?,?,?,?,?
203,46361.70,1235.07,47075.43,3021.70,12802.28,62.28,2.91,?,2.28
204,46714.43,1232.24,47454.90,3029.97,183302.33,512.33,42.22,2.28,2.33
205,46835.98,1222.66,47575.74,3050.63,183232.36,352.36,42.96,2.33,2.36
206,46713.02,1219.75,47446.69,3036.16,193872.32,382.32,44.54,2.36,2.32
207,46258.91,1209.19,46981.22,3015.00,81632.30,192.30,18.77,2.32,2.30
208,?,?,?,?,?,?,?,2.30,?
209,?,?,?,?,?,?,?,?,?
210,46480.62,1199.78,47214.30,3032.94,25692.31,92.31,5.92,?,2.31
211,46663.41,1213.77,47398.08,3038.42,42442.30,112.30,9.80,2.31,2.30
212,46925.65,1223.90,47676.43,3046.08,126282.30,302.30,28.85,2.30,2.30
213,47370.81,1222.52,48147.76,3060.17,96002.30,202.30,22.00,2.30,2.30
214,48325.33,1231.68,49133.14,3110.79,233032.33,452.33,54.49,2.30,2.33
215,?,?,?,?,?,?,?,2.33,?
216,?,?,?,?,?,?,?,?,?
217,48458.44,1230.24,49272.86,3127.41,262752.40,382.40,62.92,?,2.40
218,47942.81,1233.34,48742.34,3127.38,485042.43,502.43,116.96,2.40,2.43
219,48306.55,1236.11,49124.78,3168.23,361682.43,322.43,87.00,2.43,2.43
220,48862.88,1227.93,49700.18,3190.86,518512.46,512.46,126.56,2.43,2.46
221,49125.36,1228.51,49994.77,3206.86,264232.47,462.47,64.92,2.46,2.47
222,?,?,?,?,?,?,?,2.47,?
223,?,?,?,?,?,?,?,?,?
224,49580.16,1249.41,50476.37,3225.79,1042972.42,862.42,250.63,?,2.42
225,49747.66,1253.14,50646.05,3233.22,436792.43,642.43,104.47,2.42,2.43
226,50223.95,1260.91,51152.95,3271.49,172942.42,492.42,41.58,2.43,2.42
227,?,?,?,?,?,?,?,2.42,?
228,49976.48,1262.98,50906.11,3253.28,121192.39,272.39,29.01,?,2.39
229,?,?,?,?,?,?,?,2.39,?
230,?,?,?,?,?,?,?,?,?
231,49772.46,1251.04,50713.14,3237.31,428082.39,582.39,101.92,?,2.39
232,49162.16,1247.19,50077.30,3210.57,204912.40,402.40,48.31,2.39,2.40
233,49128.05,1248.67,50032.45,3221.87,932502.47,902.47,229.48,2.40,2.47
234,49846.48,1258.64,50780.47,3260.69,860672.51,962.51,216.35,2.47,2.51
235,49895.10,1247.33,50836.47,3260.35,427332.50,552.50,106.84,2.51,2.50
236,?,?,?,?,?,?,?,2.50,?
