%310
@RELATION PLKOPEX00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,48389.84,2835.52,1028918.00,7918.00,185.41,?,18.00
3,2588.67,48222.72,48505.50,2832.46,1163417.90,6017.90,209.27,18.00,17.90
4,2588.47,47888.16,48143.94,2814.73,1846717.70,8217.70,329.75,17.90,17.70
5,?,?,?,?,?,?,?,17.70,?
6,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,47820.24,2793.31,753317.68,4217.68,133.49,?,17.68
8,2587.38,47379.63,47624.67,2790.64,567817.70,4417.70,100.41,17.68,17.70
9,2573.27,47407.28,47668.58,2784.62,3001617.40,10317.40,524.71,17.70,17.40
10,2592.53,47546.91,47798.66,2800.96,411017.70,4017.70,71.80,17.40,17.70
11,2611.26,47440.80,47690.97,2815.88,1601517.31,7317.31,281.58,17.70,17.31
12,?,?,?,?,?,?,?,17.31,?
13,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,47724.95,2820.74,1744517.24,10617.24,300.39,?,17.24
15,2598.51,47086.54,47346.41,2817.16,806117.50,5217.50,139.45,17.24,17.50
16,2598.53,47521.39,47794.60,2825.40,449117.48,4717.48,78.21,17.50,17.48
17,2618.14,47661.37,47936.81,2848.09,512217.39,3617.39,89.22,17.48,17.39
18,2626.72,47813.69,48104.67,2864.72,807617.35,5817.35,140.23,17.39,17.35
19,?,?,?,?,?,?,?,17.35,?
20,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,48184.37,2890.14,1029117.18,6317.18,177.44,?,17.18
22,2636.01,47872.80,48127.89,2892.80,6381316.80,22716.80,1082.44,17.18,16.80
23,2626.76,47733.24,47999.21,2890.57,4209416.70,10216.70,705.49,16.80,16.70
24,2646.20,47942.04,48203.43,2898.85,916216.70,4616.70,153.12,16.70,16.70
25,2642.64,47613.95,47851.99,2897.93,430016.70,4516.70,71.76,16.70,16.70
26,?,?,?,?,?,?,?,16.70,?
27,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,47553.14,2886.17,1651116.48,6616.48,273.59,?,16.48
29,2623.78,47328.40,47565.10,2878.58,1493616.41,7316.41,245.99,16.48,16.41
30,2612.20,46917.19,47113.08,2876.68,1271116.18,8016.18,207.34,16.41,16.18
31,2597.73,46840.15,47011.43,2880.57,1638416.00,8316.00,264.53,16.18,16.00
32,2603.21,46945.58,47121.08,2883.81,2012015.72,14415.72,320.16,16.00,15.72
33,?,?,?,?,?,?,?,15.72,?
34,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,46735.25,2856.17,1419115.85,9615.85,225.36,?,15.85
36,2595.69,46674.78,46862.43,2843.49,1337615.84,6115.84,211.72,15.85,15.84
37,2567.59,46149.14,46341.54,2811.05,1470815.56,8715.56,229.98,15.84,15.56
38,2577.94,46329.66,46512.72,2815.91,3496615.60,9115.60,545.92,15.56,15.60
