%310
@RELATION AT0000827209
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,48107.89,1438.45,225783.95,273.95,89.31,?,3.95
3,48222.72,1422.15,163343.95,113.95,64.64,3.95,3.95
4,47888.16,1424.57,70693.99,73.99,27.83,3.95,3.99
5,?,?,?,?,?,3.99,?
6,?,?,?,?,?,?,?
7,47589.33,1408.87,266034.18,374.18,109.72,?,4.18
8,47379.63,1416.22,184254.10,364.10,77.21,4.18,4.10
9,47407.28,1418.24,3496334.60,614.60,1453.26,4.10,4.60
10,47546.91,1427.00,208774.75,644.75,97.16,4.60,4.75
11,47440.80,1431.50,156544.90,354.90,76.39,4.75,4.90
12,?,?,?,?,?,4.90,?
13,?,?,?,?,?,?,?
14,47470.12,1429.59,299835.03,525.03,151.55,?,5.03
15,47086.54,1424.03,84025.05,205.05,42.45,5.03,5.05
16,47521.39,1459.06,10645.04,25.04,5.37,5.05,5.04
17,47661.37,1480.62,148435.06,195.06,74.99,5.04,5.06
18,47813.69,1463.04,57365.09,115.09,29.20,5.06,5.09
19,?,?,?,?,?,5.09,?
20,?,?,?,?,?,?,?
21,47936.61,1473.28,477965.10,275.10,246.94,?,5.10
22,47872.80,1474.10,68534.81,134.81,34.13,5.10,4.81
23,47733.24,1466.26,459074.87,384.87,219.94,4.81,4.87
24,47942.04,1462.14,106194.99,154.99,51.56,4.87,4.99
25,47613.95,1453.75,423265.03,395.03,212.35,4.99,5.03
26,?,?,?,?,?,5.03,?
27,?,?,?,?,?,?,?
28,47324.06,1428.40,133485.25,215.25,68.22,?,5.25
29,47328.40,1414.71,143325.35,285.35,76.35,5.25,5.35
30,46917.19,1409.63,75755.65,205.65,41.68,5.35,5.65
31,46840.15,1412.77,1228476.05,376.05,736.64,5.65,6.05
32,46945.58,1424.75,315766.12,596.12,193.02,6.05,6.12
33,?,?,?,?,?,6.12,?
34,?,?,?,?,?,?,?
35,46556.55,1376.74,109335.61,325.61,62.60,?,5.61
