%310
@RELATION PLTALEX00017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1136.16,48389.84,05.13,05.13,0.00,?,5.13
3,783.15,48222.72,1132.73,48505.50,385765.71,285.71,206.56,5.13,5.71
4,781.69,47888.16,1123.30,48143.94,63905.99,115.99,36.83,5.71,5.99
5,?,?,?,?,?,?,?,5.99,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1117.54,47820.24,128746.30,216.30,76.19,?,6.30
8,780.70,47379.63,1107.35,47624.67,4816.29,66.29,3.04,6.30,6.29
9,784.82,47407.28,1113.00,47668.58,102516.71,236.71,66.74,6.29,6.71
10,788.85,47546.91,1127.31,47798.66,17.37,17.37,0.01,6.71,7.37
11,795.36,47440.80,1133.34,47690.97,28367.35,137.35,20.27,7.37,7.35
12,?,?,?,?,?,?,?,7.35,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1138.05,47724.95,417.62,27.62,0.31,?,7.62
15,794.59,47086.54,1131.14,47346.41,2157.50,27.50,1.61,7.62,7.50
16,796.34,47521.39,1130.24,47794.60,17.90,17.90,0.01,7.50,7.90
17,803.56,47661.37,1132.34,47936.81,30977.45,107.45,23.43,7.90,7.45
18,807.72,47813.69,1144.65,48104.67,1027.70,47.70,0.78,7.45,7.70
19,?,?,?,?,?,?,?,7.70,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1151.79,48184.37,4507.59,67.59,3.37,?,7.59
22,808.23,47872.80,1152.16,48127.89,51098.34,98.34,39.88,7.59,8.34
23,808.40,47733.24,1153.46,47999.21,77928.99,238.99,67.81,8.34,8.99
24,811.80,47942.04,1150.21,48203.43,123389.31,299.31,112.17,8.99,9.31
25,812.99,47613.95,1156.62,47851.99,121249.25,119.25,112.68,9.31,9.25
26,?,?,?,?,?,?,?,9.25,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1160.03,47553.14,34458.49,158.49,29.65,?,8.49
29,815.93,47328.40,1163.93,47565.10,28728.20,68.20,23.89,8.49,8.20
30,815.59,46917.19,1153.92,47113.08,6998.09,58.09,5.66,8.20,8.09
31,817.14,46840.15,1159.78,47011.43,65208.12,288.12,48.51,8.09,8.12
32,818.68,46945.58,1158.21,47121.08,5387.71,77.71,4.14,8.12,7.71
33,?,?,?,?,?,?,?,7.71,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1147.63,46735.25,17.99,17.99,0.01,?,7.99
36,816.68,46674.78,1152.32,46862.43,4237.96,27.96,3.37,7.99,7.96
37,813.75,46149.14,1128.47,46341.54,8717.72,57.72,6.64,7.96,7.72
38,811.13,46329.66,1129.48,46512.72,18.09,18.09,0.01,7.72,8.09
39,813.77,46741.54,1129.43,46931.40,18.29,18.29,0.01,8.09,8.29
40,?,?,?,?,?,?,?,8.29,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1129.99,46988.04,5957.85,27.85,4.67,?,7.85
43,817.32,46399.26,1137.86,46564.61,1027.50,37.50,0.77,7.85,7.50
44,817.35,46406.74,1140.25,46569.81,40507.98,127.98,31.66,7.50,7.98
45,818.81,46211.54,1127.06,46360.51,108648.52,218.52,85.37,7.98,8.52
46,826.73,46370.13,1136.50,46523.63,41738.50,128.50,35.30,8.52,8.50
47,?,?,?,?,?,?,?,8.50,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1139.96,46665.39,50918.79,168.79,43.99,?,8.79
50,832.30,46490.89,1135.32,46652.19,48899.50,139.50,43.58,8.79,9.50
51,830.62,46051.76,1126.36,46198.42,54119.10,89.10,50.98,9.50,9.10
52,823.32,45879.90,1119.98,46050.52,468.65,18.65,0.40,9.10,8.65
53,826.66,45948.12,1131.52,46124.82,08.65,08.65,0.00,8.65,8.65
54,?,?,?,?,?,?,?,8.65,?
55,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1137.44,46487.05,08.65,08.65,0.00,?,8.65
57,828.81,45868.35,1126.88,46065.85,12059.10,29.10,10.45,8.65,9.10
58,836.69,46241.92,1126.96,46459.99,16328.58,38.58,14.17,9.10,8.58
59,844.08,46280.36,1140.99,46510.83,6508.87,1428.87,5.72,8.58,8.87
60,842.02,46341.14,1150.40,46622.90,10848.51,28.51,9.25,8.87,8.51
61,?,?,?,?,?,?,?,8.51,?
62,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,1147.38,46454.13,28.94,28.94,0.02,?,8.94
64,845.88,46676.09,1156.77,47001.38,3018.54,38.54,2.57,8.94,8.54
65,849.88,46762.65,1150.07,47090.49,1038.51,48.51,0.88,8.54,8.51
66,855.99,46745.26,1155.43,47060.66,868.46,28.46,0.72,8.51,8.46
67,861.67,47074.39,1164.85,47436.21,28.87,18.87,0.02,8.46,8.87
68,?,?,?,?,?,?,?,8.87,?
69,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,1184.08,47269.75,13848.58,58.58,11.77,?,8.58
71,866.79,47010.40,1185.21,47340.43,18.59,18.59,0.01,8.58,8.59
72,872.90,46888.37,1178.50,47235.72,2148.55,2148.55,1.83,8.59,8.55
73,871.52,47223.68,1177.46,47606.16,18.55,18.55,0.01,8.55,8.55
74,873.21,47125.93,1176.61,47522.10,4018.30,28.30,3.33,8.55,8.30
75,?,?,?,?,?,?,?,8.30,?
76,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1163.52,47094.18,28.28,28.28,0.02,?,8.28
78,864.73,46029.35,1143.53,46473.62,18.30,18.30,0.01,8.28,8.30
79,862.97,46068.24,1121.08,46511.62,18.30,18.30,0.01,8.30,8.30
80,850.86,45580.47,1110.00,46017.88,28.30,28.30,0.02,8.30,8.30
81,845.32,45066.18,1091.98,45473.08,528.30,38.30,0.43,8.30,8.30
82,?,?,?,?,?,?,?,8.30,?
83,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1091.47,44946.32,18.30,18.30,0.01,?,8.30
85,830.80,44724.88,1081.75,45119.16,328.30,38.30,0.26,8.30,8.30
86,835.51,45247.90,1090.32,45644.09,398.20,28.20,0.32,8.30,8.20
87,839.42,45147.57,1091.06,45528.85,28.30,28.30,0.02,8.20,8.30
88,?,?,?,?,?,?,?,8.30,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1102.99,45679.51,888.30,18.30,0.73,?,8.30
93,828.79,44604.61,1070.68,44940.36,3828.50,48.50,3.26,8.30,8.50
94,824.35,44623.89,1070.17,44980.62,1018.15,38.15,0.84,8.50,8.15
95,819.73,44597.66,1086.26,44960.02,818.49,28.49,0.66,8.15,8.49
96,?,?,?,?,?,?,?,8.49,?
97,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1086.13,44963.96,1168.47,18.47,0.98,?,8.47
99,815.74,44725.03,1084.77,45096.35,08.47,08.47,0.00,8.47,8.47
100,820.16,45091.63,1089.08,45495.34,18.44,18.44,0.01,8.47,8.44
101,824.04,45688.48,1095.29,46131.66,1428.10,328.10,1.16,8.44,8.10
102,819.29,45525.92,1102.49,45960.10,758.40,48.40,0.61,8.10,8.40
103,?,?,?,?,?,?,?,8.40,?
104,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1097.10,45167.65,2408.40,18.40,2.02,?,8.40
106,?,?,?,?,?,?,?,8.40,?
107,796.68,43916.24,1090.97,44404.81,08.40,08.40,0.00,?,8.40
108,787.39,43364.70,1089.24,43850.06,6208.00,18.00,4.96,8.40,8.00
109,783.37,43447.75,1086.50,43993.98,08.00,08.00,0.00,8.00,8.00
110,?,?,?,?,?,?,?,8.00,?
111,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1090.01,43892.82,08.00,08.00,0.00,?,8.00
113,769.16,43159.57,1070.14,43707.88,08.00,08.00,0.00,8.00,8.00
114,769.82,43356.73,1084.85,43908.95,08.00,08.00,0.00,8.00,8.00
115,774.88,43482.18,1076.35,44027.03,08.00,08.00,0.00,8.00,8.00
116,777.86,43665.21,1081.14,44226.06,2107.80,17.80,1.64,8.00,7.80
117,?,?,?,?,?,?,?,7.80,?
118,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1086.18,44420.22,07.80,07.80,0.00,?,7.80
120,784.81,44162.18,1096.22,44653.34,3538.01,2518.01,2.83,7.80,8.01
121,?,?,?,?,?,?,?,8.01,?
122,787.45,43991.51,1077.28,44466.89,08.01,08.01,0.00,?,8.01
123,?,?,?,?,?,?,?,8.01,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1104.54,45060.80,08.01,08.01,0.00,?,8.01
127,793.09,44742.22,1111.64,45244.29,08.01,08.01,0.00,8.01,8.01
128,798.10,45117.94,1106.26,45647.76,18.01,18.01,0.01,8.01,8.01
129,800.71,44943.16,1111.55,45475.08,17.90,17.90,0.01,8.01,7.90
130,800.42,44895.35,1118.53,45408.06,07.90,07.90,0.00,7.90,7.90
131,?,?,?,?,?,?,?,7.90,?
132,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1126.14,45746.01,07.90,07.90,0.00,?,7.90
134,804.49,45771.11,1157.28,46336.62,667.65,17.65,0.50,7.90,7.65
