%310
@RELATION WIG-Poland
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,13412.55,3112.26,3112.26,?,?,528617.25,48389.84
3,13391.36,3100.57,3100.57,3.1005,3.1005,705687.93,48505.50
4,13435.21,3101.66,3101.66,3.1700,3.1700,890775.03,48143.94
5,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?
7,13384.29,3098.81,3098.81,3.1618,3.1618,771429.10,47820.24
8,13328.85,3091.81,3091.81,3.1457,3.1457,759703.95,47624.67
9,13390.51,3105.81,3105.81,3.1516,3.1516,625440.11,47668.58
10,13471.22,3121.76,3121.76,3.1121,3.1121,1050058.96,47798.66
11,13488.43,3125.64,3125.64,3.0890,3.0890,562361.07,47690.97
12,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?
14,13507.32,3117.50,3117.50,3.0828,3.0828,822780.58,47724.95
15,13534.89,3110.78,3110.78,3.0750,3.0750,928342.45,47346.41
16,13511.23,3117.54,3117.54,3.1097,3.1097,1056221.84,47794.60
17,13596.02,3136.00,3136.00,3.0853,3.0853,753418.07,47936.81
18,13649.70,3134.71,3134.71,3.0925,3.0925,690252.57,48104.67
19,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?
21,?,?,?,3.1351,3.1351,467592.59,48184.37
22,13712.21,3143.18,3143.18,3.1341,3.1341,723437.25,48127.89
23,13779.33,3153.67,3153.67,3.1195,3.1195,1580756.92,47999.21
24,13825.33,3130.38,3130.38,3.1503,3.1503,1380664.64,48203.43
25,13895.98,3149.71,3149.71,3.1186,3.1186,903952.50,47851.99
26,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?
28,13881.93,3154.30,3154.30,3.1074,3.1074,717974.35,47553.14
29,13954.42,3153.66,3153.66,3.1229,3.1229,652528.06,47565.10
30,13910.42,3142.31,3142.31,3.0938,3.0938,1760340.68,47113.08
31,13860.58,3142.13,3142.13,3.0874,3.0874,1656114.57,47011.43
32,14009.79,3179.10,3179.10,3.0744,3.0744,731127.32,47121.08
33,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?
35,13880.08,3131.17,3131.17,3.0563,3.0563,905375.32,46735.25
36,13979.30,3171.58,3171.58,3.0831,3.0831,749558.85,46862.43
37,13986.52,3168.48,3168.48,3.0868,3.0868,895760.96,46341.54
38,13944.05,3165.13,3165.13,3.0886,3.0886,806480.29,46512.72
39,13992.97,3193.87,3193.87,3.1056,3.1056,761456.31,46931.40
40,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?
42,13971.24,3192.00,3192.00,3.0991,3.0991,447440.22,46988.04
43,14018.70,3186.49,3186.49,3.1159,3.1159,1004781.64,46564.61
44,13982.91,3196.88,3196.88,3.1012,3.1012,688687.57,46569.81
45,13973.39,3198.66,3198.66,3.1209,3.1209,703156.49,46360.51
46,13981.76,3192.03,3192.03,3.1398,3.1398,560201.30,46523.63
47,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?
49,?,?,?,3.1410,3.1410,608869.99,46665.39
