%310
@RELATION PLIZNS000022
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,48107.89,3718.83,48389.84,2835.52,1004271.74,431.74,175.31,?,1.74
3,48222.72,3696.13,48505.50,2832.46,1219911.61,731.61,202.04,1.74,1.61
4,47888.16,3651.18,48143.94,2814.73,1206851.64,801.64,195.93,1.61,1.64
5,?,?,?,?,?,?,?,1.64,?
6,?,?,?,?,?,?,?,?,?
7,47589.33,3642.19,47820.24,2793.31,710481.67,411.67,117.66,?,1.67
8,47379.63,3576.33,47624.67,2790.64,1170951.65,581.65,195.66,1.67,1.65
9,47407.28,3508.84,47668.58,2784.62,1323591.71,691.71,222.92,1.65,1.71
10,47546.91,3558.48,47798.66,2800.96,1256061.70,751.70,214.63,1.71,1.70
11,47440.80,3558.82,47690.97,2815.88,1671201.76,821.76,287.54,1.70,1.76
12,?,?,?,?,?,?,?,1.76,?
13,?,?,?,?,?,?,?,?,?
14,47470.12,3578.44,47724.95,2820.74,579611.80,381.80,103.72,?,1.80
15,47086.54,3558.20,47346.41,2817.16,529951.77,311.77,95.01,1.80,1.77
16,47521.39,3558.19,47794.60,2825.40,855901.81,361.81,154.93,1.77,1.81
17,47661.37,3543.16,47936.81,2848.09,443081.79,161.79,79.47,1.81,1.79
18,47813.69,3562.92,48104.67,2864.72,1640501.88,791.88,300.63,1.79,1.88
19,?,?,?,?,?,?,?,1.88,?
20,?,?,?,?,?,?,?,?,?
21,47936.61,3699.59,48184.37,2890.14,1049511.87,651.87,194.14,?,1.87
22,47872.80,3655.10,48127.89,2892.80,417771.79,251.79,76.71,1.87,1.79
23,47733.24,3659.94,47999.21,2890.57,1178021.81,541.81,209.74,1.79,1.81
24,47942.04,3700.17,48203.43,2898.85,624001.80,411.80,111.29,1.81,1.80
25,47613.95,3718.94,47851.99,2897.93,609461.82,281.82,109.30,1.80,1.82
26,?,?,?,?,?,?,?,1.82,?
27,?,?,?,?,?,?,?,?,?
28,47324.06,3735.07,47553.14,2886.17,165001.80,121.80,29.89,?,1.80
29,47328.40,3714.68,47565.10,2878.58,388951.78,261.78,68.69,1.80,1.78
30,46917.19,3756.63,47113.08,2876.68,224431.77,101.77,39.85,1.78,1.77
31,46840.15,3809.65,47011.43,2880.57,469551.79,201.79,83.50,1.77,1.79
32,46945.58,3793.66,47121.08,2883.81,835581.84,341.84,150.80,1.79,1.84
33,?,?,?,?,?,?,?,1.84,?
34,?,?,?,?,?,?,?,?,?
35,46556.55,3715.56,46735.25,2856.17,761411.80,391.80,136.28,?,1.80
36,46674.78,3715.75,46862.43,2843.49,925861.87,541.87,168.61,1.80,1.87
37,46149.14,3658.81,46341.54,2811.05,540891.89,331.89,101.66,1.87,1.89
38,46329.66,3691.32,46512.72,2815.91,343501.90,211.90,64.24,1.89,1.90
39,46741.54,3696.69,46931.40,2825.70,422021.90,221.90,79.16,1.90,1.90
40,?,?,?,?,?,?,?,1.90,?
41,?,?,?,?,?,?,?,?,?
42,46786.74,3695.92,46988.04,2826.84,243321.86,151.86,45.26,?,1.86
43,46399.26,3702.31,46564.61,2821.25,155001.86,141.86,29.01,1.86,1.86
44,46406.74,3714.64,46569.81,2825.02,222951.82,211.82,40.44,1.86,1.82
45,46211.54,3733.52,46360.51,2825.15,1004051.89,411.89,186.51,1.82,1.89
46,46370.13,3763.34,46523.63,2838.22,1832091.94,821.94,349.98,1.89,1.94
47,?,?,?,?,?,?,?,1.94,?
48,?,?,?,?,?,?,?,?,?
49,46508.27,3757.44,46665.39,2848.48,695221.97,481.97,136.46,?,1.97
50,46490.89,3763.52,46652.19,2843.90,258111.97,161.97,50.68,1.97,1.97
51,46051.76,3745.72,46198.42,2831.71,172401.96,121.96,33.82,1.97,1.96
52,45879.90,3760.90,46050.52,2801.83,560002.00,262.00,110.69,1.96,2.00
53,45948.12,3733.92,46124.82,2817.57,1608832.05,682.05,325.74,2.00,2.05
54,?,?,?,?,?,?,?,2.05,?
55,?,?,?,?,?,?,?,?,?
56,46286.28,3698.83,46487.05,2840.57,368352.04,252.04,74.61,?,2.04
57,45868.35,3687.46,46065.85,2831.16,1054842.04,462.04,211.86,2.04,2.04
58,46241.92,3723.24,46459.99,2855.69,878182.07,292.07,180.24,2.04,2.07
59,46280.36,3694.46,46510.83,2865.27,1137482.20,652.20,242.13,2.07,2.20
60,46341.14,3596.60,46622.90,2859.05,1961372.28,752.28,439.13,2.20,2.28
61,?,?,?,?,?,?,?,2.28,?
62,?,?,?,?,?,?,?,?,?
63,46137.70,3528.81,46454.13,2860.68,1032802.24,442.24,233.07,?,2.24
64,46676.09,3522.56,47001.38,2868.06,570502.20,322.20,125.73,2.24,2.20
65,46762.65,3541.17,47090.49,2872.90,609702.26,302.26,136.78,2.20,2.26
66,46745.26,3558.65,47060.66,2873.49,1567812.28,652.28,363.45,2.26,2.28
67,47074.39,3529.57,47436.21,2906.74,1054982.37,612.37,247.52,2.28,2.37
68,?,?,?,?,?,?,?,2.37,?
69,?,?,?,?,?,?,?,?,?
70,46933.03,3595.74,47269.75,2914.24,410982.36,312.36,97.45,?,2.36
71,47010.40,3613.57,47340.43,2911.38,480942.34,532.34,110.52,2.36,2.34
72,46888.37,3595.65,47235.72,2901.67,556202.37,412.37,130.81,2.34,2.37
73,47223.68,3593.14,47606.16,2912.13,467282.37,352.37,110.33,2.37,2.37
74,47125.93,3575.34,47522.10,2909.77,698642.39,432.39,166.91,2.37,2.39
75,?,?,?,?,?,?,?,2.39,?
76,?,?,?,?,?,?,?,?,?
77,46668.41,3531.93,47094.18,2900.59,340642.37,362.37,80.24,?,2.37
78,46029.35,3446.97,46473.62,2868.24,658782.37,482.37,156.12,2.37,2.37
79,46068.24,3416.12,46511.62,2874.75,493252.34,272.34,115.24,2.37,2.34
80,45580.47,3320.24,46017.88,2833.61,725172.30,422.30,164.91,2.34,2.30
81,45066.18,3327.55,45473.08,2800.67,148622.28,152.28,33.98,2.30,2.28
82,?,?,?,?,?,?,?,2.28,?
83,?,?,?,?,?,?,?,?,?
84,44585.10,3387.98,44946.32,2780.21,691962.28,372.28,157.52,?,2.28
85,44724.88,3369.87,45119.16,2774.13,415002.29,182.29,94.51,2.28,2.29
86,45247.90,3430.06,45644.09,2785.46,1567892.40,792.40,365.91,2.29,2.40
87,45147.57,3478.60,45528.85,2797.31,2079502.41,992.41,491.40,2.40,2.41
88,?,?,?,?,?,?,?,2.41,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,45304.74,3523.68,45679.51,2814.33,175022.39,152.39,41.77,?,2.39
93,44604.61,3482.18,44940.36,2769.02,232002.30,192.30,54.25,2.39,2.30
94,44623.89,3486.55,44980.62,2766.19,424742.35,152.35,98.33,2.30,2.35
95,44597.66,3479.32,44960.02,2760.91,441752.32,282.32,101.82,2.35,2.32
96,?,?,?,?,?,?,?,2.32,?
97,?,?,?,?,?,?,?,?,?
98,44590.97,3450.97,44963.96,2764.28,85092.28,152.28,19.40,?,2.28
99,44725.03,3474.49,45096.35,2767.26,111812.33,92.33,25.87,2.28,2.33
100,45091.63,3463.81,45495.34,2780.21,168702.29,172.29,38.74,2.33,2.29
101,45688.48,3504.28,46131.66,2794.43,714112.28,482.28,158.85,2.29,2.28
102,45525.92,3481.04,45960.10,2783.53,431332.33,352.33,99.77,2.28,2.33
103,?,?,?,?,?,?,?,2.33,?
104,?,?,?,?,?,?,?,?,?
105,44724.14,3368.83,45167.65,2754.91,129272.30,152.30,29.69,?,2.30
106,?,?,?,?,?,?,?,2.30,?
107,43916.24,3195.69,44404.81,2705.88,509382.22,352.22,113.36,?,2.22
108,43364.70,3142.65,43850.06,2695.55,168282.18,152.18,37.42,2.22,2.18
109,43447.75,2992.95,43993.98,2685.57,466082.19,342.19,100.98,2.18,2.19
110,?,?,?,?,?,?,?,2.19,?
111,?,?,?,?,?,?,?,?,?
112,43360.30,3007.40,43892.82,2660.28,376442.08,272.08,78.87,?,2.08
113,43159.57,3011.64,43707.88,2624.40,151732.02,212.02,30.84,2.08,2.02
114,43356.73,3012.77,43908.95,2636.70,848792.10,602.10,173.85,2.02,2.10
115,43482.18,2993.56,44027.03,2658.57,1645962.20,782.20,356.71,2.10,2.20
116,43665.21,3051.09,44226.06,2669.93,310002.25,242.25,69.31,2.20,2.25
117,?,?,?,?,?,?,?,2.25,?
118,?,?,?,?,?,?,?,?,?
119,43882.16,3107.87,44420.22,2685.14,646842.33,492.33,148.60,?,2.33
120,44162.18,3270.96,44653.34,2704.84,790052.47,572.47,187.17,2.33,2.47
121,?,?,?,?,?,?,?,2.47,?
122,43991.51,3273.77,44466.89,2695.22,61662.48,142.48,15.23,?,2.48
123,?,?,?,?,?,?,?,2.48,?
124,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?
126,44541.73,3221.83,45060.80,2714.72,122202.47,152.47,29.90,?,2.47
127,44742.22,3278.44,45244.29,2733.96,229632.40,252.40,55.68,2.47,2.40
128,45117.94,3274.88,45647.76,2752.14,308772.38,262.38,73.30,2.40,2.38
129,44943.16,3287.31,45475.08,2760.20,113002.35,82.35,26.69,2.38,2.35
130,44895.35,3305.97,45408.06,2769.85,1179842.30,622.30,269.80,2.35,2.30
131,?,?,?,?,?,?,?,2.30,?
132,?,?,?,?,?,?,?,?,?
133,45207.84,3331.03,45746.01,2790.62,375522.34,292.34,87.88,?,2.34
134,45771.11,3344.63,46336.62,2822.41,392092.36,292.36,92.23,2.34,2.36
135,46102.42,3424.41,46676.61,2848.38,458252.35,332.35,108.56,2.36,2.35
136,45992.03,3377.14,46581.16,2871.70,726482.39,432.39,171.84,2.35,2.39
137,46078.68,3435.39,46646.58,2885.19,669592.38,512.38,159.24,2.39,2.38
138,?,?,?,?,?,?,?,2.38,?
139,?,?,?,?,?,?,?,?,?
140,46041.35,3466.14,46615.31,2921.95,219802.34,162.34,51.75,?,2.34
141,45851.80,3392.40,46439.10,2893.12,313572.34,182.34,73.47,2.34,2.34
142,45933.66,3344.53,46529.96,2912.70,182002.33,92.33,42.39,2.34,2.33
143,45687.76,3276.68,46311.26,2894.53,551672.31,332.31,126.41,2.33,2.31
144,46145.44,3277.81,46783.61,2929.62,614062.31,402.31,139.33,2.31,2.31
145,?,?,?,?,?,?,?,2.31,?
146,?,?,?,?,?,?,?,?,?
147,47277.10,3325.92,47957.54,2976.83,326892.26,242.26,73.88,?,2.26
148,47579.87,3377.00,48258.02,2997.81,645132.20,562.20,143.01,2.26,2.20
149,47476.64,3410.78,48138.07,3000.58,711862.27,552.27,159.48,2.20,2.27
150,?,?,?,?,?,?,?,2.27,?
151,47806.34,3339.97,48503.87,2994.25,991692.32,602.32,225.96,?,2.32
152,?,?,?,?,?,?,?,2.32,?
153,?,?,?,?,?,?,?,?,?
154,47175.79,3252.24,47868.36,2970.24,566022.34,492.34,131.60,?,2.34
155,47620.68,3283.47,48323.88,2998.79,1000512.35,832.35,233.36,2.34,2.35
156,47805.94,3301.92,48513.29,3026.87,742592.35,612.35,173.56,2.35,2.35
157,47573.66,3301.52,48259.19,3020.15,3166892.40,1662.40,753.36,2.35,2.40
158,48209.65,3325.43,48918.37,3044.38,1441542.40,792.40,340.78,2.40,2.40
159,?,?,?,?,?,?,?,2.40,?
160,?,?,?,?,?,?,?,?,?
161,48495.01,3341.26,49207.65,3065.91,925802.32,542.32,217.23,?,2.32
162,48324.52,3317.02,49050.96,3074.89,1079682.34,612.34,250.08,2.32,2.34
163,48383.93,3337.95,49098.70,3098.83,400092.35,252.35,93.61,2.34,2.35
164,48152.82,3294.79,48890.47,3089.32,338922.36,262.36,79.94,2.35,2.36
