%310
@RELATION NL0000474351
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,2568.59,48107.89,48389.84,2835.52,300997.00,4197.00,294.55,?,97.00
3,2588.67,48222.72,48505.50,2832.46,545396.90,4996.90,528.85,97.00,96.90
4,2588.47,47888.16,48143.94,2814.73,318596.90,3496.90,308.69,96.90,96.90
5,?,?,?,?,?,?,?,96.90,?
6,?,?,?,?,?,?,?,?,?
7,2588.96,47589.33,47820.24,2793.31,370594.50,3794.50,358.32,?,94.50
8,2587.38,47379.63,47624.67,2790.64,302793.50,4193.50,284.80,94.50,93.50
9,2573.27,47407.28,47668.58,2784.62,2748090.45,22790.45,2478.76,93.50,90.45
10,2592.53,47546.91,47798.66,2800.96,2369890.40,8990.40,2138.27,90.45,90.40
11,2611.26,47440.80,47690.97,2815.88,2324890.50,10390.50,2105.71,90.40,90.50
12,?,?,?,?,?,?,?,90.50,?
13,?,?,?,?,?,?,?,?,?
14,2605.15,47470.12,47724.95,2820.74,2182090.00,8190.00,1982.82,?,90.00
15,2598.51,47086.54,47346.41,2817.16,163490.45,2890.45,147.88,90.00,90.45
16,2598.53,47521.39,47794.60,2825.40,239190.30,2890.30,216.60,90.45,90.30
17,2618.14,47661.37,47936.81,2848.09,6659090.50,2490.50,6092.29,90.30,90.50
18,2626.72,47813.69,48104.67,2864.72,9519288.90,9788.90,8637.76,90.50,88.90
19,?,?,?,?,?,?,?,88.90,?
20,?,?,?,?,?,?,?,?,?
21,2635.73,47936.61,48184.37,2890.14,49489.00,1389.00,43.97,?,89.00
22,2636.01,47872.80,48127.89,2892.80,796387.50,4287.50,696.53,89.00,87.50
23,2626.76,47733.24,47999.21,2890.57,29588.00,1888.00,25.70,87.50,88.00
24,2646.20,47942.04,48203.43,2898.85,7069192.95,5492.95,6469.34,88.00,92.95
25,2642.64,47613.95,47851.99,2897.93,140292.95,1592.95,130.33,92.95,92.95
26,?,?,?,?,?,?,?,92.95,?
27,?,?,?,?,?,?,?,?,?
28,2637.81,47324.06,47553.14,2886.17,217592.00,1892.00,200.45,?,92.00
29,2623.78,47328.40,47565.10,2878.58,75591.00,2391.00,68.73,92.00,91.00
30,2612.20,46917.19,47113.08,2876.68,1404388.35,1788.35,1284.01,91.00,88.35
31,2597.73,46840.15,47011.43,2880.57,3473487.15,6787.15,3128.51,88.35,87.15
32,2603.21,46945.58,47121.08,2883.81,540489.80,3789.80,483.72,87.15,89.80
33,?,?,?,?,?,?,?,89.80,?
34,?,?,?,?,?,?,?,?,?
35,2609.03,46556.55,46735.25,2856.17,769190.00,5590.00,692.13,?,90.00
36,2595.69,46674.78,46862.43,2843.49,1789.70,289.70,1.52,90.00,89.70
37,2567.59,46149.14,46341.54,2811.05,2257887.95,5987.95,1985.87,89.70,87.95
38,2577.94,46329.66,46512.72,2815.91,86989.80,2389.80,77.21,87.95,89.80
39,2587.53,46741.54,46931.40,2825.70,161289.40,5789.40,144.67,89.80,89.40
40,?,?,?,?,?,?,?,89.40,?
41,?,?,?,?,?,?,?,?,?
42,2593.63,46786.74,46988.04,2826.84,51589.00,1489.00,45.81,?,89.00
43,2581.18,46399.26,46564.61,2821.25,296188.55,1388.55,264.76,89.00,88.55
44,2576.84,46406.74,46569.81,2825.02,229889.05,1589.05,205.68,88.55,89.05
45,2578.13,46211.54,46360.51,2825.15,37889.55,589.55,33.86,89.05,89.55
46,2570.25,46370.13,46523.63,2838.22,3988.50,788.50,3.48,89.55,88.50
47,?,?,?,?,?,?,?,88.50,?
48,?,?,?,?,?,?,?,?,?
49,2580.46,46508.27,46665.39,2848.48,111890.90,3390.90,99.93,?,90.90
50,2566.72,46490.89,46652.19,2843.90,21388.50,988.50,19.18,90.90,88.50
51,2577.60,46051.76,46198.42,2831.71,1887189.00,5189.00,1694.13,88.50,89.00
52,2566.08,45879.90,46050.52,2801.83,80689.20,889.20,71.87,89.00,89.20
53,2577.64,45948.12,46124.82,2817.57,389.20,189.20,0.27,89.20,89.20
54,?,?,?,?,?,?,?,89.20,?
55,?,?,?,?,?,?,?,?,?
56,2602.92,46286.28,46487.05,2840.57,4936588.00,6788.00,4384.32,?,88.00
57,2589.15,45868.35,46065.85,2831.16,307688.75,2888.75,271.72,88.00,88.75
58,2608.94,46241.92,46459.99,2855.69,383388.30,3188.30,339.96,88.75,88.30
59,2608.20,46280.36,46510.83,2865.27,1101188.15,7688.15,979.43,88.30,88.15
60,2626.22,46341.14,46622.90,2859.05,292387.40,3487.40,258.94,88.15,87.40
61,?,?,?,?,?,?,?,87.40,?
62,?,?,?,?,?,?,?,?,?
63,2623.37,46137.70,46454.13,2860.68,251989.00,4489.00,223.21,?,89.00
64,2628.44,46676.09,47001.38,2868.06,43387.85,1587.85,38.08,89.00,87.85
65,2632.38,46762.65,47090.49,2872.90,1171887.60,4987.60,1039.18,87.85,87.60
66,2653.74,46745.26,47060.66,2873.49,35288.00,1588.00,30.96,87.60,88.00
67,2675.88,47074.39,47436.21,2906.74,2289089.55,3089.55,2043.77,88.00,89.55
68,?,?,?,?,?,?,?,89.55,?
69,?,?,?,?,?,?,?,?,?
70,2678.09,46933.03,47269.75,2914.24,188890.00,3790.00,169.76,?,90.00
71,2689.51,47010.40,47340.43,2911.38,98289.90,1889.90,88.35,90.00,89.90
72,2687.66,46888.37,47235.72,2901.67,45688.60,1488.60,40.72,89.90,88.60
73,2687.81,47223.68,47606.16,2912.13,186589.80,1589.80,165.50,88.60,89.80
74,2708.28,47125.93,47522.10,2909.77,27089.05,789.05,24.08,89.80,89.05
75,?,?,?,?,?,?,?,89.05,?
76,?,?,?,?,?,?,?,?,?
77,2718.31,46668.41,47094.18,2900.59,103090.00,1590.00,92.29,?,90.00
78,2658.94,46029.35,46473.62,2868.24,3109089.60,31889.60,2877.90,90.00,89.60
79,2663.64,46068.24,46511.62,2874.75,661290.00,8490.00,595.89,89.60,90.00
80,2635.54,45580.47,46017.88,2833.61,798488.65,9888.65,715.50,90.00,88.65
81,2596.69,45066.18,45473.08,2800.67,653188.50,17388.50,574.78,88.65,88.50
82,?,?,?,?,?,?,?,88.50,?
83,?,?,?,?,?,?,?,?,?
84,2576.73,44585.10,44946.32,2780.21,762188.50,3888.50,669.16,?,88.50
85,2578.94,44724.88,45119.16,2774.13,998787.00,6187.00,875.29,88.50,87.00
86,2601.44,45247.90,45644.09,2785.46,373986.35,6686.35,327.47,87.00,86.35
87,2624.74,45147.57,45528.85,2797.31,405586.10,4486.10,358.15,86.35,86.10
88,?,?,?,?,?,?,?,86.10,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,2643.63,45304.74,45679.51,2814.33,268585.95,5085.95,232.04,?,85.95
93,2608.26,44604.61,44940.36,2769.02,103785.05,1985.05,89.57,85.95,85.05
94,2594.74,44623.89,44980.62,2766.19,4129886.50,4886.50,3472.78,85.05,86.50
95,2572.61,44597.66,44960.02,2760.91,192584.75,3184.75,165.15,86.50,84.75
96,?,?,?,?,?,?,?,84.75,?
97,?,?,?,?,?,?,?,?,?
98,2582.59,44590.97,44963.96,2764.28,111486.00,2086.00,95.95,?,86.00
99,2592.09,44725.03,45096.35,2767.26,133985.90,1985.90,113.90,86.00,85.90
100,2601.25,45091.63,45495.34,2780.21,31085.80,1685.80,26.38,85.90,85.80
101,2623.22,45688.48,46131.66,2794.43,39186.45,1686.45,33.65,85.80,86.45
102,2630.40,45525.92,45960.10,2783.53,96187.95,1887.95,82.52,86.45,87.95
103,?,?,?,?,?,?,?,87.95,?
104,?,?,?,?,?,?,?,?,?
105,2587.31,44724.14,45167.65,2754.91,4588.00,688.00,3.96,?,88.00
106,?,?,?,?,?,?,?,88.00,?
107,2555.73,43916.24,44404.81,2705.88,360888.00,4288.00,312.12,?,88.00
108,2520.54,43364.70,43850.06,2695.55,1343285.55,3385.55,1160.45,88.00,85.55
109,2522.32,43447.75,43993.98,2685.57,73187.98,1187.98,63.68,85.55,87.98
110,?,?,?,?,?,?,?,87.98,?
111,?,?,?,?,?,?,?,?,?
112,2499.84,43360.30,43892.82,2660.28,11686.91,1386.91,10.16,?,86.91
113,2471.39,43159.57,43707.88,2624.40,83186.99,1586.99,71.80,86.91,86.99
114,2472.28,43356.73,43908.95,2636.70,47986.99,786.99,41.71,86.99,86.99
115,2492.91,43482.18,44027.03,2658.57,91086.46,1486.46,79.13,86.99,86.46
116,2520.03,43665.21,44226.06,2669.93,109287.40,1087.40,94.71,86.46,87.40
117,?,?,?,?,?,?,?,87.40,?
118,?,?,?,?,?,?,?,?,?
119,2537.81,43882.16,44420.22,2685.14,40087.50,687.50,34.96,?,87.50
120,2550.91,44162.18,44653.34,2704.84,1584181.00,20281.00,1275.27,87.50,81.00
121,?,?,?,?,?,?,?,81.00,?
122,2543.60,43991.51,44466.89,2695.22,152979.90,6079.90,122.52,?,79.90
123,?,?,?,?,?,?,?,79.90,?
124,?,?,?,?,?,?,?,?,?
