%310
@RELATION PLINSTL00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1718.26,48389.84,2835.52,535630.60,260.60,31.01,?,0.60
3,783.15,48222.72,1714.83,48505.50,2832.46,145300.57,160.57,8.38,0.60,0.57
4,781.69,47888.16,1719.23,48143.94,2814.73,4000.56,30.56,0.23,0.57,0.56
5,?,?,?,?,?,?,?,?,0.56,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1719.82,47820.24,2793.31,363700.59,150.59,20.12,?,0.59
8,780.70,47379.63,1714.18,47624.67,2790.64,306070.57,140.57,17.16,0.59,0.57
9,784.82,47407.28,1722.98,47668.58,2784.62,500.57,10.57,0.03,0.57,0.57
10,788.85,47546.91,1717.51,47798.66,2800.96,91580.57,80.57,5.12,0.57,0.57
11,795.36,47440.80,1761.65,47690.97,2815.88,46950.59,80.59,2.70,0.57,0.59
12,?,?,?,?,?,?,?,?,0.59,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1787.10,47724.95,2820.74,470790.60,200.60,28.40,?,0.60
15,794.59,47086.54,1789.24,47346.41,2817.16,143300.60,90.60,8.33,0.60,0.60
16,796.34,47521.39,1813.57,47794.60,2825.40,70800.59,40.59,4.18,0.60,0.59
17,803.56,47661.37,1796.76,47936.81,2848.09,85060.60,60.60,5.10,0.59,0.60
18,807.72,47813.69,1830.45,48104.67,2864.72,43500.60,30.60,2.61,0.60,0.60
19,?,?,?,?,?,?,?,?,0.60,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1829.00,48184.37,2890.14,1160.60,30.60,0.07,?,0.60
22,808.23,47872.80,1822.02,48127.89,2892.80,22930.59,50.59,1.33,0.60,0.59
23,808.40,47733.24,1819.73,47999.21,2890.57,150.59,10.59,0.01,0.59,0.59
24,811.80,47942.04,1794.79,48203.43,2898.85,61990.59,40.59,3.67,0.59,0.59
25,812.99,47613.95,1818.33,47851.99,2897.93,565780.62,230.62,33.53,0.59,0.62
26,?,?,?,?,?,?,?,?,0.62,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1811.61,47553.14,2886.17,120000.62,190.62,7.43,?,0.62
29,815.93,47328.40,1804.79,47565.10,2878.58,21000.60,50.60,1.26,0.62,0.60
30,815.59,46917.19,1825.50,47113.08,2876.68,115580.58,100.58,6.74,0.60,0.58
31,817.14,46840.15,1817.11,47011.43,2880.57,32830.58,50.58,1.87,0.58,0.58
32,818.68,46945.58,1834.26,47121.08,2883.81,1010.57,20.57,0.06,0.58,0.57
33,?,?,?,?,?,?,?,?,0.57,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1819.69,46735.25,2856.17,700.56,20.56,0.04,?,0.56
36,816.68,46674.78,1784.50,46862.43,2843.49,596520.56,130.56,32.91,0.56,0.56
37,813.75,46149.14,1779.66,46341.54,2811.05,29300.56,40.56,1.67,0.56,0.56
38,811.13,46329.66,1758.77,46512.72,2815.91,100.57,10.57,0.01,0.56,0.57
39,813.77,46741.54,1769.71,46931.40,2825.70,20100.56,20.56,1.13,0.57,0.56
40,?,?,?,?,?,?,?,?,0.56,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1762.40,46988.04,2826.84,39400.55,60.55,2.19,?,0.55
43,817.32,46399.26,1785.06,46564.61,2821.25,32200.55,40.55,1.77,0.55,0.55
44,817.35,46406.74,1780.69,46569.81,2825.02,30350.55,20.55,1.67,0.55,0.55
45,818.81,46211.54,1783.79,46360.51,2825.15,74290.56,30.56,4.14,0.55,0.56
46,826.73,46370.13,1804.96,46523.63,2838.22,8830.56,20.56,0.49,0.56,0.56
47,?,?,?,?,?,?,?,?,0.56,?
48,?,?,?,?,?,?,?,?,?,?
