%310
@RELATION PLSWMED00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,27030290.62,5620.62,1649.09,?,0.62
3,783.15,48222.72,48505.50,8052880.62,2250.62,492.80,0.62,0.62
4,781.69,47888.16,48143.94,1706600.59,730.59,102.46,0.62,0.59
5,?,?,?,?,?,?,0.59,?
6,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,954600.58,460.58,55.69,?,0.58
8,780.70,47379.63,47624.67,3365450.63,1350.63,204.23,0.58,0.63
9,784.82,47407.28,47668.58,5495190.62,1550.62,347.97,0.63,0.62
10,788.85,47546.91,47798.66,1566730.62,550.62,96.06,0.62,0.62
11,795.36,47440.80,47690.97,7097680.65,1890.65,451.11,0.62,0.65
12,?,?,?,?,?,?,0.65,?
13,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,9647970.70,3260.70,679.19,?,0.70
15,794.59,47086.54,47346.41,4414770.68,1430.68,300.00,0.70,0.68
16,796.34,47521.39,47794.60,1232110.69,600.69,82.54,0.68,0.69
17,803.56,47661.37,47936.81,1464830.69,670.69,100.32,0.69,0.69
18,807.72,47813.69,48104.67,2863970.68,940.68,195.74,0.69,0.68
19,?,?,?,?,?,?,0.68,?
20,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,1051040.67,430.67,70.65,?,0.67
22,808.23,47872.80,48127.89,2204270.65,720.65,143.85,0.67,0.65
23,808.40,47733.24,47999.21,2354310.64,710.64,147.99,0.65,0.64
24,811.80,47942.04,48203.43,1426700.65,450.65,91.78,0.64,0.65
25,812.99,47613.95,47851.99,852170.64,330.64,54.81,0.65,0.64
26,?,?,?,?,?,?,0.64,?
27,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2220660.64,630.64,143.74,?,0.64
29,815.93,47328.40,47565.10,491710.64,150.64,31.40,0.64,0.64
30,815.59,46917.19,47113.08,830790.63,150.63,52.34,0.64,0.63
31,817.14,46840.15,47011.43,688880.61,350.61,42.44,0.63,0.61
32,818.68,46945.58,47121.08,410800.62,180.62,25.22,0.61,0.62
33,?,?,?,?,?,?,0.62,?
34,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,1155340.59,480.59,68.70,?,0.59
36,816.68,46674.78,46862.43,507830.58,140.58,29.65,0.59,0.58
37,813.75,46149.14,46341.54,708880.61,440.61,42.32,0.58,0.61
38,811.13,46329.66,46512.72,130180.61,90.61,7.83,0.61,0.61
39,813.77,46741.54,46931.40,302320.62,210.62,18.33,0.61,0.62
40,?,?,?,?,?,?,0.62,?
41,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,3307120.57,930.57,191.14,?,0.57
43,817.32,46399.26,46564.61,830750.56,450.56,46.56,0.57,0.56
44,817.35,46406.74,46569.81,2604310.54,860.54,137.45,0.56,0.54
45,818.81,46211.54,46360.51,870680.52,330.52,45.23,0.54,0.52
46,826.73,46370.13,46523.63,625120.54,410.54,32.79,0.52,0.54
47,?,?,?,?,?,?,0.54,?
48,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,858780.54,450.54,45.84,?,0.54
50,832.30,46490.89,46652.19,1109190.52,300.52,57.91,0.54,0.52
51,830.62,46051.76,46198.42,4981890.53,1260.53,268.51,0.52,0.53
52,823.32,45879.90,46050.52,845480.52,300.52,44.48,0.53,0.52
53,826.66,45948.12,46124.82,911740.52,310.52,47.36,0.52,0.52
54,?,?,?,?,?,?,0.52,?
55,?,?,?,?,?,?,?,?
56,829.61,46286.28,46487.05,694470.55,290.55,37.19,?,0.55
57,828.81,45868.35,46065.85,660420.55,280.55,35.61,0.55,0.55
58,836.69,46241.92,46459.99,2147140.57,1050.57,120.16,0.55,0.57
59,844.08,46280.36,46510.83,4888020.61,1630.61,288.88,0.57,0.61
60,842.02,46341.14,46622.90,5150300.61,1860.61,315.79,0.61,0.61
61,?,?,?,?,?,?,0.61,?
62,?,?,?,?,?,?,?,?
63,838.26,46137.70,46454.13,993850.61,540.61,60.34,?,0.61
64,845.88,46676.09,47001.38,2097730.63,860.63,130.16,0.61,0.63
65,849.88,46762.65,47090.49,1046930.61,540.61,63.96,0.63,0.61
66,855.99,46745.26,47060.66,1322080.60,410.60,80.68,0.61,0.60
67,861.67,47074.39,47436.21,353080.61,180.61,21.24,0.60,0.61
68,?,?,?,?,?,?,0.61,?
69,?,?,?,?,?,?,?,?
70,863.89,46933.03,47269.75,736660.61,270.61,44.88,?,0.61
71,866.79,47010.40,47340.43,2903330.63,1120.63,180.73,0.61,0.63
72,872.90,46888.37,47235.72,41785460.73,8750.73,2977.94,0.63,0.73
73,871.52,47223.68,47606.16,11335650.70,2710.70,814.21,0.73,0.70
74,873.21,47125.93,47522.10,4276310.70,1330.70,295.03,0.70,0.70
75,?,?,?,?,?,?,0.70,?
76,?,?,?,?,?,?,?,?
77,868.37,46668.41,47094.18,3204070.71,1200.71,227.50,?,0.71
78,864.73,46029.35,46473.62,3208900.68,990.68,221.38,0.71,0.68
79,862.97,46068.24,46511.62,5631270.66,1410.66,369.91,0.68,0.66
80,850.86,45580.47,46017.88,2336190.64,770.64,148.54,0.66,0.64
81,845.32,45066.18,45473.08,902950.63,480.63,55.88,0.64,0.63
82,?,?,?,?,?,?,0.63,?
83,?,?,?,?,?,?,?,?
84,839.36,44585.10,44946.32,4539280.60,1510.60,281.77,?,0.60
85,830.80,44724.88,45119.16,3553600.62,1250.62,213.44,0.60,0.62
86,835.51,45247.90,45644.09,1551550.62,600.62,94.78,0.62,0.62
87,839.42,45147.57,45528.85,459230.62,210.62,28.08,0.62,0.62
88,?,?,?,?,?,?,0.62,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,840.31,45304.74,45679.51,1274990.61,480.61,76.94,?,0.61
93,828.79,44604.61,44940.36,829360.60,370.60,49.16,0.61,0.60
94,824.35,44623.89,44980.62,1412540.59,340.59,83.29,0.60,0.59
95,819.73,44597.66,44960.02,1764610.60,530.60,105.42,0.59,0.60
96,?,?,?,?,?,?,0.60,?
