%310
@RELATION WIG-TELKOM
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,13412.55,3112.26,3112.26,?,?,49897.04,1110.65
3,13391.36,3100.57,3100.57,3.1005,3.1005,74490.88,1112.25
4,13435.21,3101.66,3101.66,3.1700,3.1700,57967.79,1140.70
5,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?
7,13384.29,3098.81,3098.81,3.1618,3.1618,46869.32,1164.05
8,13328.85,3091.81,3091.81,3.1457,3.1457,58970.10,1155.92
9,13390.51,3105.81,3105.81,3.1516,3.1516,29033.02,1155.75
10,13471.22,3121.76,3121.76,3.1121,3.1121,29335.26,1159.85
11,13488.43,3125.64,3125.64,3.0890,3.0890,24036.18,1157.18
12,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?
14,13507.32,3117.50,3117.50,3.0828,3.0828,38909.54,1156.90
15,13534.89,3110.78,3110.78,3.0750,3.0750,20736.78,1158.87
16,13511.23,3117.54,3117.54,3.1097,3.1097,45773.88,1149.07
17,13596.02,3136.00,3136.00,3.0853,3.0853,40290.46,1148.82
18,13649.70,3134.71,3134.71,3.0925,3.0925,27192.44,1163.21
19,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?
21,?,?,?,3.1351,3.1351,16102.46,1156.23
22,13712.21,3143.18,3143.18,3.1341,3.1341,31880.02,1129.52
23,13779.33,3153.67,3153.67,3.1195,3.1195,23480.43,1110.91
24,13825.33,3130.38,3130.38,3.1503,3.1503,28224.69,1117.39
25,13895.98,3149.71,3149.71,3.1186,3.1186,27923.65,1095.11
26,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?
28,13881.93,3154.30,3154.30,3.1074,3.1074,31102.73,1099.98
29,13954.42,3153.66,3153.66,3.1229,3.1229,44670.77,1099.53
30,13910.42,3142.31,3142.31,3.0938,3.0938,24650.12,1096.62
31,13860.58,3142.13,3142.13,3.0874,3.0874,37402.32,1100.15
32,14009.79,3179.10,3179.10,3.0744,3.0744,28135.84,1100.07
33,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?
35,13880.08,3131.17,3131.17,3.0563,3.0563,18970.65,1077.39
36,13979.30,3171.58,3171.58,3.0831,3.0831,38654.30,1070.67
37,13986.52,3168.48,3168.48,3.0868,3.0868,62827.42,1072.62
38,13944.05,3165.13,3165.13,3.0886,3.0886,18977.13,1063.99
39,13992.97,3193.87,3193.87,3.1056,3.1056,24535.35,1073.94
40,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?
42,13971.24,3192.00,3192.00,3.0991,3.0991,26670.86,1067.89
43,14018.70,3186.49,3186.49,3.1159,3.1159,332168.29,805.51
44,13982.91,3196.88,3196.88,3.1012,3.1012,144603.87,759.92
45,13973.39,3198.66,3198.66,3.1209,3.1209,120149.03,708.33
46,13981.76,3192.03,3192.03,3.1398,3.1398,45119.89,715.00
47,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?
49,?,?,?,3.1410,3.1410,31310.37,733.16
50,14035.67,3213.59,3213.59,3.1360,3.1360,32654.78,720.22
51,13927.54,3164.41,3164.41,3.1002,3.1002,30416.89,710.62
52,13880.62,3131.49,3131.49,3.1633,3.1633,30052.72,693.28
53,14000.57,3161.82,3161.82,3.1443,3.1443,21685.51,691.78
54,?,?,?,?,?,?,?
55,?,?,?,?,?,?,?
56,13784.17,3116.25,3116.25,3.1412,3.1412,11973.98,704.50
57,13900.13,3129.65,3129.65,3.1733,3.1733,22447.57,709.00
58,14075.37,3162.26,3162.26,3.1841,3.1841,18721.19,706.84
59,14054.49,3160.19,3160.19,3.1679,3.1679,24453.72,721.89
60,14089.66,3169.74,3169.74,3.1769,3.1769,64144.01,759.73
61,?,?,?,?,?,?,?
62,?,?,?,?,?,?,?
63,14127.82,3182.03,3182.03,3.1837,3.1837,40977.54,761.79
64,14253.77,3224.13,3224.13,3.1665,3.1665,46072.42,757.35
65,14296.24,3222.36,3222.36,3.1660,3.1660,41481.50,755.78
66,14329.49,3232.09,3232.09,3.1808,3.1808,26950.28,741.77
67,14397.07,3244.37,3244.37,3.1690,3.1690,24499.63,747.40
68,?,?,?,?,?,?,?
69,?,?,?,?,?,?,?
70,14447.29,3252.87,3252.87,3.1828,3.1828,18175.28,735.64
71,14450.06,3242.32,3242.32,3.1887,3.1887,13913.61,731.42
72,14455.28,3245.12,3245.12,3.1863,3.1863,42234.28,717.76
73,14539.14,3258.93,3258.93,3.2000,3.2000,35081.36,723.75
74,14514.11,3249.07,3249.07,3.1868,3.1868,58516.57,710.13
75,?,?,?,?,?,?,?
76,?,?,?,?,?,?,?
77,14452.06,3237.59,3237.59,3.2015,3.2015,13514.62,715.27
78,14455.82,3229.10,3229.10,3.2055,3.2055,25940.21,697.24
79,14511.73,3254.19,3254.19,3.2169,3.2169,29165.52,701.57
80,14421.49,3222.60,3222.60,3.2387,3.2387,32482.55,707.10
81,14512.03,3245.00,3245.00,3.2361,3.2361,18109.30,702.85
82,?,?,?,?,?,?,?
83,?,?,?,?,?,?,?
84,14447.75,3235.30,3235.30,3.1950,3.1950,20388.86,691.40
85,14559.65,3252.48,3252.48,3.2427,3.2427,22203.89,675.27
86,14526.16,3256.52,3256.52,3.2635,3.2635,25074.43,674.59
87,14578.54,3267.52,3267.52,3.2773,3.2773,13319.34,691.67
88,?,?,?,3.2590,3.2590,?,?
89,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?
91,14572.85,3239.17,3239.17,?,?,?,?
92,14662.01,3254.86,3254.86,3.2552,3.2552,14137.72,696.21
93,14550.35,3218.60,3218.60,3.2693,3.2693,13471.36,674.57
94,14606.11,3224.98,3224.98,3.2750,3.2750,15201.35,680.71
95,14565.25,3203.86,3203.86,3.2358,3.2358,12018.07,669.97
96,?,?,?,?,?,?,?
97,?,?,?,?,?,?,?
98,14613.48,3222.25,3222.25,3.1893,3.1893,21548.44,662.84
99,14673.46,3237.86,3237.86,3.1696,3.1696,12747.80,660.43
100,14802.24,3297.25,3297.25,3.1405,3.1405,23024.48,658.54
101,14865.14,3300.16,3300.16,3.1382,3.1382,19159.20,671.29
102,14865.06,3294.95,3294.95,3.1537,3.1537,23112.08,691.90
103,?,?,?,?,?,?,?
104,?,?,?,?,?,?,?
105,14599.20,3216.49,3216.49,3.1502,3.1502,15865.65,689.59
106,14756.78,3264.63,3264.63,3.1559,3.1559,?,?
107,14618.59,3204.67,3204.67,3.1159,3.1159,37631.83,691.29
108,14537.14,3166.36,3166.36,3.1529,3.1529,30304.46,677.37
109,14547.51,3206.06,3206.06,3.1409,3.1409,13283.41,688.33
110,?,?,?,?,?,?,?
111,?,?,?,?,?,?,?
112,14567.17,3233.55,3233.55,3.1448,3.1448,6193.37,687.75
113,14719.46,3269.33,3269.33,3.1811,3.1811,75019.50,689.86
114,14676.30,3269.65,3269.65,3.1823,3.1823,61990.23,688.51
115,14700.80,3289.99,3289.99,3.1792,3.1792,22148.01,687.54
116,14712.55,3279.26,3279.26,3.1943,3.1943,5711.28,688.39
117,?,?,?,?,?,?,?
118,?,?,?,?,?,?,?
119,14818.75,3307.02,3307.02,3.1712,3.1712,106305.86,693.53
120,14839.80,3328.79,3328.79,3.1721,3.1721,56583.27,717.51
121,14700.95,3299.13,3299.13,?,?,?,?
122,14831.58,3340.62,3340.62,3.1492,3.1492,32832.63,745.56
123,14973.96,3378.63,3378.63,?,?,?,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,14968.89,3392.97,3392.97,3.1646,3.1646,23438.51,754.94
127,15056.20,3396.63,3396.63,3.1767,3.1767,19196.26,740.27
128,15105.12,3413.27,3413.27,3.1609,3.1609,8403.94,753.37
129,15082.62,3409.17,3409.17,3.1392,3.1392,20335.85,761.78
130,15118.49,3436.58,3436.58,3.1861,3.1861,7770.31,761.07
131,?,?,?,?,?,?,?
132,?,?,?,?,?,?,?
133,15091.68,3438.79,3438.79,3.2051,3.2051,14419.76,770.18
134,15215.25,3462.61,3462.61,3.1998,3.1998,27886.68,796.41
135,15275.69,3471.62,3471.62,3.2340,3.2340,21874.64,790.53
136,15233.22,3465.24,3465.24,3.2521,3.2521,37378.17,782.75
137,15354.40,3498.97,3498.97,3.2520,3.2520,10120.60,780.26
138,?,?,?,?,?,?,?
139,?,?,?,?,?,?,?
140,15335.28,3496.43,3496.43,3.2380,3.2380,11375.04,782.37
141,15387.58,3502.12,3502.12,3.2490,3.2490,11376.65,770.66
142,15307.17,3463.30,3463.30,3.2322,3.2322,25026.35,760.17
143,15294.50,3459.42,3459.42,3.2587,3.2587,25326.52,761.62
144,15303.10,3459.14,3459.14,3.2400,3.2400,10979.77,778.68
145,?,?,?,?,?,?,?
146,?,?,?,?,?,?,?
147,?,?,?,3.2416,3.2416,21725.55,803.36
148,15409.39,3488.89,3488.89,3.2465,3.2465,20100.54,804.57
149,15302.80,3467.52,3467.52,3.2831,3.2831,21432.75,812.52
150,15324.53,3491.30,3491.30,?,?,?,?
151,15115.57,3455.91,3455.91,3.2953,3.2953,54035.38,812.32
152,?,?,?,?,?,?,?
153,?,?,?,?,?,?,?
154,15254.03,3465.37,3465.37,3.2865,3.2865,21362.02,790.31
155,15177.54,3445.26,3445.26,3.2524,3.2524,24015.77,787.69
156,14960.59,3401.48,3401.48,3.2421,3.2421,27747.67,788.29
157,15040.62,3424.05,3424.05,3.2564,3.2564,24061.74,795.07
158,15248.12,3469.22,3469.22,3.2545,3.2545,14924.08,797.69
159,?,?,?,?,?,?,?
160,?,?,?,?,?,?,?
161,15238.59,3473.77,3473.77,3.2210,3.2210,15430.60,801.50
162,15122.02,3436.95,3436.95,3.2201,3.2201,41270.78,807.77
