%310
@RELATION sWIG80
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,13412.55,3112.26,3112.26,?,?,37332.96,10531.27
3,13391.36,3100.57,3100.57,3.1005,3.1005,30976.55,10554.18
4,13435.21,3101.66,3101.66,3.1700,3.1700,31108.35,10519.33
5,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?
7,13384.29,3098.81,3098.81,3.1618,3.1618,19755.57,10488.60
8,13328.85,3091.81,3091.81,3.1457,3.1457,22574.02,10500.71
9,13390.51,3105.81,3105.81,3.1516,3.1516,20229.95,10503.06
10,13471.22,3121.76,3121.76,3.1121,3.1121,37036.80,10496.80
11,13488.43,3125.64,3125.64,3.0890,3.0890,38529.01,10595.04
12,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?
14,13507.32,3117.50,3117.50,3.0828,3.0828,37459.16,10637.07
15,13534.89,3110.78,3110.78,3.0750,3.0750,31773.00,10638.06
16,13511.23,3117.54,3117.54,3.1097,3.1097,30710.08,10673.05
17,13596.02,3136.00,3136.00,3.0853,3.0853,55567.37,10767.29
18,13649.70,3134.71,3134.71,3.0925,3.0925,44457.85,10903.93
19,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?
21,?,?,?,3.1351,3.1351,31286.09,11030.02
22,13712.21,3143.18,3143.18,3.1341,3.1341,42190.69,11073.63
23,13779.33,3153.67,3153.67,3.1195,3.1195,32495.91,11071.80
24,13825.33,3130.38,3130.38,3.1503,3.1503,43100.79,11108.21
25,13895.98,3149.71,3149.71,3.1186,3.1186,36634.40,11174.05
26,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?
28,13881.93,3154.30,3154.30,3.1074,3.1074,32230.01,11144.27
29,13954.42,3153.66,3153.66,3.1229,3.1229,21207.44,11165.66
30,13910.42,3142.31,3142.31,3.0938,3.0938,19433.15,11183.61
31,13860.58,3142.13,3142.13,3.0874,3.0874,35015.06,11245.80
32,14009.79,3179.10,3179.10,3.0744,3.0744,14871.68,11241.00
33,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?
35,13880.08,3131.17,3131.17,3.0563,3.0563,22307.92,11191.08
36,13979.30,3171.58,3171.58,3.0831,3.0831,21981.71,11060.84
37,13986.52,3168.48,3168.48,3.0868,3.0868,32322.31,10953.57
38,13944.05,3165.13,3165.13,3.0886,3.0886,15215.13,10950.03
39,13992.97,3193.87,3193.87,3.1056,3.1056,19140.10,10986.53
40,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?
42,13971.24,3192.00,3192.00,3.0991,3.0991,16929.16,10947.75
43,14018.70,3186.49,3186.49,3.1159,3.1159,30227.00,10981.98
44,13982.91,3196.88,3196.88,3.1012,3.1012,20336.93,11022.58
45,13973.39,3198.66,3198.66,3.1209,3.1209,37892.36,11017.48
46,13981.76,3192.03,3192.03,3.1398,3.1398,19774.78,11071.18
47,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?
49,?,?,?,3.1410,3.1410,32230.26,11089.91
50,14035.67,3213.59,3213.59,3.1360,3.1360,32528.20,11119.72
51,13927.54,3164.41,3164.41,3.1002,3.1002,31879.34,11014.53
52,13880.62,3131.49,3131.49,3.1633,3.1633,24952.86,10948.88
53,14000.57,3161.82,3161.82,3.1443,3.1443,38182.42,10985.79
54,?,?,?,?,?,?,?
55,?,?,?,?,?,?,?
56,13784.17,3116.25,3116.25,3.1412,3.1412,22096.62,11033.69
57,13900.13,3129.65,3129.65,3.1733,3.1733,21428.52,10972.28
58,14075.37,3162.26,3162.26,3.1841,3.1841,22589.08,11039.20
59,14054.49,3160.19,3160.19,3.1679,3.1679,49407.34,11052.03
60,14089.66,3169.74,3169.74,3.1769,3.1769,28806.82,11010.83
61,?,?,?,?,?,?,?
62,?,?,?,?,?,?,?
63,14127.82,3182.03,3182.03,3.1837,3.1837,35109.34,10998.55
64,14253.77,3224.13,3224.13,3.1665,3.1665,30766.86,10997.33
65,14296.24,3222.36,3222.36,3.1660,3.1660,39356.85,11042.47
66,14329.49,3232.09,3232.09,3.1808,3.1808,35987.27,11042.08
67,14397.07,3244.37,3244.37,3.1690,3.1690,30242.80,11119.06
68,?,?,?,?,?,?,?
69,?,?,?,?,?,?,?
70,14447.29,3252.87,3252.87,3.1828,3.1828,24598.71,11133.10
71,14450.06,3242.32,3242.32,3.1887,3.1887,25153.90,11150.86
72,14455.28,3245.12,3245.12,3.1863,3.1863,28152.72,11194.08
73,14539.14,3258.93,3258.93,3.2000,3.2000,30343.08,11231.22
74,14514.11,3249.07,3249.07,3.1868,3.1868,32783.84,11228.39
75,?,?,?,?,?,?,?
76,?,?,?,?,?,?,?
77,14452.06,3237.59,3237.59,3.2015,3.2015,28889.67,11190.20
78,14455.82,3229.10,3229.10,3.2055,3.2055,28562.69,11135.62
79,14511.73,3254.19,3254.19,3.2169,3.2169,32778.60,11168.63
80,14421.49,3222.60,3222.60,3.2387,3.2387,35015.77,11069.03
81,14512.03,3245.00,3245.00,3.2361,3.2361,42145.68,10908.77
82,?,?,?,?,?,?,?
83,?,?,?,?,?,?,?
84,14447.75,3235.30,3235.30,3.1950,3.1950,45466.68,10899.26
85,14559.65,3252.48,3252.48,3.2427,3.2427,30779.46,10815.43
86,14526.16,3256.52,3256.52,3.2635,3.2635,34042.49,10867.86
87,14578.54,3267.52,3267.52,3.2773,3.2773,41056.15,10938.55
88,?,?,?,3.2590,3.2590,?,?
89,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?
91,14572.85,3239.17,3239.17,?,?,?,?
92,14662.01,3254.86,3254.86,3.2552,3.2552,29872.61,10998.70
93,14550.35,3218.60,3218.60,3.2693,3.2693,40802.89,10809.87
94,14606.11,3224.98,3224.98,3.2750,3.2750,29284.02,10817.23
