%310
@RELATION PLVTGDL00010
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1438.45,48389.84,2835.52,87121.32,181.32,11.38,?,1.32
3,783.15,48222.72,1422.15,48505.50,2832.46,95171.37,131.37,12.55,1.32,1.37
4,781.69,47888.16,1424.57,48143.94,2814.73,203501.38,241.38,27.88,1.37,1.38
5,?,?,?,?,?,?,?,?,1.38,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1408.87,47820.24,2793.31,122021.38,91.38,16.84,?,1.38
8,780.70,47379.63,1416.22,47624.67,2790.64,126221.37,71.37,17.36,1.38,1.37
9,784.82,47407.28,1418.24,47668.58,2784.62,115881.40,101.40,16.15,1.37,1.40
10,788.85,47546.91,1427.00,47798.66,2800.96,21101.37,21.37,2.89,1.40,1.37
11,795.36,47440.80,1431.50,47690.97,2815.88,3251.40,21.40,0.45,1.37,1.40
12,?,?,?,?,?,?,?,?,1.40,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1429.59,47724.95,2820.74,8601.40,51.40,1.20,?,1.40
15,794.59,47086.54,1424.03,47346.41,2817.16,159011.49,231.49,22.50,1.40,1.49
16,796.34,47521.39,1459.06,47794.60,2825.40,63131.49,111.49,9.23,1.49,1.49
17,803.56,47661.37,1480.62,47936.81,2848.09,43821.49,121.49,6.40,1.49,1.49
18,807.72,47813.69,1463.04,48104.67,2864.72,127621.49,201.49,18.63,1.49,1.49
19,?,?,?,?,?,?,?,?,1.49,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1473.28,48184.37,2890.14,31301.48,81.48,4.63,?,1.48
22,808.23,47872.80,1474.10,48127.89,2892.80,12201.48,41.48,1.81,1.48,1.48
23,808.40,47733.24,1466.26,47999.21,2890.57,84481.46,111.46,12.31,1.48,1.46
24,811.80,47942.04,1462.14,48203.43,2898.85,51.48,11.48,0.01,1.46,1.48
25,812.99,47613.95,1453.75,47851.99,2897.93,33801.45,51.45,4.89,1.48,1.45
26,?,?,?,?,?,?,?,?,1.45,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1428.40,47553.14,2886.17,58431.47,121.47,8.35,?,1.47
29,815.93,47328.40,1414.71,47565.10,2878.58,4801.47,61.47,0.71,1.47,1.47
30,815.59,46917.19,1409.63,47113.08,2876.68,3751.47,41.47,0.54,1.47,1.47
31,817.14,46840.15,1412.77,47011.43,2880.57,11821.44,71.44,1.69,1.47,1.44
32,818.68,46945.58,1424.75,47121.08,2883.81,3571321.40,181.40,486.29,1.44,1.40
33,?,?,?,?,?,?,?,?,1.40,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1376.74,46735.25,2856.17,341.45,31.45,0.05,?,1.45
36,816.68,46674.78,1376.05,46862.43,2843.49,5397161.37,221.37,734.08,1.45,1.37
37,813.75,46149.14,1368.56,46341.54,2811.05,121951.43,141.43,16.91,1.37,1.43
38,811.13,46329.66,1379.50,46512.72,2815.91,6551.40,51.40,0.92,1.43,1.40
39,813.77,46741.54,1389.85,46931.40,2825.70,50201.45,111.45,6.94,1.40,1.45
40,?,?,?,?,?,?,?,?,1.45,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1393.28,46988.04,2826.84,38501.42,101.42,5.47,?,1.42
43,817.32,46399.26,1383.89,46564.61,2821.25,13151.43,71.43,1.83,1.42,1.43
44,817.35,46406.74,1354.82,46569.81,2825.02,92201.40,81.40,12.78,1.43,1.40
45,818.81,46211.54,1313.43,46360.51,2825.15,107941.38,131.38,14.67,1.40,1.38
46,826.73,46370.13,1349.87,46523.63,2838.22,92511.40,141.40,12.70,1.38,1.40
47,?,?,?,?,?,?,?,?,1.40,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1365.73,46665.39,2848.48,144551.41,101.41,20.22,?,1.41
50,832.30,46490.89,1352.40,46652.19,2843.90,170331.41,131.41,23.11,1.41,1.41
51,830.62,46051.76,1342.16,46198.42,2831.71,66331.35,151.35,9.04,1.41,1.35
52,823.32,45879.90,1322.82,46050.52,2801.83,11021.39,101.39,1.50,1.35,1.39
53,826.66,45948.12,1345.82,46124.82,2817.57,107511.42,161.42,15.03,1.39,1.42
54,?,?,?,?,?,?,?,?,1.42,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1357.55,46487.05,2840.57,93871.43,161.43,13.34,?,1.43
57,828.81,45868.35,1359.10,46065.85,2831.16,117801.44,201.44,16.78,1.43,1.44
58,836.69,46241.92,1359.06,46459.99,2855.69,118211.43,41.43,16.89,1.44,1.43
59,844.08,46280.36,1354.30,46510.83,2865.27,28951.46,71.46,4.13,1.43,1.46
60,842.02,46341.14,1347.19,46622.90,2859.05,104961.48,111.48,15.48,1.46,1.48
61,?,?,?,?,?,?,?,?,1.48,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,1363.77,46454.13,2860.68,52221.42,101.42,7.43,?,1.42
64,845.88,46676.09,1397.73,47001.38,2868.06,171881.50,241.50,25.40,1.42,1.50
65,849.88,46762.65,1387.52,47090.49,2872.90,115041.49,181.49,17.05,1.50,1.49
66,855.99,46745.26,1372.44,47060.66,2873.49,85541.48,211.48,12.74,1.49,1.48
67,861.67,47074.39,1370.33,47436.21,2906.74,124581.52,261.52,18.50,1.48,1.52
68,?,?,?,?,?,?,?,?,1.52,?
69,?,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,1396.97,47269.75,2914.24,256221.48,211.48,38.16,?,1.48
71,866.79,47010.40,1423.31,47340.43,2911.38,89301.52,181.52,13.32,1.48,1.52
72,872.90,46888.37,1423.72,47235.72,2901.67,515701.45,211.45,75.41,1.52,1.45
73,871.52,47223.68,1436.51,47606.16,2912.13,222581.53,291.53,33.26,1.45,1.53
74,873.21,47125.93,1431.31,47522.10,2909.77,2008541.62,1161.62,311.13,1.53,1.62
75,?,?,?,?,?,?,?,?,1.62,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1419.01,47094.18,2900.59,853861.58,441.58,128.16,?,1.58
78,864.73,46029.35,1400.23,46473.62,2868.24,529501.50,241.50,80.43,1.58,1.50
79,862.97,46068.24,1396.66,46511.62,2874.75,86941.52,131.52,13.14,1.50,1.52
80,850.86,45580.47,1372.60,46017.88,2833.61,722131.51,321.51,107.94,1.52,1.51
81,845.32,45066.18,1354.95,45473.08,2800.67,69551.50,131.50,10.39,1.51,1.50
82,?,?,?,?,?,?,?,?,1.50,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1336.25,44946.32,2780.21,68111.50,111.50,9.91,?,1.50
85,830.80,44724.88,1334.81,45119.16,2774.13,55001.50,41.50,8.25,1.50,1.50
86,835.51,45247.90,1332.17,45644.09,2785.46,98621.46,141.46,14.41,1.50,1.46
87,839.42,45147.57,1335.61,45528.85,2797.31,253551.59,271.59,38.93,1.46,1.59
88,?,?,?,?,?,?,?,?,1.59,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1342.68,45679.51,2814.33,358991.60,221.60,57.48,?,1.60
93,828.79,44604.61,1315.67,44940.36,2769.02,259251.67,251.67,42.35,1.60,1.67
94,824.35,44623.89,1312.91,44980.62,2766.19,707401.75,461.75,117.32,1.67,1.75
95,819.73,44597.66,1319.91,44960.02,2760.91,306341.70,181.70,52.49,1.75,1.70
96,?,?,?,?,?,?,?,?,1.70,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1329.86,44963.96,2764.28,130591.77,181.77,22.50,?,1.77
99,815.74,44725.03,1322.63,45096.35,2767.26,89481.76,211.76,15.38,1.77,1.76
100,820.16,45091.63,1341.74,45495.34,2780.21,84091.71,131.71,14.45,1.76,1.71
101,824.04,45688.48,1350.66,46131.66,2794.43,190971.71,211.71,32.78,1.71,1.71
102,819.29,45525.92,1356.50,45960.10,2783.53,472431.75,151.75,80.63,1.71,1.75
103,?,?,?,?,?,?,?,?,1.75,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1314.18,45167.65,2754.91,50041.74,71.74,8.45,?,1.74
106,?,?,?,?,?,?,?,?,1.74,?
107,796.68,43916.24,1291.19,44404.81,2705.88,248511.74,151.74,41.69,?,1.74
108,787.39,43364.70,1280.02,43850.06,2695.55,940311.70,401.70,159.34,1.74,1.70
109,783.37,43447.75,1280.06,43993.98,2685.57,46821.72,51.72,7.77,1.70,1.72
110,?,?,?,?,?,?,?,?,1.72,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1292.08,43892.82,2660.28,125321.70,151.70,20.93,?,1.70
113,769.16,43159.57,1277.53,43707.88,2624.40,95491.72,151.72,15.98,1.70,1.72
114,769.82,43356.73,1283.16,43908.95,2636.70,71671.73,141.73,12.14,1.72,1.73
115,774.88,43482.18,1295.48,44027.03,2658.57,15451.73,51.73,2.63,1.73,1.73
116,777.86,43665.21,1299.40,44226.06,2669.93,90531.73,101.73,15.53,1.73,1.73
117,?,?,?,?,?,?,?,?,1.73,?
118,?,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1311.59,44420.22,2685.14,34341.70,121.70,5.84,?,1.70
120,784.81,44162.18,1303.66,44653.34,2704.84,93111.75,161.75,15.86,1.70,1.75
121,?,?,?,?,?,?,?,?,1.75,?
122,787.45,43991.51,1274.69,44466.89,2695.22,3491.75,71.75,0.60,?,1.75
123,?,?,?,?,?,?,?,?,1.75,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1283.84,45060.80,2714.72,1001001.70,21.70,170.18,?,1.70
127,793.09,44742.22,1301.78,45244.29,2733.96,4775911.73,91.73,811.90,1.70,1.73
128,798.10,45117.94,1318.36,45647.76,2752.14,106231.68,151.68,17.95,1.73,1.68
129,800.71,44943.16,1323.45,45475.08,2760.20,50621.70,181.70,8.55,1.68,1.70
130,800.42,44895.35,1326.21,45408.06,2769.85,1331.73,61.73,0.23,1.70,1.73
131,?,?,?,?,?,?,?,?,1.73,?
132,?,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1330.79,45746.01,2790.62,46701.70,101.70,7.90,?,1.70
134,804.49,45771.11,1313.36,46336.62,2822.41,45701.70,131.70,7.79,1.70,1.70
135,802.28,46102.42,1324.54,46676.61,2848.38,44361.70,161.70,7.50,1.70,1.70
136,806.45,45992.03,1332.96,46581.16,2871.70,571.69,61.69,0.10,1.70,1.69
137,810.69,46078.68,1345.72,46646.58,2885.19,401.71,51.71,0.07,1.69,1.71
138,?,?,?,?,?,?,?,?,1.71,?
139,?,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,1341.55,46615.31,2921.95,146341.70,121.70,24.80,?,1.70
141,819.76,45851.80,1351.99,46439.10,2893.12,98951.69,231.69,16.63,1.70,1.69
142,818.82,45933.66,1344.81,46529.96,2912.70,118561.70,61.70,19.92,1.69,1.70
143,814.69,45687.76,1350.88,46311.26,2894.53,317691.69,131.69,53.87,1.70,1.69
144,820.11,46145.44,1393.25,46783.61,2929.62,723271.81,321.81,126.21,1.69,1.81
145,?,?,?,?,?,?,?,?,1.81,?
146,?,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,1431.34,47957.54,2976.83,3399261.99,301.99,616.17,?,1.99
148,838.40,47579.87,1444.94,48258.02,2997.81,617882.20,432.20,129.26,1.99,2.20
149,842.72,47476.64,1464.18,48138.07,3000.58,90032.10,102.10,19.39,2.20,2.10
150,?,?,?,?,?,?,?,?,2.10,?
151,841.72,47806.34,1471.74,48503.87,2994.25,40162.18,32.18,8.36,?,2.18
152,?,?,?,?,?,?,?,?,2.18,?
153,?,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,1461.53,47868.36,2970.24,22272.08,62.08,4.66,?,2.08
155,854.67,47620.68,1476.35,48323.88,2998.79,54452.08,112.08,11.31,2.08,2.08
156,859.35,47805.94,1489.88,48513.29,3026.87,12162.16,52.16,2.50,2.08,2.16
157,864.95,47573.66,1469.75,48259.19,3020.15,182.16,32.16,0.04,2.16,2.16
158,866.67,48209.65,1514.93,48918.37,3044.38,12052.16,32.16,2.48,2.16,2.16
159,?,?,?,?,?,?,?,?,2.16,?
160,?,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,1524.65,49207.65,3065.91,5252.16,142.16,1.10,?,2.16
162,870.60,48324.52,1551.97,49050.96,3074.89,551732.10,142.10,115.87,2.16,2.10
163,878.91,48383.93,1598.45,49098.70,3098.83,88732.10,122.10,18.63,2.10,2.10
164,877.48,48152.82,1595.96,48890.47,3089.32,371392.10,162.10,78.21,2.10,2.10
165,880.65,48273.42,1585.79,49057.66,3092.65,3512.15,152.15,0.74,2.10,2.15
166,?,?,?,?,?,?,?,?,2.15,?
167,?,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,1583.00,48917.56,3100.24,289592.17,192.17,62.11,?,2.17
169,886.71,48119.72,1588.25,48891.04,3120.39,11232.18,112.18,2.43,2.17,2.18
170,885.25,47743.10,1571.15,48509.84,3122.21,60702.16,102.16,13.19,2.18,2.16
171,864.38,45870.00,1544.23,46587.68,3038.18,758831.97,331.97,158.32,2.16,1.97
172,855.18,44732.92,1507.70,45456.77,3001.68,58851.95,151.95,11.05,1.97,1.95
173,?,?,?,?,?,?,?,?,1.95,?
174,?,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,1501.45,45531.46,2990.89,132741.99,141.99,25.78,?,1.99
176,863.23,44966.09,1503.06,45672.10,2999.31,322492.14,162.14,66.89,1.99,2.14
177,858.05,44893.99,1492.93,45601.51,2972.55,114522.05,202.05,23.15,2.14,2.05
178,847.97,43667.37,1472.46,44326.49,2915.58,1152.13,52.13,0.23,2.05,2.13
