%310
@RELATION PLZPW0000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,48389.84,2835.52,335313.14,3213.14,44.08,?,13.14
3,10554.18,48222.72,48505.50,2832.46,675413.14,2913.14,87.42,13.14,13.14
4,10519.33,47888.16,48143.94,2814.73,1004713.15,3713.15,131.33,13.14,13.15
5,?,?,?,?,?,?,?,13.15,?
6,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,47820.24,2793.31,779213.25,4313.25,102.85,?,13.25
8,10500.71,47379.63,47624.67,2790.64,788813.50,5013.50,105.95,13.25,13.50
9,10503.06,47407.28,47668.58,2784.62,10975514.19,16214.19,1536.33,13.50,14.19
10,10496.80,47546.91,47798.66,2800.96,3166014.22,13114.22,452.13,14.19,14.22
11,10595.04,47440.80,47690.97,2815.88,2858614.49,14714.49,414.12,14.22,14.49
12,?,?,?,?,?,?,?,14.49,?
13,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,47724.95,2820.74,4458315.35,15015.35,680.14,?,15.35
15,10638.06,47086.54,47346.41,2817.16,8818715.67,14115.67,1366.83,15.35,15.67
16,10673.05,47521.39,47794.60,2825.40,1348915.68,6715.68,210.05,15.67,15.68
17,10767.29,47661.37,47936.81,2848.09,14341415.70,15315.70,2233.96,15.68,15.70
18,10903.93,47813.69,48104.67,2864.72,11744015.82,9515.82,1852.84,15.70,15.82
19,?,?,?,?,?,?,?,15.82,?
20,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,48184.37,2890.14,1491016.26,7416.26,239.73,?,16.26
22,11073.63,47872.80,48127.89,2892.80,1764216.09,8116.09,283.35,16.26,16.09
23,11071.80,47733.24,47999.21,2890.57,591615.65,4615.65,92.90,16.09,15.65
24,11108.21,47942.04,48203.43,2898.85,3686815.28,15215.28,560.05,15.65,15.28
25,11174.05,47613.95,47851.99,2897.93,3981015.80,9715.80,630.56,15.28,15.80
26,?,?,?,?,?,?,?,15.80,?
27,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,47553.14,2886.17,2292415.70,7315.70,369.36,?,15.70
29,11165.66,47328.40,47565.10,2878.58,290315.90,2415.90,46.00,15.70,15.90
30,11183.61,46917.19,47113.08,2876.68,437715.65,2615.65,69.45,15.90,15.65
31,11245.80,46840.15,47011.43,2880.57,742815.68,2515.68,114.35,15.65,15.68
32,11241.00,46945.58,47121.08,2883.81,126115.79,915.79,19.72,15.68,15.79
33,?,?,?,?,?,?,?,15.79,?
34,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,46735.25,2856.17,287515.40,2615.40,44.94,?,15.40
36,11060.84,46674.78,46862.43,2843.49,688015.59,2515.59,105.14,15.40,15.59
37,10953.57,46149.14,46341.54,2811.05,816315.22,215.22,124.49,15.59,15.22
38,10950.03,46329.66,46512.72,2815.91,160215.58,1815.58,24.58,15.22,15.58
39,10986.53,46741.54,46931.40,2825.70,496415.30,2315.30,76.32,15.58,15.30
40,?,?,?,?,?,?,?,15.30,?
41,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,46988.04,2826.84,211815.16,1615.16,32.21,?,15.16
43,10981.98,46399.26,46564.61,2821.25,230115.40,2215.40,34.77,15.16,15.40
44,11022.58,46406.74,46569.81,2825.02,506414.98,3514.98,76.25,15.40,14.98
45,11017.48,46211.54,46360.51,2825.15,1170115.00,4915.00,174.81,14.98,15.00
46,11071.18,46370.13,46523.63,2838.22,528115.27,2715.27,79.80,15.00,15.27
47,?,?,?,?,?,?,?,15.27,?
48,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,46665.39,2848.48,204015.53,2215.53,31.41,?,15.53
50,11119.72,46490.89,46652.19,2843.90,230815.77,1915.77,36.23,15.53,15.77
51,11014.53,46051.76,46198.42,2831.71,1114516.00,6516.00,180.63,15.77,16.00
52,10948.88,45879.90,46050.52,2801.83,492315.73,3315.73,76.54,16.00,15.73
53,10985.79,45948.12,46124.82,2817.57,135716.00,1716.00,21.62,15.73,16.00
54,?,?,?,?,?,?,?,16.00,?
55,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,46487.05,2840.57,804816.17,3416.17,130.32,?,16.17
57,10972.28,45868.35,46065.85,2831.16,133215.95,2415.95,21.28,16.17,15.95
58,11039.20,46241.92,46459.99,2855.69,410116.05,2216.05,65.99,15.95,16.05
59,11052.03,46280.36,46510.83,2865.27,11669715.31,6815.31,1816.09,16.05,15.31
60,11010.83,46341.14,46622.90,2859.05,827115.31,5015.31,124.82,15.31,15.31
61,?,?,?,?,?,?,?,15.31,?
62,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,46454.13,2860.68,180715.49,1715.49,27.05,?,15.49
64,10997.33,46676.09,47001.38,2868.06,254615.10,2215.10,39.52,15.49,15.10
65,11042.47,46762.65,47090.49,2872.90,34843615.45,3115.45,5328.97,15.10,15.45
66,11042.08,46745.26,47060.66,2873.49,89215.41,1215.41,13.58,15.45,15.41
67,11119.06,47074.39,47436.21,2906.74,1312715.75,5215.75,202.22,15.41,15.75
68,?,?,?,?,?,?,?,15.75,?
69,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,47269.75,2914.24,1351615.71,3215.71,213.26,?,15.71
71,11150.86,47010.40,47340.43,2911.38,117115.72,1115.72,18.43,15.71,15.72
72,11194.08,46888.37,47235.72,2901.67,468715.26,2815.26,72.72,15.72,15.26
73,11231.22,47223.68,47606.16,2912.13,172515.30,915.30,26.57,15.26,15.30
74,11228.39,47125.93,47522.10,2909.77,1107514.90,2914.90,168.91,15.30,14.90
75,?,?,?,?,?,?,?,14.90,?
76,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,47094.18,2900.59,206815.28,1415.28,30.98,?,15.28
78,11135.62,46029.35,46473.62,2868.24,243915.03,1515.03,36.69,15.28,15.03
79,11168.63,46068.24,46511.62,2874.75,643615.44,2315.44,98.95,15.03,15.44
80,11069.03,45580.47,46017.88,2833.61,316615.16,1315.16,47.97,15.44,15.16
81,10908.77,45066.18,45473.08,2800.67,1045915.00,6715.00,154.55,15.16,15.00
82,?,?,?,?,?,?,?,15.00,?
83,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,44946.32,2780.21,256115.40,2015.40,38.77,?,15.40
85,10815.43,44724.88,45119.16,2774.13,92115.10,1815.10,13.82,15.40,15.10
86,10867.86,45247.90,45644.09,2785.46,11255815.10,1615.10,1699.54,15.10,15.10
87,10938.55,45147.57,45528.85,2797.31,1703914.95,1214.95,254.50,15.10,14.95
88,?,?,?,?,?,?,?,14.95,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,45679.51,2814.33,447715.30,3615.30,66.75,?,15.30
93,10809.87,44604.61,44940.36,2769.02,387414.85,614.85,58.02,15.30,14.85
94,10817.23,44623.89,44980.62,2766.19,2178614.94,1714.94,318.33,14.85,14.94
95,10803.99,44597.66,44960.02,2760.91,7157015.00,1915.00,1073.33,14.94,15.00
96,?,?,?,?,?,?,?,15.00,?
97,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,44963.96,2764.28,172715.00,1415.00,25.67,?,15.00
99,10820.89,44725.03,45096.35,2767.26,190115.00,1415.00,28.35,15.00,15.00
