%310
@RELATION PLATM0000021
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
73,871.52,47223.68,2715.79,47606.16,2912.13,1152121.19,521.19,137.34,1.17,1.19
74,873.21,47125.93,2759.52,47522.10,2909.77,2867851.26,971.26,355.34,1.19,1.26
75,?,?,?,?,?,?,?,?,1.26,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,2727.89,47094.18,2900.59,418901.25,281.25,52.56,?,1.25
78,864.73,46029.35,2690.24,46473.62,2868.24,1834591.27,531.27,233.04,1.25,1.27
79,862.97,46068.24,2690.29,46511.62,2874.75,70181.27,101.27,8.83,1.27,1.27
80,850.86,45580.47,2658.58,46017.88,2833.61,1152831.28,331.28,145.92,1.27,1.28
81,845.32,45066.18,2579.62,45473.08,2800.67,998421.25,291.25,124.44,1.28,1.25
82,?,?,?,?,?,?,?,?,1.25,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,2568.62,44946.32,2780.21,1479211.27,341.27,187.58,?,1.27
85,830.80,44724.88,2566.53,45119.16,2774.13,1463311.27,251.27,183.06,1.27,1.27
86,835.51,45247.90,2581.44,45644.09,2785.46,906381.27,181.27,114.61,1.27,1.27
87,839.42,45147.57,2642.66,45528.85,2797.31,857951.27,181.27,108.30,1.27,1.27
88,?,?,?,?,?,?,?,?,1.27,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,2638.99,45679.51,2814.33,1150261.29,241.29,146.66,?,1.29
93,828.79,44604.61,2614.45,44940.36,2769.02,1158601.30,561.30,150.47,1.29,1.30
94,824.35,44623.89,2599.89,44980.62,2766.19,1174381.29,261.29,149.81,1.30,1.29
95,819.73,44597.66,2491.48,44960.02,2760.91,2019071.32,561.32,263.84,1.29,1.32
96,?,?,?,?,?,?,?,?,1.32,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,2549.75,44963.96,2764.28,3755291.39,911.39,511.12,?,1.39
99,815.74,44725.03,2593.51,45096.35,2767.26,1570001.39,681.39,217.76,1.39,1.39
100,820.16,45091.63,2591.74,45495.34,2780.21,2352001.45,841.45,332.65,1.39,1.45
101,824.04,45688.48,2643.04,46131.66,2794.43,1923611.42,621.42,273.98,1.45,1.42
102,819.29,45525.92,2653.03,45960.10,2783.53,787251.39,461.39,108.64,1.42,1.39
103,?,?,?,?,?,?,?,?,1.39,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,2627.86,45167.65,2754.91,342111.35,251.35,46.07,?,1.35
106,?,?,?,?,?,?,?,?,1.35,?
107,796.68,43916.24,2551.04,44404.81,2705.88,1128441.36,351.36,149.60,?,1.36
108,787.39,43364.70,2592.30,43850.06,2695.55,1875641.32,391.32,249.13,1.36,1.32
109,783.37,43447.75,2558.31,43993.98,2685.57,170681.35,201.35,22.91,1.32,1.35
110,?,?,?,?,?,?,?,?,1.35,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,2502.77,43892.82,2660.28,821591.34,431.34,109.53,?,1.34
113,769.16,43159.57,2517.56,43707.88,2624.40,599221.33,191.33,79.91,1.34,1.33
114,769.82,43356.73,2527.25,43908.95,2636.70,1049741.35,451.35,138.82,1.33,1.35
115,774.88,43482.18,2511.90,44027.03,2658.57,534871.39,151.39,72.88,1.35,1.39
116,777.86,43665.21,2510.55,44226.06,2669.93,177841.40,131.40,24.69,1.39,1.40
117,?,?,?,?,?,?,?,?,1.40,?
118,?,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,2521.79,44420.22,2685.14,340641.40,161.40,47.68,?,1.40
120,784.81,44162.18,2543.13,44653.34,2704.84,503311.40,141.40,70.22,1.40,1.40
121,?,?,?,?,?,?,?,?,1.40,?
122,787.45,43991.51,2514.92,44466.89,2695.22,331.40,11.40,0.05,?,1.40
123,?,?,?,?,?,?,?,?,1.40,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,2539.44,45060.80,2714.72,951.40,21.40,0.13,?,1.40
127,793.09,44742.22,2559.42,45244.29,2733.96,778601.39,241.39,106.50,1.40,1.39
128,798.10,45117.94,2580.91,45647.76,2752.14,3289471.41,421.41,460.82,1.39,1.41
129,800.71,44943.16,2616.95,45475.08,2760.20,1606831.44,251.44,229.65,1.41,1.44
130,800.42,44895.35,2665.44,45408.06,2769.85,639081.47,331.47,92.45,1.44,1.47
131,?,?,?,?,?,?,?,?,1.47,?
132,?,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,2691.81,45746.01,2790.62,1274961.46,261.46,185.57,?,1.46
134,804.49,45771.11,2747.23,46336.62,2822.41,731591.46,151.46,105.81,1.46,1.46
135,802.28,46102.42,2811.51,46676.61,2848.38,3569371.42,151.42,506.51,1.46,1.42
136,806.45,45992.03,2769.11,46581.16,2871.70,420411.46,251.46,60.90,1.42,1.46
137,810.69,46078.68,2843.46,46646.58,2885.19,64471.43,121.43,9.24,1.46,1.43
138,?,?,?,?,?,?,?,?,1.43,?
139,?,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,2833.96,46615.31,2921.95,1491941.47,391.47,214.51,?,1.47
141,819.76,45851.80,2766.56,46439.10,2893.12,741061.45,281.45,107.21,1.47,1.45
142,818.82,45933.66,2768.44,46529.96,2912.70,389671.45,131.45,56.69,1.45,1.45
143,814.69,45687.76,2716.44,46311.26,2894.53,1872471.44,371.44,270.31,1.45,1.44
144,820.11,46145.44,2766.31,46783.61,2929.62,681901.43,181.43,97.11,1.44,1.43
145,?,?,?,?,?,?,?,?,1.43,?
146,?,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,2877.90,47957.54,2976.83,4786971.49,421.49,704.82,?,1.49
148,838.40,47579.87,2837.61,48258.02,2997.81,6317101.54,741.54,951.00,1.49,1.54
149,842.72,47476.64,2831.95,48138.07,3000.58,389131.54,161.54,59.85,1.54,1.54
150,?,?,?,?,?,?,?,?,1.54,?
151,841.72,47806.34,2842.44,48503.87,2994.25,3191921.56,311.56,492.96,?,1.56
152,?,?,?,?,?,?,?,?,1.56,?
153,?,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,2851.48,47868.36,2970.24,716231.56,261.56,110.73,?,1.56
155,854.67,47620.68,2879.25,48323.88,2998.79,1166111.66,601.66,189.38,1.56,1.66
156,859.35,47805.94,2930.23,48513.29,3026.87,394711.65,381.65,65.89,1.66,1.65
157,864.95,47573.66,2927.35,48259.19,3020.15,1033021.60,261.60,166.64,1.65,1.60
158,866.67,48209.65,2972.76,48918.37,3044.38,8769291.58,331.58,1384.28,1.60,1.58
159,?,?,?,?,?,?,?,?,1.58,?
160,?,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,2961.52,49207.65,3065.91,376961.57,151.57,58.79,?,1.57
162,870.60,48324.52,3012.39,49050.96,3074.89,4932571.57,281.57,778.32,1.57,1.57
163,878.91,48383.93,3044.90,49098.70,3098.83,610511.58,291.58,95.46,1.57,1.58
164,877.48,48152.82,3007.22,48890.47,3089.32,4108071.60,151.60,648.98,1.58,1.60
165,880.65,48273.42,3038.69,49057.66,3092.65,182361.58,141.58,28.52,1.60,1.58
166,?,?,?,?,?,?,?,?,1.58,?
167,?,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,3096.81,48917.56,3100.24,849561.61,361.61,138.24,?,1.61
169,886.71,48119.72,3174.21,48891.04,3120.39,571441.58,141.58,91.21,1.61,1.58
170,885.25,47743.10,3163.21,48509.84,3122.21,244391.55,131.55,37.94,1.58,1.55
171,864.38,45870.00,3135.33,46587.68,3038.18,4441011.54,851.54,667.90,1.55,1.54
172,855.18,44732.92,2970.69,45456.77,3001.68,1190811.50,371.50,176.73,1.54,1.50
173,?,?,?,?,?,?,?,?,1.50,?
174,?,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,2962.57,45531.46,2990.89,627901.50,401.50,91.32,?,1.50
176,863.23,44966.09,2951.60,45672.10,2999.31,252521.48,141.48,38.16,1.50,1.48
177,858.05,44893.99,2891.59,45601.51,2972.55,621681.45,241.45,88.23,1.48,1.45
178,847.97,43667.37,2856.87,44326.49,2915.58,565311.44,161.44,81.57,1.45,1.44
179,848.08,44747.79,2875.12,45442.51,2948.80,563961.45,221.45,81.40,1.44,1.45
180,?,?,?,?,?,?,?,?,1.45,?
181,?,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,2975.68,45461.06,2963.91,222431.44,131.44,31.36,?,1.44
183,853.37,45533.94,3034.96,46254.71,2981.48,290401.44,131.44,41.10,1.44,1.44
184,850.45,45184.98,3008.56,45899.36,2971.57,130651.37,171.37,18.50,1.44,1.37
185,855.94,45613.75,3031.35,46344.42,2988.19,124501.38,151.38,17.14,1.37,1.38
186,851.88,45110.89,3040.23,45805.34,2977.06,69191.43,111.43,9.86,1.38,1.43
187,?,?,?,?,?,?,?,?,1.43,?
188,?,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,2963.72,45172.40,2948.16,52061.45,51.45,7.39,?,1.45
190,842.60,44342.23,2923.27,44969.23,2924.69,194541.42,131.42,27.37,1.45,1.42
191,844.03,45068.55,3088.12,45727.71,2962.09,20001.42,21.42,2.84,1.42,1.42
192,845.84,45712.72,3133.70,46390.36,2992.86,288341.41,231.41,39.69,1.42,1.41
193,849.99,46150.78,3149.35,46839.89,3017.66,574951.40,181.40,80.13,1.41,1.40
194,?,?,?,?,?,?,?,?,1.40,?
195,?,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,3148.83,46922.43,3022.70,352001.40,201.40,49.10,?,1.40
197,847.84,46155.10,3146.57,46860.35,3017.11,976001.39,111.39,135.63,1.40,1.39
198,845.85,46287.08,3212.07,47003.76,3021.27,256661.37,181.37,35.08,1.39,1.37
199,845.70,46221.23,3244.60,46919.83,3023.16,126441.44,161.44,17.50,1.37,1.44
200,848.06,46399.74,3235.66,47120.88,3019.85,135031.44,71.44,19.22,1.44,1.44
201,?,?,?,?,?,?,?,?,1.44,?
202,?,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,3205.19,47075.43,3021.70,116731.42,141.42,16.37,?,1.42
204,852.44,46714.43,3248.21,47454.90,3029.97,1104501.43,211.43,152.72,1.42,1.43
205,858.02,46835.98,3268.30,47575.74,3050.63,130921.42,81.42,18.26,1.43,1.42
206,858.31,46713.02,3213.35,47446.69,3036.16,212901.44,101.44,30.63,1.42,1.44
