%310
@RELATION SI0031102120
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,48107.89,832.17,4165207.60,1207.60,864.65,?,207.60
3,48222.72,839.05,3800212.60,1212.60,807.88,207.60,212.60
4,47888.16,845.71,3038220.70,3220.70,670.58,212.60,220.70
5,?,?,?,?,?,220.70,?
6,?,?,?,?,?,?,?
7,47589.33,849.25,2200224.40,1224.40,493.68,?,224.40
8,47379.63,854.96,6830230.50,2230.50,1574.30,224.40,230.50
9,47407.28,851.76,3000227.00,1227.00,681.00,230.50,227.00
10,47546.91,851.10,0227.00,0227.00,0.00,227.00,227.00
11,47440.80,850.72,10230.10,1230.10,2.30,227.00,230.10
12,?,?,?,?,?,230.10,?
13,?,?,?,?,?,?,?
14,47470.12,856.11,0230.10,0230.10,0.00,?,230.10
15,47086.54,855.54,0230.10,0230.10,0.00,230.10,230.10
16,47521.39,849.49,0230.10,0230.10,0.00,230.10,230.10
17,47661.37,854.27,0230.10,0230.10,0.00,230.10,230.10
18,47813.69,845.61,0230.10,0230.10,0.00,230.10,230.10
19,?,?,?,?,?,230.10,?
20,?,?,?,?,?,?,?
21,47936.61,857.64,0230.10,0230.10,0.00,?,230.10
22,47872.80,858.70,0230.10,0230.10,0.00,230.10,230.10
23,47733.24,853.17,0230.10,0230.10,0.00,230.10,230.10
24,47942.04,865.46,0230.10,0230.10,0.00,230.10,230.10
25,47613.95,867.33,0230.10,0230.10,0.00,230.10,230.10
26,?,?,?,?,?,230.10,?
27,?,?,?,?,?,?,?
28,47324.06,862.14,0230.10,0230.10,0.00,?,230.10
29,47328.40,861.04,12230.10,1230.10,2.76,230.10,230.10
30,46917.19,868.36,0230.10,0230.10,0.00,230.10,230.10
31,46840.15,873.28,0230.10,0230.10,0.00,230.10,230.10
32,46945.58,873.87,0230.10,0230.10,0.00,230.10,230.10
33,?,?,?,?,?,230.10,?
34,?,?,?,?,?,?,?
35,46556.55,865.72,12226.50,4226.50,2.72,?,226.50
36,46674.78,868.83,0226.50,0226.50,0.00,226.50,226.50
37,46149.14,868.89,866222.30,1222.30,192.51,226.50,222.30
38,46329.66,869.69,0222.30,0222.30,0.00,222.30,222.30
39,46741.54,870.75,0222.30,0222.30,0.00,222.30,222.30
40,?,?,?,?,?,222.30,?
41,?,?,?,?,?,?,?
42,46786.74,870.67,0222.30,0222.30,0.00,?,222.30
43,46399.26,874.02,0222.30,0222.30,0.00,222.30,222.30
44,46406.74,874.66,0222.30,0222.30,0.00,222.30,222.30
45,46211.54,870.38,0222.30,0222.30,0.00,222.30,222.30
46,46370.13,873.83,0222.30,0222.30,0.00,222.30,222.30
47,?,?,?,?,?,222.30,?
48,?,?,?,?,?,?,?
49,46508.27,869.62,0222.30,0222.30,0.00,?,222.30
50,46490.89,861.33,0222.30,0222.30,0.00,222.30,222.30
51,46051.76,862.42,0222.30,0222.30,0.00,222.30,222.30
