%310
@RELATION PLCELPD00013
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1438.45,48389.84,2835.52,22004.75,24.75,9.37,?,4.75
3,783.15,48222.72,1422.15,48505.50,2832.46,19554.50,44.50,9.23,4.75,4.50
4,781.69,47888.16,1424.57,48143.94,2814.73,4254.70,34.70,1.90,4.50,4.70
5,?,?,?,?,?,?,?,?,4.70,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1408.87,47820.24,2793.31,90994.66,164.66,45.25,?,4.66
8,780.70,47379.63,1416.22,47624.67,2790.64,33244.75,34.75,15.79,4.66,4.75
9,784.82,47407.28,1418.24,47668.58,2784.62,39955.00,115.00,20.28,4.75,5.00
10,788.85,47546.91,1427.00,47798.66,2800.96,13005.25,55.25,6.64,5.00,5.25
11,795.36,47440.80,1431.50,47690.97,2815.88,38965.95,135.95,20.16,5.25,5.95
12,?,?,?,?,?,?,?,?,5.95,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1429.59,47724.95,2820.74,70005.80,75.80,41.07,?,5.80
15,794.59,47086.54,1424.03,47346.41,2817.16,18205.80,45.80,10.61,5.80,5.80
16,796.34,47521.39,1459.06,47794.60,2825.40,8375.61,25.61,4.70,5.80,5.61
17,803.56,47661.37,1480.62,47936.81,2848.09,84965.48,205.48,45.87,5.61,5.48
18,807.72,47813.69,1463.04,48104.67,2864.72,10005.48,25.48,5.48,5.48,5.48
19,?,?,?,?,?,?,?,?,5.48,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1473.28,48184.37,2890.14,1005.47,15.47,0.55,?,5.47
22,808.23,47872.80,1474.10,48127.89,2892.80,505.47,15.47,0.27,5.47,5.47
