%310
@RELATION PLJWC0000019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1438.45,48389.84,2835.52,642234.13,954.13,267.23,?,4.13
3,10554.18,48222.72,1422.15,48505.50,2832.46,150924.13,374.13,62.57,4.13,4.13
4,10519.33,47888.16,1424.57,48143.94,2814.73,139654.12,324.12,56.94,4.13,4.12
5,?,?,?,?,?,?,?,?,4.12,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1408.87,47820.24,2793.31,657364.12,444.12,269.31,?,4.12
8,10500.71,47379.63,1416.22,47624.67,2790.64,444604.00,714.00,180.47,4.12,4.00
9,10503.06,47407.28,1418.24,47668.58,2784.62,802864.08,734.08,321.72,4.00,4.08
10,10496.80,47546.91,1427.00,47798.66,2800.96,102634.12,294.12,42.20,4.08,4.12
11,10595.04,47440.80,1431.50,47690.97,2815.88,198194.08,194.08,81.05,4.12,4.08
12,?,?,?,?,?,?,?,?,4.08,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1429.59,47724.95,2820.74,967924.26,1234.26,409.90,?,4.26
15,10638.06,47086.54,1424.03,47346.41,2817.16,133614.12,414.12,56.09,4.26,4.12
16,10673.05,47521.39,1459.06,47794.60,2825.40,1051604.07,764.07,430.91,4.12,4.07
17,10767.29,47661.37,1480.62,47936.81,2848.09,304034.15,394.15,125.43,4.07,4.15
18,10903.93,47813.69,1463.04,48104.67,2864.72,427064.20,454.20,176.77,4.15,4.20
19,?,?,?,?,?,?,?,?,4.20,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1473.28,48184.37,2890.14,648584.24,814.24,273.18,?,4.24
22,11073.63,47872.80,1474.10,48127.89,2892.80,888194.35,1414.35,378.81,4.24,4.35
23,11071.80,47733.24,1466.26,47999.21,2890.57,1042364.39,1764.39,463.64,4.35,4.39
24,11108.21,47942.04,1462.14,48203.43,2898.85,836194.49,1214.49,364.81,4.39,4.49
25,11174.05,47613.95,1453.75,47851.99,2897.93,1138004.65,1684.65,524.02,4.49,4.65
26,?,?,?,?,?,?,?,?,4.65,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1428.40,47553.14,2886.17,478904.76,874.76,226.46,?,4.76
29,11165.66,47328.40,1414.71,47565.10,2878.58,1372834.65,1884.65,622.71,4.76,4.65
30,11183.61,46917.19,1409.63,47113.08,2876.68,279104.49,694.49,126.32,4.65,4.49
31,11245.80,46840.15,1412.77,47011.43,2880.57,172464.50,574.50,77.10,4.49,4.50
32,11241.00,46945.58,1424.75,47121.08,2883.81,106804.50,224.50,47.88,4.50,4.50
33,?,?,?,?,?,?,?,?,4.50,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1376.74,46735.25,2856.17,658154.27,1204.27,286.20,?,4.27
36,11060.84,46674.78,1376.05,46862.43,2843.49,298194.27,954.27,125.59,4.27,4.27
37,10953.57,46149.14,1368.56,46341.54,2811.05,189774.27,314.27,80.70,4.27,4.27
38,10950.03,46329.66,1379.50,46512.72,2815.91,71814.28,334.28,31.01,4.27,4.28
39,10986.53,46741.54,1389.85,46931.40,2825.70,222064.39,554.39,97.01,4.28,4.39
40,?,?,?,?,?,?,?,?,4.39,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,1393.28,46988.04,2826.84,290224.45,644.45,126.68,?,4.45
43,10981.98,46399.26,1383.89,46564.61,2821.25,516424.33,884.33,221.81,4.45,4.33
